champ,description_question,variable_reponse,description_reponse
mode,MODE) Mode de collecte,1,Téléphonique (probabiliste)
mode,MODE) Mode de collecte,2,Web (non probabiliste)
q1a,Q1A) Habitez-vous dans l'un ou l'autre des 19 arrondissements de la ville de Montréal?,1,Oui
q1a,Q1A) Habitez-vous dans l'un ou l'autre des 19 arrondissements de la ville de Montréal?,2,Non
q1b,Q1B) Dans quel arrondissement de la Ville de Montréal habitez-vous?,1,Ahuntsic-Cartierville
q1b,Q1B) Dans quel arrondissement de la Ville de Montréal habitez-vous?,2,Anjou
q1b,Q1B) Dans quel arrondissement de la Ville de Montréal habitez-vous?,3,Côte-des-Neiges - Notre-Dame-de-Grâce
q1b,Q1B) Dans quel arrondissement de la Ville de Montréal habitez-vous?,4,Lachine
q1b,Q1B) Dans quel arrondissement de la Ville de Montréal habitez-vous?,5,LaSalle
q1b,Q1B) Dans quel arrondissement de la Ville de Montréal habitez-vous?,6,Le Plateau-Mont-Royal
q1b,Q1B) Dans quel arrondissement de la Ville de Montréal habitez-vous?,7,Le Sud-Ouest
q1b,Q1B) Dans quel arrondissement de la Ville de Montréal habitez-vous?,8,L’Île-Bizard - Sainte-Geneviève
q1b,Q1B) Dans quel arrondissement de la Ville de Montréal habitez-vous?,9,Mercier - Hochelaga-Maisonneuve
q1b,Q1B) Dans quel arrondissement de la Ville de Montréal habitez-vous?,10,Montréal-Nord
q1b,Q1B) Dans quel arrondissement de la Ville de Montréal habitez-vous?,11,Outremont
q1b,Q1B) Dans quel arrondissement de la Ville de Montréal habitez-vous?,12,Pierrefonds-Roxboro
q1b,Q1B) Dans quel arrondissement de la Ville de Montréal habitez-vous?,13,Rivière-des-Prairies - Pointe-aux-Trembles
q1b,Q1B) Dans quel arrondissement de la Ville de Montréal habitez-vous?,14,Rosemont - La Petite-Patrie
q1b,Q1B) Dans quel arrondissement de la Ville de Montréal habitez-vous?,15,Saint-Laurent
q1b,Q1B) Dans quel arrondissement de la Ville de Montréal habitez-vous?,16,Saint-Léonard
q1b,Q1B) Dans quel arrondissement de la Ville de Montréal habitez-vous?,17,Verdun
q1b,Q1B) Dans quel arrondissement de la Ville de Montréal habitez-vous?,18,Ville-Marie
q1b,Q1B) Dans quel arrondissement de la Ville de Montréal habitez-vous?,19,Villeray - Saint-Michel - Parc-Extension
q2,Q2) Dans quelle catégorie d´âge vous situez-vous?,1,18 à 24 ans
q2,Q2) Dans quelle catégorie d´âge vous situez-vous?,2,25 à 34 ans
q2,Q2) Dans quelle catégorie d´âge vous situez-vous?,3,35 à 44 ans
q2,Q2) Dans quelle catégorie d´âge vous situez-vous?,4,45 à 54 ans
q2,Q2) Dans quelle catégorie d´âge vous situez-vous?,5,55 à 64 ans
q2,Q2) Dans quelle catégorie d´âge vous situez-vous?,6,65 à 74 ans
q2,Q2) Dans quelle catégorie d´âge vous situez-vous?,7,75 ans ou plus
q2,Q2) Dans quelle catégorie d´âge vous situez-vous?,99,Je préfère ne pas répondre
age5,AGE5) Âge (5 catégories),1,18 à 34 ans
age5,AGE5) Âge (5 catégories),2,35 à 44 ans
age5,AGE5) Âge (5 catégories),3,45 à 54 ans
age5,AGE5) Âge (5 catégories),4,55 à 64 ans
age5,AGE5) Âge (5 catégories),5,65 ans et +
age5,AGE5) Âge (5 catégories),6,Je préfère ne pas répondre
q3a,Q3A) Êtes-vous né au Canada?,1,Oui
q3a,Q3A) Êtes-vous né au Canada?,2,Non
q3b,Q3B) Laquelle des affirmations suivantes s´applique à votre situation?,1,Mes deux parents sont nés au Canada
q3b,Q3B) Laquelle des affirmations suivantes s´applique à votre situation?,2,"L’un de mes parents est né au Canada et l’autre, à l’extérie"
