Coups de cœur culturels ,Latitude,Longitude,Étiquette
« Du primaire au spectaculaire » à la Salle Pauline-Julien,45.48349,-73.869385,Présenté le 23 septembre
Accessibilité universelle de la place Émilie Gamelin et les parcours d'Audiotopie,45.515385,-73.559999,Présenté le 23 septembre
Aire d'animation du parc Jean-Brillant,45.52037,-73.563631,Coup de cœur
Aires Libres,45.518831,-73.555894,Coup de cœur
Architecture et trame urbaine du quartier «Cité-jardin»»,45.571034,-73.561406,Coup de cœur
Art et science à Espace pour la vie ,45.556498,-73.556277,Présenté le 23 septembre
Artothèque ,45.533339,-73.595027,Coup de cœur
Atelier circulaire,45.527021,-73.595382,Coup de cœur
"Atelier Jean-Brillant, Parisian Laundry, L'Arsenal",45.5150904,-73.5629348,Coup de cœur
Auditorium Le Prévost,45.543887,-73.614577,Coup de cœur
Bain Mathieu,45.537306,-73.549888,Coup de cœur
Bain Saint-Michel,45.5252278,-73.5954116,Coup de cœur
Bar Alexandraplatz,45.530011,-73.6161,Coup de cœur
"Bibliothèque de L'Île-Bizard, Espace patrimoine",45.4943575,-73.8997789,Coup de cœur
Bibliothèque de L'Île-des-Soeurs,45.4608399,-73.5469139,Coup de cœur
Bibliothèque du Boisé,45.504118,-73.705183,Présenté le 23 septembre
Bibliothèque du Mile-End,45.521592,-73.601685,Coup de cœur
Bibliothèque du ministère de la Culture et des Communications ,45.424468,-73.622942,Coup de cœur
Bibliothèque Frontenac,45.532951,-73.551755,Coup de cœur
Bibliothèque Jean-Corbeil,45.602958,-73.558404,Coup de cœur
Bibliothèque Jean-Corbeil à Anjou et 1000 jours pour la planète-Camp de base pour la biodiversité,45.602958,-73.558404,Présenté le 23 septembre
Bibliothèque Langelier,45.602958,-73.558404,Coup de cœur
Bibliothèque L'Octogone,45.424468,-73.622942,Présenté le 23 septembre
Bibliothèque Marc-Favreau et la SAT (Marc-Favreau remixé),45.531743,-73.59781,Présenté le 23 septembre
Bibliothèque Saint-Sulpice,45.515258, -73.564298,Coup de cœur
Bibliothèques de Montréal et la Ville intelligente,45.495955,-73.55351,Présenté le 23 septembre
Bistro 1843,45.488608,-73.875643,Coup de cœur
Bistrot chez José,45.5187161,-73.5777846,Coup de cœur
Boulangerie Chez Fred - Exposition Arts,45.473953,-73.609198,Coup de cœur
Boutique Rubans Boutons,45.541918,-73.615837,Coup de cœur
Buanderie Mousse Café,45.549217,-73.591174,Coup de cœur
Buvette du parc Baldwin,45.53651,-73.5671265,Coup de cœur
Café bistro Bobby McGee,45.541278,-73.547361,Coup de cœur
Café coop Touski,45.531135,-73.554588,Coup de cœur
Café des arts,45.473953,-73.609198,Coup de cœur
Café Lézard,45.549553,-73.574222,Coup de cœur
Camp de jour Zéro déchets à l'Éco-quartier Villeray,45.5439,-73.614565,Présenté le 23 septembre
Canal de Lachine,45.465448,-73.6081602,Coup de cœur
Casa Del Popolo,45.522115,-73.590539,Coup de cœur
Centre communautaire d'Anjou (salle multufonctionnelle),45.6119975,-73.5697535,Coup de cœur
Centre culturel Calixa-Lavallée,45.527068,-73.569389,Coup de cœur
Centre culturel de Pierrefonds,45.496897,-73.849806,Coup de cœur
Centre culturel de Verdun,45.4532461,-73.5597614,Coup de cœur
Centre culturel Henri-Lemieux,45.430985,-73.594433,Coup de cœur
Centre de distribution Hydro-Québec (rue Wellington),45.497571,-73.555964,Coup de cœur
Centre des jeunes l'Escale,45.533921,-73.552045,Coup de cœur
Centre d'exposition Lethbridge de la bibliothèque du Boisé,45.5040848,-73.7053404,Coup de cœur
Centre Jean-Claude-Malépart,45.533921,-73.552045,Coup de cœur
Centre Jean-Marie Gauvreau ,45.5415938,-73.613344,Coup de cœur
Certification d'événements écoresponsables - Norme BNQ et Scène écoresponsable ex: maison de la culture Pointe-aux-Trembles ,45.666489,-73.493316,Présenté le 23 septembre
Champ-de-Mars de Montréal,45.508832, -73.555303,Coup de cœur
Chapelle historique du Bon-Pasteur,45.513484,-73.56851,Coup de cœur
"Chat des artistes, ateliers d'artistes",45.530812,-73.558723,Coup de cœur
Château Dufresne,45.553836,-73.553891,Coup de cœur
