Nom Bibliothèque	Secteur	Titre	Nombre de prêt	Nombre de document	Lien URL
Bibliothèque d'Ahuntsic	Adultes - Disques compacts	Maria Callas[sound recording] :the complete studio recordings, 1949-1969	19	70	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1576699
Bibliothèque d'Ahuntsic	Adultes - Nouveautés	Les héritiers du fleuve.1,1887-1893 /Louise Tremblay-D'Essiambre.	8	7	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2404543
Bibliothèque d'Ahuntsic	Jeunes - BD - Fiction	Nelson.4,Le démon de midi /Bertschy.	8	5	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1423718
Bibliothèque d'Ahuntsic	Jeunes - BD - Fiction	Les légendaires.12,Renaissance /Patrick Sobral	8	7	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1928399
Bibliothèque d'Ahuntsic	Adultes - DVD	Le cinquième pouvoir[enregistrement vidéo] =The 5ifth estate /réalisation, Bill Condon ; scénario, Josh Singer.	7	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2436495
Bibliothèque d'Ahuntsic	Jeunes - BD - Fiction	Nelson.2,Catastrophe naturelle /Bertschy.	7	5	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1360760
Bibliothèque d'Ahuntsic	Adultes - Documentaires	Guide de la route /[publication réalisée par la Société de l'assurance automobile du Québec].	7	13	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2448995
Bibliothèque d'Ahuntsic	Adultes - Nouveautés	Central Park :roman /Guillaume Musso.	7	8	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2440321
Bibliothèque d'Ahuntsic	Jeunes - BD - Fiction	Les p'tits diables.3,In-fer-naux! /scénario & dessin, Olivier Dutto.	7	4	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1389825
Bibliothèque d'Ahuntsic	Adultes - Nouveautés	Le chardonneret :[roman] /Donna Tartt ; traduit de l'anglais (États-Unis) par Édith Soonckindt.	7	12	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2424289
Bibliothèque d'Ahuntsic	Jeunes - DVD	À la croisée des mondes[enregistrement vidéo] :la boussole d'or  = The golden compass /scénario et réalisation, Chris Weitz.	7	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1598387
Bibliothèque d'Ahuntsic	Adultes - Romans québécois	Madame Tout-le-monde.1,Cap-aux-Brumes :roman historique /Juliette Thibault.	6	4	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2257850
Bibliothèque d'Ahuntsic	Jeunes - DVD	Les Aristochats[enregistrement vidéo] =The Aristocats /réalisation, Wolfgang Reitherman ; scénario, Larry Clemmons ... [et al.] ; directeurs d'animation, Milt Kahl ... [et al.].	6	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1594185
Bibliothèque d'Ahuntsic	Adultes - DVD	Dredd[enregistrement vidéo] /réalisation, Pete Travis ; scénario, Alex Garland.	6	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2377315
Bibliothèque d'Ahuntsic	Jeunes - Romans enfants	Le balai magique /Chris Van Allsburg ; [traduit de l'américain par Agnès Desarthe].	6	4	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1132383
Bibliothèque d'Ahuntsic	Adultes - DVD	Opération avant l'aube[enregistrement vidéo] =Zero dark thirty /réalisation, Kathryn Bigelow ; scénario, Mark Boal.	6	3	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2384123
Bibliothèque d'Ahuntsic	Adultes - DVD	Gravité[enregistrement vidéo] =Gravity /réalisation, Alfonso Cuarón ; scénario, Alfonso Cuarón, Jonás Cuarón.	6	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2441487
Bibliothèque d'Ahuntsic	Adultes - DVD	Hunger games[enregistrement vidéo] :l'embrasement = The Hunger games : catching fire /réalisation, Francis Lawrence ; scénario, Simon Beaufoy, Michael de Bruyn.	6	3	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2440675
Bibliothèque d'Ahuntsic	Jeunes - BD - Fiction	Nelson.3,Calamité à plein temps /Bertschy.	6	6	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1386285
Bibliothèque d'Ahuntsic	Adultes - Nouveautés	La diaspora des Desrosiers.7,Les clefs du Paradise :roman /Michel Tremblay.	6	8	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2422148
Bibliothèque de Cartierville	Adultes - Documentaires	Conduire un véhicule de promenade /[publication réalisée par la Société de l'assurance automobile du Québec ; recherche et rédaction, Michèle Jean et Micheline Briand avec la collaboration de Diane Hamel... et al.]	8	16	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1427841
Bibliothèque de Cartierville	Jeunes - Documentaires	Le boeuf musqué /Merebeth Switzer.	7	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1006214
Bibliothèque de Cartierville	Jeunes - Documentaires	L'antilope d'Amérique /Elma Schemenauer.	7	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1006151
Bibliothèque de Cartierville	Jeunes - Documentaires	La loutre de rivière /Laima Dingwall.	6	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1006226
Bibliothèque de Cartierville	Jeunes - Documentaires	La mouffette rayée /Laima Dingwall.	6	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1006229
Bibliothèque de Cartierville	Jeunes - Documentaires	Le loup /Judy Ross.	5	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1006235
Bibliothèque de Cartierville	Adultes - DVD	Escouade gangster[enregistrement vidéo] =Gangster squad /réalisation, Ruben Fleischer ; scénario, Will Beall.	5	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2388848
Bibliothèque de Cartierville	Jeunes - BD	Dieu, le sexe et les bretelles /[Zep].	5	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1120715
Bibliothèque de Cartierville	Jeunes - DVD	Les aventures de Tintin[enregistrement vidéo] /réalisation, Stéphane Bernasconi.	5	8	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1393483
Bibliothèque de Cartierville	Adultes - Cours de langue	L'anglais[ensemble multi-supports] /par Anthony Bulger ; illustrations de J.-L. Goussé.	5	5	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1346786
Bibliothèque de Cartierville	Adultes - Cours de langue	Francés perfeccionamiento[ensemble multi-supports] /texto original francés de Anthony Bulger ; adaptado para el uso de los  hispanohablantes por Soledad San Miguel Carmona y Francisco Javier Antón Martínez ; dibujos de J.-L. Goussé	5	5	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1363233
Bibliothèque de Cartierville	Adultes - DVD	Minuit à Paris[enregistrement vidéo] =Midnight in Paris /scénario et réalisation, Woody Allen.	4	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2274369
Bibliothèque de Cartierville	Adultes - DVD	World War Z[enregistrement vidéo] /réalisation, Marc Forster ; scénario, Matthew Michael Carnahan, Drew Goddard, Damon Lindelof.	4	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2415969
Bibliothèque de Cartierville	Adultes - DVD	Marley et moi[enregistrement vidéo] =Marley & me /réalisation, David Frankel ; scénario, Scott Frank, Don Roos.	4	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1818310
Bibliothèque de Cartierville	Adultes - Documentaires	Guide de la route /[recherche et rédaction, Micheline Briand avec la collaboration de Claude Nazair ; réalisé par la Société de l'assurance automobile du Québec en collaboration avec le Service des technologies d'exploitation du Ministère des transports].	4	11	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1492968
Bibliothèque de Cartierville	Jeunes - DVD	Yu-Gi-Oh!.4,Les cicatrices de la défaite[enregistrement vidéo] /réalisateur, Kunihisa Sugishima ; scénario, Junki Takegami, Masashi Sogo, Shin Yoshida.	4	1	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1451448
Bibliothèque de Cartierville	Jeunes - DVD	Camp Rock.2,Le face à face[enregistrement vidéo] =Camp Rock.2,The final jam /réalisation, Paul Hoen ; scénario, Dan Berendsen, Karin Gist, Regina Hicks.	4	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b1988735
Bibliothèque de Cartierville	Adultes - DVD	Rebelle[enregistrement vidéo] =War witch /scénario et réalisation, Kim Nguyen.	4	2	http://nelligan.ville.montreal.qc.ca/search~S58*frc/?searchtype=.&searcharg=b2354647
