iddepoint,territoire,typeattrait,titre,theme,description,arrondissement,accessibilityofelement,adresse_autresinformations,annee,presencepanneauinterpretation,lienimage,liens,adresse,urlimage,latitude,longitude,X,Y,type_geometrie
7,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Tracé","Tracé des rues Sainte-Anne, Saint-Joseph, Bellerive, 9e Avenue et boulevard Saint-Jean-Baptiste","2 - Les cours d'eau pour commercer et s'établir","Trame de rues correspondant à celle établie à l’intérieur des limites du fort de Pointe-aux-Trembles. En 2014, nouvel aménagement du boulevard Saint-Jean-Baptiste est effectué pour mettre en valeur les vues sur le fleuve.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Trame de rues correspondant à celle établie à l’intérieur des limites du fort de Pointe-aux-Trembles. En 2014, nouvel aménagement du boulevard Saint-Jean-Baptiste est effectué pour mettre en valeur les vues sur le fleuve.","Début du 18e siècle","Non","https://www.flickr.com/photos/parcoursriverain/26518895489/in/datetaken-public/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?id=1133","Montréal QC, Canada","https://farm5.staticflickr.com/4586/26518895489_1dbec2e82f_q.jpg",,,,,"LineString"
8,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Site archéologique","Site archéologique du fort et de l’ancienne église de Pointe-aux-Trembles (BjFi-17)","2 - Les cours d'eau pour commercer et s'établir","Vestiges associés au fort de 1690 : palissade, église et cimetière.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Non accessible ou non visible","Vestiges associés au fort de 1690 : palissade, église et cimetière.","1690-1710","Non",,,"Montréal QC, Canada",,45.6399,-73.490097,305571.999379,5055556.067901,"Point"
10,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Secteur, zone","Ancien village de Pointe-aux-Trembles","2 - Les cours d'eau pour commercer et s'établir","Pointe-aux-Trembles est un des plus anciens villages de l’île de Montréal. Il voit le jour au début du XVIIIe siècle au sein du fort palissadé qui protège alors quelques maisons, une chapelle et le premier couvent des sœurs de la Congrégation de Notre-Dame. En 1912, un important incendie détruit une grande partie du village, de sorte que la plupart des bâtiments qu’on y trouve aujourd’hui sont construits au XXe siècle. Il subsiste tout de même de riches vestiges archéologiques et une trame urbaine ancienne. Annexée à la Ville de Montréal en 1982.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Pointe-aux-Trembles est un des plus anciens villages de l’île de Montréal. Il voit le jour au début du XVIIIe siècle au sein du fort palissadé qui protège alors quelques maisons, une chapelle et le premier couvent des sœurs de la Congrégation de Notre-Dame. En 1912, un important incendie détruit une grande partie du village, de sorte que la plupart des bâtiments qu’on y trouve aujourd’hui sont construits au XXe siècle. Il subsiste tout de même de riches vestiges archéologiques et une trame urbaine ancienne. Annexée à la Ville de Montréal en 1982.","XVIIIe siècle","Non","http://www.flickr.com/photos/parcoursriverain/8497546527/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?id=1133, http://ville.montreal.qc.ca/portal/page?_pageid=8817%2C99657639&_dad=portal&_schema=PORTAL","Montréal QC, Canada","http://farm9.staticflickr.com/8251/8497546527_a4d92a0902_q.jpg",45.6394,-73.488899,305665.3845,5055500.544079,"Point"
11,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément","Second moulin à vent de Pointe-aux-Trembles","2 - Les cours d'eau pour commercer et s'établir","Moulin à vent construit par le maçon Jean-Baptiste Deguire dit LaRose pour les Prêtres de Saint-Sulpice, seigneurs de Montréal. Surhaussé d’un étage en 1822 et utilisé jusqu’en 1833. Restauré en 1987, puis en 2008.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Moulin à vent construit par le maçon Jean-Baptiste Deguire dit LaRose pour les Prêtres de Saint-Sulpice, seigneurs de Montréal. Surhaussé d’un étage en 1822 et utilisé jusqu’en 1833. Restauré en 1987, puis en 2008.","1719","Oui","http://www.flickr.com/photos/parcoursriverain/8498650126/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_bat.php?id_bat=0554-37-7248-01, http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?id=1132","11630, rue Notre-Dame Est  Montréal QC, Canada","http://farm9.staticflickr.com/8524/8498650126_d98e44453d_q.jpg",45.634701,-73.492401,305392.436438,5054978.219159,"Point"
12,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Site archéologique","Site archéologique du second moulin à vent de Pointe-aux-Trembles (BjFi-005)","2 - Les cours d'eau pour commercer et s'établir","Vestiges liés à l’activité artisanale du meunier et à d’autres bâtiments tels qu’une étable, un four, une maison et une écurie.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Vestiges liés à l’activité artisanale du meunier et à d’autres bâtiments tels qu’une étable, un four, une maison et une écurie.","1719","Oui","http://www.flickr.com/photos/parcoursriverain/8498652518/",,"11630, rue Notre-Dame Est  Montréal QC, Canada","http://farm9.staticflickr.com/8523/8498652518_1da221946b_q.jpg",45.634701,-73.4925,305384.703834,5054978.21843,"Point"
13,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément","Église Saint-Enfant-Jésus","2b - Les villages agricoles","Église bâtie selon les plans des architectes Gascon et Parant en remplacement de l’ancienne qui faisait face au fleuve et qui a été détruite par un incendie en 1937.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Église bâtie selon les plans des architectes Gascon et Parant en remplacement de l’ancienne qui faisait face au fleuve et qui a été détruite par un incendie en 1937.","1938","Oui","http://www.flickr.com/photos/parcoursriverain/8497108301/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?id=1133, http://www.lieuxdeculte.qc.ca/fiche.php?LIEU_CULTE_ID=133104&LieuSuivant=5&LieuPrecedent=3&debut=0&nlieux=20&type_requete=nom_libre&lignes=25&NomLibre=enfant-j%C3%A9sus","11, boulevard Saint-Jean-Baptiste  Montréal QC, Canada","http://farm9.staticflickr.com/8522/8497108301_c020362cee_q.jpg",45.640099,-73.489403,305626.119687,5055578.119672,"Point"
14,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Site archéologique","Site archéologique du noyau villageois de Pointe-aux-Trembles (BjFi-16)","2 - Les cours d'eau pour commercer et s'établir","Vestiges des habitations bordant les anciennes rues à l’intérieur des limites du fort de Pointe-aux-Trembles.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Non accessible ou non visible","Vestiges des habitations bordant les anciennes rues à l’intérieur des limites du fort de Pointe-aux-Trembles.","XVIIIe siècle","Non",,,"Montréal QC, Canada",,45.639198,-73.489304,305633.864902,5055478.071007,"Point"
15,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Site archéologique","Site archéologique de l’ancien cimetière de Pointe-aux-Trembles (BiFj-17)","2b - Les villages agricoles","Anciennes sépultures mises au jour devant le parvis de l’église Saint-Enfant-Jésus.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Non accessible ou non visible","Anciennes sépultures mises au jour devant le parvis de l’église Saint-Enfant-Jésus.","1843","Non",,,"11, boulevard Saint-Jean-Baptiste  Montréal QC, Canada",,45.640099,-73.489899,305587.460378,5055578.114679,"Point"
16,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément","Presbytère de la paroisse de Saint-Enfant-Jésus","2b - Les villages agricoles","Presbytère épargné par l’incendie du village en 1912. Il est associé à la première église de l’Enfant-Jésus construite en 1705 et détruite par un second incendie dans le village en 1937. Tout comme l’ancienne église, le presbytère est tourné vers le fleuve pour ainsi faire face au premier chemin du Roy qui longeait la rive dans ce secteur.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Presbytère épargné par l’incendie du village en 1912. Il est associé à la première église de l’Enfant-Jésus construite en 1705 et détruite par un second incendie dans le village en 1937. Tout comme l’ancienne église, le presbytère est tourné vers le fleuve pour ainsi faire face au premier chemin du Roy qui longeait la rive dans ce secteur.","1885","Non","http://www.flickr.com/photos/parcoursriverain/8498666066/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?id=1133","11, boulevard Saint-Jean-Baptiste  Montréal QC, Canada","http://farm9.staticflickr.com/8233/8498666066_f9d1c6c5b1_q.jpg",45.639999,-73.488297,305712.361292,5055567.109247,"Point"
17,"Territoire riverain de Pointe-aux-Trembles et Mercier-Est","Bâtiment, élément",,"2b - Les villages agricoles","Dépendance d’intérêt patrimonial à proximité du presbytère.","Rivière-des-Prairies-Pointe-aux-Trembles (Montréal)","Visible","Dépendance d’intérêt patrimonial à proximité du presbytère.",,"Non","http://www.flickr.com/photos/parcoursriverain/8498656200/","http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?id=1133","11, boulevard Saint-Jean-Baptiste  Montréal QC, Canada","http://farm9.staticflickr.com/8110/8498656200_3f53ea18b3_q.jpg",45.639999,-73.488602,305688.570907,5055567.105818,"Point"
