"Nom du programme/ mesure","Entente ","Nom de l'organisme","Titre du projet","Montant octroyé",,,,,,,,,,,
"Soutien à la diffusion du patrimoine montréalais","*","Atelier d'histoire Hochelaga-Maisonneuve","L'histoire de l'éducation dans Hochelaga- Maisonneuve (1860 à 1960), en partenariat avec le Musée du Château Dufresne","24 000,00 $",,,,,,,,,,,
,"*","Centre St-Pierre","Saint-Pierre Apôtre - 125 ans d'éducation, en collaboration avec l'Écomusée du Fier Monde","15 000,00 $",,,,,,,,,,,
,"*","Collectif d'animation urbaine L'Autre Montréal","Saison grand public 2011","15 000,00 $",,,,,,,,,,,
,"*","Conseil du patrimoine religieux du Québec (CRPQ)","Les grands orgues de la métropole, dans le cadre des Conférences régionales du patrimoine religieux québécois","7 500,00 $",,,,,,,,,,,
,"*","Corporation de la Chapelle Notre-Dame-de-Bonsecours et du Musée Marguerite-Bourgeoys","Tournées découvertes 2011","15 000,00 $",,,,,,,,,,,
,"*","Corporation de la maison du Pressoir","Cité historia vous conte Lorette, la mission amérindienne du Sault-au-Récollet","15 000,00 $",,,,,,,,,,,
,"*","DOCOMOMO Québec","Expo 67- un portrait sonore","10 000,00 $",,,,,,,,,,,
,"*","Écomusée de l'Au-Delà","Les artisans des cimetières du Mont-Royal : l'impact de la famille Brunet","6 000,00 $",,,,,,,,,,,
,"*","Écomusée du Fier Monde Inc.","L'histoire du syndicalisme enseignant","15 000,00 $",,,,,,,,,,,
,"*","Fondation Héritage Montréal","Architectours - édition 2011","10 000,00 $",,,,,,,,,,,
,"*","Maison Saint-Gabriel","Les deux font la paire","15 000,00 $",,,,,,,,,,,
,"*","Médiathèque littéraire Gaëtan Dostie","Journée de la médiation culturelle","5 000,00 $",,,,,,,,,,,
,"*","Musée des Hospitalières de l'Hôtel-Dieu de Montréal","Peintures et sculptures du 18e au 20e siècle : œuvres d'art conservées par les Religieuses Hospitalières de Saint-Joseph","15 000,00 $",,,,,,,,,,,
,"*","Musée des Ondes Émile Berliner","Du Morse au courriel","12 000,00 $",,,,,,,,,,,
,"*","Petit Musée de l'impression","Diffusion du patrimoine montréalais de l'imprimerie","6 000,00 $",,,,,,,,,,,
,"*","Société d'histoire de Pointe-Saint-Charles","Les salles de cinéma de l'arrondissement du Sud-Ouest","12 500,00 $",,,,,,,,,,,
,"*","Société d'histoire et de généalogie du Plateau-Mont-Royal","L'histoire du parc La Fontaine","15 000,00 $",,,,,,,,,,,
,"*","Société historique de Saint-Henri Inc.","Il y a cent ans…le C.P. St-Zotique","12 000,00 $",,,,,,,,,,,
,,"18 organismes ","Sous-total","225 000,00 $",,,,,,,,,,,
"Programme de partenariat culture et communauté","*","Agora de la danse (L')","La danse contre la violence, avec La Dauphinelle phase III de III","11 550,00 $",,,,,,,,,,,
,"*","Centre Turbine (Le)","FabLab mobile dédié à la médiation culturelle, en collaboration avec l'organisme Communautique","13 000,00 $",,,,,,,,,,,
,"*","DIASOL","Kchi-Gaaming, à travers les océans, en collaboration avec le Centre de formation sociale Marie-Gérin-Lajoie","15 000,00 $",,,,,,,,,,,
,"*","Écomusée du Fier Monde Inc.","La parole est à nous!avec L'Atelier de lettres, phase II de II","20 000,00 $",,,,,,,,,,,
,"*","Festival du nouveau cinéma de Montréal","Camp de jour Les P'tits Loups, en collaboration avec la Fondation pour la promotion de la pédiatrie sociale","15 000,00 $",,,,,,,,,,,
,"*","Groupe Intervention Vidéo de Montréal (GIV)","Expression video des Impatients, avec l'organisme Les Impatients","13 000,00 $",,,,,,,,,,,
,"*","InTerreArt","Ateliers Performances Art-Communauté-Environnement, en collaboration avec le Centre communautaire Bon courage de Place Benoit","15 000,00 $",,,,,,,,,,,
,"*","Joe Jack & John","Théâtre et trisomie, en collaboration avec le Regroupement pour la Trisomie 21","14 000,00 $",,,,,,,,,,,
,"*","Maison québécoise du théâtre pour l'enfance et la jeunesse (La)","Croisée théâtrale, en collaboration avec Projet 80","15 000,00 $",,,,,,,,,,,
,"*","Mission Exeko","Trickster@MTL en collaboration avec le Centre d' amitié autochtone","15 000,00 $",,,,,,,,,,,
,"*","Ollin Théâtre Transformation, playback","L'îlot aux histoires: d'une rive à l'autre, avec Paroles d'Exlu(e)s","10 900,00 $",,,,,,,,,,,
,"*","Point La Vie","Des cordes sensibles, avec  La rue des Femmes de Montréal, phase III de III","20 000,00 $",,,,,,,,,,,
,"*","Pourpour inc.","Bal de l'avenir, en collaboration avec 80 ruelle de l'avenir","15 000,00 $",,,,,,,,,,,
,"*","Société des Arts Libres et Actuels","Playing who we are/ saying who we are,  avec le Centre communautaire À deux mains et Improvisation Community and Social Practice (ICASP) de l'U. McGill","15 000,00 $",,,,,,,,,,,
,,"14 organismes culturels ","Sous-total","207 450,00 $",,,,,,,,,,,
"Programme montréalais d'action culturelle","*","C2S Arts et Événements","Résidence d'artiste à l'école avec Dominique Paul à l'école primaire Saint-Jean-Baptiste-de-la-Salle ","7 000,00 $",,,,,,,,,,,
,"*","Centre d'art et de diffusion CLARK","Activité Rencontre","8 000,00 $",,,,,,,,,,,
,"*","Centre des arts actuels SKOL","Apprendre / Learn, phase III de III","15 000,00 $",,,,,,,,,,,
,"*","Centre du Cinéma Parallèle inc.","Ciné-Club dédié aux aînés","12 000,00 $",,,,,,,,,,,
,"*","Centre Turbine (Le)","RaConter sa ville","15 000,00 $",,,,,,,,,,,
,"*","Corporation Wapikoni mobile","Ateliers de sensibilisation à la culture des Premières Nations","10 000,00 $",,,,,,,,,,,
,"*","Dazibao, centre d'animation et d'exposition photo","L'Exposition portative","8 000,00 $",,,,,,,,,,,
,"*","DIASOL","Fragments identitaires de Centre-Sud","12 000,00 $",,,,,,,,,,,
,"*","Écomusée du Fier Monde Inc.","L'Ilôt Saint-Pierre, un héritage pour la communauté, phase II de III","12 000,00 $",,,,,,,,,,,
,"*","Ensemble instrumental Appassionata (L')","Imagine-moi un Carnaval","8 000,00 $",,,,,,,,,,,
,"*","Espace Libre","Théâtre pour tous","15 000,00 $",,,,,,,,,,,
,"*","Groupe Intervention Vidéo de Montréal (GIV)","Fusion - la suite","15 000,00 $",,,,,,,,,,,
,"*","InTerreArt","Ateliers Performances ACE (Art-communautés-Environnement)","8 000,00 $",,,,,,,,,,,
,"*","Maison québécoise du théâtre pour l'enfance et la jeunesse (La)","Coup de pouce théâtre","15 000,00 $",,,,,,,,,,,
,"*","Missions Exeko","Tandem créatif","9 000,00 $",,,,,,,,,,,
,"*","MU","La médiation culturelle aux Habitations Jeanne-Mance : la clé du succès des interventions en art public","10 000,00 $",,,,,,,,,,,
,"*","Oboro ","LabOratoires, phase III de III","15 000,00 $",,,,,,,,,,,
,"*","Opéra de Montréal","coOpéra","8 000,00 $",,,,,,,,,,,
,"*","PPS Danse","Contes pour enfants pas sages","13 000,00 $",,,,,,,,,,,
,"*","Sinha Danse","Bouger les barrières artistiques et culturelles","8 000,00 $",,,,,,,,,,,
,"*","Société pour les arts en milieux de santé (SAMS)","Concerts SAMS dans les CHSLD","9 000,00 $",,,,,,,,,,,
,"*","Théâtre de la Pire Espèce","Les Empreintes de la créativité","4 000,00 $",,,,,,,,,,,
,"*","Théâtre la Centrale (Aux Écuries)","Jardin communautaire","9 000,00 $",,,,,,,,,,,
,"*","VOX, centre de l'image contemporaine","Une exposition d'art actuel pour les enfants","12 000,00 $",,,,,,,,,,,
,"*","Vues d'Afrique","100H Chrono Prise 3 - Initiative Jeune audiovisuel","9 000,00 $",,,,,,,,,,,
,,"29 organismes ","Sous-total","266 000,00 $",,,,,,,,,,,
,,"Arrondissement","Titre du projet","Montant octroyé",,,,,,,,,,,
"Programme de médiation culturelle des arrondissements montréalais ","*","Ahuntsic-Cartierville","Nuit rave","12 000,00 $",,,,,,,,,,,
,"*","Ahuntsic-Cartierville","Ma planète, mon école: Québec/Afrique","8 000,00 $",,,,,,,,,,,
,"*","Ahuntsic-Cartierville","Ateliers de cinéma","10 000,00 $",,,,,,,,,,,
,"*","Côte-des-Neiges–Notre-Dame-de-Grâce","Abris de rêveries","9 000,00 $",,,,,,,,,,,
,"*","Côte-des-Neiges–Notre-Dame-de-Grâce","Percées et identité culturelle","12 000,00 $",,,,,,,,,,,
,"*","Côte-des-Neiges–Notre-Dame-de-Grâce","Rallye: le regard qui s'attarde","15 000,00 $",,,,,,,,,,,
,"*","Côte-des-Neiges–Notre-Dame-de-Grâce","Rencontre entre la danse et la peinture","8 000,00 $",,,,,,,,,,,
,"*","Côte-des-Neiges–Notre-Dame-de-Grâce","3 fois passera","12 000,00 $",,,,,,,,,,,
,"*","L'Île-Bizard–Sainte-Geneviève","La Gang des arts ou l'école du jeune spectateur, phase III de III","10 000,00 $",,,,,,,,,,,
,"*","Mercier–Hochelaga-Maisonneuve","Résidence d'artiste au CHSLD Providence-Notre-dame-de-Lourdes","9 000,00 $",,,,,,,,,,,
,"*","Mercier–Hochelaga-Maisonneuve","Rythme en famille","8 000,00 $",,,,,,,,,,,
,"*","Mercier–Hochelaga-Maisonneuve","Résidence d'artiste au CHSLD Providence-Notre-dame-de-Lourdes","12 000,00 $",,,,,,,,,,,
,"*","Mercier–Hochelaga-Maisonneuve","Les demies: Tu viens d'où toi?","15 000,00 $",,,,,,,,,,,
,"*","Mercier–Hochelaga-Maisonneuve","Créer à partir de soi","8 000,00 $",,,,,,,,,,,
,"*","Outremont","Le Chasse-Galerie GAO","15 000,00 $",,,,,,,,,,,
,"*","Plateau-Mont-Royal","Danse 2X2, en collaboration avec l'arrondissement Ville-Marie","18 000,00 $",,,,,,,,,,,
,"*","Plateau-Mont-Royal","Le laboratoire d'autopsie","14 000,00 $",,,,,,,,,,,
,"*","Rivière-des-Prairies–Pointe-aux-Trembles","Cinq humeurs avec les arrondissements Mercier-Hochelaga-Maisonneuve et Saint-Léonard","21 000,00 $",,,,,,,,,,,
,"*","Rivière-des-Prairies–Pointe-aux-Trembles","Le grand méchant loup","15 000,00 $",,,,,,,,,,,
,"*","Rivière-des-Prairies–Pointe-aux-Trembles","Moi, je danse","15 000,00 $",,,,,,,,,,,
,"*","Rivière-des-Prairies–Pointe-aux-Trembles","En direct des arts visuels","10 000,00 $",,,,,,,,,,,
,"*","Rivière-des-Prairies–Pointe-aux-Trembles","Cultiver l'été au parc","15 000,00 $",,,,,,,,,,,
,"*","Rosemont–La Petite-Patrie","Au rythme de l'enfance","4 000,00 $",,,,,,,,,,,
,"*","Saint-Laurent","Animation image par image: ma famille, ma communauté","9 500,00 $",,,,,,,,,,,
,"*","Saint-Laurent","Théâtre, theater, teatro","6 500,00 $",,,,,,,,,,,
,"*","Sud-Ouest","Mon cygne et moi","9 000,00 $",,,,,,,,,,,
,"*","Sud-Ouest","D'Hier à demain, en parallèle","9 000,00 $",,,,,,,,,,,
,"*","Villeray–Saint-Michel–Parc-Extension","Zapateo sous zéro","11 000,00 $",,,,,,,,,,,
,"*","Villeray–Saint-Michel–Parc-Extension","Culture atout","10 000,00 $",,,,,,,,,,,
,"*","Villeray–Saint-Michel–Parc-Extension","Chercher la flamme","13 000,00 $",,,,,,,,,,,
,"*","Villeray–Saint-Michel–Parc-Extension","Robot inc","15 000,00 $",,,,,,,,,,,
,,"Équipements métropolitains",,,,,,,,,,,,,
,"*","Centre d'histoire de Montréal","Mémoire de mon quartier, mémoire de ma ville, phase II de III","15 000,00 $",,,,,,,,,,,
,,"11 arrondissements - 1 équipement métropolitain","Sous-total","373 000,00 $",,,,,,,,,,,
"Intervention en pratique artistique amateur",,"Organismes","Titre du projet",,,,,,,,,,,,
,"*","Société du patrimoine d'expression du Québec","Formation Production de spectacles en loisir culturel  ","10 300,00 $",,,,,,,,,,,
,"*","Cégep de St-Laurent","Formation de la relève en loisir culturel - volet théorique","5 240,00 $",,,,,,,,,,,
,,"Centre communautaire de loisir de Côte-des-Neiges (lieu d'accueil 1)","Encadrement des stages pratiques de la Formation pour le relève en loisir culturel","9 000,00 $",,,,,,,,,,,
,,"Art neuf (lieu d'accueil 2)","Encadrement des stages pratiques de la Formation pour le relève en loisir culturel","8 400,00 $",,,,,,,,,,,
,,"Destins croisés","Artistes-animateurs en milieu de loisir 2011-2012 (Phase 1 de 3)","4 200,00 $",,,,,,,,,,,
,,"Loisir St-Isaac-Jogues","Artistes-animateurs en milieu de loisir 2011-2012 (Phase 1 de 3)","2 450,00 $",,,,,,,,,,,
,"*","LOVE","Formation en animation de projets d'art urbain en loisir culturel - niveau 1","4 600,00 $",,,,,,,,,,,
,"*","Société des arts technologiques","Formation arts urbains - niveau 2 ","5 000,00 $",,,,,,,,,,,
,,"8 organismes","Sous-total","49 190,00 $",,,,,,,,,,,
"Programme Inclusion et innovation",,"Organismes","Titre du projet",,,,,,,,,,,,
,"*","Association des familles du Centre-sud","Les empreintes familiales","10 210,00 $",,,,,,,,,,,
,"*","Carrefour d'aide aux nouveaux arrivants (CANA)","Ça me dit en français et en famille","8 836,00 $",,,,,,,,,,,
,"*","Centre communautaire de loisir de la Côte-des-Neiges","De toutes façons sur scène","20 967,00 $",,,,,,,,,,,
,"*","Centre de loisirs communautaires Lajeunesse inc.","Ligue d'improvisation Jeunesse dans Villeray","10 000,00 $",,,,,,,,,,,
,"*","Centre Multimédia de l'Est de Montréal","Casser l'image","20 000,00 $",,,,,,,,,,,
,"*","Compagnons de Montréal","Écoute mon portrait","13 167,00 $",,,,,,,,,,,
,"*","Engrenage noir","Donner une deuxième chance","18 000,00 $",,,,,,,,,,,
,"*","Le Projet Harmonie","Porteurs d'images","16 500,00 $",,,,,,,,,,,
,"*","L'Hôte maison (maison de jeunes)","Extrême ta vie","8 000,00 $",,,,,,,,,,,
,"*","Maison des jeunes d' Ahuntsic","Capoeirdo","3 500,00 $",,,,,,,,,,,
,"*","Maison des jeunes de Rivières-des-Prairies","Expression libre, Ateliers open mic & imageries","12 000,00 $",,,,,,,,,,,
,"*","Maison des jeunes MAGI de Mercier-Ouest","La course destination Montréal","16 000,00 $",,,,,,,,,,,
,"*","Oxy-jeunes inc.","Vjing","5 500,00 $",,,,,,,,,,,
,"*","Société pour la promotion de la danse traditionnelle du Québec (SPDTQ)","Après-midi Trad en chanson","12 000,00 $",,,,,,,,,,,
,"*","Vision sur l'art","Une façon d'aborder la danse au-delà de la déficience","3 000,00 $",,,,,,,,,,,
,"*","Arrondissements",,,,,,,,,,,,,
,"*","Saint-Laurent","Rythmes à Chameran","9 400,00 $",,,,,,,,,,,
,"*","Ville-Marie","Ateliers d'initiation à l'animation","3 375,00 $",,,,,,,,,,,
,,"17 organismes","Sous-total","190 455,00 $",,,,,,,,,,,
"Soutien aux festivals et aux événements culturels -
Volet 1 : Festivals et événements artistiques
(budget de plus de 500 000 $)",,"Alchimies, Créations et Cultures","Festival du Monde Arabe de Montréal - 12e édition","20 000,00 $",,,,,,,,,,,
,,"Association pour la création et la recherche électro-acoustiques du Québec","Festival Elektra - 12e édition","25 000,00 $",,,,,,,,,,,
,,"Centre international d'art contemporain de Montréal (CIAC)","Biennale de Montréal 2011 (BNL MTL 2011) - 7e Biennale","40 000,00 $",,,,,,,,,,,
,,"Coup de coeur francophone","25e coup de cœur francophone - Édition 2011","35 000,00 $",,,,,,,,,,,
,,"Festi Blues","Festiblues International de Montréal - 14e édition","10 000,00 $",,,,,,,,,,,
,,"Festival de musique de chambre de Montréal","Festival de musique de Chambre de Montréal - 16e édition","20 000,00 $",,,,,,,,,,,
,,"Festival du nouveau cinéma de Montréal","Festival du nouveau cinéma - 40e édition","80 000,00 $",,,,,,,,,,,
,,"Festival Fantasia","Festival International de Films Fantasia - 15e édition","15 000,00 $",,,,,,,,,,,
,,"Festival International de Littérature","Festival International de Littérature (FIL) - 17e édition","15 000,00 $",,,,,,,,,,,
,,"Festival International de Musique Pop Montréal","Festival International de Musique POP Montréal - 10e édition","25 000,00 $",,,,,,,,,,,
,,"Festival International du Film sur l'Art (FIFA)","Festival International du Film sur l'Art - 29e édition","50 000,00 $",,,,,,,,,,,
,,"Fondation Metropolis bleu","Festival littéraire international de Montréal Metropolis bleu - 13 e édition","25 000,00 $",,,,,,,,,,,
,,"Le MEG Montréal, Le Montréal Électronique Groove Inc.","Festival Meg Montréal - 13e édition","15 000,00 $",,,,,,,,,,,
,,"Les Rendez-vous du cinéma québécois","Les Rendez-vous du cinéma québécois - 30e anniversaire","50 000,00 $",,,,,,,,,,,
,,"Mois de la Photo à Montréal (Le)","Le Mois de la Photo à Montréal - 12e édition","40 000,00 $",,,,,,,,,,,
,,"MUTEK","Mutel 2011 - 12e édition","35 000,00 $",,,,,,,,,,,
,,"Productions Nuits d'Afrique inc. (Les)","Festival International Nuits d'Afrique - 25e édition","35 000,00 $",,,,,,,,,,,
,,"Rencontres internationales du documentaire de Montréal","14e édition des Rencontres internationales du documentaire de Montréal (RIDM)","25 000,00 $",,,,,,,,,,,
,,"Société de musique contemporaine du Québec (SMCQ)","Festival Montréal/Nouvelles Musiques - Édition 2011","25 000,00 $",,,,,,,,,,,
,,"Terres en vues, Société pour la diffusion de la culture autochtone","Présence Autochtone 2011","35 000,00 $",,,,,,,,,,,
,,"Vues d'Afrique","Festival international de cinéma Vues d'Afrique - 27e édition","25 000,00 $",,,,,,,,,,,
,,"21 organismes ","Sous-Total","645 000,00 $",,,,,,,,,,,
"Soutien aux festivals et aux événements culturels -Volet 2 : Festivals et événements artistiques 
(budget de moins de 500 000 $)",,"Art Souterrain","Art Souterrain - 3e édition","15 000,00 $",,,,,,,,,,,
,,"Bach-Académie de Montréal","Festival Bach de Montréal - 5e édition","10 000,00 $",,,,,,,,,,,
,,"Casteliers","Les trois jours de Casteliers - 6e édition","5 000,00 $",,,,,,,,,,,
,,"Comité musique Maisonneuve","Petits bonheurs, le rendez-vous culturel des tout-petits","15 000,00 $",,,,,,,,,,,
,,"Créations Etc…","Vue sur la relève - 16 e édition","15 000,00 $",,,,,,,,,,,
,,"Danse Imédia","Festival Transatlantique Montréal / Quartiers Danses - 9e édition","10 000,00 $",,,,,,,,,,,
,,"Diffusions gaies et lesbiennes du Québec","Image_Nation: Le Festival international de cinéma LGBT de Montréal - 24e édition","15 000,00 $",,,,,,,,,,,
,,"Escales Improbables de Montréal (Les)","Les Escales Improbables de Montréal - 8e édition","12 500,00 $",,,,,,,,,,,
,,"Festival de théâtre de rue de Lachine (FTRL)","Festival de théâtre de rue de Lachine","10 000,00 $",,,,,,,,,,,
,,"Festival du Jamais Lu","Festival du jamais lu - 10e édition","10 000,00 $",,,,,,,,,,,
,,"Festival interculturel du conte de Montréal","Festival interculturel du conte du Québec - 11e édition","10 000,00 $",,,,,,,,,,,
,,"Festival International du Film pour Enfants de Montréal (FIFEM)","FIFEM - 14e édition","15 000,00 $",,,,,,,,,,,
,,"Festival Orgue et couleurs","Festival d'automne - 13e édition","12 500,00 $",,,,,,,,,,,
,,"L'OFF Festival de jazz de Montréal inc.","L'OFF Festival de jazz - 12e édition","12 500,00 $",,,,,,,,,,,
,,"Les Filles électriques","Festival Voix d'amériques - 10e édition","12 500,00 $",,,,,,,,,,,
,,"Maison de la poésie","Festival de la poésie de Montréal - 12e édition","12 500,00 $",,,,,,,,,,,
,,"Montréal Baroque inc.","Festival Montréal Baroque 2011 : Péchés Capitaux","15 000,00 $",,,,,,,,,,,
,,"Musique Multi-Montréal","Festival MMM - Festival Musiques du Monde de Montréal - 21e édition","12 500,00 $",,,,,,,,,,,
,,"Omnibus, le corps du théâtre","Les 5e Rencontres Internationales du Mime de Montréal - 5e édition","7 000,00 $",,,,,,,,,,,
,,"Société des Arts Libres et Actuels","Suoni Per II Popolo - Édition 2011","15 000,00 $",,,,,,,,,,,
,,"Société pour la promotion de la danse traditionnelle québécoise (SPDTQ)","La grande Rencontre - 19e édition","12 500,00 $",,,,,,,,,,,
,,"Théâtre Lachapelle Inc.","Chaosmos - Festival des arts multidisciplinaire de Montréal","5 000,00 $",,,,,,,,,,,
,,"Théâtre MainLine","Festival St-Ambroise Fringe Montréal - 21e édition","15 000,00 $",,,,,,,,,,,
,,"23 organismes","Sous-total","274 500,00 $",,,,,,,,,,,
"Soutien aux festivals et aux événements culturels
Volet 3 : Événements culturels festifs

",,"Association des festivités culturelles des Caraïbes","Carifiesta","30 000,00 $",,,,,,,,,,,20
,,"Comité de la Fête nationale de la Saint-Jean inc.","La Fête Nationale du Québec à Montréal","85 000,00 $",,,,,,,,,,,
,,"Divers/Cité Montréal 94 inc.","Divers/Cité 2011","30 000,00 $",,,,,,,,,,,
,,"United Irish Societies of Montreal Inc.","Parade de la St-Patrick - 187e édition","25 000,00 $",,,,,,,,,,,
,,"4 organismes","Sous-total","170 000,00 $",,,,,,,,,,,
,,"Nom de l'organisme","Titre du projet","Montant octroyé",,,,,,,,,,,
"Soutien aux festivals et événements - soutien à la diversité des expressions culturelles  ",,"Alchimies, créations et culture","Festival du Monde arabe de Montréal- 12e édition","15 000,00 $",,,,,,,,,,,
,,"Aréna des Arts","Lusarts 2011 - Festival de la culture luso-afrobrésilienne
à Montréal ","2 000,00 $",,,,,,,,,,,
,,"Association Canado Péruvienne","Festival Péruvien 2011 - 39e Édition ","3 000,00 $",,,,,,,,,,,
,,"Playmas Montreal Cultural Association inc.","Taste of Caribbean - Un goût des caraïbes","5 000,00 $",,,,,,,,,,,
,,"Association culturelle haïtienne « La perle retrouvée »","La célébration notre drapeau : Fête du 18 mai","2 500,00 $",,,,,,,,,,,
,,"Association culturelle St-Volodymyr de Montréal","Festival ukrainien de Montréal édition 2011","3 000,00 $",,,,,,,,,,,
,,"Assocation des jeunes de la Petite-Bourgogne","Festival de la Petite-Bourgogne ","3 000,00 $",,,,,,,,,,,
,,"Casa CAFI ","1er Festival international du théâtre Mexique à Montréal","5 000,00 $",,,,,,,,,,,
,,"Centre communautaire Leonardo Da Vinci","Festivités du 150e anniversaire de l'unification de l'Italie","3 000,00 $",,,,,,,,,,,
,,"Centre communautaire Melkite de Saint-Sauveur (Montréal)","Festival Melkite","2 500,00 $",,,,,,,,,,,
,,"Centre Segal des arts de la scène","2e édition du Festival International du Théâtre Yiddish","8 000,00 $",,,,,,,,,,,
,,"Communauté Angkorienne du Canada","Coloque international-Cambodge d'hier à aujourd'hui : Les enjeux de la mémoire et des identités plurielles","1 000,00 $",,,,,,,,,,,
,,"Communauté hellénique du grand Montréal","La flamme Hellénique Panigri Evangelimos","15 000,00 $",,,,,,,,,,,
,,"Communauté moldave du Québec","La danse c'est ma vie!","1 000,00 $",,,,,,,,,,,
,,"Communauté Sépharade unifiée du Québec","Festival Sefarad de Montréal 2011","10 000,00 $",,,,,,,,,,,
,,"Congrès national des Italo-Canadiens (région du Québec)","Semaine Italienne de Montréal","25 000,00 $",,,,,,,,,,,
,,"Espace du livre francophone","Maghreb du livre de Montréal","1 000,00 $",,,,,,,,,,,
