"Nom des programmes ","Entente ","Nom de l'organisme","Titre du projet","Montant octroyé",,,,,,,,,,,
"Soutien à la diffusion du patrimoine montréalais","*","Association des Professionnels des arts de la scène du Québec","François Barbeau: costumes de scènes, costumes extrêmes","11 000,00 $",,,,,,,,,,,
,"*","Atelier d'histoire de la Pointe aux Trembles","Un trésor d'écriture: le patrimoine archivistique de la Paroisse Saint-Enfant-Jésus de la Pointe- aux-Trembles","6 000,00 $",,,,,,,,,,,
,"*","Atelier d'histoire Hochelaga-Maisonneuve","Les années citoyennes à Montréal: 1950 -1990 ","15 000,00 $",,,,,,,,,,,
,"*","Centre St-Pierre","Maitrise Saint-Pierre: au cœur des actions en santé, en services sociaux, en culture et en loisirs à Saint-Pierre Apôtre","15 000,00 $",,,,,,,,,,,
,"*","Collectif d'animation urbaine L'Autre Montréal","Saison Grand Public 2012","15 000,00 $ ",,,,,,,,,,,
,"*","Corporation de la Chapelle  Notre-Dame-de-Bonsecours et du Musée Marguerite-Bourgeoys","Tournées découvertes 2012","15 000,00 $",,,,,,,,,,,
,"*","Écomusée du Fier Monde Inc","L'engagement citoyen: hier, aujourd'hui, demain","15 000,00 $",,,,,,,,,,,
,"*","Fondation Héritage Montréal","ArchitecTours-édition 2012","10 000,00 $",,,,,,,,,,,
,"*","Maison Saint-Gabriel","Les Filles du Roy: des épouseuses ou des immigrantes","15 000,00 $ ",,,,,,,,,,,
,"*","Musée des Ondes Émile Berliner","La famille Berliner: pionnière du disque et de l'enregistrement sonore au Canada","15 000,00 $",,,,,,,,,,,
,"*","Radio centre-ville Saint-Louis Inc.","Balades montréalaises","15 000,00 $",,,,,,,,,,,
,"*","Société du Château Dufresne","La bourgeoisie francophone à la Belle Époque, phase II de II","15 000,00 $",,,,,,,,,,,
,"*","Société Historique de Rivière-des-Prairies","Parcours patrimonial à Rivière-des-Prairies","15 000,00 $",,,,,,,,,,,
,"*","Société historique de Saint-Henri Inc","Saint- Henri, une histoire d'enfance","15 000,00 $",,,,,,,,,,,
,,"14 organismes ","Sous-total","192 000,00 $",,,,,,,,,,,
"Programme de partenariat culture et communauté","*","Absolu Théâtre","Vue d'ados -- la suite! / avec Carrefour Parenfants","11 000,00 $",,,,,,,,,,,
,"*","Artial / Art et social","Natshiskuataw… à la croisée des chemins/ avec Le Centre Marie-Gérin Lajoie","10 000,00 $",,,,,,,,,,,
,"*","C2S Arts et Événements","Résidence d'artiste chez les aînés/avec le CHSLD Providence Notre-Dame -de-Lourdes phase I de II","15 000,00 $",,,,,,,,,,,
,"*","Centre Turbine (Le)","Édition Hack-O-Thon du Fablab mobile dédié à la médiation culturelle/avec Communautique","14 000,00 $",,,,,,,,,,,
,"*","Compagnie musicale La Nef","Création de contes musicaux/ avec La maison des enfants de l'Île de Montréal phase I de III","17 000,00 $",,,,,,,,,,,
,"*","Danse Carpe Diem - Emmanuel Jouthe","Écoute pour voir/ avec le Comité de résidents du Manoir Saint-Léonard des Résidences Soleil","15 000,00 $",,,,,,,,,,,
,"*","Écomusée du Fier Monde Inc.","C'est mon histoire, c'est mon quartier/ en collaboration avec Coup de pouce Centre-Sud","20 000,00 $ ",,,,,,,,,,,
,"*","Festival du nouveau cinéma de Montréal","Camp cinéma Les P'tits Loups/avec Fondation pour la promotion de la pédiatrie sociale du docteur Gilles Julien","20 000,00 $",,,,,,,,,,,
,"*","Fondation Québec Cinéma","Ateliers de sensibilisation au cinéma québécois/avec Le Bon Dieu dans la rue","13 000,00 $",,,,,,,,,,,
,"*","Groupe Intervention Vidéo de Montréal (GIV)","Histoires/ avec Atelier 850","14 000,00 $",,,,,,,,,,,
,"*","Joe Jack & John","Théâtre et trisomie (les lundis théâtre)/ avec le Regroupement pour la Trisomie 21, phase I de II","17 000,00 $",,,,,,,,,,,
,"*","MU","Récolter la couleur: l'art mural comme vecteur de transformation et d'appropriation de Moisson Montréal/ avec Moisson Montréal


","8 000,00 $",,,,,,,,,,,
,"*","Musée des beaux-arts de Montréal","Fil d'art/ avec la Société d'Alzheimer de Montréal (SAM)","10 000,00 $",,,,,,,,,,,
,"*","Pourpour inc.","Pourpour inc.","17 000,00 $",,,,,,,,,,,
,"*","Rencontres internationales du documentaire de Montréal","Rencontres documentaires en milieu carcéralavec la Société Élizabeth Fry du Québec","14 000,00 $",,,,,,,,,,,
,"*","Société des Arts Libres et Actuels","
Musik Addict (""Saying who we are, playing who we are"")/ avec Centre communautaire À deux mains et Improvisation, Community and Social Practice (ICASP) de l'U.McGill
","15 000,00 $",,,,,,,,,,,
,,"16 organismes culturels ","Sous-total","230 000,00 $",,,,,,,,,,,
"Programme montréalais d'action culturelle","*","Atelier Graff ","Circulation ","7 600 $ ",,,,,,,,,,,
,"*","Bouge de là ","Bouge de là - Volet médiation culturelle ","7 200 $ ",,,,,,,,,,,
,"*","Centre d'art et de diffusion Clark ","Rencontres et médiation culturelle ","9 500 $ ",,,,,,,,,,,
,"*","Centre des arts actuels SKOL ","Apprendre/Learn, dans la marche continue ","6 000 $ ",,,,,,,,,,,
,"*","Centre du Cinéma Parallèle ","Ciné-club ","10 000 $ ",,,,,,,,,,,
,"*","Centre Turbine ","Tourner, écouter et habiter: le corps : interface entre le conte, les arts visuels et les arts médiatiques, phase I de III ","15 000 $ ",,,,,,,,,,,
,"*","Circuit-Est ","Alors, on danse? ","15 000 $ ",,,,,,,,,,,
,"*","Corporation de la maison du Pressoir (Cité historia) ","Turbines et manivelles ","8 400 $ ",,,,,,,,,,,
,"*","Dazibao, centre d'animation et d'exposition photo ","L'exposition portative ","7 800 $ ",,,,,,,,,,,
,"*","Des mots d'la dynamite ","Le chantier des insoumis ","14 000 $ ",,,,,,,,,,,
,"*","DynamO Théâtre ","Projet d'action culturelle autour du spectacle Le grand méchant loup ","15 000 $ ",,,,,,,,,,,
,"*","Écomusée du Fier Monde ","L' Îlot Saint-Pierre, un héritage pour la communauté, phase III de III ","12 000 $ ",,,,,,,,,,,
,"*","Ensemble instrumental Appassionata ","Ateliers préparatoires: Imagine-moi un Carnaval ","11 000 $ ",,,,,,,,,,,
,"*","Ensemble Mosaïque ","De concert avec l'Ensemble Mosaïque ","13 000 $ ",,,,,,,,,,,
,"*","Escales Improbables de Montréal ","Les arts pour tous : La vague ","7 000 $ ",,,,,,,,,,,
,"*","Les Filles électriques ","Rendez-vous avec la Mariée ","13 000 $ ",,,,,,,,,,,
,"*","Maison de la poésie de Montréal ","Avant les mots, les images ","10 000 $ ",,,,,,,,,,,
,"*","Maison québécoise du théâtre pour l'enfance et la jeunesse ","Coup de pouce théâtre, phase I de III ","15 000 $ ",,,,,,,,,,,
,"*","Missions Exeko ","Tandem Créatif, phase I de III ","15 000 $ ",,,,,,,,,,,
,"*","Oboro ","La réunion ","12 000 $ ",,,,,,,,,,,
,"*","Opéra de Montréal ","coOpéra ","10 000 $ ",,,,,,,,,,,
,"*","Péristyle Nomade ","Boîte à médiations variables ","10 000 $ ",,,,,,,,,,,
,"*","Petits Bonheurs diffusion culturelle ","Un petit pas seul, un grand pas ensemble ","9 500 $ ",,,,,,,,,,,
,"*","PPS Danse ","Atelier d'initiation chorégraphique Contes pour enfants pas sages ","8 700 $ ",,,,,,,,,,,
,"*","Regroupement québécois de la danse (RQD) ","Corps miroirs, projet d'action culturelle en milieu hospitalier ","15 000 $ ",,,,,,,,,,,
,"*","Société pour les arts en milieux de santé (SAMS) ","Concerts SAMS dans les établissements de santé ","10 000 $ ",,,,,,,,,,,
,"*","Théâtre Aux Écuries ","Actions culturelles ","15 000 $ ",,,,,,,,,,,
,"*","Théâtre Galiléo ","Un verre avec Sarraute ","6 000 $ ",,,,,,,,,,,
,"*","Théâtre I.N.K. ","Lignedebus, 15 portraits ","9 000 $ ",,,,,,,,,,,
,,"29 organismes ","Sous-total","316 700,00 $",,,,,,,,,,,
,,"Arrondissement","Titre du projet","Montant octroyé",,,,,,,,,,,
"Programme de médiation culturelle des arrondissements montréalais ","*","Arrondissement d'Ahuntsic-Cartierville","Ma planète - mon école 4: Québec/Afrique","8 000,00 $",,,,,,,,,,,
,"*","Arrondissement de Côte-des-Neiges – Notre-Dame-de-Grâce","La  Voie : déclic!","12 000,00 $",,,,,,,,,,,
,"*","Arrondissement de Côte-des-Neiges – Notre-Dame-de-Grâce","Les «déjà-prêts / ready-mades»","13 000,00 $",,,,,,,,,,,
,"*","Arrondissement de Côte-des-Neiges – Notre-Dame-de-Grâce","Trois fois passera (3)","12 000,00 $",,,,,,,,,,,
,"*","Arrondissement de Côte-des-Neiges – Notre-Dame-de-Grâce","Dans l'Univers Casino de Marie-Claude Pratte","10 000,00 $",,,,,,,,,,,
,"*","Arrondissement de Côte-des-Neiges – Notre-Dame-de-Grâce","Si la danse m'était contée","14 800,00 $",,,,,,,,,,,
,"*","Arrondissement de Côte-des-Neiges – Notre-Dame-de-Grâce","Rallye : le regard qui s'attarde - année II","13 000,00 $",,,,,,,,,,,
,"*","Arrondissement de Mercier–Hochelaga-Maisonneuve","Autour de Ju Ming… un regard sur le bronze!","15 000,00 $",,,,,,,,,,,
,"*","Arrondissement de Mercier–Hochelaga-Maisonneuve","Initiation à l'art cinématographique","9 500,00 $",,,,,,,,,,,
,"*","Arrondissement de Montréal-Nord","Soi à la Maison","15 000,00 $",,,,,,,,,,,
,"*","Arrondissement de Pierrefonds–Roxboro","La parade sonore","15 000,00 $",,,,,,,,,,,
,"*","Arrondissement de Pierrefonds–Roxboro","Les 4 saisons de Vivaldi ou le heavy-métal de l'époque baroque","12 000,00 $",,,,,,,,,,,
,"*","Arrondissement de Rivière-des-Prairies -  Pointe-aux-Trembles","Contes pour enfants pas sages","10 000,00 $",,,,,,,,,,,
,"*","Arrondissement de Rivière-des-Prairies - Pointe-aux-Trembles","La parole aux ados !","13 000,00 $",,,,,,,,,,,
,"*","Arrondissement de Rivière-des-Prairies Pointe-aux-Trembles","Je parcours l'histoire de mon quartier!","13 000,00 $",,,,,,,,,,,
,"*","Arrondissement de Rivière-des-Prairies Pointe-aux-Trembles","La création sous rayon X","15 000,00 $",,,,,,,,,,,
,"*","Arrondissement de Saint-Laurent","Fêlée / Toi, Moi, Nous","7 000,00 $",,,,,,,,,,,
,"*","Arrondissement de Saint-Léonard","Déclic 70","3 200,00 $",,,,,,,,,,,
,"*","Arrondissement de Ville-Marie","Ceci n'est pas un(e)…artiste 2","7 000,00 $",,,,,,,,,,,
,"*","Arrondissement de Villeray – Saint-Michel – Parc-Extension","Planète Florenfils","9 000,00 $",,,,,,,,,,,
,"*","Arrondissement du Plateau-Mont-Royal ","2012, L'odyssée d'Espace","10 000,00 $",,,,,,,,,,,
,"*","Arrondissement du Plateau-Mont-Royal ","Le Corps et la mémoire / 2","5 000,00 $",,,,,,,,,,,
,"*","Arrondissement du Plateau-Mont-Royal","Du petit au grand concert / en collaboration avec l'arrondissement Rosemont-La-petite-Patrie","17 000,00 $",,,,,,,,,,,
,"*","Arrondissement du Sud-Ouest","Regards sur Marie Uguay","10 000,00 $",,,,,,,,,,,
,"*","Arrondissement du Sud-Ouest","Fragments identitaires Sud-ouest","15 000,00 $",,,,,,,,,,,
,"*","Arrondissement du Sud-Ouest","Les mains dans la gravelle et dans la création","9 500,00 $",,,,,,,,,,,
,,"Équipements métropolitains",,,,,,,,,,,,,
,"*","Centre d'histoire de Montréal"," Mémoire de mon quartier, mémoire de ma ville, phase III de III","15 000,00 $",,,,,,,,,,,
,,"12 arrondissements - 1 équipement métropolitain","Sous-total","308 000,00 $",,,,,,,,,,,
"Intervention en pratique artistique amateur",,"Organismes","Titre du projet",,,,,,,,,,,,
,"*","Société du patrimoine d'expression du Québec","Formation Production de spectacles en loisir culturel  ","12 000,00 $",,,,,,,,,,,
,"*","Destins croisés","Artistes-animateurs en milieu de loisir 2011-2012 (Phase 2 et 3 de 3)","7 900,00 $",,,,,,,,,,,
,"*","Loisir St-Isaac-Jogues","Artistes-animateurs en milieu de loisir 2011-2012 (Phase 2 et 3 de 3)","5 200,00 $",,,,,,,,,,,
,"*","LOVE","Animation de projets jeunesse en loisir culturel","5 000,00 $",,,,,,,,,,,
,"*","Centre du Plateau","Artistes-animateurs en milieu de loisir 2012-2013-Imag-in mon quartier  (Phase 1 de 3)","2 400,00 $",,,,,,,,,,,
,"*","Centre Turbide","Artistes-animateurs en milieu de loisir 2012-2013-Imag-in mon quartier  (Phase 1 de 3)","3 400,00 $",,,,,,,,,,,
,"*","Maison des jeunes par la Grand'Porte","Artistes-animateurs en milieu de loisir 2012-2013-Initiation aux percussions africaines (Phase 1 de 3)","2 100,00 $",,,,,,,,,,,
,"*","Initiative Taling Dialo","Artistes-animateurs en milieu de loisir 2012-2013-Initiation aux percussions africaines (Phase 1 de 3)","3 400,00 $",,,,,,,,,,,
,"*","Société des arts technologiques","Soutien à la création numérique pour les 13-17 ans","8 000,00 $",,,,,,,,,,,
,,"9 organismes","Sous-total","49 400,00 $",,,,,,,,,,,
"Programme Inclusion et innovation",,"Organisme","Titre du projet",,,,,,,,,,,,
,"*","Art neuf inc.","Amateurs en scène !","8 280,00 $",,,,,,,,,,,
,"*","Association des familles du Centre-sud","Danses et contes autour du monde","8 700,00 $",,,,,,,,,,,
,"*","Association les Chemins du Soleil inc.","Graff ta trace","3 384,00 $",,,,,,,,,,,
,"*","Centre de loisirs communautaires Lajeunesse inc.","Jeunes photographes en herbe de Villeray","9 000,00 $",,,,,,,,,,,
,"*","Centre d'entraide et de ralliement familial le C.E.R.F.","Expose-moi ta culture","4 087,00 $",,,,,,,,,,,
,"*","Corporation du centre Jean-Claude Malépart","Les jeunes du Centre-Sud dansent pour la jeunesse","8 500,00 $",,,,,,,,,,,
,"*","Destins Croisés","Dansons +","14 250,00 $",,,,,,,,,,,
,"*","Direction Chrétienne inc.","Graf à emporter:ateliers en masse !","4 260,00 $",,,,,,,,,,,
,"*","La maison des jeunes Par la Grand'porte","Les artistes en herbe","18 000,00 $",,,,,,,,,,,
,"*","L'Hôte-Maison (maison de jeunes)","Art sonique","9 200,00 $",,,,,,,,,,,
,"*","L'Hôte-Maison (maison de jeunes)","Art Fémenti-ELLE","8 000,00 $",,,,,,,,,,,
,"*","Maison des jeunes d'Ahuntsic","Mangaka en devenir","3 356,00 $",,,,,,,,,,,
,"*","Maison des jeunes de la Côte-des-Neiges","Démasque ton quartier","11 962,00 $",,,,,,,,,,,
,"*","Maison des jeunes d'Outremont","Ateliers animés de «sketching»","6 292,00 $",,,,,,,,,,,
,"*","Maison des jeunes d'Outremont","Formation en effets spéciaux et mise en scène","3 235,00 $",,,,,,,,,,,
,"*","Oasis des enfants de Rosemont","Jouons avec les sons","7 000,00 $",,,,,,,,,,,
,,"16 organismes","Sous-total","127 506,00 $",,,,,,,,,,,
"Soutien aux festivals et aux événements culturels -
Volet 1 : Festivals et événements artistiques
(budget de plus de 500 000 $)",,"Alchimies, Créations et Cultures","13e Festival du Monde Arabe, édition 2012.","20 000,00 $",,,,,,,,,,,
,,"Association pour la création et la recherche électro-acoustiques du Québec (ACREQ)","1ère Biennale internationale d'art numérique (BIAN).","15 000,00 $",,,,,,,,,,,
,,"Association pour la création et la recherche électro-acoustiques du Québec (ACREQ)","13e Festival Elektra","25 000,00 $",,,,,,,,,,,
,,"Coup de coeur francophone","26e Coup de cœur francophone","35 000,00 $",,,,,,,,,,,
,,"Créations Etc…","17e Festival Vue sur la relève","15 000,00 $",,,,,,,,,,,
,,"Festi Blues","15e FestiBlues International de Montréal","10 000,00 $",,,,,,,,,,,
,,"Festival de musique de chambre de Montréal","17eFestival de musique de chambre de Montréal","20 000,00 $",,,,,,,,,,,
