"Nom des programmes ","Entente ",,,,"Montants octroyés en 2015"
"Diffusion du patrimoine montréalais",,"Nom de l'organisme ou de l'artiste","Titre du projet, de l'événement ou de l'œuvre","Arrondissement 
(lorsque applicable)","Montant octroyé"
,"*","Atelier d'histoire de la Pointe-aux-Trembles",,,"10 000 $"
,"*","Atelier d'histoire Hochelaga-Maisonneuve",,,"15 000 $"
,"*","Collectif d'animation urbaine L'Autre Montréal",,,"15 000 $"
,"*","Conseil du patrimoine religieux du Québec",,,"5 000 $"
,"*","Corporation de la Chapelle Notre-Dame-de-Bonsecours et du Musée Marguerite-Bourgeoys",,,"15 000 $"
,"*","Fondation Héritage Montréal",,,"15 000 $"
,"*","L'Écomusée de la maison du Fier-Monde",,,"15 000 $"
,"*","Maison Saint-Gabriel",,,"13 000 $"
,"*","Musée des ondes Emile Berliner",,,"12 000 $"
,"*","Patrimoine funéraire Montréal",,,"4 000 $"
,"*","Radio centre-Ville Saint-Louis",,,"12 000 $"
,"*","Société du Château Dufresne",,,"17 200 $"
,"*","Société historique Cavelier-de-LaSalle",,,"9 000 $"
,"*","Société historique de Rivière-des-Prairies",,,"13 000 $"
,"*","Société historique Saint-Henri",,,"15 000 $"
,"*","Société pour la promotion de la danse traditionnelle québécoise",,,"8 000 $"
,"*","Regroupement québécois de la danse phase II de II",,,15 000 $
,,,"Sous-total",,208 200 $
"Programme de partenariat culture et communauté",,"Nom de l'organisme ou de l'artiste","Nom de l'organisme communautaire partenaire"," ","Montant octroyé"
,"*","Fondation Québec Cinéma phase III de III",,,"13 000 $ "
,"*","JoeJack&John phase II de II",,,"18 000 $ "
,"*","Missions Exeko phase II de III",,,"18 000 $ "
,"*","Agence TOPO",,,"17 000 $"
,"*","Centre Turbine (Le)",,,"15 000 $"
,"*","Danse Carpe Diem - Emmanuel Jouthe",,,"15 000 $"
,"*","Ensemble Mosaïque",,,"10 000 $"
,"*","Espace Libre",,,"15 000 $"
,"*","Galerie B-312",,,"13 000 $"
,"*","L'Écomusée de la Maison du Fier-Monde inc",,,"15 000 $"
,"*","Les Productions Funambules Médias",,,"15 000 $"
,"*","Montréal Danse",,,"5 000 $"
,"*","Productions Onishka",,,"14 000 $"
,"*","Productions Quitte ou Double",,,"13 000 $"
,"*","Rencontres internationales  du documentaire de Montréal",,,"17 000 $"
,"*","Théâtre à l'Envers",,,"13 000 $"
,,,"Sous-total"," ",226 000 $
"Programme montréalais d'action culturelle",,"Nom de l'organisme ou de l'artiste","Titre du projet, de l'événements ou de l'œuvre"," ","Montant octroyé"
,"*","Association des libraires du Québec",,,"13 000 $"
