id_rire,types,specific,generic,designation_date,history,history_source,former_name,borough_codes,borough_names,title,topic_codes,topic_names
"","banque","8 mars, le","-","","Le 8 mars est la Journée internationale des femmes. Officialisée en 1977 par l&#8217;Organisation des Nations Unies (ONU), cette journée apparait au début du XXe siècle, sous l&#8217;influence de groupes militants féministes. Au Québec, un intérêt plus marqué pour cette journée se développe vers la fin des années 1960, pour s&#8217;installer plus fermement au début années 1970. Depuis, de nombreux groupes de femmes et organisations qui leur sont solidaires participent à faire du 8 mars une journée de manifestation nationale. Certains toponymes québécois honorant la mémoire de femmes marquantes de l&#8217;histoire québécoise et canadienne, comme le mont Thérèse-Casgrain, le mont Lily-Butters et le mont Irma-LeVasseur ont été adoptés pour marquer la Journée internationale des femmes. Notons que les dates d&#8217;autres journées spéciales sont aussi utilisées dans la toponymie québécoise, comme en témoignent les noms de la rue du 3-Mai et de la rue du 24-Juin, qui évoquent respectivement la Journée mondiale de la liberté de la presse et la fête de la Saint-Jean-Baptiste.<br><br>SOURCES. &#8212; COMMISSION DE TOPONYMIE DU QUÉBEC, Banque de noms de lieux du Québec, 2016 (http://www.toponymie.gouv.qc.ca). &#8212; CONSEIL DU STATUT DE LA FEMME, L&#8217;origine « véritable » du 8 mars &#8211; Journée internationale des femmes, Québec, Conseil du statut de la femme, 2015, 2 p.","Compilé par Gabriel Martin, 2016","","","","Le 8 mars","83","Banque Toponym'Elles"
"","banque","Aataentsic","-","","Aataentsic est une déesse de la mythologie huronne-wendate. Selon la version la plus répandue du mythe, Aataentsic serait un jour dégringolée du ciel, après être tombée dans un trou qui se trouvait sur son chemin. Elle aurait alors atterri sur une tortue géante flottant dans l&#8217;océan primitif, dont le dos aurait été recouvert de terre par des animaux qui auraient voulu amortir la chute de la déesse. Sur cette nouvelle terre, Aataentsic aurait donné naissance aux premiers humains et serait ainsi devenue la mère de l&#8217;humanité. En allusion à ce mythe, le surnom d&#8217;« enfants d&#8217;Aataentsic » est quelquefois donné aux Hurons-Wendats et aux Huronnes-Wendates. Notons que le mythe de la femme tombée du ciel est présent au sein d&#8217;autres cultures amérindiennes, dont la culture iroquoise traditionnelle.<br><br>SOURCES. &#8212; BONNEFOY, Yves (dir.), Dictionnaire des mythologies et des religions des sociétés traditionnelles et du monde antique, vol. 1, Paris, Flammarion, 1999, coll. « Mille & une pages », p. 514-516. &#8212; BOUDREAU, Diane, Histoire de la littérature amérindienne au Québec : oralité et écriture, Montréal, L&#8217;Hexagone, 1993, p. 37-38. &#8212; CONSTANTINEAU, Fanny, Le mythe iroquois de « La femme tombée du ciel » : Un récit de création du monde, un modelé pour la société, un reflet de l&#8217;esprit, mémoire de maitrise, Québec, Universite Laval, février 2005, 159 p. &#8212; TRIGGER, Bruce G., The Children of Aataentsic: A History of the Huron People to 1660, Montréal, McGill-Queen&#8217;s University Press, 1987, p. 77-78.","Compilé par Gabriel Martin, 2016","","","","Aataentsic","83","Banque Toponym'Elles"
"","banque","Abénaquises, les","-","","Les Abénaquis forment l&#8217;une des 11 grandes nations autochtones du Québec. La forme « Abénaquises » représente la flexion au féminin pluriel du nom de cette nation en français, graphie conforme aux recommandations de l&#8217;Office québécois de la langue française.","Compilé par Gabriel Martin, 2016","","","","Les Abénaquises","83","Banque Toponym'Elles"
"","banque","Aberdeen, Lady","-","","(1857-1939)  Fondatrice du Conseil national des femmes du Canada, épouse du gouverneur général du Canada, elle se fait la défenseure de nombreuses réformes sociales.","Compilé par Gabriel Martin, 2016","","","","Lady Aberdeen","83","Banque Toponym'Elles"
"","banque","Ahenakew, Freda","-","","(1932-2011)  Linguiste d&#8217;origines autochtones, elle a grandement contribué à la revitalisation de la langue crie au Canada.","Compilé par Gabriel Martin, 2016","","","","Freda Ahenakew","83","Banque Toponym'Elles"
"","banque","Aksich, Madeline-Ann","-","","(1956-2005)  Née à Montréal, elle est la fondatrice de l&#8217;Institut international des enfants. Elle devient membre de l&#8217;Ordre du Canada en 2002.","Compilé par Gabriel Martin, 2016","","","","Madeline-Ann Aksich","83","Banque Toponym'Elles"
"","banque","Alarie, Pierrette","-","","(1921-2011)  Soliste d&#8217;opéra montréalaise fort populaire en son temps au Québec.","Compilé par Gabriel Martin, 2016","","","","Pierrette Alarie","83","Banque Toponym'Elles"
"","banque","Albrecht, Berty","-","","(1893-1943)  Combattante s&#8217;étant illustrée dans le mouvement de résistance française, durant la guerre de 1939-1945.","Compilé par Gabriel Martin, 2016","","","","Berty Albrecht","83","Banque Toponym'Elles"
"","banque","Algonquines, les","-","","Les Algonquins forment l&#8217;une des 11 grandes nations autochtones du Québec. La forme « Algonquines » représente la flexion au féminin pluriel du nom de cette nation en français, graphie conforme aux recommandations de l&#8217;Office québécois de la langue française.","Compilé par Gabriel Martin, 2016","","","","Les Algonquines","83","Banque Toponym'Elles"
"","banque","Allamand, Charlotte","-","","(1760-1839)  Épistolière et pédagogue montréalaise ayant enseigné les arts et les langues, dans l&#8217;école privée qu&#8217;elle a ouverte chez elle.","Compilé par Gabriel Martin, 2016","","","","Charlotte Allamand","83","Banque Toponym'Elles"
