,,"Camps de jour",,,,,,,,,,,,,,,,,,,,,,,,
,,"Compilation des données",,,,,,,,,,,,,,,,,,,,,,,,
,,"Partie A: fonctionnement",,,,,,,,,,,,,,,,,,,,,,,,
"1.1",,"Arrondissement","Ahuntsic-Cartierville","Anjou","Côte-des-Neiges-Notre-Dame-de-Grâce","Lachine","Lasalle","Plateau-Mont-Royal","Sud-Ouest","L'Île-Bizard-Sainte-Geneviève","Mercier-Hochelaga-Maisonneuve","Montréal-Nord","Outremont","Pierrefonds-Roxboro","Rivière-des-Prairies-Pointe-aux-Trembles","Rosemont-La-Petite-Patrie","Saint-Laurent","Saint Léonard","Verdun","Ville-Marie","Villeray-Saint-Michel-Parc-Extension","Complexe Claude Robillard",,"Compilation","%",
,,"Nombre total des camps de jour (excluant projets parcs)",11,4,21,12,6,6,9,3,20,6,1,6,14,8,9,5,10,7,17,4,,179,,
,,"Nombre de camps en partenariat",11,0,21,12,4,6,9,0,20,0,,6,14,8,0,5,10,7,17,4,,154,"86,0335195530726%",
,,"Nombre de camps en régie",0,4,0,0,2,0,0,3,0,6,1,0,0,,9,0,0,0,,,,25,"13,9664804469274%",
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Nombre d'organismes partenaires(incluant projets parcs)",13,0,16,6,4,6,8,0,11,0,0,1,6,4,0,2,9,7,17,1,,111,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Nombre de projets parcs en partenariat",3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,8,,
,,"Nombre de projets parcs en régie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,2,,
,,"Nombre totaL de projets parcs",,,,,,,,,,,,,,,,,,,,0,,10,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"1.2",,"% et nombre des camps dans:",,,,,,,,,,,,,,,,,,,,,,"n","%",
,,"écoles",5,4,4,,3,1,2,,9,2,,4,8,3,1,3,1,1,5,,,56,"29,7872340425532%",
,,"centre de loisirs",3,,10,,3,5,6,3,11,1,,,5,4,8,,3,4,11,,,77,"40,9574468085106%",
,,"Parc (camps de jour)",2,,,,,,,,,,1,,,,,1,1,,,,,5,"2,65957446808511%",
,,"Parc (projets parcs)",3,,2,,,,1,,,,,,,,1,,,,3,,,10,"5,31914893617021%",
,,"Chalet de parc",,,3,7,,,,,,2,,2,,,,,,,1,,,15,"7,97872340425532%",
,,"Piscine",1,,,,,,,,,,,,,,,,,,,,,1,"0,531914893617021%",
,,"Arena",,,,,,,,,,,,,,,,1,,,,,,1,"0,531914893617021%",
,,"Église",,,1,,,,,,,,,,1,,,,,1,,,,3,"1,59574468085106%",
,,"Complexe sportif",,,3,2,,,1,,,,,,,,,,1,,,4,,11,"5,85106382978723%",
,,"Propriété privé",,,,3,,,,,,,,,,1,,,3,1,,,,8,"4,25531914893617%",
,,"Serres municipales",,,,,,,,,,,,,,,,,1,,,,,1,"0,531914893617021%",188
,,,,,,,,,,,,,,,,,,,,,,,,,,
"1.3",,"Type de camp",,,,,,,,,,,,,,,,,,,,,,,,
,,"nombre de camps réguliers",7,4,14,5,3,5,6,2,15,6,1,3,8,7,3,3,7,4,10,,,113,,
,,"nombre de camps spécialisés",3,,7,6,3,4,2,1,7,7,7,3,5,2,6,2,3,3,6,4,,81,,
,,"Nombre de camps thématiques",1,,,1,,,3,,,,,,1,6,,,,1,1,,,14,,
,,"Nombre de projets parcs",3,,2,,,,1,,,,,,,,2,,,,3,,,11,,219
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Nombre de camps spécialisés:",3,0,7,6,3,4,3,1,7,7,0,3,5,2,6,2,3,3,6,4,,75,,
,," Arts",,,,1,,2,1,,5,,,1,2,1,1,1,2,2,3,,,22,,
,,"Cuisine",,,,,,1,,,1,,,,1,,,,,,2,,,5,,
,,"Déficience physique ou intellectuelle",,,1,,1,1,,1,,,,,1,,1,,,1,5,,,12,,
,,"Histoire et patrimoine",,,,,,,,,,,,,,,,,,,,,,0,,
,,"Langues",,,,,,,,,,,,,1,,,,,1,1,,,3,,
,,"Sports et plein air",3,,5,5,2,1,2,,6,,,2,4,,2,1,1,1,3,4,,42,,
,,"Leadership",,,1,,,,,,,,,,,,,,,,,,,1,,
,,"Sciences",,,,,,,,,,,,,,,1,,,,,,,1,,
,,"Formation",,,,,,,,,,,,,,,1,,,,,,,1,,
,,"Écologie",,,,,1,,,,,,,,,,,,,1,,,,2,,
,,"Parent-enfant",,,,,,,,,,,,,,1,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"n","%",
"1.4",,"Nombre de camps certifiés de l'Association des camps du québec",0,0,0,0,0,1,0,0,2,0,0,0,5,0,0,0,2,1,1,1,,13,"7,26256983240224%",
,,,,,,,,,,,,,,,,,,,,,,,,,,
"1.5",,"Nombre de camps offrant un service de garde",12,4,19,9,6,6,9,2,20,3,1,6,14,7,9,3,8,5,13,4,,160,"89,3854748603352%",
