,"Camps de jour",,,,,,,,,,,,,,,,,,,,,,,
,"Compilation des données",,,,,,,,,,,,,,,,,,,,,,,
,"Partie B: personnel",,,,,,,,,,,,,,,,,,,,,,,
"1.1","Arrondissement","Ahuntsic-Cartierville","Anjou","Côte-des-Neiges-Notre-Dame-de-Grâce","Lachine","Lasalle","Plateau-Mont-Royal","Sud-Ouest","L'Île-Bizard-Sainte-Geneviève","Mercier-Hochelaga-Maisonneuve","Montréal-Nord","Outremont","Pierrefonds-Roxboro","Rivière-des-Prairies-Pointe-aux-Trembles","Rosemont-La-Petite-Patrie","Saint-Laurent","Saint Léonard","Verdun","Ville-Marie","Villeray-Saint-Michel-Parc-Extension","Complexe Claude Robillard","Compilation",,
,,,,,,,,,,,,,,,,,,,,,,,,
,"Nombre de camps",11,6,21,7,7,5,10,3,11,6,1,1,6,8,11,3,9,7,20,,153,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"Nombre d'employés",,,,,,,,,,,,,,,,,,,,,,,
,"Nb de répondants",11,6,19,7,6,5,10,3,5,6,1,6,6,8,11,3,8,7,20,,148,,
,"Coordonnateur",11,4,20,5,7,12,9,5,10,3,5,6,35,10,9,3,10,8,24,,196,,
,"moniteurs réguliers",49,52,136,56,31,76,70,22,68,29,20,45,93,61,285,16,68,72,112,,1361,,
,"moniteurs spécialisés",8,,4,7,15,10,7,,6,,11,20,14,17,37,1,12,0,26,,195,,
,"aide-moniteurs",9,10,53,17,17,12,25,,33,,0,20,20,79,0,9,17,2,7,,330,,
,"jeunes moniteurs bénévoles",51,5,10,0,13,18,24,,43,,12,,27,0,0,7,5,9,59,,283,,
,"accompagnateurs pour enfants avec troubles de comportement",11,0,0,0,0,,5,,3,,0,4,2,1,0,4,3,21,2,,56,,
,"accompagnateurs pour enfants avec déficiences",0,20,3,8,8,17,6,27,3,19,7,8,7,8,14,0,2,0,63,,220,,
,"Personnel du service de garde",14,18,35,14,5,18,31,9,37,9,,15,23,26,30,6,12,8,26,,336,,
,"Autre",,,,,,,,,,,,,,,,,,,,,0,,
,"total",153,109,261,107,96,163,177,63,203,60,55,118,221,202,375,46,129,120,319,0,2977,"19,4575163398693","Nombre moyen d'employés par camps"
,,,,,,,,,,,,,,,,,,,,,,,,
,"Âge minimum requis",,,,,,,,,,,,,,,,,,,,,,,
,"Nb de répondants",11,6,21,7,7,5,10,3,11,6,1,6,6,8,11,2,7,6,16,,150,"%",
,14,0,,,,,,,,,,,,,,,,,,,,0,0%,
,15,0,,,1,,,,2,6,,,,,,,,2,,,,11,"7,33333333333333%",
,16,11,6,21,3,5,3,,,5,6,1,6,6,6,3,2,2,1,10,,97,"64,6666666666667%",
,17,0,,,,,1,,,,,,,,2,8,,,1,1,,13,"8,66666666666667%",
,18,0,,,2,2,1,10,1,,,,,,,,,3,4,5,,28,"18,6666666666667%",
,19,0,,,,,,,,,,,,,,,,,,,,0,0%,
,"aucun",0,,,1,,,,,,,,,,,,,,,,,1,"0,666666666666667%",
,,,,,,,,,,,,,,,,,,,,,,150,,
,"Niveau de scolarité requis",,,,,,,,,,,,,,,,,,,,,,,
,"Nb de répondants",11,6,21,7,6,5,10,3,11,6,1,,6,8,11,2,6,7,10,,50,,
,"sec 3",0,,,1,,2,,2,,6,1,,,,,,1,,6,,7,14%,
,"sec 4",11,,21,,3,,,,11,,,,,6,3,,3,,3,,15,30%,
,"sec 5",0,,,,2,1,,1,,,,,,2,8,2,2,3,,,17,34%,
,"collégial",0,,,2,1,1,,,,,,,,,,,,4,1,,5,10%,
,"aucun",0,6,,6,,1,10,,,,,,6,,,,,,,,6,12%,
,"autre",0,,,,,,,,,,,,,,,,,,,,50,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"Brevet en secourisme exigé",,,,,,,,,,,,,,,,,,,,,,,
,"Nb de répondants",11,6,21,7,6,4,10,3,11,6,1,6,6,8,10,3,6,7,18,,150,,
,"DEA",11,,,1,1,,5,3,11,,1,,,8,10,,,,17,,68,"45,3333333333333%",
,"Premiers soins",11,6,21,2,3,2,6,3,11,6,1,1,4,8,10,3,4,5,18,,125,"83,3333333333333%",
,"RCR",11,6,21,1,2,3,8,3,11,6,1,1,4,8,10,3,5,6,18,,128,"85,3333333333334%",
,"Certificat secouriste en milieu de travailCSST",,,,,0,,,,,6,,,,,,,1,,,,7,"4,66666666666667%",
,"PSBE  CPI et Autisme par le CRDITED",,,,,1,,,,,,,,,,,,,1,,,2,"1,33333333333333%",
,"aucun",,,,3,1,,,,,,,,,,,,,,,,4,"2,66666666666667%",
,,,,,,,,,,,,,,,,,,,,,,334,,
,"1brevet exigé",,,,4,5,3,2,,,,,,,,,,2,1,,,17,,
,"2brevets exigés",,6,21,,,1,7,,,,,6,4,,,3,4,5,1,,58,,
,"3brevets exigés",11,,,,1,,1,3,11,6,1,,,8,10,,,,17,,69,,
,,,,,,,,,,,,,,,,,,,,,,144,,
,"Type de formation offerte",,,,,,,,,,,,,,,,,,,,,,,
,"Nb de répondants",11,6,21,7,6,5,10,3,3,6,1,6,6,8,10,3,6,6,18,,142,,
