ID,Rue,Intersection,Orientation,Arrondissement,Type d'espace,Latitude,Longitude,X,Y
1,Entrée Principale Stade,Gary-Carter,Nord-Est,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.534182999999999,-73.623678999999996,295140.30603922,5043814.88171208
2,Mile End,Gary-Carter,Sud-Est,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.536121999999999,-73.622311999999994,295247.40105537,5044030.20137971
3,Gary-Carter,Devant Les Bornes D'Incendies,Côté Sud Bi,Villeray–Saint-Michel–Parc-Extension,Sur rue à +5m,45.535474999999998,-73.622658000000001,295220.26851061,5043958.34076755
4,Metro De Castelneau,Arrière Trottoir,,Villeray–Saint-Michel–Parc-Extension,Sur trottoir près des supports à vélo,45.535257999999999,-73.620052000000001,295423.76405395,5043933.91765231
5,Metro Jarry,Arrière Trottoir,,Villeray–Saint-Michel–Parc-Extension,Sur trottoir,45.543616999999998,-73.628411000000000,294772.39996183,5044863.87360370
6,St Dominique,Jarry E,Sud-Est,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.539473999999998,-73.630831000000001,294582.67205211,5044403.76203261
7,Casgrain,Jarry E,Nord-Ouest,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.540157000000001,-73.630832999999996,294582.63956682,5044479.66490195
8,Gaspe,Jarry E,Sud-Est,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.540672999999998,-73.630139000000000,294636.93023258,5044536.92051357
9,Henri Julien,Jarry E,Nord-Ouest,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.541322999999998,-73.630131000000006,294637.67208388,5044609.15480074
10,Berri,Jarry E,Sud-Ouest,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.543159000000003,-73.628755999999996,294745.37731103,5044813.01863487
11,Lajeunnesse,Jarry E,Nord-Ouest,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.543792000000003,-73.628833000000000,294739.47724575,5044883.37438240
12,St Gerard,Jarry E,Nord-Ouest,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.544383000000003,-73.628450000000001,294769.49067834,5044949.00504418
13,Foucher,Jarry E,Nord-Ouest,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.544913000000001,-73.627923999999993,294810.65926591,5045007.83903958
14,De Chateaubriand,Jarry E,Nord-Est,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.546010000000003,-73.626909999999995,294890.03333754,5045129.62440449
15,St Hubert,Jarry E,Sud-Ouest,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.546326999999998,-73.626215000000002,294944.35889749,5045164.76746531
16,St Andre,Jarry E,Nord-Est,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.547044000000000,-73.626172999999994,294947.76376839,5045244.44348143
17,Boyer,Jarry E,Sud-Ouest,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.547294999999998,-73.625365000000002,295010.90012588,5045272.23859000
18,Rousselot,Villeray,Sud-Ouest,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.548855000000003,-73.616630000000001,295693.22267398,5045444.57532658
19,De Normanville,Villeray,Nord-Ouest,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.547285000000002,-73.618470000000002,295549.29310851,5045270.30949203
20,Tillemont,De Normanville,Nord-Est,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.548077999999997,-73.619759000000002,295448.77328700,5045358.58602959
21,St Dominique,De Castelnau E,Nord-Est,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.536045999999999,-73.619114999999994,295497.07504734,5044021.37997395
22,Casgrain,De Castelnau E,Nord-Ouest,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.536721999999997,-73.618925000000004,295512.02540383,5044096.48262595
23,Gaspé,De Castelnau E,Nord-Est,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.537255999999999,-73.618267000000003,295563.50225195,5044155.75074513
24,De Castelnau E,De Gaspé,Nord-Ouest,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.537205000000000,-73.618533999999997,295542.64153381,5044150.11381037
25,Henri Julien,De Castelnau E,Nord-Ouest,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.537900999999998,-73.618314999999996,295559.85915658,5044227.43587017
26,De Castelnau E,Drolet,Nord-Est,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.538570000000000,-73.617733999999999,295605.34301116,5044301.71591830
27,Berri,De Castelnau E,Nord-Ouest,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.539793000000003,-73.617149999999995,295651.14992541,5044437.56264801
28,Lajeunesse,De Castelnau E,Sud-Ouest,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.540351999999999,-73.616797000000005,295678.80790781,5044499.64482634
29,Chateaubriand,De Castelnau E,Nord-Est,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.541108999999999,-73.615846000000005,295753.19708907,5044583.66354785
30,De Castelnau E,St-Hubert,Sud-Ouest,Villeray–Saint-Michel–Parc-Extension,,45.541524000000003,-73.615195999999997,295804.02395266,5044629.70996261
31,St Hubert,Everett,Sud-Est,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.542295000000003,-73.616761999999994,295681.85529030,5044715.56884561
32,Faillon,St-Hubert,Sud-Ouest,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.542800000000000,-73.618015000000000,295584.08888409,5044771.83322521
33,St Hubert,Villeray,Nord-Est,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.544369000000003,-73.621088000000000,295344.37823134,5044946.55560876
34,St Hubert,Du Rosaire,Nord-Ouest,Villeray–Saint-Michel–Parc-Extension,,45.544713999999999,-73.621683000000004,295297.97349275,5044984.96616987
35,St Dominique,Villeray,Sud-Est,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.537736000000002,-73.624606999999997,295068.43936936,5044209.84270257
36,Casgrain,Villeray,Nord-Ouest,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.538330999999999,-73.624684000000002,295062.52852073,5044275.97508767
37,Gaspe,Villeray,Sud-Est,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.538930000000001,-73.623941000000002,295120.65751444,5044342.45281199
38,Henri Julien,Villeray,Nord-Ouest,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.539527999999997,-73.623895000000005,295124.35251338,5044408.90372218
39,Villeray,Drolet,Sud-Ouest,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.539994999999998,-73.623424999999997,295161.13721267,5044460.74545434
40,Berri,Villeray,Nord-Ouest,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.541469999999997,-73.622939000000002,295199.34237103,5044624.60577245
41,Lajeunesse,Villeray,Sud-Ouest,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.542006000000001,-73.622546999999997,295230.04570549,5044684.12531187
42,St Gerard,Villeray,Nord-Ouest,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.542684000000001,-73.622449000000003,295237.81366856,5044759.46062581
43,De Chateaubriand,Villeray,Nord-Est,Villeray–Saint-Michel–Parc-Extension,Dégagement de 5m,45.543751999999998,-73.621638000000004,295301.32546348,5044878.05253852
