annee,reg_n,mun_c,mun_n,mun_d,coord_x,coord_y,consom_resid,consom_resid_reg,consom_resid_cpop,consom_resid_qb,nb_reseau_dist,pop_desservie,nb_resid_desservi,nb_pers_resid,vol_eau_dist,consom_resid_ml,qte_eau_pers,qte_eau_pers_prec,qte_eau_pers_reg,qte_eau_pers_cpop,qte_eau_pers_qc
2018,Abitibi-Témiscamingue,85005,Témiscaming,V,-78.9982289957735,46.718697748,424,221,259,268,1,2416,1098.00,2.20,516,374,585,449,422,487,536
2018,Abitibi-Témiscamingue,85010,Kipawa,M,-78.9875307091121,46.7782015175,120,221,252,268,1,140,70.00,2.00,8,6,154,128,422,425,536
2018,Abitibi-Témiscamingue,85015,Saint-Édouard-de-Fabre,P,-79.3461979362619,47.178351051,218,221,252,268,1,449,212.00,2.12,46,36,278,355,422,425,536
2018,Abitibi-Témiscamingue,85020,Béarn,M,-79.1011019997858,47.238291974,346,221,252,268,1,634,320.00,1.98,201,80,869,1039,422,425,536
2018,Abitibi-Témiscamingue,85025,Ville-Marie,V,-79.460228483718,47.3320151605,190,221,259,268,1,2547,1261.00,2.02,372,177,400,386,422,487,536
2018,Abitibi-Témiscamingue,85030,Duhamel-Ouest,M,-79.453917292235,47.3458503685,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,85037,Lorrainville,M,-79.3183736115099,47.3640434065,274,221,252,268,1,988,523.00,1.89,112,99,311,337,422,425,536
2018,Abitibi-Témiscamingue,85045,Saint-Bruno-de-Guigues,M,-79.4798628281185,47.475533832,197,221,252,268,1,582,256.00,2.27,58,42,273,,422,425,536
2018,Abitibi-Témiscamingue,85052,Laverlochère-Angliers,M,-79.1551244970957,47.514016103,,221,,268,,,,,,,,1261,422,,536
2018,Abitibi-Témiscamingue,85055,Fugèreville,M,-79.1780413334297,47.3759395495,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,85060,Latulipe-et-Gaboury,CU,-79.0216667040561,47.3885624365,165,221,252,268,1,290,138.00,2.10,26,18,244,261,422,425,536
2018,Abitibi-Témiscamingue,85065,Belleterre,V,-78.7376624521571,47.3707295045,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,85070,Laforce,M,-78.6813720478579,47.582976098,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,85075,Moffet,M,-78.8807648724381,47.5800761975,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,85085,Saint-Eugène-de-Guigues,M,-79.351279044257,47.5249328645,273,221,252,268,1,172,69.00,2.50,21,17,335,288,422,425,536
2018,Abitibi-Témiscamingue,85090,Notre-Dame-du-Nord,M,-79.4244797293053,47.6035597965,309,221,252,268,1,887,475.00,1.87,149,100,460,501,422,425,536
2018,Abitibi-Témiscamingue,85095,Guérin,CT,-79.2830439322125,47.657698489,,221,,268,,,,,,,,428,422,,536
2018,Abitibi-Témiscamingue,85100,Nédélec,CT,-79.4094304449815,47.7710363415,161,221,252,268,1,135,71.00,1.90,10,8,204,,422,425,536
2018,Abitibi-Témiscamingue,85105,Rémigny,M,-78.9779022155447,47.76997501,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,86042,Rouyn-Noranda,V,-78.9077783110387,48.1336791985,158,221,275,268,4,33616,15828.00,2.12,4592,1935,374,364,422,466,536
2018,Abitibi-Témiscamingue,87005,Duparquet,V,-79.1908288452264,48.4752577695,445,221,252,268,1,656,324.00,2.02,119,107,498,518,422,425,536
2018,Abitibi-Témiscamingue,87010,Rapide-Danseur,M,-79.2999978443538,48.5390432865,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,87015,Roquemaure,M,-79.4203174774143,48.6170329045,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,87020,Gallichan,M,-79.3042341603407,48.625219863,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,87025,Palmarolle,M,-79.1960467623362,48.679224239,246,221,252,268,1,844,356.00,2.37,87,76,283,246,422,425,536
2018,Abitibi-Témiscamingue,87030,Sainte-Germaine-Boulé,M,-79.106811787543,48.603453172,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,87035,Poularies,M,-78.9535189718482,48.6465226915,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,87042,Taschereau,M,-78.7524672803714,48.636108643,,221,,268,,,,,,,,370,422,,536
2018,Abitibi-Témiscamingue,87050,Authier,M,-78.8298339214179,48.727141212,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,87058,Macamic,V,-79.0640820568301,48.763021111,350,221,259,268,1,1452,592.00,2.45,280,186,528,387,422,487,536
2018,Abitibi-Témiscamingue,87070,Sainte-Hélène-de-Mancebourg,P,-79.2941566915666,48.743287091,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,87075,Clerval,M,-79.4380612100468,48.72701681,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,87080,La Reine,M,-79.4630348944242,48.8697855425,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,87085,Dupuy,M,-79.3680841392314,48.8358020085,265,221,252,268,1,659,285.00,2.31,82,64,341,,422,425,536
2018,Abitibi-Témiscamingue,87090,La Sarre,V,-79.1897835495124,48.814586767,271,221,308,268,1,7472,3516.00,2.13,1075,739,394,369,422,501,536
2018,Abitibi-Témiscamingue,87095,Chazel,M,-79.0518775412522,48.886366921,147,221,252,268,1,132,58.00,2.27,12,7,250,,422,425,536
2018,Abitibi-Témiscamingue,87100,Authier-Nord,M,-78.8512924492888,48.9010895075,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,87105,Val-Saint-Gilles,M,-79.1160467016769,48.9595232335,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,87110,Clermont,CT,-79.2390535389728,48.9414235,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,87115,Normétal,M,-79.3538312840588,48.9714450685,,221,,268,,,,,,,,500,422,,536
2018,Abitibi-Témiscamingue,87120,Saint-Lambert,P,-79.4380392140882,48.961462218,100,221,252,268,1,140,68.00,2.05,7,5,136,,422,425,536
2018,Abitibi-Témiscamingue,88005,Champneuf,M,-77.4637293258221,48.5676657855,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,88010,Rochebaucourt,M,-77.4669912623433,48.6755056835,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,88015,La Morandière,M,-77.7014434078431,48.682901708,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,88022,Barraute,M,-77.6692943331188,48.437692118,239,221,259,268,1,1705,753.00,2.26,213,149,342,363,422,487,536
2018,Abitibi-Témiscamingue,88030,La Corne,M,-77.9309972104669,48.358972957,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,88035,Landrienne,CT,-77.8867245305781,48.5105234635,131,221,252,268,1,616,245.00,2.52,54,29,239,200,422,425,536
2018,Abitibi-Témiscamingue,88040,Saint-Marc-de-Figuery,P,-78.0295863886121,48.4585065365,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,88045,La Motte,M,-78.1623704387719,48.344352631,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,88050,Saint-Mathieu-d'Harricana,M,-78.1999801286989,48.47350718,,221,,268,,,,,,,,,422,,536
2018,Abitibi-Témiscamingue,88055,Amos,V,-77.9575642462046,48.6109704415,231,221,275,268,1,12820,5717.00,2.24,2006,1081,429,367,422,466,536
2018,Abitibi-Témiscamingue,88060,Saint-Félix-de-Dalquier,M,-78.1171388209804,48.675799154,360,221,252,268,1,593,225.00,2.64,88,78,407,346,422,425,536
2018,Abitibi-Témiscamingue,88065,Saint-Dominique-du-Rosaire,M,-78.0418634274023,48.857771438,146,221,252,268,1,178,73.00,2.44,13,10,207,,422,425,536
2018,Abitibi-Témiscamingue,88070,Berry,M,-78.3151465198219,48.8388301735,,221,,268,,,,,,,,,422,,536
