annee,cl_pop_desservie,num_c,num_n,num_d,coord_x,coord_y,indice_fuites_ifi,indice_fuites_ifi_reg,indice_fuites_ifi_cpop,indice_fuites_ifi_qc,pertes_eau_reelles,pertes_eau_reelles_inev,nb_fuites_reparees,pourc_reseau_ausculte,long_reseau_km
2022,0 à 999 personnes,98030,AGUANISH,M,-62.34786027143591,50.33879877723811,0.40063263,"3,8","2,4","5,9",3.25900000,8.13463455,,,12.13500000
2022,0 à 999 personnes,78070,AMHERST,CT,-74.76980421080071,46.03895529419673,2.02950686,5,"2,4","5,9",11.04500000,5.44220877,1,1.03042877,6.50700000
2022,0 à 999 personnes,19037,ARMAGH,M,-70.58873306023106,46.750287545459095,2.08918343,"2,4","2,4","5,9",20.74200000,9.92828090,,,9.15100000
2022,0 à 999 personnes,41055,ASCOT CORNER,M,-71.76783854312751,45.46182014722837,2.74593074,"3,4","2,4","5,9",29.44216038,10.72210597,,3.00000000,8.75800000
2022,0 à 999 personnes,13045,AUCLAIR,M,-68.66276778660091,47.74518764440723,0.50137810,4,"2,4","5,9",1.33945500,2.67154669,,,2.72000000
2022,0 à 999 personnes,30055,AUDET,M,-70.72071572142443,45.642268698844546,1.18750271,"3,4","2,4","5,9",3.82144801,3.21805415,2,2.00000000,5.33000000
2022,0 à 999 personnes,8080,BAIE-DES-SABLES,M,-67.86009585721169,48.70847297491985,0.52244317,4,"2,4","5,9",3.21492000,6.15362625,,,7.04500000
2022,0 à 999 personnes,98035,BAIE-JOHAN-BEETZ,M,-62.739699767538575,50.33732363633275,0.79754141,"3,8","2,4","5,9",1.68455500,2.11218499,,,2.85700000
2022,0 à 999 personnes,15065,BAIE-SAINTE-CATHERINE,M,-69.83358273120162,48.07971311778294,4.36717699,"3,3","2,4","5,9",23.75160633,5.43866355,,2.00000000,6.60600000
2022,0 à 999 personnes,96005,BAIE-TRINITÉ,VL,-67.35103017885389,49.45218516509778,1.80099391,"3,8","2,4","5,9",23.52635643,13.06298500,,,19.76000000
2022,0 à 999 personnes,85020,BÉARN,M,-79.10023422041293,47.23764538695039,9.12880203,"4,4","2,4","5,9",64.94367526,7.11415091,8,3.00000000,7.22300000
2022,0 à 999 personnes,94250,BÉGIN,M,-71.32208891592778,48.69119528901115,0.80748726,"4,5","2,4","5,9",8.78815582,10.88333684,4,2.00000000,18.25000000
2022,0 à 999 personnes,13055,BIENCOURT,M,-68.56959402435818,47.92859396017842,0.92205567,4,"2,4","5,9",5.51886000,5.98538695,,2.00000000,5.50500000
2022,0 à 999 personnes,42040,BONSECOURS,M,-72.29333685908499,45.41200750540823,1.23303532,"3,4","2,4","5,9",6.57356500,5.33120574,,,9.81900000
2022,0 à 999 personnes,78075,BRÉBEUF,P,-74.67578118496998,46.082902917077135,2.07409360,5,"2,4","5,9",32.52398000,15.68105700,,2.12390158,11.38000000
2022,0 à 999 personnes,59030,CALIXA-LAVALLÉE,M,-73.26275378552613,45.75064950711453,0.66122808,"5,4","2,4","5,9",6.97889403,10.55444286,1,1.00000000,19.58000000
2022,0 à 999 personnes,84030,CAMPBELL'S BAY,M,-76.59667139383443,45.7324375027782,2.11886208,"3,8","2,4","5,9",25.27602550,11.92905652,3,2.00003056,13.08780000
2022,0 à 999 personnes,51080,CHARETTE,M,-72.94012949185894,46.435666333701576,2.46807613,"3,9","2,4","5,9",24.05487145,9.74640578,2,1.90403338,14.38000000
2022,0 à 999 personnes,80103,CHÉNÉVILLE,M,-75.00338938230671,45.90177655811866,1.79749803,"3,8","2,4","5,9",12.63396000,7.02863637,7,,10.96500000
2022,0 à 999 personnes,56010,CLARENCEVILLE,M,-73.19800326530051,45.03501424743586,0.04620685,"5,4","2,4","5,9",0.72587568,15.70926420,,,12.39000000
2022,0 à 999 personnes,95050,COLOMBIER,M,-68.95169363898452,48.88066977945113,0.66990687,"3,8","2,4","5,9",6.14100000,9.16694580,,2.00000000,11.64000000
2022,0 à 999 personnes,98015,CÔTE-NORD-DU-GOLFE-DU-SAINT-LAURENT,M,-59.77187204039678,50.483864082206075,0.78970383,"3,8","2,4","5,9",2.06193842,2.61102750,,3.00000000,1.76500000
2022,0 à 999 personnes,30090,COURCELLES,M,-70.9771403849448,45.88820393196985,0.96412774,"3,4","2,4","5,9",5.74906827,5.96297361,,2.00000000,7.86700000
2022,0 à 999 personnes,83070,DÉLÉAGE,M,-75.83004593840306,46.37190113482665,4.18651798,"3,8","2,4","5,9",12.94603250,3.09231504,,,4.24000000
2022,0 à 999 personnes,38070,DESCHAILLONS-SUR-SAINT-LAURENT,M,-72.12315955572126,46.529170196985085,0.53428276,"2,4","2,4","5,9",9.95871250,18.63940448,7,1.00520833,17.28000000
2022,0 à 999 personnes,44023,DIXVILLE,M,-71.74603174037273,45.051803101101804,0.57108684,"3,4","2,4","5,9",4.29164650,7.51487550,4,,4.41500000
2022,0 à 999 personnes,41117,DUDSWELL,M,-71.57963044659687,45.60621936320484,0.44615694,"3,4","2,4","5,9",1.18932700,2.66571443,1,,3.85700000
2022,0 à 999 personnes,80135,DUHAMEL,M,-75.21724402850857,46.09437594509052,0.94631663,"3,8","2,4","5,9",1.12008699,1.18362813,,2.00000000,1.65800000
2022,0 à 999 personnes,87005,DUPARQUET,V,-79.19067496320109,48.466844113817054,4.08307293,"4,4","2,4","5,9",38.23900000,9.36525030,3,2.00000000,11.09600000
2022,0 à 999 personnes,87085,DUPUY,M,-79.36808380473647,48.821941665802875,4.58540603,"4,4","2,4","5,9",38.37800000,8.36959688,,,7.73400000
2022,0 à 999 personnes,49015,DURHAM-SUD,M,-72.32819108977012,45.65249323846956,0.75642393,"2,4","2,4","5,9",5.25600000,6.94848456,,,6.14000000
