annee,reg_n,num_c,num_n,num_d,coord_x,coord_y,indice_fuites_ifi,indice_fuites_ifi_reg,indice_fuites_ifi_cpop,indice_fuites_ifi_qc,pertes_eau_reelles,pertes_eau_reelles_inev,pression_moy,nb_fuites_reparees,pourc_reseau_ausculte,long_reseau_km
2018,Abitibi-Témiscamingue,85005,Témiscaming,V,-78.9982289957735,46.718697748,3.3,2.7,2.8,6.0,105,32,58,4,100.00,20.530
2018,Abitibi-Témiscamingue,85010,Kipawa,M,-78.9875307091121,46.7782015175,0.7,2.7,2.1,6.0,1,2,50,0,0.00,1.807
2018,Abitibi-Témiscamingue,85015,Saint-Édouard-de-Fabre,P,-79.3461979362619,47.178351051,2.0,2.7,2.1,6.0,9,5,35,2,0.00,8.024
2018,Abitibi-Témiscamingue,85020,Béarn,M,-79.1011019997858,47.238291974,9.9,2.7,2.1,6.0,78,8,46,5,100.00,7.223
2018,Abitibi-Témiscamingue,85025,Ville-Marie,V,-79.460228483718,47.3320151605,2.3,2.7,2.8,6.0,87,38,51,6,100.00,24.238
2018,Abitibi-Témiscamingue,85030,Duhamel-Ouest,M,-79.453917292235,47.3458503685,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,85037,Lorrainville,M,-79.3183736115099,47.3640434065,0.7,2.7,2.1,6.0,7,11,42,3,0.00,14.012
2018,Abitibi-Témiscamingue,85045,Saint-Bruno-de-Guigues,M,-79.4798628281185,47.475533832,0.7,2.7,2.1,6.0,4,6,46,3,0.00,7.733
2018,Abitibi-Témiscamingue,85052,Laverlochère-Angliers,M,-79.1551244970957,47.514016103,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,85055,Fugèreville,M,-79.1780413334297,47.3759395495,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,85060,Latulipe-et-Gaboury,CU,-79.0216667040561,47.3885624365,2.2,2.7,2.1,6.0,4,2,39,1,0.00,2.160
2018,Abitibi-Témiscamingue,85065,Belleterre,V,-78.7376624521571,47.3707295045,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,85070,Laforce,M,-78.6813720478579,47.582976098,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,85075,Moffet,M,-78.8807648724381,47.5800761975,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,85085,Saint-Eugène-de-Guigues,M,-79.351279044257,47.5249328645,0.9,2.7,2.1,6.0,2,2,41,1,0.00,4.870
2018,Abitibi-Témiscamingue,85090,Notre-Dame-du-Nord,M,-79.4244797293053,47.6035597965,2.9,2.7,2.1,6.0,35,12,42,2,0.00,14.340
2018,Abitibi-Témiscamingue,85095,Guérin,CT,-79.2830439322125,47.657698489,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,85100,Nédélec,CT,-79.4094304449815,47.7710363415,1.0,2.7,2.1,6.0,2,2,42,0,0.00,1.913
2018,Abitibi-Témiscamingue,85105,Rémigny,M,-78.9779022155447,47.76997501,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,86042,Rouyn-Noranda,V,-78.9077783110387,48.1336791985,1.9,2.7,3.5,6.0,410,219,46,45,98.00,205.930
2018,Abitibi-Témiscamingue,87005,Duparquet,V,-79.1908288452264,48.4752577695,0.8,2.7,2.1,6.0,7,9,50,0,0.00,11.176
2018,Abitibi-Témiscamingue,87010,Rapide-Danseur,M,-79.2999978443538,48.5390432865,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,87015,Roquemaure,M,-79.4203174774143,48.6170329045,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,87020,Gallichan,M,-79.3042341603407,48.625219863,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,87025,Palmarolle,M,-79.1960467623362,48.679224239,1.1,2.7,2.1,6.0,7,7,42,0,0.00,8.296
2018,Abitibi-Témiscamingue,87030,Sainte-Germaine-Boulé,M,-79.106811787543,48.603453172,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,87035,Poularies,M,-78.9535189718482,48.6465226915,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,87042,Taschereau,M,-78.7524672803714,48.636108643,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,87050,Authier,M,-78.8298339214179,48.727141212,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,87058,Macamic,V,-79.0640820568301,48.763021111,3.5,2.7,2.8,6.0,58,17,52,6,0.00,18.130
2018,Abitibi-Témiscamingue,87070,Sainte-Hélène-de-Mancebourg,P,-79.2941566915666,48.743287091,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,87075,Clerval,M,-79.4380612100468,48.72701681,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,87080,La Reine,M,-79.4630348944242,48.8697855425,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,87085,Dupuy,M,-79.3680841392314,48.8358020085,1.3,2.7,2.1,6.0,11,9,53,2,0.00,7.850
2018,Abitibi-Témiscamingue,87090,La Sarre,V,-79.1897835495124,48.814586767,3.0,2.7,3.2,6.0,204,68,49,8,0.00,50.708
2018,Abitibi-Témiscamingue,87095,Chazel,M,-79.0518775412522,48.886366921,2.4,2.7,2.1,6.0,5,2,55,0,0.00,2.751
2018,Abitibi-Témiscamingue,87100,Authier-Nord,M,-78.8512924492888,48.9010895075,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,87105,Val-Saint-Gilles,M,-79.1160467016769,48.9595232335,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,87110,Clermont,CT,-79.2390535389728,48.9414235,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,87115,Normétal,M,-79.3538312840588,48.9714450685,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,87120,Saint-Lambert,P,-79.4380392140882,48.961462218,0.6,2.7,2.1,6.0,2,3,49,0,0.00,5.678
2018,Abitibi-Témiscamingue,88005,Champneuf,M,-77.4637293258221,48.5676657855,,2.7,,6.0,,,,,,
2018,Abitibi-Témiscamingue,88010,Rochebaucourt,M,-77.4669912623433,48.6755056835,,2.7,,6.0,,,,,,
