annee,cl_pop_desservie,pop_desservie,mun_c,mun_n,mun_d,coord_x,coord_y,indice_validite,indice_validite_reg,indice_validite_cpop,indice_validite_qb,nresid_compt_relv,nresid_compt_nonrelv,nresid_scompt,resid_compt_relv,resid_compt_nonrelv,resid_scompt,pourc_brchm_nresid_compt
2018,0 à 999 personnes,23,83020,Lac-Sainte-Marie,M,-75.888605940915,45.9631088645,0.48,0.49,0.54,0.56,0,0,2,0,0,228,0.00
2018,0 à 999 personnes,30,45080,Saint-Benoît-du-Lac,M,-72.2675455595239,45.1673335615,0.60,0.56,0.54,0.56,4,0,0,1,0,0,1.00
2018,0 à 999 personnes,38,39005,Saints-Martyrs-Canadiens,P,-71.539092323379,45.8518562925,0.62,0.58,0.54,0.56,0,0,2,0,0,33,0.00
2018,0 à 999 personnes,51,80135,Duhamel,M,-75.2165618543005,46.0937200295,0.47,0.49,0.54,0.56,0,0,5,0,0,42,0.00
2018,0 à 999 personnes,64,44015,Saint-Herménégilde,M,-71.6510203145916,45.086556043,0.49,0.56,0.54,0.56,0,5,0,0,0,24,1.00
2018,0 à 999 personnes,69,52090,Saint-Didace,P,-73.239580792549,46.360954977,0.38,0.56,0.54,0.56,0,4,6,0,0,45,0.40
2018,0 à 999 personnes,70,42060,Valcourt,CT,-72.3700012233419,45.490591264,0.59,0.56,0.54,0.56,0,14,23,0,3,169,0.38
2018,0 à 999 personnes,70,45025,Stanstead,CT,-72.1901691014798,45.095108715,0.46,0.56,0.54,0.56,0,0,11,0,0,44,0.00
2018,0 à 999 personnes,71,79047,La Macaza,M,-74.7435649759512,46.4079707315,0.60,0.58,0.54,0.56,0,0,1,0,0,30,0.00
2018,0 à 999 personnes,71,98035,Baie-Johan-Beetz,M,-62.7194669433596,50.309938281,0.45,0.47,0.54,0.56,0,0,5,0,0,45,0.00
2018,0 à 999 personnes,72,31095,Saint-Adrien-d'Irlande,M,-71.4233132262809,46.1127828295,0.59,0.59,0.54,0.56,0,0,4,0,0,25,0.00
2018,0 à 999 personnes,72,77011,Estérel,V,-74.0298546111374,46.0456540845,0.62,0.58,0.54,0.56,1,0,0,0,0,30,1.00
2018,0 à 999 personnes,83,42075,Melbourne,CT,-72.1714329339331,45.598397394,0.57,0.56,0.54,0.56,1,0,0,0,0,36,1.00
2018,0 à 999 personnes,83,44010,East Hereford,M,-71.5370664640082,45.0733750005,0.59,0.56,0.54,0.56,0,0,2,0,0,40,0.00
2018,0 à 999 personnes,83,94220,Ferland-et-Boilleau,M,-70.8512075469037,48.131686985,0.58,0.56,0.54,0.56,0,0,1,0,0,37,0.00
2018,0 à 999 personnes,97,32023,Sainte-Sophie-d'Halifax,M,-71.712110303872,46.1559268405,0.56,0.58,0.54,0.56,4,1,0,37,2,0,1.00
2018,0 à 999 personnes,100,30020,Piopolis,M,-70.9467631476585,45.4784833005,0.45,0.56,0.54,0.56,0,8,0,0,59,0,1.00
2018,0 à 999 personnes,100,79022,Saint-Aimé-du-Lac-des-Îles,M,-75.5496185851337,46.386580594,0.60,0.58,0.54,0.56,0,0,2,0,0,46,0.00
2018,0 à 999 personnes,117,18010,Lac-Frontière,M,-70.0165040881448,46.670907305,0.59,0.59,0.54,0.56,0,0,1,0,0,67,0.00
2018,0 à 999 personnes,120,92070,Saint-Stanislas,M,-72.2085442445997,49.034393967,0.39,0.56,0.54,0.56,1,0,0,42,0,0,1.00
2018,0 à 999 personnes,126,42070,Kingsbury,VL,-72.1289269502716,45.5732044495,0.45,0.56,0.54,0.56,0,0,6,0,0,62,0.00
2018,0 à 999 personnes,130,13050,Lejeune,M,-68.5452540456987,47.7629167985,0.61,0.54,0.54,0.56,0,0,9,0,0,67,0.00
2018,0 à 999 personnes,131,79025,Kiamika,M,-75.3175083694989,46.3776953125,0.55,0.58,0.54,0.56,0,0,14,0,0,75,0.00
2018,0 à 999 personnes,132,87095,Chazel,M,-79.0518775412522,48.886366921,0.31,0.49,0.54,0.56,0,0,0,0,0,50,7.00
2018,0 à 999 personnes,135,85100,Nédélec,CT,-79.4094304449815,47.7710363415,0.44,0.49,0.54,0.56,0,0,3,0,0,71,0.00
2018,0 à 999 personnes,137,39015,Notre-Dame-de-Ham,M,-71.712960931939,45.9176736825,0.59,0.58,0.54,0.56,0,0,7,0,0,58,0.00
2018,0 à 999 personnes,140,85010,Kipawa,M,-78.9875307091121,46.7782015175,0.45,0.49,0.54,0.56,0,0,4,0,0,54,0.00
2018,0 à 999 personnes,140,87120,Saint-Lambert,P,-79.4380392140882,48.961462218,0.29,0.49,0.54,0.56,0,0,2,0,0,68,0.00
