an_profil,an_donnee,cod_mrc,nom_mrc,PRC4320,PRC4420,PRC4520,PRC4220,PRC3720,PRC3920,PRC4120,PRC4020,PRC0120,PRC2820,PRC2920,PRC3020,PRC3220,PRC2120,PRC2720,PRC0220,PRC2520,PRC3520,PRC3620,PRC3820,PRC0320,PRC3120
2017,2016,AR011,Hors MRC - Les Îles de la Madeleine,3440,2148,2329,1776,0.1222,0.309,2049,1.5301,0.0172,0.0602,0.1649,1541,1497,0.5568,0.6527,0.1899,0.168,0.4556,0.1971,0.0355,0.0254,2276
2017,2016,AR020,Le Rocher-Percé,2968,1731,1817,1459,0.1227,0.187,1741,1.7064,0.0181,0.0602,0.1479,1399,1420,0.5796,0.6692,0.1945,0.1484,0.4591,0.21,0.0098,0.0295,2285
2017,2016,AR030,La Côte-de-Gaspé,3243,1917,5603,1536,0.2155,0.374,1884,1.2525,0.0385,0.0746,0.0925,4077,1573,0.6169,0.6174,0.2224,0.276,0.4394,0.1779,0.0375,0.0223,2359
2017,2016,AR040,La Haute-Gaspésie,2716,1670,552,1475,0.0985,0.1621,1799,1.7202,0.0055,0.0617,0.2343,442,1469,0.563,0.6054,0.1342,0.1336,0.4318,0.1736,0.0266,0.0272,2176
2017,2016,AR050,Bonaventure,3189,1717,3687,1480,0.2586,0.3497,1813,1.3614,0.0299,0.0304,0.1421,2404,1182,0.6033,0.5689,0.281,0.1351,0.4387,0.1302,0.0384,0.0258,2079
2017,2016,AR060,Avignon,2914,1670,3036,1476,0.1669,0.3106,1879,1.3246,0.0236,0.0563,0.1549,2152,1284,0.5489,0.6219,0.2567,0.2032,0.433,0.1889,0.034,0.0227,2066
2017,2016,AR070,La Matapédia,2936,1816,8750,1267,0.1354,0.2302,1581,1.4738,0.0731,0.038,0.1914,6836,1510,0.533,0.6352,0.1421,0.2795,0.4525,0.1827,0.0296,0.0245,2294
2017,2016,AR080,La Matanie,3145,2239,3301,1599,0.1364,0.2954,2135,1.5179,0.0248,0.0481,0.1195,3351,2420,0.5331,0.696,0.2053,0.1222,0.5391,0.1569,0.0172,0.0236,3193
2017,2016,AR090,La Mitis,2740,1848,1998,1557,0.1404,0.212,1902,1.457,0.0155,0.0711,0.1412,1832,1775,0.5927,0.6472,0.1584,0.3431,0.478,0.1692,0.0248,0.0213,2514
2017,2016,AR100,Rimouski-Neigette,2970,2110,1771,1726,0.154,0.1822,2365,1.178,0.0104,0.0584,0.0793,2126,2624,0.6045,0.7082,0.116,0.2737,0.504,0.2042,0.033,0.0175,3566
2017,2016,AR110,Les Basques,2877,1880,3752,1563,0.1295,0.2339,1870,1.6648,0.0329,0.0374,0.1702,3039,1591,0.6454,0.663,0.2031,0.2317,0.4872,0.1758,0.0504,0.0252,2330
2017,2016,AR120,Rivière-du-Loup,3109,2283,3251,1751,0.1948,0.256,2334,1.3535,0.0199,0.0428,0.0812,3413,2501,0.6122,0.6812,0.2408,0.1723,0.5221,0.1591,0.0259,0.019,3264
2017,2016,AR130,Témiscouata,3187,1805,2700,1408,0.1863,0.2627,1728,1.5217,0.0225,0.0533,0.1944,2109,1509,0.6279,0.566,0.2064,0.2597,0.4198,0.1463,0.0332,0.0265,2489
2017,2016,AR140,Kamouraska,3103,2093,2863,1583,0.1061,0.2177,1937,1.3715,0.0185,0.0567,0.1233,2407,1834,0.5835,0.7139,0.2043,0.34,0.5117,0.2022,0.028,0.02,2609
2017,2016,AR150,Charlevoix-Est,3055,2395,3431,1891,0.1409,0.2744,2361,1.5184,0.0235,0.0462,0.0304,3170,2327,0.5994,0.7825,0.2366,0.2573,0.5482,0.2343,0.0401,0.0209,2822
2017,2016,AR160,Charlevoix,3174,2554,8267,1839,0.1288,0.4102,2382,1.1072,0.0366,0.0272,0.0209,6092,1933,0.6561,0.8231,0.2435,0.1192,0.6005,0.2226,0.0295,0.0141,2339
2017,2016,AR170,L'Islet,2502,1677,2175,1305,0.114,0.2255,1532,1.2614,0.0163,0.0353,0.1582,1633,1314,0.589,0.6924,0.1407,0.364,0.5332,0.1593,0.0544,0.0187,1879
2017,2016,AR180,Montmagny,2958,2250,3542,1605,0.1315,0.3032,2001,1.2971,0.0214,0.0451,0.0783,2964,1961,0.624,0.7451,0.1896,0.1787,0.5551,0.19,0.0375,0.0178,2475
2017,2016,AR190,Bellechasse,2759,2159,4092,1689,0.156,0.2492,1982,1.0619,0.0202,0.0157,0.05,3458,1887,0.5915,0.7783,0.207,0.2989,0.5794,0.1989,0.0521,0.0136,2332
2017,2016,AR200,L'Île-d'Orléans,2776,1794,2810,1567,0.3175,0.171,1856,0.5555,0.0089,0.0094,0.0207,2574,1696,0.7029,0.6524,0.1021,0.248,0.5333,0.1191,0.1382,0.0088,2543
2017,2016,AR210,La Côte-de-Beaupré,2823,2225,5085,1937,0.1455,0.3809,2325,0.9051,0.0228,0.0171,0.0273,4779,2162,0.6413,0.8101,0.2485,0.1713,0.6532,0.1569,0.074,0.0127,2653
2017,2016,AR220,La Jacques-Cartier,3419,2518,5720,2374,0.1417,0.3355,2590,0.8257,0.0185,0.0759,0.0327,4821,2218,0.6937,0.7497,0.1713,0.0964,0.5884,0.1613,0.0597,0.0111,2882
2017,2016,AR231,Hors MRC - Québec,4743,3562,6344,2263,0.1917,0.3466,3313,1.1451,0.026,0.0631,0.0705,10624,6080,0.6578,0.6746,0.2255,0.0998,0.5788,0.0959,0.0449,0.0195,7944
2017,2016,AR251,Hors MRC - Lévis,3959,3111,6163,2133,0.1295,0.3701,2732,0.9638,0.0243,0.024,0.046,7437,3975,0.5907,0.8005,0.2053,0.0647,0.6702,0.1302,0.0647,0.0156,4777
2017,2016,AR260,La Nouvelle-Beauce,3128,2541,5014,1872,0.2011,0.2335,2238,1.1422,0.0241,0.0135,0.0458,4578,2419,0.6488,0.7396,0.1993,0.2126,0.5728,0.1668,0.083,0.015,2856
2017,2016,AR270,Robert-Cliche,3044,2414,3829,1678,0.1636,0.2916,1997,1.458,0.024,0.0283,0.0767,3239,2110,0.6223,0.7313,0.1981,0.2823,0.5554,0.1759,0.0459,0.0191,2575
