an_profil,an_donnee,cod_mrc,nom_mrc,PRC1420,PRC1520,PRC1620,PRC2220,PRC2320,PRC2020,PFRAT0121
2018,2018,AR011,Hors MRC - Les Îles de la Madeleine,0.797500,0.140500,0.013800,0.048100,127693.000000,111180.000000,91164.000000
2018,2018,AR020,Le Rocher-Percé,0.811100,0.135200,0.007800,0.045900,107585.000000,89984.000000,87302.000000
2018,2018,AR030,La Côte-de-Gaspé,0.815900,0.129100,0.004400,0.050600,146906.000000,120139.000000,118691.000000
2018,2018,AR040,La Haute-Gaspésie,0.828400,0.128600,0.013000,0.030000,104774.000000,86066.000000,85993.000000
2018,2018,AR050,Bonaventure,0.807200,0.106600,0.027900,0.058400,132975.000000,108531.000000,85860.000000
2018,2018,AR060,Avignon,0.812100,0.104600,0.022700,0.060500,137959.000000,109161.000000,98836.000000
2018,2018,AR070,La Matapédia,0.639500,0.255900,0.091000,0.013700,111741.000000,90649.000000,104258.000000
2018,2018,AR080,La Matanie,0.749500,0.185000,0.048600,0.016900,136316.000000,103923.000000,138172.000000
2018,2018,AR090,La Mitis,0.773400,0.105300,0.094700,0.026700,134974.000000,110620.000000,129968.000000
2018,2018,AR100,Rimouski-Neigette,0.811500,0.146200,0.024100,0.018200,194678.000000,144282.000000,209705.000000
2018,2018,AR110,Les Basques,0.731200,0.102100,0.123900,0.042800,116259.000000,97343.000000,101093.000000
2018,2018,AR120,Rivière-du-Loup,0.740100,0.173800,0.053600,0.032500,176932.000000,132449.000000,185353.000000
2018,2018,AR130,Témiscouata,0.701400,0.119400,0.111700,0.067500,114326.000000,93603.000000,102781.000000
2018,2018,AR140,Kamouraska,0.675600,0.120600,0.182400,0.021400,145773.000000,119446.000000,142323.000000
2018,2018,AR150,Charlevoix-Est,0.753400,0.197800,0.020300,0.028400,159469.000000,128035.000000,145158.000000
2018,2018,AR160,Charlevoix,0.654700,0.171700,0.046800,0.126800,227242.000000,176612.000000,181790.000000
2018,2018,AR170,L'Islet,0.673000,0.104900,0.174400,0.047700,124342.000000,107594.000000,110467.000000
2018,2018,AR180,Montmagny,0.693800,0.121100,0.125500,0.059600,155883.000000,125020.000000,149031.000000
2018,2018,AR190,Bellechasse,0.672600,0.085600,0.188300,0.053400,188593.000000,161506.000000,184328.000000
2018,2018,AR200,L'Île-d'Orléans,0.769500,0.034800,0.165500,0.030200,346670.000000,293591.000000,310361.000000
2018,2018,AR210,La Côte-de-Beaupré,0.850700,0.085600,0.016800,0.046900,259751.000000,217766.000000,226256.000000
2018,2018,AR220,La Jacques-Cartier,0.873600,0.055800,0.009500,0.061000,315837.000000,290189.000000,279026.000000
2018,2018,AR231,Hors MRC - Québec,0.791900,0.187800,0.003600,0.016700,288055.000000,196727.000000,420919.000000
2018,2018,AR251,Hors MRC - Lévis,0.804400,0.151500,0.012000,0.032200,278837.000000,218951.000000,334594.000000
2018,2018,AR260,La Nouvelle-Beauce,0.683200,0.113900,0.178300,0.024600,201427.000000,169752.000000,207906.000000
