an_profil,an_donnee,cod_mrc,nom_mrc,PRC0320,PRC3120,PRC4320,PRC3220,PRC4420,PRC2720,PRC3520,PRC3620,PRC2820,PRC2920,PRC3720,PRC2520,PRC2120,PRC3820,PRC0120,PRC3020,PRC4520,PRC0220,PRC3920,PRC4020,PRC4220
2020,2019,AR011,Hors MRC - Les Iles de la Madeleine,0.029700,2666.000000,4030.000000,1607.000000,2308.000000,0.599900,0.435900,0.164000,0.055100,0.189600,0.155400,0.207200,0.570800,0.093300,0.027500,2474.000000,3739.000000,0.155800,0.230400,1.642500,1894.000000
2020,2019,AR020,Le Rocher-Perce,0.027300,2448.000000,3195.000000,1592.000000,1939.000000,0.662300,0.486900,0.175400,0.053300,0.159000,0.125500,0.164500,0.585300,0.046700,0.026900,2411.000000,3147.000000,0.197000,0.178000,1.443200,1446.000000
2020,2019,AR030,La Cote-de-Gaspe,0.026000,2875.000000,3883.000000,1763.000000,2106.000000,0.598700,0.437200,0.161500,0.074000,0.099100,0.228100,0.301600,0.580100,0.028600,0.035000,3871.000000,5230.000000,0.237900,0.333600,1.331700,1668.000000
2020,2019,AR040,La Haute-Gaspesie,0.026500,2186.000000,2745.000000,1476.000000,1690.000000,0.617200,0.457300,0.159800,0.067100,0.191100,0.124600,0.229200,0.547800,0.040800,0.009000,742.000000,932.000000,0.143800,0.126800,1.669200,1469.000000
2020,2019,AR050,Bonaventure,0.025600,2183.000000,3311.000000,1292.000000,1845.000000,0.557300,0.436700,0.120600,0.031700,0.134500,0.276600,0.165000,0.598000,0.055700,0.039300,3349.000000,5079.000000,0.351900,0.337300,1.404100,1589.000000
2020,2019,AR060,Avignon,0.026400,2474.000000,3511.000000,1337.000000,1742.000000,0.539100,0.383200,0.155900,0.048900,0.178500,0.233500,0.213800,0.534000,0.048700,0.028000,2621.000000,3720.000000,0.245800,0.308600,1.337600,1509.000000
2020,2019,AR070,La Matapedia,0.026200,2642.000000,3380.000000,1651.000000,1981.000000,0.598400,0.441200,0.157200,0.032100,0.208000,0.161500,0.275100,0.568900,0.064500,0.071000,7162.000000,9163.000000,0.174900,0.273900,1.485600,1420.000000
2020,2019,AR080,La Matanie,0.025800,3435.000000,3378.000000,2545.000000,2350.000000,0.667300,0.524600,0.142700,0.046600,0.116700,0.169400,0.162800,0.512100,0.062200,0.025000,3324.000000,3269.000000,0.190500,0.289400,1.644900,1724.000000
2020,2019,AR090,La Mitis,0.024000,3064.000000,3228.000000,1959.000000,1973.000000,0.588800,0.441800,0.147000,0.072600,0.168100,0.170400,0.386200,0.623600,0.118300,0.025200,3222.000000,3395.000000,0.129300,0.165500,1.511700,1643.000000
2020,2019,AR100,Rimouski-Neigette,0.018000,3769.000000,3191.000000,2762.000000,2262.000000,0.714400,0.552300,0.162100,0.055000,0.067800,0.162900,0.121800,0.609900,0.041400,0.012800,2663.000000,2255.000000,0.116800,0.199700,1.218200,1836.000000
2020,2019,AR110,Les Basques,0.026100,2644.000000,3291.000000,1737.000000,2054.000000,0.620400,0.466200,0.154300,0.034200,0.156000,0.189300,0.319200,0.608600,0.034300,0.025300,2560.000000,3186.000000,0.207300,0.171200,1.657800,1687.000000
2020,2019,AR120,Riviere-du-Loup,0.019000,3540.000000,3311.000000,2761.000000,2465.000000,0.694200,0.545200,0.149000,0.046600,0.073900,0.185400,0.232300,0.603700,0.057500,0.019900,3705.000000,3465.000000,0.169700,0.243000,1.335500,1891.000000
2020,2019,AR130,Temiscouata,0.029100,2933.000000,3743.000000,1647.000000,1957.000000,0.529300,0.394600,0.134700,0.048900,0.188200,0.233600,0.283100,0.629700,0.096300,0.021600,2177.000000,2778.000000,0.176600,0.223800,1.547200,1488.000000
2020,2019,AR140,Kamouraska,0.020000,2753.000000,3271.000000,1949.000000,2217.000000,0.687900,0.509900,0.178000,0.054900,0.137600,0.119600,0.404400,0.573800,0.093100,0.023900,3294.000000,3914.000000,0.171800,0.148400,1.380600,1677.000000
2020,2019,AR150,Charlevoix-Est,0.021000,2970.000000,3262.000000,2410.000000,2516.000000,0.800100,0.576700,0.223400,0.036500,0.035400,0.128000,0.299800,0.554700,0.030000,0.016800,2381.000000,2615.000000,0.188100,0.201500,1.496000,1966.000000
2020,2019,AR160,Charlevoix,0.014700,2806.000000,3761.000000,2118.000000,2760.000000,0.739700,0.545700,0.194000,0.103800,0.028600,0.127800,0.179100,0.645800,0.055300,0.033700,6424.000000,8610.000000,0.212500,0.379700,1.093000,1986.000000
2020,2019,AR170,L'Islet,0.019900,2158.000000,2912.000000,1443.000000,1861.000000,0.677200,0.520000,0.157200,0.033300,0.183200,0.106400,0.399700,0.570100,0.030400,0.012700,1377.000000,1859.000000,0.159800,0.252200,1.262900,1432.000000
2020,2019,AR180,Montmagny,0.018700,2736.000000,3274.000000,2107.000000,2418.000000,0.748300,0.566800,0.181500,0.046500,0.079300,0.125900,0.211700,0.608800,0.047900,0.020300,2980.000000,3566.000000,0.242700,0.239300,1.323900,1702.000000
2020,2019,AR190,Bellechasse,0.014400,2602.000000,3104.000000,2067.000000,2359.000000,0.762200,0.571200,0.191000,0.015800,0.059300,0.162700,0.300700,0.568000,0.025400,0.019400,3496.000000,4170.000000,0.189700,0.264100,1.088400,1791.000000
2020,2019,AR200,L'Ile-d'Orleans,0.007700,2308.000000,2530.000000,1836.000000,1949.000000,0.808500,0.647200,0.161300,0.010400,0.050600,0.130500,0.301100,0.676400,0.078700,0.005800,1715.000000,1880.000000,0.156500,0.242400,0.579600,1687.000000
2020,2019,AR210,La Cote-de-Beaupre,0.013500,3066.000000,3264.000000,2415.000000,2484.000000,0.720100,0.590700,0.129300,0.015400,0.111300,0.153200,0.135900,0.653200,0.075500,0.030300,6856.000000,7298.000000,0.228500,0.370600,0.945200,2128.000000
2020,2019,AR220,La Jacques-Cartier,0.011700,3221.000000,3799.000000,2514.000000,2837.000000,0.754600,0.587300,0.167300,0.062600,0.031500,0.151300,0.172300,0.669900,0.049300,0.020600,5679.000000,6699.000000,0.191300,0.357600,0.883200,2633.000000
2020,2019,AR231,Hors MRC - Quebec,0.020200,8636.000000,5133.000000,6436.000000,3754.000000,0.668200,0.576500,0.091700,0.064300,0.076600,0.190900,0.159400,0.629600,0.054900,0.023800,10138.000000,6025.000000,0.211800,0.290000,1.147200,2326.000000
2020,2019,AR251,Hors MRC - Levis,0.016500,5304.000000,4290.000000,4474.000000,3417.000000,0.786100,0.665400,0.120700,0.025100,0.053800,0.135000,0.073800,0.585900,0.061900,0.026200,8423.000000,6813.000000,0.216300,0.369500,1.033600,2314.000000
2020,2019,AR260,La Nouvelle-Beauce,0.016800,3413.000000,3729.000000,2625.000000,2756.000000,0.726700,0.560800,0.165900,0.013900,0.056300,0.203000,0.281200,0.640100,0.036400,0.022600,4582.000000,5006.000000,0.223200,0.289400,1.165400,2038.000000
