cod_geo_n,an_profil,an_donnee,RFU3000,RFU3001,POSTE_3171,RF35010601,POSTE_3163,POSTE_9615,RF01010601,RF31010601,RF01010103,POSTE_9600,RF01010104,POSTE_224b,POSTE_5428,RF31010402,RF01010201,POSTE_9641,RF01010525,RF31010501,POSTE_3181,RF35021001,POSTE_1443,POSTE_1508,POSTE_8978,POSTE_8958,POSTE_8938,RF05021002,RF06010101,POSTE_3047,RF12010101,POSTE_6805,PRN0300,POSTE_6827,POSTE_6833,PRN0200,PRN0100,POSTE_6825,PRC0300,PRC0301,PRC3100,PRC3102,PRC3101,PRC3103,PRC3200,PRC3202,PRC3201,PRC3203,PRC2700,PRC3500,PRC3600,PRC2800,PRC2900,PRC3700,PRC2500,PRC2100,PRC3800,PRC0100,PRC0102,PRC0101,PRC3000,PRC3002,PRC3001,PRC3003,PRC0200,PRC3900,nom_mun,classe_population,designation,cod_mrc,nom_mrc,cod_ra,nom_ra,population
AG010,2016,2015,0,1018700661.2,0,15440734,0,6184377,0,13687492,0,3588253,0,2596124,0,7983,0,705186,0,3024724,0,15190466.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149,0,0,0,0,1344,0,0,0,577,0,0,0,0,0,0,0,0,0,0,0.0055,0,0,0,0,495,0,0,Les Iles-de-la-Madeleine,10 000 @ 24 999,AG,,,11,Gaspesie--Iles-de-la-Madeleine,12513
AG230,2016,2015,0,72206942733,0,0,0,2835023,0,0,0,0,0,2835023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quebec,100 000 et plus,AG,,,03,Capitale-Nationale,572012
AG410,2016,2015,0,644014906.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cookshire-Eaton,2 000 @ 9 999,AG,,,05,Estrie,5990
AG582,2016,2015,0,53024864854,0,0,0,1743538,0,0,0,0,0,1743538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Longueuil,100 000 et plus,AG,,,16,Monteregie,415978
AG660,2016,2015,0,284330748784,0,0,0,45377000,0,0,0,86000,0,45291000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Montreal,100 000 et plus,AG,,,06,Montreal,1974408
AG770,2016,2015,0,848760062.9,0,0,0,17200,0,0,0,0,0,17200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sainte-Marguerite--Esterel,2 000 @ 9 999,AG,,,15,Laurentides,3049
AG780,2016,2015,0,1870601978.2,0,4625804,0,3214594,0,4621804,0,3160045,0,54549,0,60646,0,263682,0,176395,0,4398364.4035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023,0,0,0,0,418,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,364,0,0,Sainte-Agathe-des-Monts,10 000 @ 24 999,AG,,,15,Laurentides,11026
AG781,2016,2015,0,3803590993.6,0,18300651,0,16679431,0,18275660,0,16332839,0,346592,0,103328,0,144481,0,288668,0,19911635.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052,0,0,0,0,1581,0,0,0,1365,0,0,0,0,0,0,0,0,0,0,0.0031,0,0,0,0,955,0,0,Mont-Tremblant,2 000 @ 9 999,AG,,,15,Laurentides,9671
AG790,2016,2015,0,1345318637,0,0,0,62627,0,0,0,0,0,62627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mont-Laurier,10 000 @ 24 999,AG,,,15,Laurentides,14721
AG791,2016,2015,0,794273669.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Riviere-Rouge,2 000 @ 9 999,AG,,,15,Laurentides,5573
AG900,2016,2015,0,1060302531.1,0,0,0,55532,0,0,0,0,0,55532,0,0,0,243692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,La Tuque,10 000 @ 24 999,AG,,,04,Mauricie,11747
01023,2016,2015,987771035.37,0,28758136,13458197,15024344,8839967,25882857,12336160,10179989,6591736,4844355,2248231,39664,31681,1461449,756263,4385299,1360575,27305514,12115046.188,0,11167261,16763610,5596349,11167261,6367561,106444453,31617262,3512831,0,0,0,0,0,0,0,0.0122,0.0271,1126,1372,2498,0,865,587,1452,0,0.5805,0.3933,0.1872,0.0565,0.1694,0.1936,0.1357,0.5646,0.0389,0.0113,0,0.0168,1041,506,1547,0,0.2193,0.297,Les Iles-de-la-Madeleine,10 000 @ 24 999,M,AR011,Hors MRC - Les Iles de la Madeleine,11,Gaspesie--Iles-de-la-Madeleine,12054
