an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,cod_cm,nom_cm,RFU3000,RFU3001,POSTE_3171,RF35010601,POSTE_3163,POSTE_9615,RF01010601,RF31010601,RF01010103,POSTE_9600,RF01010104,POSTE_224b,POSTE_5428,RF31010402,RF01010201,POSTE_9641,RF01010525,RF31010501,POSTE_3181,RF35021001,POSTE_1443,POSTE_1508,POSTE_8978,POSTE_8958,POSTE_8938,RF05021002,RF06010101,POSTE_3047,RF12010101,POSTE_6805,PRN0300,POSTE_6827,POSTE_6833,PRN0200,PRN0100,POSTE_6825,PRC0300,PRC0301,PRC3100,PRC3102,PRC3101,PRC3103,PRC4300,PRC4302,PRC4301,PRC3200,PRC3202,PRC3201,PRC3203,PRC4400,PRC4402,PRC4401,PRC2700,PRC3500,PRC3600,PRC2800,PRC2900,PRC3700,PRC2500,PRC2100,PRC3800,PRC0100,PRC0102,PRC0101,PRC3000,PRC3002,PRC3001,PRC3003,PRC4500,PRC4502,PRC4501,PRC0200,PRC3900,PRC4000,PRC4001,PRC4200,PRC4202,PRC4201,IND0201,IND0401
2018,2017,AG010,Les Îles-de-la-Madeleine,AG,12312,10 000 @ 24 999,,,11,Gaspésie--Îles-de-la-Madeleine,,,,994317485.000000,,12356843.000000,,6548287.000000,,12319750.000000,,3936181.000000,,2612106.000000,,0.000000,,671058.000000,,3639236.000000,,13115828.754894,,,,,,,,,,,,,,,,,0.013200,,,,,1159.000000,,,,,,,610.000000,,,,,,,,,,,,,,0.007300,,,,,639.000000,,,,,,0.554600,,626.000000,,,,
2018,2017,AG230,Québec,AG,581942,100 000 et plus,,,03,Capitale-Nationale,,,,74972820759.150000,,,,3128764.000000,,,,,,3128764.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2017,AG410,Cookshire-Eaton,AG,6007,2 000 @ 9 999,,,05,Estrie,,,,625854448.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2017,AG582,Longueuil,AG,425276,100 000 et plus,,,16,Montérégie,,,,55552794076.900000,,,,2176417.000000,,,,,,2176417.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2017,AG660,Montréal,AG,2011778,100 000 et plus,,,06,Montréal,,,,301119613474.250000,,,,48704000.000000,,,,,,48704000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,
2018,2017,AG770,Sainte-Marguerite--Estérel,AG,3087,2 000 @ 9 999,,,15,Laurentides,,,,896021116.800000,,,,19815.000000,,,,,,19815.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2017,AG780,Sainte-Agathe-des-Monts,AG,10969,10 000 @ 24 999,,,15,Laurentides,,,,1857533875.000000,,5007352.000000,,3548355.000000,,5007352.000000,,3484891.000000,,63464.000000,,50867.000000,,257559.000000,,149887.000000,,5057348.091155,,,,,,,,,,,,,,,,,0.002700,,,,,480.000000,,,,,,,373.000000,,,,,,,,,,,,,,0.002300,,,,,404.000000,,,,,,0.192400,,391.000000,,,,
2018,2017,AG781,Mont-Tremblant,AG,9660,2 000 @ 9 999,,,15,Laurentides,,,,3894727820.000000,,18871727.000000,,17258622.000000,,18841020.000000,,16915804.000000,,342818.000000,,107611.000000,,137309.000000,,286430.000000,,20381216.120637,,,,,,,,,,,,,,,,,0.005200,,,,,1609.000000,,,,,,,1405.000000,,,,,,,,,,,,,,0.002600,,,,,816.000000,,,,,,0.378300,,1141.000000,,,,
2018,2017,AG790,Mont-Laurier,AG,14743,10 000 @ 24 999,,,15,Laurentides,,,,1475156522.000000,,,,74804.000000,,,,,,74804.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2017,AG791,Rivière-Rouge,AG,5516,2 000 @ 9 999,,,15,Laurentides,,,,733932250.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2017,AG900,La Tuque,AG,11533,10 000 @ 24 999,,,04,Mauricie,,,,1085572353.000000,,,,66308.000000,,,,,,66308.000000,,,,243663.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
