an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,cod_cm,nom_cm,RFU3000,RFU3001,POSTE_3171,RF35010601,POSTE_3163,POSTE_9615,RF01010601,RF31010601,RF01010103,RF31010101,RF01010104,RF31010102,POSTE_5428,RF31010402,RF01010201,POSTE_9641,RF01010525,RF31010501,POSTE_3181,RF35021001,POSTE_1443,POSTE_8978,POSTE_8958,POSTE_4669,RF05021002,RF06010101,POSTE_3047,RF12010101,POSTE_6805,PRN0300,POSTE_6827,POSTE_6833,PRN0200,PRN0100,POSTE_6825,PRC0300,PRC0301,PRC3100,PRC3102,PRC3101,PRC3103,PRC4300,PRC4302,PRC4301,PRC3200,PRC3202,PRC3201,PRC3203,PRC4400,PRC4402,PRC4401,PRC2700,PRC3500,PRC3600,PRC2800,PRC2900,PRC3700,PRC2500,PRC2100,PRC3800,PRC0100,PRC0102,PRC0101,PRC3000,PRC3002,PRC3001,PRC3003,PRC4500,PRC4502,PRC4501,PRC0200,PRC3900,PRC4000,PRC4001,PRC4200,PRC4202,PRC4201,IND0201,IND0401
2020,2019,AG010,Iles-de-la-Madeleine,AG,12832,10 000 @ 24 999,,,11,Gaspesie--Iles-de-la-Madeleine,,,,1020023191.000000,,13928645.000000,,7511038.000000,,13882422.000000,,4841487.000000,,2669552.000000,,0.000000,,761438.000000,,4091452.000000,,15435927.849935,,,,,,,,,,,,,,,,0.015100,,,,,1360.000000,,,,,,,697.000000,,,,,,,,,,,,,,0.006600,,,,,589.000000,,,,,,0.634700,,732.000000,,,,
2020,2019,AG230,Quebec,AG,579420,100 000 et plus,,,03,Capitale-Nationale,,,,79060736326.590000,,,,3188898.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2019,AG410,Cookshire-Eaton,AG,6197,2 000 @ 9 999,,,05,Estrie,,,,652641126.985000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2019,AG582,Longueuil,AG,426379,100 000 et plus,,,16,Monteregie,,,,59305470306.500000,,,,2252299.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2019,AG660,Montreal,AG,1999883,100 000 et plus,,,06,Montreal,,,,321210133083.372000,,,,49385000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,
2020,2019,AG770,Sainte-Marguerite--Esterel,AG,3186,2 000 @ 9 999,,,15,Laurentides,,,,958162676.120000,,,,20722.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2019,AG780,Sainte-Agathe-des-Monts,AG,11026,10 000 @ 24 999,,,15,Laurentides,,,,1932715963.500000,,7327286.000000,,4516767.000000,,7302938.000000,,4450963.000000,,65804.000000,,41182.000000,,281608.000000,,170349.000000,,5780655.859295,,,,,,,,,,,,,,,,0.003000,,,,,551.000000,,,,,,,475.000000,,,,,,,,,,,,,,0.003700,,,,,692.000000,,,,,,0.237500,,481.000000,,,,
2020,2019,AG781,Mont-Tremblant,AG,10052,10 000 @ 24 999,,,15,Laurentides,,,,4182263108.040000,,20209120.000000,,18885081.000000,,20194120.000000,,18587315.000000,,297766.000000,,140240.000000,,148767.000000,,210210.000000,,20694721.474069,,,,,,,,,,,,,,,,0.004900,,,,,1607.000000,,,,,,,1518.000000,,,,,,,,,,,,,,0.002100,,,,,697.000000,,,,,,0.384100,,1262.000000,,,,
2020,2019,AG790,Mont-Laurier,AG,14983,10 000 @ 24 999,,,15,Laurentides,,,,1535031063.000000,,,,78438.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2019,AG791,Riviere-Rouge,AG,5533,2 000 @ 9 999,,,15,Laurentides,,,,755015197.495000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
