an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,cod_cm,nom_cm,RFU3000,RFU3001,RFU0700,RFU0702,PRR0202,PRR0203,RFU0400,RFU0401,RFU0500,RFU0501,RFU0600,RFU0601,PRC1400,PRC1401,PRC1500,PRC1501,PRC1600,PRC1601,PRC2200,PRC2201,PRC2300,PRC2000,RAT0130,RAT0131,IND0102,RFU3002,RFU3003
2020,2020,AG010,Iles-de-la-Madeleine,AG,12615,10 000 @ 24 999,,,11,Gaspesie--Iles-de-la-Madeleine,,,,1090605007.500000,,998856500.000000,,800447100.000000,,137551500.000000,,14595200.000000,,46262700.000000,,0.801400,,0.137700,,0.014600,,0.046300,,,,99653.000000,,,10944.000000
2020,2020,AG230,Quebec,AG,583162,100 000 et plus,,,03,Capitale-Nationale,,,,79610632166.497900,,73232870540.300000,,57537461446.280000,,14136819461.520000,,269147370.000000,,1289442262.500000,,0.785700,,0.193000,,0.003700,,0.017600,,,,433156.000000,,,183792.000000
2020,2020,AG410,Cookshire-Eaton,AG,6175,2 000 @ 9 999,,,05,Estrie,,,,678581872.125000,,671310876.000000,,331354974.000000,,161941062.000000,,172932447.000000,,5082393.000000,,0.493600,,0.241200,,0.257600,,0.007600,,,,192451.000000,,,3526.000000
2020,2020,AG582,Longueuil,AG,430724,100 000 et plus,,,16,Monteregie,,,,62219655377.330000,,60503988638.000000,,50133792821.000000,,9438443953.000000,,119157792.000000,,812594072.000000,,0.828600,,0.156000,,0.002000,,0.013400,,,,444887.000000,,,139855.000000
2020,2020,AG660,Montreal,AG,2050053,100 000 et plus,,,06,Montreal,,,,355647415365.465000,,333487925999.000000,,267876098175.000000,,62312987078.000000,,27835600.000000,,3271005146.000000,,0.803300,,0.186900,,0.000100,,0.009800,,,,740633.000000,,,480194.000000
2020,2020,AG770,Sainte-Marguerite--Esterel,AG,3284,2 000 @ 9 999,,,15,Laurentides,,,,1011920216.000000,,1010303700.000000,,827312400.000000,,91711700.000000,,739800.000000,,90539800.000000,,0.818900,,0.090800,,0.000700,,0.089600,,,,183153.000000,,,5525.000000
2020,2020,AG780,Sainte-Agathe-des-Monts,AG,11202,10 000 @ 24 999,,,15,Laurentides,,,,1949884569.500000,,1874027300.000000,,1486410800.000000,,261976300.000000,,662400.000000,,124977800.000000,,0.793200,,0.139800,,0.000400,,0.066700,,,,203771.000000,,,9569.000000
2020,2020,AG781,Mont-Tremblant,AG,10157,10 000 @ 24 999,,,15,Laurentides,,,,4364010329.500000,,4335341600.000000,,2705565600.000000,,1179346200.000000,,21634900.000000,,428794900.000000,,0.624100,,0.272000,,0.005000,,0.098900,,,,341125.000000,,,12793.000000
2020,2020,AG790,Mont-Laurier,AG,14934,10 000 @ 24 999,,,15,Laurentides,,,,1540080197.250000,,1429622064.000000,,1002680556.000000,,318477720.000000,,38130642.000000,,70333146.000000,,0.701400,,0.222800,,0.026700,,0.049200,,,,191433.000000,,,8045.000000
2020,2020,AG791,Riviere-Rouge,AG,5517,2 000 @ 9 999,,,15,Laurentides,,,,822051514.000000,,749845900.000000,,620281300.000000,,45361800.000000,,8608100.000000,,75594700.000000,,0.827200,,0.060500,,0.011500,,0.100800,,,,151057.000000,,,5442.000000
2020,2020,AG900,La Tuque,AG,11722,10 000 @ 24 999,,,04,Mauricie,,,,1179003906.840000,,1122105276.000000,,862934782.000000,,226088367.000000,,6628258.000000,,26453869.000000,,0.769000,,0.201500,,0.005900,,0.023600,,,,96989.000000,,,12156.000000
2020,2020,01023,Les Iles-de-la-Madeleine,M,12146,10 000 @ 24 999,AR011,Hors MRC - Les Iles de la Madeleine,11,Gaspesie--Iles-de-la-Madeleine,,,1054957964.500000,,965463700.000000,,778576900.000000,,127209100.000000,,14595200.000000,,45082500.000000,,0.806400,,0.131800,,0.015100,,0.046700,,139861.000000,121280.000000,101331.000000,,35.000000,10411.000000,
2020,2020,01042,Grosse-Ile,M,469,1 @ 1 999,AR011,Hors MRC - Les Iles de la Madeleine,11,Gaspesie--Iles-de-la-Madeleine,,,35647043.000000,,33392800.000000,,21870200.000000,,10342400.000000,,,,1180200.000000,,0.654900,,0.309700,,,,0.035300,,94890.000000,88884.000000,66880.000000,,50.000000,533.000000,
2020,2020,02005,Perce,V,3051,2 000 @ 9 999,AR020,Le Rocher-Perce,11,Gaspesie--Iles-de-la-Madeleine,,,251569044.135000,,235032177.000000,,181672923.000000,,34574724.000000,,3374289.000000,,15410241.000000,,0.773000,,0.147100,,0.014400,,0.065600,,104037.000000,93966.000000,75410.000000,,35.000000,3336.000000,
2020,2020,02010,Sainte-Therese-de-Gaspe,M,995,1 @ 1 999,AR020,Le Rocher-Perce,11,Gaspesie--Iles-de-la-Madeleine,,,59542594.500000,,58538300.000000,,47073800.000000,,9591000.000000,,336200.000000,,1537300.000000,,0.804200,,0.163800,,0.005700,,0.026300,,106393.000000,92771.000000,86544.000000,,64.000000,688.000000,
2020,2020,02015,Grande-Riviere,V,3429,2 000 @ 9 999,AR020,Le Rocher-Perce,11,Gaspesie--Iles-de-la-Madeleine,,,216026164.715000,,190412289.000000,,161025462.000000,,24811979.000000,,252350.000000,,4322498.000000,,0.845700,,0.130300,,0.001300,,0.022700,,118786.000000,92178.000000,108230.000000,,51.000000,1996.000000,
2020,2020,02028,Chandler,V,7441,2 000 @ 9 999,AR020,Le Rocher-Perce,11,Gaspesie--Iles-de-la-Madeleine,,,500194915.910000,,452286383.000000,,369299531.000000,,69227319.000000,,1017676.000000,,12741857.000000,,0.816500,,0.153100,,0.002300,,0.028200,,121508.000000,96786.000000,111278.000000,,52.000000,4495.000000,
2020,2020,02047,Port-Daniel--Gascons,M,2236,2 000 @ 9 999,AR020,Le Rocher-Perce,11,Gaspesie--Iles-de-la-Madeleine,,,324227376.900000,,321258210.000000,,110472705.000000,,199102155.000000,,3112305.000000,,8571045.000000,,0.343900,,0.619800,,0.009700,,0.026700,,97560.000000,87339.000000,143463.000000,,67.000000,2260.000000,
2020,2020,03005,Gaspe,V,15179,10 000 @ 24 999,AR030,La Cote-de-Gaspe,11,Gaspesie--Iles-de-la-Madeleine,,,1399522504.000000,,1249677270.000000,,1022031010.000000,,158159560.000000,,4600700.000000,,64886000.000000,,0.817800,,0.126600,,0.003700,,0.051900,,167016.000000,134718.000000,137559.000000,,48.000000,10174.000000,
2020,2020,03010,Cloridorme,CT,626,1 @ 1 999,AR030,La Cote-de-Gaspe,11,Gaspesie--Iles-de-la-Madeleine,,,33955137.600000,,32865504.000000,,28313088.000000,,2804448.000000,,49824.000000,,1698144.000000,,0.861500,,0.085300,,0.001500,,0.051700,,73116.000000,68707.000000,40089.000000,,30.000000,847.000000,
2020,2020,03015,Petite-Vallee,M,174,1 @ 1 999,AR030,La Cote-de-Gaspe,11,Gaspesie--Iles-de-la-Madeleine,,,11012875.000000,,10987320.000000,,9295085.000000,,584630.000000,,215555.000000,,892050.000000,,0.846000,,0.053200,,0.019600,,0.081200,,86560.000000,71302.000000,39332.000000,,29.000000,280.000000,
2020,2020,03020,Grande-Vallee,M,1060,1 @ 1 999,AR030,La Cote-de-Gaspe,11,Gaspesie--Iles-de-la-Madeleine,,,83708855.500000,,77475300.000000,,66717400.000000,,7777000.000000,,332700.000000,,2648200.000000,,0.861100,,0.100400,,0.004300,,0.034200,,126381.000000,105410.000000,98365.000000,,73.000000,851.000000,
2020,2020,03025,Murdochville,V,594,1 @ 1 999,AR030,La Cote-de-Gaspe,11,Gaspesie--Iles-de-la-Madeleine,,,18334576.320000,,17625312.000000,,13796256.000000,,3555360.000000,,,,273696.000000,,0.782800,,0.201700,,,,0.015500,,34457.000000,26947.000000,37803.000000,,28.000000,485.000000,
2020,2020,04005,Sainte-Madeleine-de-la-Riviere-Madeleine,M,277,1 @ 1 999,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,,,29158806.000000,,29006046.000000,,23999508.000000,,2505720.000000,,317262.000000,,2183556.000000,,0.827400,,0.086400,,0.010900,,0.075300,,79237.000000,80344.000000,54605.000000,,41.000000,534.000000,
2020,2020,04010,Saint-Maxime-du-Mont-Louis,M,1088,1 @ 1 999,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,,,65807287.290000,,59786968.000000,,50637154.000000,,5606234.000000,,413612.000000,,3129968.000000,,0.847000,,0.093800,,0.006900,,0.052400,,88268.000000,75929.000000,68980.000000,,51.000000,954.000000,
2020,2020,04015,Mont-Saint-Pierre,VL,162,1 @ 1 999,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,,,12390340.000000,,12346880.000000,,9526856.000000,,2052796.000000,,135044.000000,,632184.000000,,0.771600,,0.166300,,0.010900,,0.051200,,71840.000000,64491.000000,45890.000000,,34.000000,270.000000,
2020,2020,04020,Riviere-a-Claude,M,125,1 @ 1 999,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,,,9988496.000000,,9988496.000000,,8405321.000000,,309262.000000,,104333.000000,,1169580.000000,,0.841500,,0.031000,,0.010400,,0.117100,,70640.000000,64412.000000,40769.000000,,30.000000,245.000000,
2020,2020,04025,Marsoui,VL,273,1 @ 1 999,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,,,12500280.510000,,11719965.000000,,9499504.000000,,1491462.000000,,48772.000000,,680227.000000,,0.810500,,0.127300,,0.004200,,0.058000,,56726.000000,50330.000000,42518.000000,,32.000000,294.000000,
2020,2020,04030,La Martre,M,216,1 @ 1 999,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,,,16093110.000000,,16051310.000000,,13580930.000000,,515350.000000,,390940.000000,,1564090.000000,,0.846100,,0.032100,,0.024400,,0.097400,,87011.000000,69786.000000,48767.000000,,36.000000,330.000000,
2020,2020,04037,Sainte-Anne-des-Monts,V,6273,2 000 @ 9 999,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,,,452648727.135000,,404717346.000000,,333014319.000000,,59892723.000000,,2210967.000000,,9599337.000000,,0.822800,,0.148000,,0.005500,,0.023700,,123271.000000,95485.000000,116183.000000,,54.000000,3896.000000,
2020,2020,04047,Cap-Chat,V,2327,2 000 @ 9 999,AR040,La Haute-Gaspesie,11,Gaspesie--Iles-de-la-Madeleine,,,163759800.890000,,154584244.000000,,123802652.000000,,21728582.000000,,6176960.000000,,2876050.000000,,0.800900,,0.140600,,0.040000,,0.018600,,98659.000000,84291.000000,80353.000000,,38.000000,2038.000000,
2020,2020,05010,Shigawake,M,275,1 @ 1 999,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,,,17527719.275000,,17460880.000000,,12696407.000000,,650844.000000,,1909708.000000,,2203921.000000,,0.727100,,0.037300,,0.109400,,0.126200,,78245.000000,74745.000000,38778.000000,,29.000000,452.000000,
2020,2020,05015,Saint-Godefroi,CT,335,1 @ 1 999,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,,,23445581.000000,,23389446.000000,,19170566.000000,,1463630.000000,,829665.000000,,1925585.000000,,0.819600,,0.062600,,0.035500,,0.082300,,104101.000000,91538.000000,59206.000000,,44.000000,396.000000,
2020,2020,05020,Hope Town,M,363,1 @ 1 999,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,,,25548960.995000,,25546678.000000,,20441277.000000,,640248.000000,,1164621.000000,,3300532.000000,,0.800200,,0.025100,,0.045600,,0.129200,,122663.000000,104711.000000,49706.000000,,37.000000,514.000000,
2020,2020,05025,Hope,CT,580,1 @ 1 999,AR050,Bonaventure,11,Gaspesie--Iles-de-la-Madeleine,,,38286821.580000,,38286670.000000,,32772868.000000,,399090.000000,,934920.000000,,4179792.000000,,0.856000,,0.010400,,0.024400,,0.109200,,111244.000000,104211.000000,60105.000000,,45.000000,637.000000,
