an_profil,an_donnee,cod_ra,desc_ra,PRC0370,PRC2970,PRC3770,PRC2570,PRC2170,PRC3870,PRC0170,PRC3070,PRC4570,PRC0270,PRC3970,PRC3170,PRC4070,PRC4270,PRC4370,PRC3270,PRC4470,PRC2770,PRC3570,PRC3670,PRC2870
2023,2022,RAD01,Bas-Saint-Laurent,0.022700,0.123800,0.180300,0.246500,0.589300,0.064200,0.022000,3739.000000,3783.000000,0.145100,0.213400,3851.000000,1.420300,1878.000000,3896.000000,2599.000000,2499.000000,0.640200,0.490100,0.150100,0.055700
2023,2022,RAD02,Saguenay--Lac-Saint-Jean,0.024500,0.067600,0.220400,0.087100,0.571500,0.054800,0.028000,6154.000000,5508.000000,0.178600,0.305300,5372.000000,1.349000,1962.000000,4808.000000,3526.000000,2983.000000,0.637500,0.522600,0.114800,0.074500
2023,2022,RAD03,Capitale-Nationale,0.019900,0.110900,0.192600,0.202100,0.638700,0.061200,0.021000,7892.000000,5588.000000,0.188300,0.266700,7497.000000,1.105300,2352.000000,5308.000000,5350.000000,3689.000000,0.641100,0.545700,0.095500,0.055400
2023,2022,RAD04,Mauricie,0.025200,0.105100,0.190600,0.160000,0.573200,0.044600,0.029400,5822.000000,4855.000000,0.179500,0.324400,4990.000000,1.481400,1906.000000,4160.000000,3293.000000,2620.000000,0.655200,0.537700,0.117500,0.049100
2023,2022,RAD05,Estrie,0.019300,0.066600,0.355000,0.220200,0.590600,0.061400,0.016600,4906.000000,4277.000000,0.125600,0.254700,5702.000000,0.964600,1969.000000,4971.000000,3328.000000,2772.000000,0.547700,0.447400,0.100300,0.030600
2023,2022,RAD06,Montréal,0.018200,0.081200,0.381200,0.153500,0.658200,0.078800,0.023900,20541.000000,9485.000000,0.213300,0.414400,15627.000000,0.724500,2351.000000,7216.000000,9407.000000,4250.000000,0.502800,0.489400,0.013400,0.034800
2023,2022,RAD07,Outaouais,0.016600,0.098400,0.179700,0.319000,0.617200,0.055800,0.014800,4593.000000,4295.000000,0.169900,0.253800,5124.000000,1.047300,2442.000000,4792.000000,3705.000000,3333.000000,0.645800,0.588600,0.057200,0.076100
2023,2022,RAD08,Abitibi-Témiscamingue,0.021100,0.114400,0.187600,0.223500,0.538800,0.044300,0.022800,4235.000000,4536.000000,0.186200,0.299000,3926.000000,1.186300,1935.000000,4205.000000,2743.000000,2641.000000,0.646000,0.508000,0.138000,0.052000
2023,2022,RAD09,Côte-Nord,0.032200,0.075200,0.218200,0.291700,0.535000,0.038500,0.032300,6026.000000,5626.000000,0.167500,0.275000,5996.000000,1.599100,1946.000000,5598.000000,4372.000000,3606.000000,0.634400,0.555300,0.079100,0.072200
2023,2022,RAD10,Nord-du-Québec,0.032400,0.143700,0.228200,0.678400,0.458900,0.033200,0.015900,2742.000000,3002.000000,0.191900,0.181300,5607.000000,1.572400,1818.000000,6137.000000,3863.000000,3517.000000,0.556100,0.472900,0.083300,0.072000
2023,2022,RAD11,Gaspésie--Îles-de-la-Madeleine,0.026400,0.137800,0.205400,0.210600,0.570300,0.058200,0.029600,3329.000000,4563.000000,0.192700,0.263800,2962.000000,1.382100,1716.000000,4060.000000,1746.000000,2208.000000,0.594700,0.438000,0.156600,0.062200
2023,2022,RAD12,Chaudière-Appalaches,0.017500,0.086700,0.163600,0.246100,0.589600,0.056700,0.021500,4859.000000,4912.000000,0.196300,0.287000,3966.000000,1.147100,2019.000000,4010.000000,3035.000000,2920.000000,0.721100,0.579700,0.141400,0.028600
2023,2022,RAD13,Laval,0.015500,0.036600,0.279200,0.127200,0.604900,0.067900,0.012900,6115.000000,4877.000000,0.130600,0.224100,7354.000000,0.831000,2761.000000,5865.000000,5653.000000,4118.000000,0.667100,0.568100,0.099000,0.017200
2023,2022,RAD14,Lanaudière,0.014700,0.035400,0.212400,0.187200,0.589700,0.063200,0.023400,6602.000000,6698.000000,0.174800,0.368500,4148.000000,0.955000,2296.000000,4209.000000,3162.000000,3024.000000,0.729900,0.575700,0.154200,0.022300
2023,2022,RAD15,Laurentides,0.013400,0.046600,0.215700,0.252500,0.565900,0.061800,0.016300,4702.000000,4960.000000,0.137700,0.311700,3887.000000,0.844200,2196.000000,4100.000000,3000.000000,2980.000000,0.712400,0.579900,0.132500,0.025300
2023,2022,RAD16,Montégie,0.013000,0.038700,0.299600,0.291200,0.606000,0.054400,0.015700,6436.000000,5486.000000,0.157300,0.285800,5323.000000,0.803500,2303.000000,4537.000000,4154.000000,3339.000000,0.641300,0.527100,0.114200,0.020500
2023,2022,RAD17,Centre-du-Québec,0.015600,0.087600,0.139100,0.294300,0.603200,0.074400,0.017000,4489.000000,4104.000000,0.122000,0.253600,4124.000000,1.065800,1686.000000,3771.000000,3222.000000,2839.000000,0.742900,0.598900,0.144000,0.030400
