POSTE,POSITION
001a,Page S12 Ligne 13
001c,Page S27 Ligne 58
001d,Page S50 Ligne 8
002a,Page S12 Ligne 14
002c,Page S27 Ligne 59
002d,Page S50 Ligne 8
003a,Page S12 Ligne 15
003c,Page S27 Ligne 60
003d,Page S51 Ligne 15
004a,Page S12 Ligne 17
004c,Page S27 Ligne 61
004d,Page S50 Ligne 8
005a,Page S12 Ligne 18
005c,Page S27 Ligne 62
005d,Page S51 Ligne 16
006a,Page S12 Ligne 19
006c,Page S27 Ligne 63
006d,Page S50 Ligne 9
007a,Page S12 Ligne 20
007c,Page S27 Ligne 64
007d,Page S51 Ligne 17
008a,Page S12 Ligne 21
008c,Page S27 Ligne 65
008d,Page S50 Ligne 9
009a,Page S12 Ligne 32
009c,Page S27 Ligne 66
009d,Page S50 Ligne 9
010a,Page S12 Ligne 34
010c,Page S27 Ligne 67
010d,Page S51 Ligne 18
011a,Page S12 Ligne 22
011c,Page S27 Ligne 68
011d,Page S50 Ligne 9
012a,Page S12 Ligne 23
012c,Page S27 Ligne 69
012d,Page S55 Ligne 19
013a,Page S12 Ligne 24
013c,Page S27 Ligne 70
013d,Page S67 Ligne 15
014a,Page S12 Ligne 25
014c,Page S27 Ligne 71
014d,Page S67 Ligne 16
015a,Page S12 Ligne 26
015c,Page S27 Ligne 72
015d,Page S67 Ligne 18
016a,Page S12 Ligne 27
016c,Page S27 Ligne 73
016d,Page S67 Ligne 19
017a,Page S12 Ligne 28
017c,Page S27 Ligne 74
017d,Page S67 Ligne 21
018a,Page S12 Ligne 29
018c,Page S27 Ligne 75
018d,Page S67 Ligne 22
019a,Page S12 Ligne 32
019c,Page S27 Ligne 76
019d,Page S67 Ligne 23
020a,Page S12 Ligne 14
020c,Page S27 Ligne 77
020d,Page S67 Ligne 24
021a,Page S12 Ligne 15
021c,Page S27 Ligne 78
021d,Page S67 Ligne 25
022a,Page S12 Ligne 17
022c,Page S27 Ligne 79
022d,Page S67 Ligne 26
023a,Page S12 Ligne 18
023c,Page S27 Ligne 80
023d,Page S67 Ligne 11
024a,Page S12 Ligne 19
024c,Page S27 Ligne 81
024d,Page S67 Ligne 14
025a,Page S12 Ligne 20
025c,Page S27 Ligne 82
025d,Page S67 Ligne 17
026a,Page S12 Ligne 21
026c,Page S27 Ligne 83
026d,Page S67 Ligne 20
027a,Page S12 Ligne 34
027c,Page S27 Ligne 84
027d,Page S51 Ligne 19
028a,Page S12 Ligne 13
028c,Page S27 Ligne 85
028d,Page S51 Ligne 20
029a,Page S12 Ligne 14
029c,Page S27 Ligne 86
029d,Page S51 Ligne 21
030a,Page S12 Ligne 15
