cod_geo,nom_organisme,desi_org,cod_mrc,nom_mrc,cod_cm,nom_cm,no_reg,desc_reg,type_org,population,no_occur,CPAAA00036,CPAAX00036,CPALX00036,LPAAA00036,LPAAX00036,LPALX00036,CPAAA01777,CPAAB01777,CPAAC01777,CPALA01777,CPALB01777,CPALC01777,LPAAX01777,LPALX01777
02015,Grande-Rivière,V,AR020,Le Rocher-Percé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,3324,1,,,,,,,,,,1770,1 - du 100 $ d'évaluation,Particip aux trav rte 132 Pabo,,"Belle-vue,Pionniers"
02015,Grande-Rivière,V,AR020,Le Rocher-Percé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,3324,2,,,,,,,,,,1770,1 - du 100 $ d'évaluation,Particip aux trav rte 132 Pabo,,St-Hilaire et rivière
02015,Grande-Rivière,V,AR020,Le Rocher-Percé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,3324,3,,,,,,,,,,1770,1 - du 100 $ d'évaluation,Particip aux trav rte 132 Pabo,,Général
02015,Grande-Rivière,V,AR020,Le Rocher-Percé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,3324,4,,,,,,,,,,2850000,4 - tarif fixe (compensation),Regl V-541/04,,Petit-Pabos
02015,Grande-Rivière,V,AR020,Le Rocher-Percé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,3324,5,,,,,,,,,,1455,1 - du 100 $ d'évaluation,Assainiss eaux,,Assainissement
02015,Grande-Rivière,V,AR020,Le Rocher-Percé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,3324,6,,,,,,,,,,2810000,4 - tarif fixe (compensation),Travaux 2009,,Rue Source
02015,Grande-Rivière,V,AR020,Le Rocher-Percé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,3324,7,,,,,,,,,,940000,4 - tarif fixe (compensation),Regl V-608/10,,Aqueduc général (mise normes)
02015,Grande-Rivière,V,AR020,Le Rocher-Percé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,3324,8,,,,,,,,,,4500000,4 - tarif fixe (compensation),Égout sanit et pluvial,,Rue Parc Nord
02015,Grande-Rivière,V,AR020,Le Rocher-Percé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,3324,9,,,,,,,,,,304,1 - du 100 $ d'évaluation,Financ.géréral,,Emprunt parapluie
02015,Grande-Rivière,V,AR020,Le Rocher-Percé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,3324,10,,,,,,,,,,500000,4 - tarif fixe (compensation),Part de l'ensemble,,Part Moulin
