cod_geo,nom_organisme,desi_org,cod_mrc,nom_mrc,cod_cm,nom_cm,no_reg,desc_reg,type_org,population,CPAAX01796,CPALX01796,CPAAX01798,CPALX01798
02015,Grande-Rivière,V,AR020,Le Rocher-Percé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,3324,,,,
02028,Chandler,V,AR020,Le Rocher-Percé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,7419,,,,
02047,Port-Daniel–Gascons,M,AR020,Le Rocher-Percé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,2300,,,,
03005,Gaspé,V,AR030,La Côte-de-Gaspé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,15137,,,,
03020,Grande-Vallée,M,AR030,La Côte-de-Gaspé,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,1069,,,,
04005,Sainte-Madeleine-de-la-Rivière-Madeleine,M,AR040,La Haute-Gaspésie,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,290,,,,
04010,Saint-Maxime-du-Mont-Louis,M,AR040,La Haute-Gaspésie,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,1046,,,,
04020,Rivière-à-Claude,M,AR040,La Haute-Gaspésie,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,151,,,,
04037,Sainte-Anne-des-Monts,V,AR040,La Haute-Gaspésie,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,6090,,,,
04047,Cap-Chat,V,AR040,La Haute-Gaspésie,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,2573,,,,
05015,Saint-Godefroi,CT,AR050,Bonaventure,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,366,,,,
05020,Hope Town,M,AR050,Bonaventure,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,335,,,,
05025,Hope,CT,AR050,Bonaventure,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,601,,,,
05050,Saint-Elzéar,M,AR050,Bonaventure,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,464,,,,
05055,Saint-Siméon,P,AR050,Bonaventure,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,1190,,,,
05065,Saint-Alphonse,M,AR050,Bonaventure,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,723,,,,
05070,New Richmond,V,AR050,Bonaventure,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,3806,,,,
05077,Cascapédia–Saint-Jules,M,AR050,Bonaventure,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,767,,,,
06005,Maria,M,AR060,Avignon,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,2728,,,,
06030,Pointe-à-la-Croix,M,AR060,Avignon,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,1316,,,,
06035,Ristigouche-Partie-Sud-Est,CT,AR060,Avignon,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,169,,,,
06040,Saint-André-de-Restigouche,M,AR060,Avignon,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,147,,,,
06045,Matapédia,M,AR060,Avignon,,,11,Gaspésie–Îles-de-la-Madeleine,Municipalité locale,561,,,,
