cod_geo,nom_organisme,desi_abr,population
01023,Les Îles-de-la-Madeleine,M,12711
01042,Grosse-Île,M,478
02005,Percé,V,3103
02010,Sainte-Thérèse-de-Gaspé,M,1023
03010,Cloridorme,CT,647
03015,Petite-Vallée,M,161
03025,Murdochville,V,608
04015,Mont-Saint-Pierre,VL,170
04025,Marsoui,VL,266
04030,La Martre,M,208
05010,Shigawake,M,284
05032,Paspébiac,V,3198
05040,New Carlisle,M,1436
05045,Bonaventure,V,2739
05060,Caplan,M,2016
06013,Carleton-sur-Mer,V,4190
06020,Nouvelle,M,1723
06025,Escuminac,M,566
06050,Saint-Alexis-de-Matapédia,M,493
06060,L'Ascension-de-Patapédia,M,168
07070,Saint-Tharcisius,P,426
07085,Sayabec,M,1777
07090,Saint-Cléophas,P,333
07105,Saint-Damase,P,358
08005,Les Méchins,M,973
08010,Saint-Jean-de-Cherbourg,P,179
08015,Grosses-Roches,M,403
08023,Sainte-Félicité,M,1144
08030,Saint-Adelme,P,514
08035,Saint-René-de-Matane,M,954
08040,Sainte-Paule,M,255
08065,Saint-Léandre,P,376
08073,Saint-Ulric,M,1617
09005,La Rédemption,P,430
09010,Saint-Charles-Garnier,P,249
09015,Les Hauteurs,M,458
09020,Sainte-Jeanne-d'Arc,P,274
09040,Padoue,M,249
09048,Métis-sur-Mer,V,574
09055,Saint-Octave-de-Métis,P,526
09085,Sainte-Flavie,P,839
10005,Esprit-Saint,M,321
10010,La Trinité-des-Monts,P,245
10015,Saint-Narcisse-de-Rimouski,P,1105
10025,Saint-Marcellin,P,374
10030,Saint-Anaclet-de-Lessard,P,3010
10060,Saint-Valérien,P,877
10070,Saint-Fabien,P,1796
10075,Saint-Eugène-de-Ladrière,P,400
11020,Saint-Guy,M,53
11025,Saint-Médard,M,197
11050,Saint-Mathieu-de-Rioux,M,711
11055,Saint-Simon-de-Rimouski,M,445
12010,Saint-Hubert-de-Rivière-du-Loup,M,1408
12015,Saint-Antonin,V,4339
12035,Saint-Paul-de-la-Croix,M,312
13015,Packington,P,600
13050,Lejeune,M,254
13065,Saint-Michel-du-Squatec,M,1032
13073,Témiscouata-sur-le-Lac,V,5088
13075,Saint-Pierre-de-Lamy,M,119
13095,Pohénégamook,V,2513
14030,Saint-Joseph-de-Kamouraska,P,396
14055,Saint-Denis-De La Bouteillerie,M,516
14065,Rivière-Ouelle,M,995
14085,La Pocatière,V,3905
17005,Saint-Omer,M,268
17045,Saint-Cyrille-de-Lessard,P,761
17055,Saint-Aubert,M,1456
17078,L'Islet,M,3931
18005,Saint-Just-de-Bretenières,M,659
18010,Lac-Frontière,M,190
18020,Sainte-Lucie-de-Beauregard,M,267
18030,Saint-Paul-de-Montminy,M,798
18055,Saint-Pierre-de-la-Rivière-du-Sud,P,917
18065,Berthier-sur-Mer,M,1744
18070,Saint-Antoine-de-l'Isle-aux-Grues,P,130
19082,Saint-Raphaël,M,2416
20030,Sainte-Pétronille,VL,1047
21010,Saint-Ferréol-les-Neiges,M,3646
21015,Saint-Louis-de-Gonzague-du-Cap-Tourmente,P,2
22015,Lac-Saint-Joseph,V,289
23015,Notre-Dame-des-Anges,P,321
29020,Saint-Hilaire-de-Dorset,P,99
29025,Saint-Évariste-de-Forsyth,M,593
29045,Saint-Martin,P,2580
30095,Lambton,M,1695
31008,Beaulac-Garthby,M,1026
31030,Saint-Fortunat,M,284
31045,Saint-Joseph-de-Coleraine,M,1840
31122,East Broughton,M,2232
32023,Sainte-Sophie-d'Halifax,M,603
33025,Saint-Patrice-de-Beaurivage,M,1059
33035,Saint-Gilles,M,2914
33095,Saint-Antoine-de-Tilly,M,1729
33115,Lotbinière,M,830
34007,Neuville,V,4669
34030,Cap-Santé,V,3629
34048,Portneuf,V,3376
34065,Saint-Marc-des-Carrières,V,3028
34085,Saint-Thuribe,P,310
34135,Rivière-à-Pierre,M,557
35010,Lac-aux-Sables,P,1346
35015,Saint-Adelphe,P,990
35020,Saint-Séverin,P,822
35035,Hérouxville,P,1409
35040,Grandes-Piles,VL,495
35045,Saint-Roch-de-Mékinac,P,314
35050,Sainte-Thècle,M,2510
35055,Trois-Rives,M,405
37225,Saint-Luc-de-Vincennes,M,570
37245,Saint-Stanislas,M,1028
37250,Saint-Prosper-de-Champlain,M,502
38020,Lemieux,M,299
38028,Manseau,M,836
38065,Saint-Pierre-les-Becquets,M,1126
39005,Saints-Martyrs-Canadiens,P,280
39020,Saint-Rémi-de-Tingwick,M,471
39035,Sainte-Hélène-de-Chester,M,413
39135,Saint-Valère,M,1237
39165,Maddington Falls,M,434
39170,Saint-Louis-de-Blandford,M,1186
40047,Danville,V,3884
41065,Westbury,CT,1097
41070,Bury,M,1185
41080,Scotstown,V,512
42070,Kingsbury,VL,143
45050,North Hatley,VL,690
45080,Saint-Benoît-du-Lac,M,27
45095,Bolton-Est,M,1133
46005,Abercorn,VL,370
46017,Saint-Armand,M,1261
46070,Brome,VL,297
47025,Waterloo,V,5318
47030,Warden,VL,391
49005,Saint-Félix-de-Kingsey,M,1499
49070,Saint-Cyrille-de-Wendover,M,5073
49105,Saint-Eugène,M,1198
50023,Saint-Wenceslas,M,1221
50042,Saint-Léonard-d'Aston,M,2570
50050,Sainte-Perpétue,P,979
50057,Sainte-Monique,M,518
50065,Grand-Saint-Esprit,M,491
51008,Maskinongé,M,2411
51020,Yamachiche,M,2953
51025,Saint-Barnabé,P,1191
51030,Saint-Sévère,P,340
51035,Saint-Léon-le-Grand,P,953
51040,Sainte-Ursule,M,1363
51045,Saint-Justin,M,987
51055,Sainte-Angèle-de-Prémont,M,617
51060,Saint-Paulin,M,1594
51065,Saint-Alexis-des-Monts,P,3063
51070,Saint-Mathieu-du-Parc,M,1429
51075,Saint-Élie-de-Caxton,M,1981
51085,Saint-Boniface,M,5278
52030,Sainte-Élisabeth,M,1477
52055,Saint-Barthélemy,P,2146
53010,Massueville,VL,550
53025,Sainte-Victoire-de-Sorel,M,2542
53085,Saint-Gérard-Majella,P,241
54035,La Présentation,M,2595
54065,Saint-Valérien-de-Milton,M,1821
56042,Henryville,M,1508
60020,Saint-Sulpice,P,3413
61025,Joliette,V,22098
61045,Notre-Dame-de-Lourdes,M,3080
61050,Sainte-Mélanie,M,3287
62015,Saint-Jean-de-Matha,M,4811
62020,Sainte-Béatrix,M,2363
62047,Chertsey,M,5035
62055,Notre-Dame-de-la-Merci,M,1057
62065,Saint-Côme,M,2600
62070,Sainte-Émélie-de-l'Énergie,M,1771
66023,Montréal,V,1800055
67035,Saint-Constant,V,31000
67055,Léry,V,2451
69010,Franklin,M,1844
69025,Howick,M,839
69037,Ormstown,M,3999
69050,Elgin,M,397
69055,Huntingdon,V,2700
69060,Godmanchester,CT,1557
69065,Sainte-Barbe,M,1724
70005,Saint-Urbain-Premier,M,1394
70040,Saint-Stanislas-de-Kostka,M,2008
71045,Saint-Clet,M,1898
71070,Pincourt,V,15338
71090,Vaudreuil-sur-le-Lac,VL,1379
71095,L'Île-Cadieux,V,128
71100,Hudson,V,5614
71110,Sainte-Marthe,M,1080
71115,Sainte-Justine-de-Newton,M,965
72032,Oka,M,6123
72043,Saint-Placide,M,1784
74005,Mirabel,V,64032
75045,Saint-Hippolyte,M,11488
76043,Brownsburg-Chatham,V,7772
76052,Grenville-sur-la-Rouge,M,3009
78100,Val-des-Lacs,M,746
78127,Lac-Tremblant-Nord,M,60
79005,Notre-Dame-du-Laus,M,1745
79010,Notre-Dame-de-Pontmain,M,799
79078,Lac-des-Écorces,M,3025
79115,Sainte-Anne-du-Lac,M,572
80078,Ripon,M,1759
80110,Namur,M,618
82030,Pontiac,M,6208
82035,La Pêche,M,8640
83040,Cayamant,M,876
83055,Sainte-Thérèse-de-la-Gatineau,M,574
83070,Déléage,M,1931
83088,Montcerf-Lytton,M,673
84005,Bristol,M,1044
84010,Shawville,M,1584
84015,Clarendon,M,1257
84020,Portage-du-Fort,VL,208
84025,Bryson,M,698
84030,Campbell's Bay,M,738
84040,Litchfield,M,461
84045,Thorne,M,471
84050,Alleyn-et-Cawood,M,189
84055,Otter Lake,M,968
84060,Fort-Coulonge,VL,1306
84065,Mansfield-et-Pontefract,M,2358
84070,Waltham,M,369
84082,L'Isle-aux-Allumettes,M,1338
84095,Sheenboro,M,108
84100,Rapides-des-Joachims,M,164
85025,Ville-Marie,V,2452
85070,Laforce,M,559
87020,Gallichan,M,472
88045,La Motte,M,492
88075,Trécesson,CT,1251
90017,La Bostonnais,M,628
90027,Lac-Édouard,M,184
91010,Saint-André-du-Lac-Saint-Jean,VL,499
91015,Saint-François-de-Sales,M,608
91020,Chambord,M,1830
92005,Saint-Augustin,P,358
92010,Péribonka,M,543
92045,Saint-Thomas-Didyme,M,685
92060,Notre-Dame-de-Lorette,M,189
93005,Desbiens,V,1000
93020,Hébertville,M,2656
93030,Saint-Bruno,M,2974
93035,Saint-Gédéon,M,2351
93060,Lamarche,M,509
93080,Saint-Ludger-de-Milot,M,645
94210,L'Anse-Saint-Jean,M,1285
94235,Saint-Fulgence,M,2184
94255,Saint-Ambroise,M,4108
94260,Saint-Charles-de-Bourget,M,835
95005,Tadoussac,VL,779
95025,Les Escoumins,M,1815
95045,Forestville,V,2839
96005,Baie-Trinité,VL,372
96015,Franquelin,M,287
96025,Pointe-Lebel,VL,1869
96035,Chute-aux-Outardes,VL,1433
97035,Fermont,V,2354
98010,Bonne-Espérance,M,652
98012,Saint-Augustin,M,668
98014,Gros-Mécatina,M,405
98015,Côte-Nord-du-Golfe-du-Saint-Laurent,M,792
98035,Baie-Johan-Beetz,M,78
AR020,Le Rocher-Percé,MRC,17239
AR030,La Côte-de-Gaspé,MRC,17745
AR170,L'Islet,MRC,17957
AR180,Montmagny,MRC,22797
AR190,Bellechasse,MRC,38858
AR270,Beauce-Centre,MRC,19410
AR380,Bécancour,MRC,21894
AR420,Le Val-Saint-François,MRC,32568
AR480,Acton,MRC,16435
AR540,Les Maskoutains,MRC,91414
AR640,Les Moulins,MRC,175107
AR710,Vaudreuil-Soulanges,MRC,166076
AR720,Deux-Montagnes,MRC,107372
AR750,La Rivière-du-Nord,MRC,144964
AR790,Antoine-Labelle,MRC,37268
AR820,Les Collines-de-l'Outaouais,MRC,54435
AR910,Le Domaine-du-Roy,MRC,29346
AR920,Maria-Chapdelaine,MRC,24479
AR930,Lac-Saint-Jean-Est,MRC,53911
AR982,Le Golfe-du-Saint-Laurent,MRC,3619
NR020,Le Rocher-Percé,TR,0
NR030,La Côte-de-Gaspé,TR,0
NR060,Avignon,TR,0
NR790,Antoine-Labelle,TR,5
NR910,Le Domaine-du-Roy,TR,38
NR920,Maria-Chapdelaine,TR,240
