mun_type,mrc_c,mrc_n,type_poste_c,type_poste_d,nom,prenom,sexe,sortant,nb_electeurs_prefet,nb_votes_candidat,nb_votes_rejetes,statut_candidat_d
MRC,020,Le Rocher-Percé,PR,Préfet,Parisé,Samuel,M,Nouveau candidat,15083,2576,186,Élu
MRC,020,Le Rocher-Percé,PR,Préfet,Grenier,Mario,M,Nouveau candidat,15083,2004,186,Non élu
MRC,020,Le Rocher-Percé,PR,Préfet,Anglehart,Maurice,M,Nouveau candidat,15083,1503,186,Non élu
MRC,020,Le Rocher-Percé,PR,Préfet,Legresley,Luc,M,Nouveau candidat,15083,1274,186,Non élu
MRC,040,La Haute-Gaspésie,PR,Préfet,Bernatchez,Guy,M,Nouveau candidat,9624,1855,57,Élu
MRC,040,La Haute-Gaspésie,PR,Préfet,Cormier,Allen,M,Sortant (même poste),9624,1501,57,Non élu
MRC,040,La Haute-Gaspésie,PR,Préfet,Mimeault,Jacques,M,Nouveau candidat,9624,411,57,Non élu
MRC,040,La Haute-Gaspésie,PR,Préfet,Bouchard,Maxime Esther,F,Nouveau candidat,9624,124,57,Non élu
MRC,070,La Matapédia,PR,Préfet,Lavoie,Chantale,F,Sortant (même poste),14377,,,Élu sans opposition
MRC,110,Les Basques,PR,Préfet,Denis,Bertin,M,Sortant (même poste),7526,0,,Élu sans opposition
MRC,130,Témiscouata,PR,Préfet,Pelletier,Serge,M,Nouveau candidat,16433,4487,199,Élu
MRC,130,Témiscouata,PR,Préfet,Ouellet,Gaétan,M,Nouveau candidat,16433,3958,199,Non élu
MRC,140,Kamouraska,PR,Préfet,Roy,Sylvain,M,Nouveau candidat,17139,2428,157,Élu
MRC,140,Kamouraska,PR,Préfet,Hénault,Louis-Martin,M,Nouveau candidat,17139,1667,157,Non élu
MRC,300,Le Granit,PR,Préfet,Pherivong Lenoir,Monique,F,Nouveau candidat,18247,3080,226,Élu
MRC,300,Le Granit,PR,Préfet,D'Anjou,Yves,M,Nouveau candidat,18247,2343,226,Non élu
MRC,410,Le Haut-Saint-François,PR,Préfet,Roy,Robert G.,M,Sortant (même poste),18404,3569,237,Élu
MRC,410,Le Haut-Saint-François,PR,Préfet,Turcotte,Marc,M,Nouveau candidat,18404,1576,237,Non élu
MRC,630,Montcalm,PR,Préfet,Massé,Patrick,M,Nouveau candidat,45452,6994,868,Élu
MRC,630,Montcalm,PR,Préfet,Thibeault,Yannick,M,Nouveau candidat,45452,6207,868,Non élu
MRC,770,Les Pays-d'en-Haut,PR,Préfet,Genest,André,M,Sortant (même poste),42182,5658,809,Élu
MRC,770,Les Pays-d'en-Haut,PR,Préfet,Nadon,Martin,M,Nouveau candidat,42182,4742,809,Non élu
MRC,770,Les Pays-d'en-Haut,PR,Préfet,Ouellette,Marie-Eve,F,Nouveau candidat,42182,4127,809,Non élu
MRC,820,Les Collines-de-l'Outaouais,PR,Préfet,Carriere,Marc,M,Nouveau candidat,41326,6128,619,Élu
MRC,820,Les Collines-de-l'Outaouais,PR,Préfet,Green,Caryl,F,Nouveau candidat,41326,5293,619,Non élu
MRC,820,Les Collines-de-l'Outaouais,PR,Préfet,Antoine,Eric,M,Nouveau candidat,41326,3877,619,Non élu
MRC,830,La Vallée-de-la-Gatineau,PR,Préfet,Lamarche,Chantal,F,Sortant (même poste),18206,5341,142,Élu
MRC,830,La Vallée-de-la-Gatineau,PR,Préfet,Gagnon,Lynne,F,Nouveau candidat,18206,950,142,Non élu
MRC,840,Pontiac,PR,Préfet,Toller,Jane,F,Sortant (même poste),12937,3301,0,Élu
MRC,840,Pontiac,PR,Préfet,McCrank,Michael,M,Nouveau candidat,12937,2964,0,Non élu
MRC,850,Témiscamingue,PR,Préfet,Bolduc,Claire,F,Sortant (même poste),12760,3388,75,Élu
MRC,850,Témiscamingue,PR,Préfet,Baril,Renald,M,Nouveau candidat,12760,376,75,Non élu
MRC,910,Le Domaine-du-Roy,PR,Préfet,Baillargeon,Yanick,M,Nouveau candidat,24852,5919,190,Élu
MRC,910,Le Domaine-du-Roy,PR,Préfet,Généreux,Bernard,M,Nouveau candidat,24852,4131,190,Non élu
MRC,920,Maria-Chapdelaine,PR,Préfet,Simard,Luc,M,Sortant (même poste),19659,,,Élu sans opposition
MRC,960,Manicouagan,PR,Préfet,Furlong,Marcel,M,Sortant (même poste),23738,4460,205,Élu
MRC,960,Manicouagan,PR,Préfet,Boucher,Cyrille,M,Nouveau candidat,23738,1424,205,Non élu
MRC,981,Minganie,PR,Préfet,Noël,Luc,M,Sortant (même poste),5052,,,Élu sans opposition
