"Code de la
municipalité";Nom de la municipalité;"Type de
municipalité";"Code
de la
MRC";Nom de la MRC;"Code de la
région
administrative";"Nom de la région
administrative";"Code de
l'arrondissement";Nom de l'arrondissement;Nom du district électoral;"Identifiant
du poste";"Code
du
type
de
poste";Type de poste;Nom;Prénom;Sexe;Sortant;"Nom du parti ou de
l'équipe";"Nombre
d'électeurs";"Nombre
de votes
reçus
par le
candidat";"Nombre
de
votes
rejetés";"Statut du
candidat"
01023;Les Îles-de-la-Madeleine;Municipalité; ;Hors MRC;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;0;MA;Maire;Lapierre;Jonathan;M;"Sortant
(même
poste)"; ;10702;3772;95;Élu
01023;Les Îles-de-la-Madeleine;Municipalité; ;Hors MRC;11;Gaspésie—Îles-de-la-Madeleine;.; ; ;0;MA;Maire;Deveau;Lise;F;"Nouveau
candidat"; ;10702;524;95;Non élu
01023;Les Îles-de-la-Madeleine;Municipalité; ;Hors MRC;11;Gaspésie—Îles-de-la-Madeleine;.; ;L'Île-du-Havre-Aubert;1;CV;Conseiller;Vigneau;Sara;F;"Nouveau
candidat"; ;1602;488;14;Élu
01023;Les Îles-de-la-Madeleine;Municipalité; ;Hors MRC;11;Gaspésie—Îles-de-la-Madeleine;.; ;L'Île-du-Havre-Aubert;1;CV;Conseiller;Leblanc;Germain;M;"Nouveau
candidat"; ;1602;336;14;Non élu
01023;Les Îles-de-la-Madeleine;Municipalité; ;Hors MRC;11;Gaspésie—Îles-de-la-Madeleine;.; ;L'Étang-du-Nord;2;CV;Conseiller;Lafrance;Hugues;M;"Nouveau
candidat"; ;2855;0;.;"Élu sans
opposition"
01023;Les Îles-de-la-Madeleine;Municipalité; ;Hors MRC;11;Gaspésie—Îles-de-la-Madeleine;.; ;L'Étang-du-Nord;2;CV;Conseiller;Poirier;Yann-Philippe;M;"Nouveau
candidat"; ;2855;0;.;Désistement
01023;Les Îles-de-la-Madeleine;Municipalité; ;Hors MRC;11;Gaspésie—Îles-de-la-Madeleine;.; ;Cap-aux-Meules;3;CV;Conseiller;Leblanc;Richard;M;"Sortant
(même
poste)"; ;1534;0;.;"Élu sans
opposition"
01023;Les Îles-de-la-Madeleine;Municipalité; ;Hors MRC;11;Gaspésie—Îles-de-la-Madeleine;.; ;Fatima;4;CV;Conseiller;Chevarie;Roger;M;"Sortant
(même
poste)"; ;2472;0;.;"Élu sans
opposition"
01023;Les Îles-de-la-Madeleine;Municipalité; ;Hors MRC;11;Gaspésie—Îles-de-la-Madeleine;.; ;Havre-aux-Maisons;5;CV;Conseiller;Arseneau;Benoit;M;"Sortant
(même
poste)"; ;1790;0;.;"Élu sans
opposition"
01023;Les Îles-de-la-Madeleine;Municipalité; ;Hors MRC;11;Gaspésie—Îles-de-la-Madeleine;.; ;Grande-Entrée;6;CV;Conseiller;Richard;Gaétan;M;"Sortant
(même
poste)"; ;449;0;.;"Élu sans
opposition"
