"cod_geo","nom_mun","designation","population","facteur_comparatif","RFU0100","RFU0200","RFU0300","RFU0400","RFU0500","RFU0600","RFU0700","RFU0800","RFU0900","RFU1000","RFU1100","RFU1300","RFU1400","RFU1501","RFU1502","RFU1600","RFU3000","no_classe_population","classe_population","cod_mrc","nom_mrc","cod_cm","nom_cm","no_reg","desc_reg"
01023,Les Îles-de-la-Madeleine,M,12367,1.00,607270400.00,85930600.00,37279900.00,122058200.00,12870900.00,43214800.00,908624800.00,3600000.00,0.00,7668900.00,4930000.00,41279287.50,2114970.00,7700808.50,13432056.50,0.00,989350822.50,03,10 000 @ 24 999,AR011,Hors MRC - Les Îles de la Madeleine,,,11,Gaspésie--Îles-de-la-Madeleine
01042,Grosse-Île,M,465,1.00,16538900.00,1113400.00,963900.00,9119600.00,0.00,872100.00,28607900.00,0.00,0.00,0.00,621700.00,170362.50,0.00,726622.50,545783.50,0.00,30672368.50,01,1 @ 1 999,AR011,Hors MRC - Les Îles de la Madeleine,,,11,Gaspésie--Îles-de-la-Madeleine
02005,Percé,V,3041,1.03,138413460.00,13694880.00,14531549.00,31807018.00,3329063.00,14317515.00,216093485.00,0.00,0.00,12555803.00,499241.00,0.00,513758.85,2039027.14,14388.59,0.00,231715703.58,02,2 000 @ 9 999,AR020,Le Rocher-Percé,,,11,Gaspésie--Îles-de-la-Madeleine
02010,Sainte-Thérèse-de-Gaspé,M,1012,1.00,37293700.00,4696700.00,4122600.00,9522700.00,336200.00,1495000.00,57466900.00,0.00,0.00,24900.00,92900.00,0.00,0.00,843938.50,0.00,0.00,58428638.50,01,1 @ 1 999,AR020,Le Rocher-Percé,,,11,Gaspésie--Îles-de-la-Madeleine
02015,Grande-Rivière,V,3444,1.00,115228700.00,28978200.00,10526600.00,24201200.00,245000.00,4257400.00,183437100.00,0.00,0.00,6545100.00,1012200.00,495907.50,6224625.00,2281337.50,7865940.50,0.00,207862210.50,02,2 000 @ 9 999,AR020,Le Rocher-Percé,,,11,Gaspésie--Îles-de-la-Madeleine
02028,Chandler,V,7478,1.00,287487900.00,48482000.00,24909600.00,66197600.00,698500.00,13276100.00,441051700.00,0.00,0.00,3003700.00,1573800.00,27586020.00,0.00,4462595.00,10208577.00,0.00,487886392.00,02,2 000 @ 9 999,AR020,Le Rocher-Percé,,,11,Gaspésie--Îles-de-la-Madeleine
02047,Port-Daniel--Gascons,M,2244,1.06,91917158.00,12952776.00,5164002.00,100103220.00,2919664.00,8585894.00,221642714.00,0.00,0.00,10812.00,407676.00,0.00,0.00,2482310.65,14512.99,0.00,224558025.64,02,2 000 @ 9 999,AR020,Le Rocher-Percé,,,11,Gaspésie--Îles-de-la-Madeleine
03005,Gaspé,V,14793,1.00,785387800.00,132043300.00,92883200.00,156244660.00,4138300.00,63843700.00,1234540960.00,0.00,0.00,13062100.00,22713990.00,45759285.00,30220245.00,8046293.00,26842637.50,0.00,1381185510.50,03,10 000 @ 24 999,AR030,La Côte-de-Gaspé,,,11,Gaspésie--Îles-de-la-Madeleine
03010,Cloridorme,CT,660,0.98,26425700.00,899346.00,1624938.00,3057796.00,50862.00,1386308.00,33444950.00,0.00,0.00,229516.00,56546.00,0.00,0.00,837071.90,0.00,0.00,34568083.90,01,1 @ 1 999,AR030,La Côte-de-Gaspé,,,11,Gaspésie--Îles-de-la-Madeleine
03015,Petite-Vallée,M,165,1.01,8342903.00,0.00,1613071.00,621554.00,217857.00,904354.00,11699739.00,0.00,0.00,0.00,27169.00,0.00,0.00,0.00,0.00,0.00,11726908.00,01,1 @ 1 999,AR030,La Côte-de-Gaspé,,,11,Gaspésie--Îles-de-la-Madeleine
