mun_c,mun_n,reg_c,coord_x,coord_y,q2011,q2012,q2013,q2014,q2015,q2016,q2017
01023,Les �les-de-la-Madeleine,11,-61.70173538,47.769100414,401,401,,,400,401,402
01042,Grosse-�le,11,-61.52085929,47.598776241,,,,,,,
02005,Perc�,11,-64.33261199,48.547148222,358,,,,,,
02010,Sainte-Th�r�se-de-Gasp�,11,-64.44507872,48.444287711,361,359,,360,360,360,360
02015,Grande-Rivi�re,11,-64.52242921,48.427415398,381,381,,383,,,
02028,Chandler,11,-64.78022328,48.35474556,396,,,,395,395,396
02047,Port-Daniel--Gascons,11,-64.94570972,48.211345164,368,368,370,370,367,367,368
03005,Gasp�,11,-64.47406825,48.922409338,396,,,,,,396
03010,Cloridorme,11,-64.87303006,49.158676203,363,363,,362,361,363,
03015,Petite-Vall�e,11,-65.00933756,49.186220384,339,339,,344,344,,
03020,Grande-Vall�e,11,-65.12403804,49.169405964,370,370,369,369,368,367,
03025,Murdochville,11,-65.47678682,48.962655565,365,364,364,364,,363,362
04005,Sainte-Madeleine-de-la-Rivi�re-Madeleine,11,-65.34516124,49.1760915,354,350,353,353,354,353,354
04010,Saint-Maxime-du-Mont-Louis,11,-65.62779645,49.189610912,367,367,367,368,367,368,368
04015,Mont-Saint-Pierre,11,-65.79362708,49.179903541,347,347,,,,,
04020,Rivi�re-�-Claude,11,-65.87960633,49.158904946,,,,,,,
04025,Marsoui,11,-66.03987155,49.134733362,348,347,348,348,,347,
04030,La Martre,11,-66.18297446,49.12445245,342,,,,,,
04037,Sainte-Anne-des-Monts,11,-66.41864636,49.102454718,393,392,,,,,391
04047,Cap-Chat,11,-66.68641382,49.057029367,382,378,,,,377,
05010,Shigawake,11,-65.1028549,48.159091054,,,,,,,
05015,Saint-Godefroi,11,-65.15646682,48.148567041,,,,,,,
05020,Hope Town,11,-65.18236344,48.095192713,,,,,,,
05025,Hope,11,-65.24928084,48.122471328,,,,,,,
05032,Pasp�biac,11,-65.29142229,48.105318761,384,384,,,384,,
05040,New Carlisle,11,-65.3517113,48.058674805,,,,,,,
05045,Bonaventure,11,-65.46673499,48.077055604,373,374,,375,375,375,
05050,Saint-Elz�ar,11,-65.43369668,48.18252228,348,347,352,352,351,351,351
