ID,DATE_ATTRIB,TYPE_LIEU,TYPE_DOSSIER_INTERV,SECTEUR_SCIAN,REGION
1,2020-01-03,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS DURABLES,OUTAOUAIS
2,2020-01-03,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS DURABLES,OUTAOUAIS
3,2020-01-03,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),OUTAOUAIS
4,2020-01-03,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,LONGUEUIL
5,2020-01-03,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,LONGUEUIL
6,2020-01-03,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,LONGUEUIL
7,2020-01-03,CHANTIER,PLAINTE,INDETERMINE (CHANTIER),OUTAOUAIS
8,2020-01-03,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,LONGUEUIL
9,2020-01-03,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,LONGUEUIL
10,2020-01-03,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,LONGUEUIL
11,2020-01-03,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,LONGUEUIL
12,2020-01-03,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,LONGUEUIL
13,2020-01-03,ETABLISSEMENT,LOI ET REGLEMENTS,"INFORMATION, CULTURE ET LOISIRS",LONGUEUIL
14,2020-01-03,ETABLISSEMENT,LOI ET REGLEMENTS,"INFORMATION, CULTURE ET LOISIRS",LONGUEUIL
15,2020-01-03,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),OUTAOUAIS
16,2020-01-03,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),OUTAOUAIS
17,2020-01-03,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,LONGUEUIL
18,2020-01-03,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,LONGUEUIL
19,2020-01-03,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,LONGUEUIL
20,2020-01-03,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,LONGUEUIL
21,2020-01-03,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,ABITIBI-TEMISCAMINGUE
22,2020-01-03,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE DETAIL,ABITIBI-TEMISCAMINGUE
23,2020-01-03,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS DURABLES,LAURENTIDES
24,2020-01-03,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,LONGUEUIL
25,2020-01-03,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,LONGUEUIL
26,2020-01-03,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,LAURENTIDES
27,2020-01-03,ETABLISSEMENT,PLAINTE,TRANSPORT ET ENTREPOSAGE,LAURENTIDES
28,2020-01-03,ETABLISSEMENT,PLAINTE,COMMERCE DE GROS,LAURENTIDES
29,2020-01-03,ETABLISSEMENT,PLAINTE,"INFORMATION, CULTURE ET LOISIRS",LAURENTIDES
30,2020-01-03,ETABLISSEMENT,LOI ET REGLEMENTS,CONSTRUCTION,LAURENTIDES
31,2020-01-03,ETABLISSEMENT,LOI ET REGLEMENTS,CONSTRUCTION,LAURENTIDES
32,2020-01-03,ETABLISSEMENT,PLAINTE,SERVICES D'ENSEIGNEMENT,LAURENTIDES
33,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
34,2020-01-06,ETABLISSEMENT,PLAINTE,COMMERCE DE GROS,CAPITALE-NATIONALE
35,2020-01-06,ETABLISSEMENT,PLAINTE,COMMERCE DE GROS,CAPITALE-NATIONALE
36,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
37,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
38,2020-01-06,ETABLISSEMENT,PLAINTE,HEBERGEMENT ET SERVICES DE RESTAURATION,CAPITALE-NATIONALE
39,2020-01-06,ETABLISSEMENT,PLAINTE,SERVICES D'ENSEIGNEMENT,CAPITALE-NATIONALE
40,2020-01-06,ETABLISSEMENT,LOI ET REGLEMENTS,CONSTRUCTION,SAGUENAY-LAC-ST-JEAN
41,2020-01-06,ETABLISSEMENT,PLAINTE,SERVICES D'ENSEIGNEMENT,CAPITALE-NATIONALE
42,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
43,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
44,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
45,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
46,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
47,2020-01-06,ETABLISSEMENT,PLAINTE,COMMERCE DE GROS,LAVAL
48,2020-01-06,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
