ï»¿ID,DATE_ATTRIB,TYPE_LIEU,TYPE_DOSSIER_INTERV,SECTEUR_SCIAN,REGION
1,2022-01-03,ETABLISSEMENT,PLAINTE,SOINS DE SANTE ET ASSISTANCE SOCIALE,ESTRIE
2,2022-01-03,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,LAURENTIDES
3,2022-01-04,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAVAL
4,2022-01-04,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAVAL
5,2022-01-04,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAVAL
6,2022-01-04,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAVAL
7,2022-01-04,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAVAL
8,2022-01-04,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAVAL
9,2022-01-05,ETABLISSEMENT,PLAINTE,SOINS DE SANTE ET ASSISTANCE SOCIALE,CAPITALE-NATIONALE
10,2022-01-04,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,YAMASKA
11,2022-01-05,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),LAURENTIDES
12,2022-01-05,ETABLISSEMENT,ASSISTANCE,SOINS DE SANTE ET ASSISTANCE SOCIALE,MONTREAL
13,2022-01-05,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS DURABLES,ST-JEAN-SUR-RICHELIEU
14,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,LANAUDIERE
15,2022-01-05,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,LANAUDIERE
16,2022-01-05,ETABLISSEMENT,PLAINTE,SOINS DE SANTE ET ASSISTANCE SOCIALE,ESTRIE
17,2022-01-05,ETABLISSEMENT,PLAINTE,SOINS DE SANTE ET ASSISTANCE SOCIALE,CHAUDIERE-APPALACHES
18,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,"EXTRACTION MINIERE, EXPLOITATION EN CARRIERE ET EXTRACTION DE PETROLE ET DE GAZ",SAGUENAY-LAC-ST-JEAN
19,2022-01-05,ETABLISSEMENT,PLAINTE,COMMERCE DE DETAIL,SAGUENAY-LAC-ST-JEAN
20,2022-01-05,ETABLISSEMENT,PLAINTE,AUTRES SERVICES,SAGUENAY-LAC-ST-JEAN
21,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,MONTREAL
22,2022-01-05,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),MAURICIE ET CENTRE-DU-QUEBEC
23,2022-01-05,CHANTIER,LOI ET REGLEMENTS,INDETERMINE (CHANTIER),MAURICIE ET CENTRE-DU-QUEBEC
24,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
25,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
26,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,MONTREAL
27,2022-01-05,ETABLISSEMENT,PLAINTE,AUTRES SERVICES,LAURENTIDES
28,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,MONTREAL
29,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
30,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
31,2022-01-05,ETABLISSEMENT,PLAINTE,CONSTRUCTION,LAURENTIDES
32,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
33,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,ADMINISTRATIONS PUBLIQUES,ST-JEAN-SUR-RICHELIEU
34,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,TRANSPORT ET ENTREPOSAGE,ST-JEAN-SUR-RICHELIEU
35,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,TRANSPORT ET ENTREPOSAGE,ST-JEAN-SUR-RICHELIEU
36,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,ADMINISTRATIONS PUBLIQUES,ST-JEAN-SUR-RICHELIEU
37,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,TRANSPORT ET ENTREPOSAGE,ST-JEAN-SUR-RICHELIEU
38,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,ADMINISTRATIONS PUBLIQUES,ST-JEAN-SUR-RICHELIEU
39,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,SERVICES IMMOBILIERS ET SERVICES DE LOCATION ET DE LOCATION A BAIL,MONTREAL
40,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,MONTREAL
41,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,TRANSPORT ET ENTREPOSAGE,ST-JEAN-SUR-RICHELIEU
42,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,MONTREAL
43,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,SERVICES IMMOBILIERS ET SERVICES DE LOCATION ET DE LOCATION A BAIL,MONTREAL
44,2022-01-05,AUTRE LIEU DE TRAVAIL,PLAINTE,INDETERMINE (AUTRES),ABITIBI-TEMISCAMINGUE
45,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,ADMINISTRATIONS PUBLIQUES,ST-JEAN-SUR-RICHELIEU
46,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,MONTREAL
47,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,MONTREAL
48,2022-01-05,ETABLISSEMENT,PLAINTE,SOINS DE SANTE ET ASSISTANCE SOCIALE,CHAUDIERE-APPALACHES
49,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,ADMINISTRATIONS PUBLIQUES,ST-JEAN-SUR-RICHELIEU
50,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,TRANSPORT ET ENTREPOSAGE,MONTREAL
51,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,TRANSPORT ET ENTREPOSAGE,ST-JEAN-SUR-RICHELIEU
52,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,ST-JEAN-SUR-RICHELIEU
53,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS DURABLES,MONTREAL
54,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
55,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,ST-JEAN-SUR-RICHELIEU
56,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
57,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,FABRICATION DE BIENS NON DURABLES,MONTREAL
58,2022-01-05,ETABLISSEMENT,PLAINTE,FABRICATION DE BIENS DURABLES,ST-JEAN-SUR-RICHELIEU
59,2022-01-05,ETABLISSEMENT,LOI ET REGLEMENTS,COMMERCE DE GROS,MONTREAL
