TRONCON,SUPERFICIE,IND_INFLUENCE,NIVEAU_CONFIANCE,REFERENCE,AMP_H30_RCP4,AMP_H30_RCP8,AMP_H50_RCP4,AMP_H50_RCP8,AMP_H80_RCP4,AMP_H80_RCP8,DIR_H30_RCP4,DIR_H30_RCP8,DIR_H50_RCP4,DIR_H50_RCP8,DIR_H80_RCP4,DIR_H80_RCP8
"ABI0002",22622,"Aucune influence","Mod̩r̩e",13.7,-3.7,-5.3,-6,-15.3,-11.6,-28.5,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable"
"ABI0003",11584,"Aucune influence","Mod̩r̩e",14.4,-3.2,-4.7,-4.3,-14,-9,-26.8,"Absence de consensus","Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable"
"ABI0004",275,"Aucune influence","Mod̩r̩e",11.8,-0.6,-2,-2.4,-9,-5.8,-20.7,"Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable","Diminution probable","Diminution probable"
"ABI0011",11123,"Aucune influence","Mod̩r̩e",14.5,-3.2,-4.7,-4.4,-14.1,-9.2,-27.1,"Absence de consensus","Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable"
"ABI0012",8080,"Aucune influence","Mod̩r̩e",14.5,-3.7,-5.1,-5,-15,-10,-29.1,"Absence de consensus","Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable"
"ABI0013",7376,"Aucune influence","Mod̩r̩e",14.7,-3.6,-5.1,-5.2,-15.2,-10.2,-29.6,"Absence de consensus","Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable"
"ABI0014",1087,"Aucune influence","Mod̩r̩e",13.1,-3.8,-6.8,-7.2,-16.4,-12.9,-35.2,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable"
"ABI0016",1042,"Aucune influence","Mod̩r̩e",13.2,-4.1,-7.1,-7.5,-16.9,-13,-35.7,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable"
"ABI0020",1007,"Aucune influence","Mod̩r̩e",13.1,-5.9,-8.5,-8.6,-18.1,-13.3,-36.6,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable"
"ABI0028",865,"Aucune influence","Mod̩r̩e",13.1,-6.5,-9.3,-9.7,-19.6,-14.3,-39.5,"Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable"
"ABI0029",719,"Aucune influence","Mod̩r̩e",13.1,-7.8,-10.4,-11.1,-20.7,-14.9,-41.5,"Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable"
"ABI0030",696,"Aucune influence","Mod̩r̩e",13,-8.6,-11,-12.2,-21.7,-15.3,-42.8,"Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable"
"ABI0031",598,"Aucune influence","Mod̩r̩e",13,-7.7,-10.8,-11.5,-22,-16.3,-44.4,"Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable"
"ABI0032",562,"Aucune influence","Mod̩r̩e",12.9,-9,-11.8,-12.9,-22.8,-17.2,-46.4,"Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable"
"ABI0033",420,"Aucune influence","Limit̩e",12.7,-8.2,-11.5,-12.3,-23,-17.6,-46.6,"Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable"
"ABI0041",6048,"Aucune influence","Mod̩r̩e",14.8,-3.4,-4.9,-5.4,-14.9,-10,-28.9,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable"
"ABI0042",5066,"Aucune influence","Mod̩r̩e",15.2,-3.7,-5,-5.8,-15.3,-10.5,-29.7,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable"
"ABI0043",263,"Aucune influence","Limit̩e",11.6,-8.5,-12.2,-13.3,-25,-20,-48.3,"Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable"
"ABI0046",4749,"Aucune influence","Mod̩r̩e",15.3,-3.5,-5.2,-5.7,-14.9,-10,-28.6,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable"
