TRONCON,BV_PRIMAIRE,SUPERFICIE,IND_INFLUENCE,REFERENCE,AMP_H30_RCP4,AMP_H30_RCP8,AMP_H50_RCP4,AMP_H50_RCP8,AMP_H80_RCP4,AMP_H80_RCP8,DIR_H30_RCP4,DIR_H30_RCP8,DIR_H50_RCP4,DIR_H50_RCP8,DIR_H80_RCP4,DIR_H80_RCP8,DIS_H30_RCP4,DIS_H30_RCP8,DIS_H50_RCP4,DIS_H50_RCP8,DIS_H80_RCP4,DIS_H80_RCP8
"ABIT00003","0807 -Rivi̬re Nottaway",329.25,"Aucune influence",47.13,3.16,4.49,3.44,7.04,6.36,7.36,"Augmentation probable","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",9.33,10.56,13.64,14.29,11.83,15.01
"ABIT00005","0807 -Rivi̬re Nottaway",309.03,"Aucune influence",43.52,3.4,4.36,2.64,7.7,6.11,7.58,"Augmentation probable","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",8.95,9.92,13.89,13.78,12.55,13.75
"ABIT00007","0807 -Rivi̬re Nottaway",250.15,"Aucune influence",36.43,3.48,4.02,2.32,7.92,5.14,5.99,"Augmentation probable","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",9.93,9.85,17,15.06,14.06,16.08
"ABIT00009","0807 -Rivi̬re Nottaway",84.36,"Aucune influence",51.34,3.24,5.46,2.47,8.13,4.37,4.5,"Absence de consensus","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Absence de consensus",12.54,12.67,16.42,19.21,15.36,16.14
"ABIT00011","0807 -Rivi̬re Nottaway",53.77,"Aucune influence",93.35,4.85,6.35,6.46,9.92,7.88,8.86,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",14.37,14.78,16.71,19.54,17.08,19.88
"ABIT00012","0807 -Rivi̬re Nottaway",98.07,"Aucune influence",56.85,3.99,5.33,2.22,7.92,5.87,3.16,"Absence de consensus","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Absence de consensus",13.48,13.68,16.74,18.73,15.88,16.54
"ABIT00016","0807 -Rivi̬re Nottaway",21545.05,"Aucune influence",61.42,4.97,5.79,6.07,9.6,8.75,9.19,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",10.42,12.31,13.23,14.57,12.77,14.49
"ABIT00018","0807 -Rivi̬re Nottaway",21524.96,"Aucune influence",61.36,5.09,5.79,6.13,9.65,8.72,9.17,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",10.37,12.31,13.28,14.48,12.7,14.45
"ABIT00019","0807 -Rivi̬re Nottaway",21274.25,"Aucune influence",60.54,5.13,6.01,6.02,9.8,8.55,8.96,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",10.27,12.61,13.09,14.69,12.66,14.25
"ABIT00020","0807 -Rivi̬re Nottaway",59.87,"Aucune influence",101.09,5.3,5.69,6.56,9.49,8.36,10.34,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",13,11.86,13.31,14.36,11.66,13.33
"ABIT00024","0807 -Rivi̬re Nottaway",21185.42,"Aucune influence",60.33,5.12,6.15,5.97,9.82,8.54,8.9,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",9.97,12.54,13.3,14.59,12.38,14.43
"ABIT00025","0807 -Rivi̬re Nottaway",21086.85,"Aucune influence",60.01,5.08,6.35,5.71,9.87,8.43,8.81,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",10.26,12.32,13.6,14.94,12.39,14.59
"ABIT00027","0807 -Rivi̬re Nottaway",20976.49,"Aucune influence",59.64,4.87,6.58,5.58,9.84,8.5,8.68,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",10.22,12.45,13.57,14.81,12.43,14.12
"ABIT00029","0807 -Rivi̬re Nottaway",20910.08,"Aucune influence",59.49,4.87,6.56,5.57,9.75,8.47,8.77,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",10.3,12.41,13.56,15.11,12.24,14.26
"ABIT00030","0807 -Rivi̬re Nottaway",381.63,"Aucune influence",114.12,5.26,5.07,8.33,11.13,10.84,9.53,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",11.79,13.99,13.53,15.23,12.42,16.05
"ABIT00032","0807 -Rivi̬re Nottaway",292.43,"Aucune influence",112.94,5.28,5.14,8.03,10.26,10.46,9.52,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",12.83,15.14,14.21,16.06,12.4,14.7
"ABIT00033","0807 -Rivi̬re Nottaway",255.19,"Aucune influence",113.14,5.64,4.93,8.34,10.01,10.44,9.22,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",12.81,15.17,14.47,16.61,12.77,14.96
"ABIT00034","0807 -Rivi̬re Nottaway",174.14,"Aucune influence",112.08,5.78,4.45,8.09,9.34,9.66,8.25,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",12.24,14.81,15.07,16.34,13.03,14.08
"ABIT00036","0807 -Rivi̬re Nottaway",65.25,"Aucune influence",120.47,5.17,4.08,6.2,7.86,7.61,7.74,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",10.66,13.65,12.51,14.61,11.81,14.44
"ABIT00039","0807 -Rivi̬re Nottaway",20508.94,"Aucune influence",58.43,4.73,6.59,5.33,9.68,8.35,8.79,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",10.15,12.42,13.44,14.37,12.03,13.78
"ABIT00040","0807 -Rivi̬re Nottaway",19887.87,"Aucune influence",56.48,4.54,6.45,5.13,9.27,8.62,8.75,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",9.78,12.5,13.69,14.27,11.67,14.59
"ABIT00042","0807 -Rivi̬re Nottaway",19836.73,"Aucune influence",56.26,4.77,6.41,5.08,9.27,8.71,8.64,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",9.99,12.47,13.59,14.43,11.67,14.19
"ABIT00043","0807 -Rivi̬re Nottaway",16213.47,"Aucune influence",45.14,3.53,4.73,3.42,8.94,7.1,7.93,"Augmentation probable","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",10.72,11.46,15.98,16.54,10.7,16.04
"ABIT00045","0807 -Rivi̬re Nottaway",16178.76,"Aucune influence",45.14,3.52,4.74,3.43,8.91,7.1,7.91,"Augmentation probable","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",10.79,11.33,15.92,16.47,10.68,16.04
"ABIT00047","0807 -Rivi̬re Nottaway",16143.36,"Aucune influence",44.88,3.44,4.7,3.44,8.93,7.07,7.91,"Augmentation probable","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",11.01,11.33,15.91,16.56,10.59,16
"ABIT00048","0807 -Rivi̬re Nottaway",16105.59,"Aucune influence",44.87,3.44,4.64,3.43,8.92,7.05,7.91,"Augmentation probable","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",11.06,11.41,15.87,16.57,10.7,16.17
"ABIT00050","0807 -Rivi̬re Nottaway",16095.57,"Aucune influence",44.89,3.44,4.62,3.43,8.91,7.03,7.89,"Augmentation probable","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",10.98,11.43,15.85,16.38,10.69,16.2
"ABIT00051","0807 -Rivi̬re Nottaway",196.3,"Aucune influence",101.23,4,7.93,3.66,10.51,8.21,10.31,"Augmentation probable","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",12.4,15.53,19.66,20.95,16.55,21.62
"ABIT00055","0807 -Rivi̬re Nottaway",93.36,"Aucune influence",95.99,4.58,6.86,2.61,11.7,8.29,9.67,"Augmentation probable","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",13.35,17.35,19.47,22.18,15.96,24.43
"ABIT00057","0807 -Rivi̬re Nottaway",60.76,"Aucune influence",93.81,4.18,7.19,2.4,11.11,7.64,6.62,"Absence de consensus","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",13.9,18.37,20.62,23.81,14.96,23.29
"ABIT00058","0807 -Rivi̬re Nottaway",54.61,"Aucune influence",89.97,4.25,7.31,2.61,11.12,7.11,5.99,"Absence de consensus","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Absence de consensus",14.18,18.86,20.97,24.28,15.37,23.59
"ABIT00064","0807 -Rivi̬re Nottaway",15891.39,"Aucune influence",43.96,3.25,4.91,3.6,8.76,6.97,8,"Augmentation probable","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",10.24,12.38,15.67,16.21,10.73,16.01
"ABIT00066","0807 -Rivi̬re Nottaway",15860,"Aucune influence",44.07,3.21,4.9,3.65,8.73,6.95,8,"Augmentation probable","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",10.23,12.22,15.5,16.14,10.69,15.9
"ABIT00067","0807 -Rivi̬re Nottaway",76.53,"Aucune influence",99.31,5.82,9.34,6.75,14.01,10.25,12.5,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",14.64,16.52,18.75,21.97,20.6,23.7
"ABIT00069","0807 -Rivi̬re Nottaway",50.67,"Aucune influence",91.14,5.72,8.63,6.94,13.89,10.49,12.31,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",15.76,16.68,18.95,21.55,19.01,23.03
"ABIT00070","0807 -Rivi̬re Nottaway",15748.01,"Aucune influence",43.68,3.19,4.96,3.61,8.63,7.13,7.62,"Augmentation probable","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",10.12,12.12,15.6,16.03,10.91,15.83
"ABIT00072","0807 -Rivi̬re Nottaway",15720.73,"Aucune influence",43.62,3.17,4.98,3.56,8.65,7.07,7.61,"Augmentation probable","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",10.08,12.03,15.58,15.98,10.87,16.09
"ABIT00073","0807 -Rivi̬re Nottaway",369.49,"Aucune influence",83.68,5.2,7.72,6.5,11.34,10.34,11.41,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",13.67,12.85,16.96,18.41,16.78,19.28
"ABIT00074","0807 -Rivi̬re Nottaway",270.37,"Aucune influence",75.7,5.02,8.54,6.3,11.39,9.73,11.8,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",11.87,12.89,17.05,18.23,16.54,19.26
"ABIT00076","0807 -Rivi̬re Nottaway",201.58,"Aucune influence",64.22,4.89,8.05,5.92,11.3,9.57,11.1,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",11.18,13.71,16.86,16.83,15.22,19.33
"ABIT00077","0807 -Rivi̬re Nottaway",130.5,"Aucune influence",42.34,3.52,5.1,3.64,10.5,7.85,9.19,"Absence de consensus","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",11.61,12,14.22,15.23,14.1,16.47
"ABIT00084","0807 -Rivi̬re Nottaway",15284.33,"Aucune influence",42.84,3.12,4.72,3.59,8.27,6.84,7.75,"Augmentation probable","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",10.15,11.79,15.21,16.3,11.16,17.29
"ABIT00085","0807 -Rivi̬re Nottaway",691.48,"Aucune influence",86.14,4.9,7.83,5.53,10.22,7.95,9.31,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",15.02,14.31,16.41,20.51,16.87,19.72
"ABIT00087","0807 -Rivi̬re Nottaway",602.18,"Aucune influence",83.7,4.57,7.63,4.97,10.08,7.83,8.92,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",15.05,14.62,16.4,19.44,17.17,19.82
"ABIT00088","0807 -Rivi̬re Nottaway",527.22,"Aucune influence",81.16,4.52,7.83,5.19,10.18,8.05,8.66,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",14.51,14.26,17.01,20.35,17.78,18.76
"ABIT00090","0807 -Rivi̬re Nottaway",461.24,"Aucune influence",78.65,4.23,7.11,4.68,9.71,7.41,8.24,"Absence de consensus","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",14.21,14.2,17.29,19.72,17.16,19.2
"ABIT00091","0807 -Rivi̬re Nottaway",358.17,"Aucune influence",75.6,4.41,6.69,4.19,9.91,6.06,7.09,"Absence de consensus","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Absence de consensus",14.51,15.06,18.19,19.22,17.19,19.89
"ABIT00092","0807 -Rivi̬re Nottaway",283.4,"Aucune influence",73.53,4.61,7.05,3.69,10.37,6.89,6.83,"Absence de consensus","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",13.29,14.31,18.33,19.44,16.27,19.62
"ABIT00094","0807 -Rivi̬re Nottaway",51.18,"Aucune influence",89.54,5.33,8.77,6.18,11.61,8.94,11.38,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",13.46,13.83,18.24,21.05,18.87,23.19
"ABIT00095","0807 -Rivi̬re Nottaway",102.04,"Aucune influence",81.28,5.24,8.51,5.12,11.75,9.07,10.51,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",12.1,13.26,17.24,18.56,17.34,21.3
"ABIT00096","0807 -Rivi̬re Nottaway",62.84,"Aucune influence",68.12,4.24,6.89,3.04,9.89,7.29,8.21,"Augmentation probable","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",11.49,13.41,16.6,17.01,14.84,19.54
"ABIT00102","0807 -Rivi̬re Nottaway",63.69,"Aucune influence",82.13,5.05,6.03,4.98,10.95,7.85,10.23,"Absence de consensus","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",15.27,18.53,19.58,22.49,20.42,25.92
"ABIT00103","0807 -Rivi̬re Nottaway",54.4,"Aucune influence",97.38,4.83,6.91,6.6,11.06,10.12,12.16,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",13.95,15.25,17.07,19.04,17.93,21.39
"ABIT00104","0807 -Rivi̬re Nottaway",74.66,"Aucune influence",97.86,4.25,6.61,7.15,10.53,9.64,10.54,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",14.02,15.33,15.02,18.69,17.04,17.3
"ABIT00105","0807 -Rivi̬re Nottaway",14568.86,"Aucune influence",41.26,3.21,4.15,3.32,7.9,6.56,7.61,"Augmentation probable","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",9.89,11.48,15.27,16.11,11.27,17.22
"ABIT00106","0807 -Rivi̬re Nottaway",14409.22,"Aucune influence",41.13,3.35,4.25,3.08,7.95,6.26,7.69,"Augmentation probable","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",9.86,11.66,15.23,16.14,11.55,17.05
"ABIT00108","0807 -Rivi̬re Nottaway",14362.65,"Aucune influence",40.86,3.43,4.22,3.03,7.96,6.21,7.65,"Augmentation probable","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",9.86,11.45,15.33,16.14,11.72,17.24
"ABIT00109","0807 -Rivi̬re Nottaway",14235.37,"Aucune influence",40.5,3.35,4.15,3.16,7.96,6.15,7.26,"Augmentation probable","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",10.19,11.39,15.34,16.25,11.75,17.85
"ABIT00110","0807 -Rivi̬re Nottaway",480.97,"Aucune influence",33.59,3.68,4.13,3.75,7.95,7.38,9.89,"Augmentation probable","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",8.3,9.85,13.72,13.37,12.42,16.87
