TRONCON,BV_PRIMAIRE,SUPERFICIE,IND_INFLUENCE,REFERENCE,AMP_H30_RCP4,AMP_H30_RCP8,AMP_H50_RCP4,AMP_H50_RCP8,AMP_H80_RCP4,AMP_H80_RCP8,DIR_H30_RCP4,DIR_H30_RCP8,DIR_H50_RCP4,DIR_H50_RCP8,DIR_H80_RCP4,DIR_H80_RCP8,DIS_H30_RCP4,DIS_H30_RCP8,DIS_H50_RCP4,DIS_H50_RCP8,DIS_H80_RCP4,DIS_H80_RCP8
"ABIT00003","0807 -Rivi̬re Nottaway",329.25,"Aucune influence",50.38,1.35,1.96,-0.52,0.98,0.23,-0.28,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus",13.54,13.62,17.82,15.47,18.9,25.06
"ABIT00005","0807 -Rivi̬re Nottaway",309.03,"Aucune influence",47.87,1.56,1.55,-0.37,1.09,0.18,-1.26,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus",12.58,13.64,17.09,14.97,19.76,25.56
"ABIT00007","0807 -Rivi̬re Nottaway",250.15,"Aucune influence",28.42,1.43,1.55,-0.55,-2.39,-1.92,-5.81,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus",11.92,12.81,17.57,15.68,20.98,28.79
"ABIT00009","0807 -Rivi̬re Nottaway",84.36,"Aucune influence",32.55,3.52,3.41,3.4,3.21,4.04,1.64,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus",14.81,17.7,18.83,17.03,23.59,31.25
"ABIT00011","0807 -Rivi̬re Nottaway",53.77,"Aucune influence",51.57,8.04,8.18,9.88,8.97,8.81,14.29,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus","Augmentation probable",21.93,24.93,26.79,27.08,26.22,36.71
"ABIT00012","0807 -Rivi̬re Nottaway",98.07,"Aucune influence",35.19,4,4.51,4.34,4.44,4.95,3.73,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus",14.59,17.17,18.47,17.28,21.78,28.87
"ABIT00016","0807 -Rivi̬re Nottaway",21545.05,"Aucune influence",38.56,4.46,4.03,4.5,2.09,3.69,1.34,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus",16.35,15.55,16.8,16.47,20.41,31.98
"ABIT00018","0807 -Rivi̬re Nottaway",21524.96,"Aucune influence",38.58,4.45,4.06,4.51,2.08,3.75,1.71,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus",16.28,15.49,17.47,17.34,20.54,31.98
"ABIT00019","0807 -Rivi̬re Nottaway",21274.25,"Aucune influence",38.11,4.64,4.03,4.52,1.92,3.85,1.72,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus",15.76,15.42,17.17,16.7,20.45,31.7
"ABIT00020","0807 -Rivi̬re Nottaway",59.87,"Aucune influence",64.74,6.06,3.87,5.38,8.44,8.31,7.74,"Augmentation probable","Absence de consensus","Absence de consensus","Augmentation probable","Augmentation probable","Absence de consensus",15.39,18.57,24.28,19.43,23.91,32.12
