TRONCON,BV_PRIMAIRE,SUPERFICIE,IND_INFLUENCE,REFERENCE,AMP_H30_RCP4,AMP_H30_RCP8,AMP_H50_RCP4,AMP_H50_RCP8,AMP_H80_RCP4,AMP_H80_RCP8,DIR_H30_RCP4,DIR_H30_RCP8,DIR_H50_RCP4,DIR_H50_RCP8,DIR_H80_RCP4,DIR_H80_RCP8,DIS_H30_RCP4,DIS_H30_RCP8,DIS_H50_RCP4,DIS_H50_RCP8,DIS_H80_RCP4,DIS_H80_RCP8
"ABIT00003","0807 -Rivi̬re Nottaway",329.25,"Aucune influence",5.95,8.11,8.56,15.07,25.86,23.43,62.7,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",12.16,13.03,20.99,24.76,27.75,48.39
"ABIT00005","0807 -Rivi̬re Nottaway",309.03,"Aucune influence",6.15,8.07,8.32,14.97,25.98,23.6,62.57,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",12.6,13.05,20.56,24.67,27.19,49.15
"ABIT00007","0807 -Rivi̬re Nottaway",250.15,"Aucune influence",6.47,8.42,8.12,15.28,26.06,23.29,60.07,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",12.26,12.21,19.09,23.6,24.67,41.66
"ABIT00009","0807 -Rivi̬re Nottaway",84.36,"Aucune influence",4.86,7.83,7.96,15.67,26.81,22.87,71.49,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",13.24,15.18,22.1,24.57,29.25,59
"ABIT00011","0807 -Rivi̬re Nottaway",53.77,"Aucune influence",4.04,7.79,7.28,16.53,27.12,22.22,79.16,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",13.07,14.83,23.35,26.74,31.85,85.32
"ABIT00012","0807 -Rivi̬re Nottaway",98.07,"Aucune influence",4.5,7.82,8.09,16.08,25.82,22.29,70.6,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",12.85,15.55,20.14,24.52,28.22,63.08
"ABIT00016","0807 -Rivi̬re Nottaway",21545.05,"Aucune influence",4.06,9.62,9.76,17.51,27.32,25.44,66.92,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",11.22,11.42,20.78,25,26.85,51.08
"ABIT00018","0807 -Rivi̬re Nottaway",21524.96,"Aucune influence",4.06,9.62,9.79,17.51,27.33,25.42,67.08,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",11.14,11.41,20.75,24.96,26.82,51.26
"ABIT00019","0807 -Rivi̬re Nottaway",21274.25,"Aucune influence",4.11,9.63,9.89,17.54,27.33,25.44,67.12,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",11.08,11.34,21.02,25.02,26.58,51.4
"ABIT00020","0807 -Rivi̬re Nottaway",59.87,"Aucune influence",3.57,7.93,7.19,12.48,21.24,17.33,52.01,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",10.9,9.76,15.89,25.44,24.11,57.49
"ABIT00024","0807 -Rivi̬re Nottaway",21185.42,"Aucune influence",4.11,9.77,9.86,17.56,27.34,25.32,67.18,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",10.95,11.35,20.97,25.06,26.64,51.7
"ABIT00025","0807 -Rivi̬re Nottaway",21086.85,"Aucune influence",4.13,9.74,9.96,17.58,27.47,25.38,67.33,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",10.93,11.4,20.93,24.84,27.12,52.17
"ABIT00027","0807 -Rivi̬re Nottaway",20976.49,"Aucune influence",4.18,9.72,9.98,17.56,27.65,25.46,67.4,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",10.96,11.53,20.97,24.83,27.64,52.34
"ABIT00029","0807 -Rivi̬re Nottaway",20910.08,"Aucune influence",4.18,9.69,10.01,17.48,27.75,25.6,67.49,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",11.03,11.57,20.85,24.55,27.57,52.26
"ABIT00030","0807 -Rivi̬re Nottaway",381.63,"Aucune influence",3.05,7.13,6.55,12.89,21.11,16.14,53.8,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",11.41,9.65,16.52,23.97,22.8,55.45
"ABIT00032","0807 -Rivi̬re Nottaway",292.43,"Aucune influence",3.15,7.01,6.74,13.43,21.82,17.46,57.38,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",11.1,9.7,17.46,24.95,23.46,57.35
"ABIT00033","0807 -Rivi̬re Nottaway",255.19,"Aucune influence",3.17,6.81,6.78,13.61,22.63,18.45,59.7,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",11.29,10.06,17.28,25.76,24.69,60.57
"ABIT00034","0807 -Rivi̬re Nottaway",174.14,"Aucune influence",3.13,7.33,6.92,13.91,23.49,18.36,63.1,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",12.65,10.62,19.87,26.37,25.21,66.58
"ABIT00036","0807 -Rivi̬re Nottaway",65.25,"Aucune influence",2.93,6.79,6.41,12.56,21.24,15.32,47.73,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",12.85,9.84,16.03,22.81,21.29,49.73
"ABIT00039","0807 -Rivi̬re Nottaway",20508.94,"Aucune influence",4.29,9.56,10.02,17.51,27.73,25.65,67.47,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",11.12,11.68,20.9,24.26,27.51,52.38
"ABIT00040","0807 -Rivi̬re Nottaway",19887.87,"Aucune influence",4.48,9.53,10.06,17.73,27.66,25.92,67.98,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",11.24,11.69,21.03,23.83,27.31,51.92
"ABIT00042","0807 -Rivi̬re Nottaway",19836.73,"Aucune influence",4.49,9.51,10.09,17.58,27.65,25.98,68.32,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",11.33,11.65,21.1,23.63,27.5,51.95
"ABIT00043","0807 -Rivi̬re Nottaway",16213.47,"Aucune influence",5.58,9.03,9.28,18.3,28.02,24.76,66.44,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",11.51,12.04,19.8,23.66,26.46,48.64
"ABIT00045","0807 -Rivi̬re Nottaway",16178.76,"Aucune influence",5.65,9.04,9.33,18.33,28.03,24.77,66.26,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",11.65,11.99,19.77,23.63,26.41,48.6
"ABIT00047","0807 -Rivi̬re Nottaway",16143.36,"Aucune influence",5.65,9.05,9.33,18.38,28.01,24.96,66.28,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",11.86,12.11,19.91,23.61,26.33,48.57
"ABIT00048","0807 -Rivi̬re Nottaway",16105.59,"Aucune influence",5.66,9.04,9.39,18.42,28,25.01,66.23,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",11.84,12.17,19.99,23.54,26.25,48.46
"ABIT00050","0807 -Rivi̬re Nottaway",16095.57,"Aucune influence",5.65,9.03,9.4,18.44,28,25.03,66.19,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",11.84,12.18,20,23.53,26.23,48.45
"ABIT00051","0807 -Rivi̬re Nottaway",196.3,"Aucune influence",3.57,8.31,5.59,12.76,19.96,18.9,57.56,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",10.67,11.54,17.63,26.22,23.59,60.21
"ABIT00055","0807 -Rivi̬re Nottaway",93.36,"Aucune influence",3.78,8.36,7.23,13.96,22.08,18.74,59.9,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",11.11,11.56,18.19,26.99,23.58,58.26
"ABIT00057","0807 -Rivi̬re Nottaway",60.76,"Aucune influence",3.81,8.92,7.24,14.52,23.48,19.92,57.92,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",10.68,12.61,19.46,27.22,24.19,54.38
"ABIT00058","0807 -Rivi̬re Nottaway",54.61,"Aucune influence",3.85,8.98,7.39,14.96,23.48,20.08,58.96,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",10.91,12.79,20.4,26.94,24.17,55.34
"ABIT00064","0807 -Rivi̬re Nottaway",15891.39,"Aucune influence",5.76,9.07,9.64,18.36,28.02,24.8,65.97,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",11.58,12.16,19.97,23.37,25.98,48.12
"ABIT00066","0807 -Rivi̬re Nottaway",15860,"Aucune influence",5.77,9.09,9.62,18.39,28.02,24.76,65.93,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",11.64,12.18,19.96,23.41,25.91,48.27
"ABIT00067","0807 -Rivi̬re Nottaway",76.53,"Aucune influence",3.53,7.71,5.7,12.79,20.85,17.68,56.9,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",11.9,11.26,17.41,25.71,25.73,56.76
"ABIT00069","0807 -Rivi̬re Nottaway",50.67,"Aucune influence",3.55,7.93,5.91,13.34,20.79,17.12,55.85,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",11.39,11.51,16.9,25.52,25.57,56.68
"ABIT00070","0807 -Rivi̬re Nottaway",15748.01,"Aucune influence",5.81,9.19,9.57,18.42,28.01,24.69,65.86,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",11.59,12.28,20.01,23.45,25.69,48.32
"ABIT00072","0807 -Rivi̬re Nottaway",15720.73,"Aucune influence",5.83,9.23,9.6,18.49,28.39,24.68,66.3,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",11.58,12.37,20.1,23.53,25.61,48.15
"ABIT00073","0807 -Rivi̬re Nottaway",369.49,"Aucune influence",4.07,7.58,6.07,12.68,20.42,17.2,54.95,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",11.9,12.07,16.4,25.52,22.8,57.78
"ABIT00074","0807 -Rivi̬re Nottaway",270.37,"Aucune influence",4.32,7.56,6.53,13.21,22.16,18.6,55.32,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",11.06,12.72,16.59,25.31,22.04,59.2
"ABIT00076","0807 -Rivi̬re Nottaway",201.58,"Aucune influence",4.68,7.92,7.19,13.91,22.96,19.23,55.01,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",10.33,13.13,15.21,25.37,24.09,54.14
"ABIT00077","0807 -Rivi̬re Nottaway",130.5,"Aucune influence",5.23,7.9,7.1,14.43,24.47,17.88,53.07,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",9.77,12.01,15.73,22.27,22.85,45.75
"ABIT00084","0807 -Rivi̬re Nottaway",15284.33,"Aucune influence",5.96,9.22,9.61,18.5,28.38,24.78,65.88,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",11.77,12.36,20.11,23.69,25.3,48.78
"ABIT00085","0807 -Rivi̬re Nottaway",691.48,"Aucune influence",3.64,7.32,5.72,13.38,21.03,18.88,60.18,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",11.67,12.24,18.93,26.55,24.91,62.35
"ABIT00087","0807 -Rivi̬re Nottaway",602.18,"Aucune influence",3.7,7.34,6,13.32,21.16,18.55,61.7,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",11.53,12.06,19.46,27.44,24.86,63.99
"ABIT00088","0807 -Rivi̬re Nottaway",527.22,"Aucune influence",3.68,7.08,6.23,13.06,20.85,18.38,61.44,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",11.54,12,19.32,28.41,25.59,63.04
"ABIT00090","0807 -Rivi̬re Nottaway",461.24,"Aucune influence",3.72,7.05,6.03,13.24,20.78,17.88,60.47,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",11.81,11.52,18.92,27.96,25.45,62.39
"ABIT00091","0807 -Rivi̬re Nottaway",358.17,"Aucune influence",3.72,7.69,6.03,13.29,20.59,17.8,57.04,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",10.93,11.98,17.75,26.74,24.06,61.71
"ABIT00092","0807 -Rivi̬re Nottaway",283.4,"Aucune influence",3.69,7.19,5.98,12.18,20.59,17.74,52.97,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",10.02,11.12,17.21,25.6,23.82,57.56
"ABIT00094","0807 -Rivi̬re Nottaway",51.18,"Aucune influence",3.76,7.97,6.05,12.35,19.26,16.06,52.13,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",10.82,11.04,17.51,23.92,23.12,56.49
"ABIT00095","0807 -Rivi̬re Nottaway",102.04,"Aucune influence",3.55,7.39,5.79,12.08,20.08,15.51,55.44,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",10.48,10.62,16.03,26.48,24.24,64.34
"ABIT00096","0807 -Rivi̬re Nottaway",62.84,"Aucune influence",3.61,6.8,6.45,12.23,20.63,15.27,52.89,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",10.1,11,16.21,26.07,24.13,60.45
"ABIT00102","0807 -Rivi̬re Nottaway",63.69,"Aucune influence",3.65,7.95,6.92,14.45,24,21.73,67.22,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",12.6,14.24,22.47,31.94,31.03,75.26
"ABIT00103","0807 -Rivi̬re Nottaway",54.4,"Aucune influence",3.7,7.31,6.87,14.17,22.7,18.97,61.06,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",12.37,12.96,20.54,28.37,28.14,65.01
"ABIT00104","0807 -Rivi̬re Nottaway",74.66,"Aucune influence",3.61,7.68,6.56,13.75,22.83,17.97,58.72,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",12.76,11.98,16.6,25.57,25.96,57.65
"ABIT00105","0807 -Rivi̬re Nottaway",14568.86,"Aucune influence",6.24,9.37,9.6,18.74,28.33,25.25,65.94,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",12.06,12.36,19.61,23.95,25.67,47.47
"ABIT00106","0807 -Rivi̬re Nottaway",14409.22,"Aucune influence",6.3,9.19,9.68,18.53,28.68,25.28,65.92,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",12,12.29,19.48,23.81,25.88,46.84
"ABIT00108","0807 -Rivi̬re Nottaway",14362.65,"Aucune influence",6.28,9.17,9.68,18.5,28.75,25.23,65.94,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",11.98,12.35,19.39,23.89,25.82,46.62
"ABIT00109","0807 -Rivi̬re Nottaway",14235.37,"Aucune influence",6.37,9.19,9.56,18.45,28.94,25.19,65.95,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",12.03,12.41,19.51,23.94,25.78,45.7
"ABIT00110","0807 -Rivi̬re Nottaway",480.97,"Aucune influence",6.86,8.34,7.84,14.66,21.59,19.36,53.14,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",10.23,10.54,14.71,23.53,24.85,41.45
"ABIT00112","0807 -Rivi̬re Nottaway",286.51,"Aucune influence",4.02,8.02,7.04,14.8,24.46,20.41,64.26,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",12.99,14.13,20.34,29.32,28.48,63.95
"ABIT00114","0807 -Rivi̬re Nottaway",61.72,"Aucune influence",3.8,7.67,7.21,13.64,22.14,19.15,59.28,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",12.2,12.98,21.54,26.13,26.31,77.09
"ABIT00115","0807 -Rivi̬re Nottaway",13703.82,"Aucune influence",6.42,9.31,9.6,18.64,28.99,25.04,66.43,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",11.99,12.37,19.81,24.06,25.71,46.87
"ABIT00116","0807 -Rivi̬re Nottaway",13046.75,"Aucune influence",6.55,9.51,9.54,18.87,29.28,24.99,66.1,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",11.72,12.11,19.07,24.09,25.64,46.43
"ABIT00117","0807 -Rivi̬re Nottaway",98.62,"Aucune influence",4.01,8.19,6.73,14.14,23.24,19.91,62.63,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",12.64,13.65,20.96,28.37,29.65,64.56
"ABIT00118","0807 -Rivi̬re Nottaway",12926.8,"Aucune influence",6.57,9.46,9.64,18.81,29.37,25.04,65.7,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",11.6,12.1,18.91,24.08,25.57,45.54
"ABIT00119","0807 -Rivi̬re Nottaway",12146.3,"Aucune influence",6.77,9.1,9.21,18.24,28.42,24.85,64.33,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",12.14,11.67,19.72,22.63,25.95,40.77
