TRONCON,BV_PRIMAIRE,SUPERFICIE,IND_INFLUENCE,REFERENCE,AMP_H30_RCP4,AMP_H30_RCP8,AMP_H50_RCP4,AMP_H50_RCP8,AMP_H80_RCP4,AMP_H80_RCP8,DIR_H30_RCP4,DIR_H30_RCP8,DIR_H50_RCP4,DIR_H50_RCP8,DIR_H80_RCP4,DIR_H80_RCP8,DIS_H30_RCP4,DIS_H30_RCP8,DIS_H50_RCP4,DIS_H50_RCP8,DIS_H80_RCP4,DIS_H80_RCP8
"ABIT00003","0807 -Rivi̬re Nottaway",329.25,"Aucune influence",9.61,-8.02,-10.14,-14.74,-22,-18.48,-37.94,"Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable",19.27,17.92,19.18,21.45,22.48,30.53
"ABIT00005","0807 -Rivi̬re Nottaway",309.03,"Aucune influence",9.68,-7.63,-10.07,-14.31,-21.7,-18.24,-37.19,"Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable",19.38,17.23,19.15,21.4,22.49,30.23
"ABIT00007","0807 -Rivi̬re Nottaway",250.15,"Aucune influence",10.09,-6.84,-8.92,-14.62,-21.27,-17.89,-36.21,"Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable",19.75,17.11,18.6,21.43,21.44,31.21
"ABIT00009","0807 -Rivi̬re Nottaway",84.36,"Aucune influence",7.34,-9.27,-13.08,-15.68,-24.94,-22.3,-44.66,"Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable",22.52,22.95,23.81,25.83,23.98,35.04
"ABIT00011","0807 -Rivi̬re Nottaway",53.77,"Aucune influence",4.51,-12.53,-16.84,-21.94,-31.53,-28.09,-55.26,"Diminution probable","Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable",26.93,28.67,33.29,39.29,35.85,42.15
"ABIT00012","0807 -Rivi̬re Nottaway",98.07,"Aucune influence",6.63,-8.37,-12.94,-15.43,-24.95,-20.94,-45.36,"Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable",24.04,23.58,23.62,27.33,23.71,37.36
"ABIT00016","0807 -Rivi̬re Nottaway",21545.05,"Aucune influence",7.45,-5.67,-7.78,-13.55,-20.81,-16.3,-33.19,"Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable",14.3,16.02,15.73,19.4,18.57,30.3
"ABIT00018","0807 -Rivi̬re Nottaway",21524.96,"Aucune influence",7.45,-5.66,-7.78,-13.56,-20.81,-16.3,-33.19,"Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable",14.31,16.02,15.41,19.43,18.58,30.31
"ABIT00019","0807 -Rivi̬re Nottaway",21274.25,"Aucune influence",7.5,-5.69,-7.83,-13.65,-20.95,-16.32,-33.25,"Diminution probable","Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable",14.48,15.98,15.59,19.44,18.59,30.5
"ABIT00020","0807 -Rivi̬re Nottaway",59.87,"Aucune influence",3.69,-10.24,-12.83,-19.33,-26.13,-22.29,-42.33,"Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable",15.09,14.85,18.52,23.09,21.35,32.99
"ABIT00024","0807 -Rivi̬re Nottaway",21185.42,"Aucune influence",7.54,-5.69,-7.83,-13.73,-20.92,-16.44,-33.28,"Diminution probable","Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable",14.41,15.97,15.74,19.52,18.56,30.61
"ABIT00025","0807 -Rivi̬re Nottaway",21086.85,"Aucune influence",7.55,-5.63,-7.82,-13.73,-20.89,-16.48,-33.34,"Diminution probable","Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable",14.46,16.04,15.77,19.6,18.57,30.78
"ABIT00027","0807 -Rivi̬re Nottaway",20976.49,"Aucune influence",7.58,-5.52,-7.78,-13.7,-20.8,-16.52,-33.38,"Diminution probable","Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable",14.42,16.09,15.85,19.71,18.6,30.66
"ABIT00029","0807 -Rivi̬re Nottaway",20910.08,"Aucune influence",7.62,-5.63,-7.75,-13.67,-20.73,-16.3,-33.42,"Diminution probable","Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable",14.35,16.11,15.84,19.66,18.6,30.63
"ABIT00030","0807 -Rivi̬re Nottaway",381.63,"Aucune influence",2.3,-11.49,-14.31,-21.6,-31.32,-26.88,-47.53,"Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable",18.92,17.87,25.66,26.66,26.47,35.45
"ABIT00032","0807 -Rivi̬re Nottaway",292.43,"Aucune influence",2.41,-11.64,-14.82,-22.02,-31.54,-28.04,-47.84,"Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable",19.82,19.17,27.15,26.97,27.64,35.88
