TRONCON,BV_PRIMAIRE,SUPERFICIE,IND_INFLUENCE,REFERENCE,AMP_H30_RCP4,AMP_H30_RCP8,AMP_H50_RCP4,AMP_H50_RCP8,AMP_H80_RCP4,AMP_H80_RCP8,DIR_H30_RCP4,DIR_H30_RCP8,DIR_H50_RCP4,DIR_H50_RCP8,DIR_H80_RCP4,DIR_H80_RCP8,DIS_H30_RCP4,DIS_H30_RCP8,DIS_H50_RCP4,DIS_H50_RCP8,DIS_H80_RCP4,DIS_H80_RCP8
"ABIT00003","0807 -Rivi̬re Nottaway",329.25,"Aucune influence",13.38,6.69,6.47,12.3,17.85,16.12,25.91,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable","Augmentation probable",13.93,9.99,14.05,14.91,20.25,28.61
"ABIT00005","0807 -Rivi̬re Nottaway",309.03,"Aucune influence",13.66,6.53,6.32,11.32,16.92,15.35,23.75,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",14.1,10.02,14.11,14.24,20.11,28.75
"ABIT00007","0807 -Rivi̬re Nottaway",250.15,"Aucune influence",14.71,4.98,5.38,8.67,13.03,10.83,16.08,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",12.76,10.72,14.53,15.13,19.99,32.95
"ABIT00009","0807 -Rivi̬re Nottaway",84.36,"Aucune influence",13.67,8.42,7.3,16.28,22.02,20.18,33.1,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",16.04,10.97,15.42,14.94,20.76,26.69
"ABIT00011","0807 -Rivi̬re Nottaway",53.77,"Aucune influence",12.27,10.81,10.43,21.75,29.74,25.42,47.7,"Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",18.24,11.85,17.5,16.47,24.52,23.2
"ABIT00012","0807 -Rivi̬re Nottaway",98.07,"Aucune influence",12.89,10.89,9.53,20.79,27.88,25.1,44.8,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",19.94,11.84,18.84,16.46,23.91,27.53
"ABIT00016","0807 -Rivi̬re Nottaway",21545.05,"Aucune influence",12.77,7.8,8.04,15.24,21.17,18.73,31.19,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable",16.34,11.73,15.01,15.63,21.24,27.98
"ABIT00018","0807 -Rivi̬re Nottaway",21524.96,"Aucune influence",12.76,7.81,8.03,15.24,21.16,18.73,31.19,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable",16.34,11.7,15.03,15.64,21.23,27.99
"ABIT00019","0807 -Rivi̬re Nottaway",21274.25,"Aucune influence",12.8,7.8,7.97,15.17,20.93,18.6,30.78,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable",16.23,11.72,15.13,15.61,21.05,28.5
"ABIT00020","0807 -Rivi̬re Nottaway",59.87,"Aucune influence",8.46,14.1,11.01,25.81,35.49,32.89,59.4,"Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",22.78,17.46,23.29,27.26,31.71,47.5
"ABIT00024","0807 -Rivi̬re Nottaway",21185.42,"Aucune influence",12.8,7.78,7.95,15.18,20.89,18.57,30.7,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation probable",16.21,11.64,15.21,15.55,21.05,28.68
