FID,CODE,BUP_NO_BUREA,BUP_NO_REGIO,BUP_NOM_REGIO,BUP_NOM_BUREA,TYPE,BUP_ADR_DGPF,BUP_ADR_QUEBE,BUP_NOM_MUNIC,BUP_CODE_POSTA,SHAPE
Bureaux_protection_faune.fid--36104af1_191566b56df_6fb8,31,02_04,2,Saguenay/Lac-Saint-Jean,Bureau local de Dolbeau-Mistassini,local,"58, rue Savard, Dolbeau-Mistassini, G8L 4L2","58, rue Savard, Dolbeau-Mistassini, G8L 4L2",Dolbeau-Mistassini,G8L4L2,POINT (-72.2033468110308 48.8887356654095)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fb9,32,03_32,3,Capitale-Nationale/Chaudière-Appalaches,Bureau local de Saint-Raymond-de-Portneuf,local,"1012, Grand Rang,  Saint-Raymond, G3L 4J9","1012, Grand Rang,  Saint-Raymond, G3L 4J9",Saint-Raymond,G3L4J9,POINT (-71.8221352251428 46.8584086213794)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fba,33,03_33,3,Capitale-Nationale/Chaudière-Appalaches,Bureau local de Québec,local,"395, 55e Rue Ouest, Québec, G1H 7M8","395, 55e Rue Ouest, Québec, G1H 7M8",Québec,G1H7M8,POINT (-71.2621956997382 46.8464722643969)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fbb,34,03_35,3,Capitale-Nationale/Chaudière-Appalaches,Bureau local de Baie-Saint-Paul,local,"6, chemin de l'Équerre, Baie-Saint-Paul, G3Z 2Y7","6, chemin de l'Équerre, Baie-Saint-Paul, G3Z 2Y7",Baie-Saint-Paul,G3Z2Y7,POINT (-70.5224504435394 47.4478377069546)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fbc,35,03_36,3,Capitale-Nationale/Chaudière-Appalaches,Bureau local de La Malbaie,local,"1915, boul. de Comporté, La Malbaie, G5A 1N9","1915, boul. de Comporté, La Malbaie, G5A 1N9",La Malbaie,G5A1N9,POINT (-70.1845920209662 47.676417169486)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fbd,36,12,12,Capitale-Nationale/Chaudière-Appalaches,Direction de la protection de la faune de la Capitale-Nationale et de la Chaudière-Appalaches,regional,"8400, avenue Sous-le-Vent, Lévis, G6X 3S9","8400, avenue Sous-le-Vent, Lévis, G6X 3S9",Lévis,G6X3S9,POINT (-71.2736928073542 46.724263870831)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fbe,37,12_32,12,Capitale-Nationale/Chaudière-Appalaches,Bureau local de Beauceville,local,"175, 181e rue, Beauceville, G5X 2S9","175, 181e rue, Beauceville, G5X 2S9",Beauceville,G5X2S9,POINT (-70.784733946168 46.2266576471636)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fbf,38,12_34,12,Capitale-Nationale/Chaudière-Appalaches,Bureau local de Montmagny,local,"116, St-Jean-Baptiste Ouest, bureau D, Montmagny, G5V 3B9","116, St-Jean-Baptiste Ouest, Montmagny, G5V 3B9",Montmagny,G5V3B9,POINT (-70.5706776058579 46.9764068434612)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fc0,39,12_35,12,Capitale-Nationale/Chaudière-Appalaches,Bureau local Laurier-Station,local,"186, boulevard Laurier Est,  Laurier-Station, G0S 1N0","186, boulevard Laurier Est,  Laurier-Station, G0S 1N0",Laurier-Station,G0S1N0,POINT (-71.6249625360122 46.5437145828832)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fc1,40,12_36,12,Capitale-Nationale/Chaudière-Appalaches,Bureau local de Thetford Mines,local,"1065, rue du Parc, Thetford-Mines, G6H 1A2","1065, rue du Parc, Thetford-Mines, G6H 1A2",Thetford Mines,G6H1A2,POINT (-71.357207455545 46.0680075393172)
