ï»¿Identification,Identification_geo,CAS,PRP(2012-2020),PRP(2021-)
Dioxyde de carbone (CO2),CO2(t),124-38-9,1,1
MÃ©thane (CH4),CH4(t),74-82-8,21,25
Oxyde nitreux (N2O),N2O(t),10024-97-2,310,298
Hexafluorure de soufre (SF6),SF6(t),2551-62-4,23900,22800
HFC-23 (CHF3),HFC-23(t),75-46-7,11700,14800
HFC-32 (CH2F2),HFC-32(t),1975-10-05,650,675
HFC-41 (CH3F),HFC-41(t),593-53-3,150,92
HFC-43-10mee (C5H2F10),HFC-43-10mee(t),138495-42-8,1300,1640
HFC-125 (C2HF5),HFC-125(t),354-33-6,2800,3500
HFC-134 (CHF2CHF2),HFC-134(t),359-35-3,1000,1100
HFC-134a (CH2FCF3),HFC-134a(t),811-97-2,1300,1430
HFC-143 (CHF2CH2F),HFC-143(t),430-66-0,300,353
HFC-143a (CF3CH3),HFC-143a(t),420-46-2,3800,4470
HFC-152 (C2H4F2),HFC-152(t),624-72-6,,53
HFC-152a (CH3CHF2),HFC-152a(t),75-37-6,140,124
HFC-161 (C2H5F),HFC-161(t),353-36-6,12,12
HFC-227ea (C3HF7),HFC-227ea(t),431-89-0,2900,3220
HFC-236cb (C3H2F6),HFC-236cb(t),677-56-5,1300,1340
HFC-236ea (C3H2F6),HFC-236ea(t),431-63-0,1200,1370
HFC-236fa (C3H2F6),HFC-236fa(t),690-39-1,6300,9810
HFC-245ca (C3H3F5),HFC-245ca(t),679-86-7,560,693
HFC-245fa (C3H3F5),HFC-245fa(t),460-73-1,950,1030
HFC-365mfc (C4H5F5),HFC-365mfc(t),406-58-6,890,794
PerfluoromÃ©thane (CF4),CF4(t),75-73-0,6500,7390
PerfluoroÃ©thane (C2F6),C2F6(t),76-16-4,9200,12200
Perfluoropropane (C3F8),C3F8(t),76-19-7,7000,8830
Perfluorobutane (C4F10),C4F10(t),355-25-9,7000,8860
Perfluorocyclobutane (c-C4F8),c-C4F8(t),115-25-3,8700,10300
Perfluorocyclopropane (c-C3F6),c-C3F6(t),931-91-9,,17 340
Perfluorodecalin (C10F18),C10F18(t),306-94-5,,7 500
Perfluoropentane (C5F12),C5F12(t),678-26-2,7500,9160
Perfluorohexane (C6F14),C6F14(t),355-42-0,7400,9300
Trifluorure d'azote (NF3),NF3(t),7783-54-2,17200,17200
