TRONCON,SUPERFICIE,IND_INFLUENCE,NIVEAU_CONFIANCE,REFERENCE,AMP_H30_RCP4,AMP_H30_RCP8,AMP_H50_RCP4,AMP_H50_RCP8,AMP_H80_RCP4,AMP_H80_RCP8,DIR_H30_RCP4,DIR_H30_RCP8,DIR_H50_RCP4,DIR_H50_RCP8,DIR_H80_RCP4,DIR_H80_RCP8
"ABI0002",22622,"Aucune influence","Mod̩r̩e",164.8,5.7,8.5,9.3,9.3,12.8,-0.1,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0003",11584,"Aucune influence","Mod̩r̩e",196.9,4.3,7,9.1,7.1,10.9,0.1,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0004",275,"Aucune influence","Mod̩r̩e",160.3,3.6,7.5,7.6,8.2,10.1,4.3,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0011",11123,"Aucune influence","Mod̩r̩e",197.4,4,6.8,9.3,6.9,10.7,0.5,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0012",8080,"Aucune influence","Mod̩r̩e",198.4,4,6.8,9.1,7,11.1,0.7,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0013",7376,"Aucune influence","Mod̩r̩e",195.3,4.6,7.6,9.6,7.5,11.2,1.8,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0014",1087,"Aucune influence","Mod̩r̩e",137.4,2.5,6.1,9.2,10,9.6,1.9,"Absence de consensus","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0016",1042,"Aucune influence","Mod̩r̩e",137.1,1.8,6,8.7,10.1,9.5,1.9,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0020",1007,"Aucune influence","Mod̩r̩e",136.9,2.1,5.8,8.6,9.7,9.6,2,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0028",865,"Aucune influence","Mod̩r̩e",142.6,2.3,5.5,8.5,9.6,10.3,1.9,"Absence de consensus","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0029",719,"Aucune influence","Mod̩r̩e",144.4,2.4,5.8,8.5,9.9,9.9,3.3,"Absence de consensus","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0030",696,"Aucune influence","Mod̩r̩e",146.8,2.5,6.1,8.5,9.9,9.7,3,"Absence de consensus","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0031",598,"Aucune influence","Mod̩r̩e",200.1,3.3,6.5,8.6,9,10.4,4,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0032",562,"Aucune influence","Mod̩r̩e",203.8,3.4,6.6,8.6,9.1,10.3,4.5,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0033",420,"Aucune influence","Limit̩e",273,3.8,6.1,7.9,8.3,9.9,7.8,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0041",6048,"Aucune influence","Mod̩r̩e",209.8,4.7,8.5,9.8,7.9,11.7,3,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0042",5066,"Aucune influence","Mod̩r̩e",213,5.6,9.4,9.6,8.5,12.2,6.5,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0043",263,"Aucune influence","Limit̩e",325.6,3.5,6.4,6.8,5.1,9.4,4.6,"Absence de consensus","Augmentation probable","Augmentation probable","Absence de consensus","Augmentation probable","Absence de consensus"
"ABI0046",4749,"Aucune influence","Mod̩r̩e",212.5,6.3,9.3,9.8,9.1,12.9,6.8,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0054",4523,"Aucune influence","Mod̩r̩e",215,6.2,9.3,9.7,9.5,12.8,6.7,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0055",2122,"Aucune influence","Mod̩r̩e",190.2,7.6,9.5,11.6,11.3,13.4,8.6,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0056",767,"Aucune influence","Mod̩r̩e",155.5,8.2,9.5,12,14.2,13.5,4.2,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0057",376,"Aucune influence","Mod̩r̩e",125.9,6.7,8,10.4,13.8,11.8,-3.5,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0058",366,"Aucune influence","Mod̩r̩e",125.7,7.3,8.3,10.8,14,12.6,-3.9,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0064",291,"Aucune influence","Limit̩e",151.8,8,8.7,11.5,15,12.7,-1.6,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0077",1100,"Aucune influence","Mod̩r̩e",213.1,8.6,12,11.8,12.7,14.3,10,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0081",894,"Aucune influence","Mod̩r̩e",226.6,8.4,12.3,11.6,13.6,14.2,10.1,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0082",681,"Aucune influence","Mod̩r̩e",211.9,9.8,12.1,13.3,14.8,15.7,12,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0084",472,"Aucune influence","Mod̩r̩e",224.9,8.8,11.1,12.4,14.6,15.5,10.6,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0092",2380,"Aucune influence","Mod̩r̩e",234.5,4.7,8.8,8.2,8.8,10.9,6.6,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0093",773,"Aucune influence","Mod̩r̩e",258.3,5.3,8.8,8.8,8.5,11.2,7.1,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0094",339,"Aucune influence","Mod̩r̩e",248.9,6,10,10,9.5,12.4,9,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0102",1606,"Aucune influence","Mod̩r̩e",222.6,4.1,8.9,8.2,9.2,10.3,6.3,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0104",1380,"Aucune influence","Mod̩r̩e",217.6,4.3,9.6,8.4,9.4,10.7,6,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0106",1190,"Aucune influence","Mod̩r̩e",212,4.3,9.2,8.8,9.4,10.5,6.1,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0108",959,"Aucune influence","Mod̩r̩e",216.1,3.9,9,7.1,7.9,9.3,8.4,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0110",668,"Aucune influence","Mod̩r̩e",190.6,3.9,8.5,6.8,7.6,9,7,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0112",551,"Aucune influence","Limit̩e",159.5,3.7,8,6.9,7.5,9.3,7.2,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0117",2949,"Aucune influence","Mod̩r̩e",201.9,4.1,8.1,8,8.8,10.2,-0.9,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0118",2067,"Aucune influence","Mod̩r̩e",201.7,5.4,9.1,10.3,10,12.6,3,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0119",1790,"Aucune influence","Mod̩r̩e",205.5,7.2,10.7,11,12,14.2,6.6,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0120",1118,"Aucune influence","Mod̩r̩e",222,7.2,10.9,11,13.3,14.2,7.8,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0121",546,"Aucune influence","Limit̩e",219.4,7.1,11.3,11.6,14.3,14,7.1,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0126",500,"Aucune influence","Limit̩e",245.8,5.8,10.4,9.3,10.6,11.6,8,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0129",425,"Aucune influence","Mod̩r̩e",166.8,10,13.1,15.5,16.7,17.5,11.1,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0131",267,"Aucune influence","Mod̩r̩e",220.1,4.8,8.9,9,9.7,13.1,10.1,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable"
"ABI0135",361,"Aucune influence","Limit̩e",192.9,4.1,7.4,7.3,7.5,8.6,-7,"Absence de consensus","Augmentation probable","Augmentation probable","Absence de consensus","Augmentation probable","Absence de consensus"
"ABI0140",9929,"Aucune influence","Mod̩r̩e",131.5,6.2,10.2,10.8,12.5,12.7,1.7,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0141",9218,"Aucune influence","Mod̩r̩e",127.1,5.9,9.5,10.1,12.4,13.5,3.5,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0142",873,"Aucune influence","Mod̩r̩e",194.8,7.7,12,13.8,15.3,17.4,6.1,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0144",817,"Aucune influence","Limit̩e",193.7,7.4,12.5,14.2,15.4,17.6,5.6,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0146",628,"Aucune influence","Limit̩e",191.7,8.4,13.4,15.1,17.1,17.6,9,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0149",8246,"Aucune influence","Mod̩r̩e",119.7,5,8.8,9,11.7,13.2,5.5,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0151",7950,"Aucune influence","Mod̩r̩e",116.3,4.9,8.7,9.3,11.2,13.1,5.7,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0153",7800,"Aucune influence","Mod̩r̩e",114.4,4.8,8.7,9.1,11.2,12.8,5.4,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0155",7653,"Aucune influence","Mod̩r̩e",112.8,5,8.6,9.4,11.5,12.7,5,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0156",7211,"Aucune influence","Mod̩r̩e",109.4,4.7,8.3,9,10.8,12.5,6.4,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0160",7038,"Aucune influence","Mod̩r̩e",106.7,4.2,8.4,8.9,10.9,12.6,6.3,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0162",6971,"Aucune influence","Mod̩r̩e",105.9,4.3,8.5,9,10.9,12.7,6.3,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0163",6899,"Aucune influence","Mod̩r̩e",104.3,4.3,8.4,8.9,11,12.7,6.3,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0164",431,"Aucune influence","Limit̩e",252.1,3.6,7.8,8,9.7,12.1,5.8,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0167",6446,"Aucune influence","Mod̩r̩e",95.8,4.8,8.5,9,11.1,12.7,6.4,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0168",1015,"Aucune influence","Mod̩r̩e",145.5,6.3,7.9,9.8,12.5,13.5,7.1,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0170",912,"Aucune influence","Mod̩r̩e",136.4,5.4,7,8.7,11.1,12,4.6,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0172",830,"Aucune influence","Mod̩r̩e",131.7,4.5,6.6,8,10.7,11.5,5,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0174",676,"Aucune influence","Mod̩r̩e",111.7,3.3,4.9,6.5,9.9,9.2,6.6,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0175",485,"Aucune influence","Mod̩r̩e",84.9,2.6,3.8,4.6,7.8,8.2,4.5,"Absence de consensus","Absence de consensus","Absence de consensus","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0180",5400,"Aucune influence","Mod̩r̩e",87.8,3.9,7.8,8.8,10.5,11.7,5.7,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0182",5169,"Aucune influence","Mod̩r̩e",81,3.7,7.4,8.5,10.5,11,5,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0184",4916,"Aucune influence","Mod̩r̩e",75,3.7,6.9,7.7,9.8,9.9,3.3,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0185",4750,"Aucune influence","Mod̩r̩e",70.9,3.3,6.7,6.9,8.8,8.9,1.3,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0186",4135,"Aucune influence","Mod̩r̩e",61.1,2.2,5,4.8,6.2,6.6,-0.4,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0187",4084,"Aucune influence","Mod̩r̩e",60.8,2.1,5.1,5.1,6.1,6.5,-0.6,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0188",3843,"Aucune influence","Mod̩r̩e",70.2,4.7,8.5,8.4,9.7,10.5,5.1,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0189",332,"Aucune influence","Limit̩e",335.4,5.5,8.2,8.2,8.8,10,5.8,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Absence de consensus"
"ABI0192",3183,"Aucune influence","Mod̩r̩e",81.3,1,3.2,1.4,3.2,2.7,-4.2,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus"
"ABI0193",3182,"Aucune influence","Mod̩r̩e",81.5,0.9,3.1,1.4,3.2,2.7,-4.3,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus"
"ABI0194",3149,"Aucune influence","Mod̩r̩e",82.7,0.9,3.2,1.5,3,2.8,-4.6,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus"
"ABI0195",3054,"Aucune influence","Mod̩r̩e",84.4,1.3,3.3,1.9,3.4,3.1,-4.1,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus"
