TRONCON,BV_PRIMAIRE,SUPERFICIE,IND_INFLUENCE,REFERENCE,AMP_H30_RCP4,AMP_H30_RCP8,AMP_H50_RCP4,AMP_H50_RCP8,AMP_H80_RCP4,AMP_H80_RCP8,DIR_H30_RCP4,DIR_H30_RCP8,DIR_H50_RCP4,DIR_H50_RCP8,DIR_H80_RCP4,DIR_H80_RCP8,DIS_H30_RCP4,DIS_H30_RCP8,DIS_H50_RCP4,DIS_H50_RCP8,DIS_H80_RCP4,DIS_H80_RCP8
"ABIT00003","0807 -Rivi̬re Nottaway",329.25,"Aucune influence",73.66,3.91,6.08,4.09,9.09,7.35,11.66,"Absence de consensus","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",18.98,14.44,18.25,16.89,17.73,22.79
"ABIT00005","0807 -Rivi̬re Nottaway",309.03,"Aucune influence",67.72,4.41,5.86,3.65,8.53,7.32,10.65,"Absence de consensus","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",21.52,14.15,18.55,15.34,18.06,21.4
"ABIT00007","0807 -Rivi̬re Nottaway",250.15,"Aucune influence",60.75,5.48,5.38,2.67,7.27,6.03,6.6,"Augmentation probable","Absence de consensus","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",23.31,15.37,21.83,17.86,16.71,20.84
"ABIT00009","0807 -Rivi̬re Nottaway",84.36,"Aucune influence",91.56,3.89,4.15,2.06,8.77,5.6,8.3,"Absence de consensus","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Absence de consensus",24.07,15.72,20.39,19.36,20.36,25.13
"ABIT00011","0807 -Rivi̬re Nottaway",53.77,"Aucune influence",166.38,4.55,7.51,6.03,11.61,10.03,16.33,"Absence de consensus","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",23.99,20.42,20.29,24.89,22.36,31.54
"ABIT00012","0807 -Rivi̬re Nottaway",98.07,"Aucune influence",98.91,3.54,4.89,3.18,9.14,6.75,7.47,"Absence de consensus","Augmentation probable","Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable",22.49,16.69,19.71,17.86,22.67,23.62
"ABIT00016","0807 -Rivi̬re Nottaway",21545.05,"Aucune influence",94.23,5.51,5.37,6.2,8.65,9.06,14.09,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",22.57,15.74,15.39,20.4,16.71,23.25
"ABIT00018","0807 -Rivi̬re Nottaway",21524.96,"Aucune influence",94.23,5.31,5.35,6.29,8.62,9.16,14.09,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",22.62,15.77,15.32,20.5,16.67,23.23
"ABIT00019","0807 -Rivi̬re Nottaway",21274.25,"Aucune influence",93.24,5.61,5.37,6.38,8.92,9.01,14.05,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",22.44,16.24,14.63,20.65,16.53,23.31
"ABIT00020","0807 -Rivi̬re Nottaway",59.87,"Aucune influence",139.33,4.97,5.59,8.13,8.36,9.83,13.37,"Absence de consensus","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",22.35,17.18,18.02,22.93,17.43,17.97
