TRONCON,BV_PRIMAIRE,SUPERFICIE,IND_INFLUENCE,REFERENCE,AMP_H30_RCP4,AMP_H30_RCP8,AMP_H50_RCP4,AMP_H50_RCP8,AMP_H80_RCP4,AMP_H80_RCP8,DIR_H30_RCP4,DIR_H30_RCP8,DIR_H50_RCP4,DIR_H50_RCP8,DIR_H80_RCP4,DIR_H80_RCP8,DIS_H30_RCP4,DIS_H30_RCP8,DIS_H50_RCP4,DIS_H50_RCP8,DIS_H80_RCP4,DIS_H80_RCP8
"ABIT00003","0807 -Rivi̬re Nottaway",329.25,"Aucune influence",4.36,0.62,-1.12,-3.64,-7.65,-6.73,-30.29,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",13.83,16.43,18.63,27.79,27.69,45.49
"ABIT00005","0807 -Rivi̬re Nottaway",309.03,"Aucune influence",4.46,0.69,-1.04,-3.53,-7.69,-6.61,-30.11,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",13.32,16.06,18.95,27.49,27.29,45.55
"ABIT00007","0807 -Rivi̬re Nottaway",250.15,"Aucune influence",4.7,1.26,-1.34,-3.93,-7.9,-5.92,-30.63,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",13.79,15.95,18.75,27.57,26.26,46.97
"ABIT00009","0807 -Rivi̬re Nottaway",84.36,"Aucune influence",3.28,-2.03,-3.92,-11.08,-16.73,-14.13,-44.3,"Absence de consensus","Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable",20.43,20.91,27.88,34.59,31.73,56.44
"ABIT00011","0807 -Rivi̬re Nottaway",53.77,"Aucune influence",2.03,-6.43,-10.25,-19.52,-28.25,-24.55,-50.47,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",30.35,28.8,35.73,38.31,32.98,44.77
"ABIT00012","0807 -Rivi̬re Nottaway",98.07,"Aucune influence",2.93,-4.1,-4.67,-14.23,-19.36,-15.96,-47.05,"Absence de consensus","Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable",22.53,23.85,31.28,36.74,30.13,57.06
"ABIT00016","0807 -Rivi̬re Nottaway",21545.05,"Aucune influence",3.15,4.04,-0.98,-1.74,-3.72,-1.97,-18.85,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",11.63,13.57,16.56,22.63,24.57,45.17
"ABIT00018","0807 -Rivi̬re Nottaway",21524.96,"Aucune influence",3.15,4.01,-0.97,-1.74,-3.72,-1.95,-18.84,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",11.62,13.58,16.55,22.65,24.58,45.15
"ABIT00019","0807 -Rivi̬re Nottaway",21274.25,"Aucune influence",3.19,4.02,-1.02,-1.7,-3.59,-1.86,-18.99,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",11.63,13.83,16.47,22.58,24.49,45
"ABIT00020","0807 -Rivi̬re Nottaway",59.87,"Aucune influence",2.18,-0.6,-12.13,-12.79,-21.68,-18.18,-41.85,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",19.74,23.17,24.73,32.75,26.34,43.36
"ABIT00024","0807 -Rivi̬re Nottaway",21185.42,"Aucune influence",3.19,4.04,-1,-1.69,-3.52,-1.81,-19.05,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",11.62,13.89,16.37,22.54,24.4,44.89
"ABIT00025","0807 -Rivi̬re Nottaway",21086.85,"Aucune influence",3.19,4.03,-1.06,-1.7,-3.46,-1.8,-19.02,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",11.58,13.91,16.43,22.5,24.27,44.77
"ABIT00027","0807 -Rivi̬re Nottaway",20976.49,"Aucune influence",3.24,4.04,-1.08,-1.73,-3.47,-1.77,-18.99,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",11.5,13.94,16.46,22.4,24.24,44.62
"ABIT00029","0807 -Rivi̬re Nottaway",20910.08,"Aucune influence",3.23,4.11,-1.07,-1.74,-3.46,-1.75,-18.97,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",11.53,13.94,16.45,22.33,24.22,44.57
"ABIT00030","0807 -Rivi̬re Nottaway",381.63,"Aucune influence",1.24,-7.93,-15.37,-19.19,-27.88,-27.34,-46.57,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",29.6,27.27,38.99,32.59,34.79,42.89
"ABIT00032","0807 -Rivi̬re Nottaway",292.43,"Aucune influence",1.3,-8.74,-15.37,-19.61,-27.85,-27.83,-47.22,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",29.37,27.15,38.42,33.33,34.07,41.62
"ABIT00033","0807 -Rivi̬re Nottaway",255.19,"Aucune influence",1.31,-8.85,-14.86,-19.57,-27.96,-27.97,-47.34,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",29.05,27.64,38.1,32.88,32.28,40.13
"ABIT00034","0807 -Rivi̬re Nottaway",174.14,"Aucune influence",1.3,-9.19,-14.74,-19.47,-27.94,-27.05,-45.68,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",26.49,28.43,37.39,34.85,33.5,40.03
"ABIT00036","0807 -Rivi̬re Nottaway",65.25,"Aucune influence",0.97,-8.88,-13.94,-18.22,-27.61,-25.28,-45.7,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",26.88,28.62,35,33.1,35.88,40.92
"ABIT00039","0807 -Rivi̬re Nottaway",20508.94,"Aucune influence",3.33,4.16,-1.13,-1.54,-3.16,-1.59,-18.71,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",11.44,13.89,16.73,21.93,24.07,44.01
"ABIT00040","0807 -Rivi̬re Nottaway",19887.87,"Aucune influence",3.5,4.19,-1,-0.97,-2.76,-1.37,-18.78,"Augmentation probable","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",11.36,13.73,16.98,21.58,23.74,44.32
"ABIT00042","0807 -Rivi̬re Nottaway",19836.73,"Aucune influence",3.52,4.23,-0.95,-0.88,-2.73,-1.33,-18.68,"Augmentation probable","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",11.43,13.76,16.91,21.47,23.7,44.31
"ABIT00043","0807 -Rivi̬re Nottaway",16213.47,"Aucune influence",4.34,4.95,-0.73,0.67,-0.34,0.88,-16.16,"Augmentation probable","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",10.92,12.59,14.7,19.88,23.16,43.6
"ABIT00045","0807 -Rivi̬re Nottaway",16178.76,"Aucune influence",4.39,4.97,-0.72,0.74,-0.33,0.9,-16.28,"Augmentation probable","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",10.89,12.69,14.67,19.9,23.15,43.57
"ABIT00047","0807 -Rivi̬re Nottaway",16143.36,"Aucune influence",4.41,4.98,-0.71,0.76,-0.27,0.92,-16.39,"Augmentation probable","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",10.9,12.71,14.75,19.92,23.14,43.53
"ABIT00048","0807 -Rivi̬re Nottaway",16105.59,"Aucune influence",4.41,5.02,-0.72,0.77,-0.19,0.96,-16.4,"Augmentation probable","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",10.94,12.78,14.76,19.95,23.16,43.47
"ABIT00050","0807 -Rivi̬re Nottaway",16095.57,"Aucune influence",4.4,5.03,-0.72,0.77,-0.17,0.97,-16.39,"Augmentation probable","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",10.94,12.77,14.75,19.96,23.17,43.46
"ABIT00051","0807 -Rivi̬re Nottaway",196.3,"Aucune influence",2.61,-1.48,-11.12,-10.67,-18.63,-15.85,-40.93,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",16.67,22.14,25.4,30.79,28.36,41.57
"ABIT00055","0807 -Rivi̬re Nottaway",93.36,"Aucune influence",2.87,0.88,-9.8,-8.13,-14.14,-11.85,-38.49,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",18.36,21.34,24.26,31.86,28.68,46.27
"ABIT00057","0807 -Rivi̬re Nottaway",60.76,"Aucune influence",2.98,1.1,-7.78,-6.47,-11.87,-10.22,-35.22,"Absence de consensus","Diminution probable","Absence de consensus","Diminution probable","Diminution probable","Diminution probable",16.01,19.8,23.04,29.4,26.23,45.24
"ABIT00058","0807 -Rivi̬re Nottaway",54.61,"Aucune influence",2.96,0.88,-8.32,-7.03,-12.57,-11.01,-36.1,"Absence de consensus","Diminution probable","Absence de consensus","Diminution probable","Diminution probable","Diminution probable",17.01,20.17,23.56,30.64,27.14,44.78
"ABIT00064","0807 -Rivi̬re Nottaway",15891.39,"Aucune influence",4.49,4.91,-0.62,0.68,-0.45,0.92,-16.24,"Augmentation probable","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",11.11,12.89,14.86,20.27,23.2,43.38
"ABIT00066","0807 -Rivi̬re Nottaway",15860,"Aucune influence",4.52,4.91,-0.6,0.67,-0.46,0.89,-16.26,"Augmentation probable","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",11.12,12.91,14.91,20.32,23.23,43.37
"ABIT00067","0807 -Rivi̬re Nottaway",76.53,"Aucune influence",2.04,-6.73,-13.16,-15.8,-25.88,-22.04,-46.8,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",23.6,27.55,33.94,33.31,30.85,44.68
"ABIT00069","0807 -Rivi̬re Nottaway",50.67,"Aucune influence",1.96,-5.4,-12.09,-17.32,-25.2,-21.63,-45.66,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",24.47,27.82,34.07,34.32,31.28,45.86
"ABIT00070","0807 -Rivi̬re Nottaway",15748.01,"Aucune influence",4.5,4.91,-0.58,0.68,-0.52,1.14,-16.19,"Augmentation probable","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",11.1,12.92,15.2,20.61,23.15,43.33
"ABIT00072","0807 -Rivi̬re Nottaway",15720.73,"Aucune influence",4.55,4.91,-0.59,0.71,-0.49,1.16,-16.18,"Augmentation probable","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",11.09,12.92,15.24,20.63,23.22,43.39
"ABIT00073","0807 -Rivi̬re Nottaway",369.49,"Aucune influence",2.88,1.71,-7.84,-8.37,-12.72,-11.12,-35.8,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",16.35,18.66,22.28,30.04,22.97,45.37
"ABIT00074","0807 -Rivi̬re Nottaway",270.37,"Aucune influence",3.09,2.35,-6.09,-5.86,-8.19,-7.59,-32.09,"Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable","Diminution probable","Diminution probable",14.98,16.76,20.02,28.8,22.35,46.57
"ABIT00076","0807 -Rivi̬re Nottaway",201.58,"Aucune influence",3.39,3.54,-4.54,-3.79,-5.69,-6.17,-27.66,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",13.67,15.86,18.38,27.47,22.15,46.45
"ABIT00077","0807 -Rivi̬re Nottaway",130.5,"Aucune influence",3.87,3.92,-3.45,-2.43,-4,-5.01,-24.75,"Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",13.86,14.37,18.25,27.62,22.7,48.61
"ABIT00084","0807 -Rivi̬re Nottaway",15284.33,"Aucune influence",4.69,4.94,-0.66,0.85,-0.54,1.45,-15.82,"Augmentation probable","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",11.1,13.1,15.3,20.81,23.35,43.97
"ABIT00085","0807 -Rivi̬re Nottaway",691.48,"Aucune influence",2.19,-5.41,-11.44,-14.41,-24.88,-21.29,-46.97,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",21.84,25.5,32.81,36.25,28.98,47.39
"ABIT00087","0807 -Rivi̬re Nottaway",602.18,"Aucune influence",2.27,-5.29,-10.34,-14.16,-24.81,-20.95,-46.85,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",21.54,25.24,32.35,37.15,29.24,50.29
"ABIT00088","0807 -Rivi̬re Nottaway",527.22,"Aucune influence",2.22,-4.86,-10.02,-13.46,-23.36,-20.13,-46.27,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",21.37,24.24,32.03,37.19,29.3,49.8
"ABIT00090","0807 -Rivi̬re Nottaway",461.24,"Aucune influence",2.25,-4.16,-9.94,-13.34,-22.98,-19.48,-45.51,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",21.98,24.39,32,36.93,29.24,50.17
"ABIT00091","0807 -Rivi̬re Nottaway",358.17,"Aucune influence",2.3,-3.43,-9.97,-12.61,-22.21,-19.65,-44.78,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",20.47,24.22,31.85,34.61,29.57,49.91
"ABIT00092","0807 -Rivi̬re Nottaway",283.4,"Aucune influence",2.28,-3.49,-11.26,-13.48,-22.24,-18.1,-44.7,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",20.24,23.92,31.36,35.66,31,48.52
"ABIT00094","0807 -Rivi̬re Nottaway",51.18,"Aucune influence",1.85,-6.59,-13.89,-19.15,-27.92,-22.39,-48.71,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",27.73,30.01,39.19,37.22,33.55,43.03
"ABIT00095","0807 -Rivi̬re Nottaway",102.04,"Aucune influence",2.16,-3.16,-11.78,-14.31,-23.33,-18.7,-45.42,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",22.4,24.86,27.48,34.51,30.34,47.31
"ABIT00096","0807 -Rivi̬re Nottaway",62.84,"Aucune influence",2.34,-1.19,-10.23,-12.08,-20.54,-17.72,-41.82,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",20.07,21.95,27.58,32.88,28.7,49.89
"ABIT00102","0807 -Rivi̬re Nottaway",63.69,"Aucune influence",2.14,-7.12,-10.26,-16.38,-23.49,-24.65,-44.7,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",28.51,29.9,36.92,37.73,35.62,45.43
"ABIT00103","0807 -Rivi̬re Nottaway",54.4,"Aucune influence",1.82,-9.64,-10.53,-15.35,-23.66,-20.71,-45.9,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",24.05,26.47,33.83,31.99,27.05,42.38
"ABIT00104","0807 -Rivi̬re Nottaway",74.66,"Aucune influence",1.48,-10.5,-12.33,-18.25,-25.67,-25.28,-47.28,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",27.52,27.57,36.06,33.6,29.23,41.72
"ABIT00105","0807 -Rivi̬re Nottaway",14568.86,"Aucune influence",4.87,4.95,-0.76,0.51,-0.23,1.16,-16.35,"Augmentation probable","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",10.82,12.65,15.26,20.73,22.57,43.98
"ABIT00106","0807 -Rivi̬re Nottaway",14409.22,"Aucune influence",4.97,4.96,-0.83,0.71,-0.22,1.2,-16.81,"Augmentation probable","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",11.12,12.62,15.32,20.78,22.43,44.15
"ABIT00108","0807 -Rivi̬re Nottaway",14362.65,"Aucune influence",4.92,4.96,-0.83,0.76,-0.23,1.21,-16.9,"Augmentation probable","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",11.16,12.61,15.37,20.77,22.48,44.25
"ABIT00109","0807 -Rivi̬re Nottaway",14235.37,"Aucune influence",5.03,4.98,-0.84,0.78,-0.11,1.21,-16.91,"Augmentation probable","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",11.2,12.61,15.54,20.68,22.54,44.52
"ABIT00110","0807 -Rivi̬re Nottaway",480.97,"Aucune influence",5.11,4.87,-1.58,0.69,0.26,-0.68,-15.48,"Augmentation probable","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",12.37,12.48,14.82,21.79,22.12,40.82
"ABIT00112","0807 -Rivi̬re Nottaway",286.51,"Aucune influence",2.73,-4.25,-7.08,-10.83,-17.88,-14.8,-41.38,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",18.17,21.93,27.3,34.72,28.15,51.93
"ABIT00114","0807 -Rivi̬re Nottaway",61.72,"Aucune influence",1.92,-11.89,-12.88,-22.51,-33.51,-32.78,-53.47,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",35.12,37.81,47.83,48.51,40.09,61.9
"ABIT00115","0807 -Rivi̬re Nottaway",13703.82,"Aucune influence",5.04,4.91,-0.88,0.72,-0.2,1.34,-17.22,"Augmentation probable","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",11.16,12.65,15.56,20.73,22.79,44.85
"ABIT00116","0807 -Rivi̬re Nottaway",13046.75,"Aucune influence",5.1,4.69,-1.07,0.55,-0.44,0.84,-18.09,"Augmentation probable","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",11.72,12.75,15.54,21.19,22.75,45.13
"ABIT00117","0807 -Rivi̬re Nottaway",98.62,"Aucune influence",2.14,-7.5,-10.21,-15.83,-23.57,-20.03,-45.36,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",23.12,25.54,33.76,35.92,27.83,44.66
"ABIT00118","0807 -Rivi̬re Nottaway",12926.8,"Aucune influence",5.1,4.76,-1.04,0.54,-0.39,0.55,-18.16,"Augmentation probable","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",11.72,12.87,15.61,21.3,22.63,45.63
"ABIT00119","0807 -Rivi̬re Nottaway",12146.3,"Aucune influence",5.17,4.6,-1.09,1,-0.26,0.82,-17.47,"Augmentation probable","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",11.22,13.36,15.43,21.17,21.98,46.87
"ABIT00120","0807 -Rivi̬re Nottaway",57.47,"Aucune influence",2.47,-6.87,-9.84,-16.17,-22.25,-20.88,-45.73,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution tr̬s probable",19.02,23.07,29.83,32.93,26.89,39.99
"ABIT00122","0807 -Rivi̬re Nottaway",12015.38,"Aucune influence",5.2,4.57,-1.36,0.74,-0.68,0.71,-17.49,"Augmentation probable","Absence de consensus","Absence de consensus","Absence de consensus","Absence de consensus","Diminution probable",11.29,13.34,16.05,21.26,22.06,46.91
"ABIT00124","0807 -Rivi̬re Nottaway",1244.04,"Aucune influence",2.85,-3.04,-7.97,-13.41,-16.34,-14.38,-42.17,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",18.37,22.05,28.69,35.22,31.11,49.76
"ABIT00125","0807 -Rivi̬re Nottaway",652.45,"Aucune influence",3.08,-1.77,-6.35,-10.99,-14.05,-12.38,-40.64,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",17.34,21.78,28.55,35.52,30.96,51.66
"ABIT00126","0807 -Rivi̬re Nottaway",228.18,"Aucune influence",2.39,-7.19,-7.79,-15.07,-23.89,-21.9,-47.21,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",24.83,26.38,33.86,41.4,32.84,53.77
"ABIT00128","0807 -Rivi̬re Nottaway",170.22,"Aucune influence",2.46,-6.86,-7.56,-15.39,-23.88,-22.01,-48.19,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",26.11,27.08,35.49,42.25,36.45,54.84
"ABIT00130","0807 -Rivi̬re Nottaway",131.09,"Aucune influence",2.52,-6.47,-7.5,-15.93,-24.32,-21.27,-48.13,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",26.28,27.49,38.63,44.13,37.01,55.01
"ABIT00132","0807 -Rivi̬re Nottaway",99.42,"Aucune influence",2.28,-8.31,-9.83,-19.88,-25.99,-25.72,-50.51,"Absence de consensus","Diminution probable","Diminution probable","Diminution probable","Diminution probable","Diminution probable",32.93,30.59,43.63,49.93,40.85,55.56
