TRONCON,BV_PRIMAIRE,SUPERFICIE,IND_INFLUENCE,REFERENCE,AMP_H30_RCP4,AMP_H30_RCP8,AMP_H50_RCP4,AMP_H50_RCP8,AMP_H80_RCP4,AMP_H80_RCP8,DIR_H30_RCP4,DIR_H30_RCP8,DIR_H50_RCP4,DIR_H50_RCP8,DIR_H80_RCP4,DIR_H80_RCP8,DIS_H30_RCP4,DIS_H30_RCP8,DIS_H50_RCP4,DIS_H50_RCP8,DIS_H80_RCP4,DIS_H80_RCP8
"ABIT00003","0807 -Rivi̬re Nottaway",329.25,"Aucune influence",6.73,7.08,6.9,15.44,22.05,19.71,45.01,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",9.96,9.48,15.4,15.73,20.93,27.17
"ABIT00005","0807 -Rivi̬re Nottaway",309.03,"Aucune influence",6.94,7.07,7.23,15.55,21.81,19.49,45.26,"Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",10.67,9.44,15.32,16.07,21.16,27.34
"ABIT00007","0807 -Rivi̬re Nottaway",250.15,"Aucune influence",7.59,7.13,7.43,15.96,22.67,20.13,46.35,"Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",10.71,8.84,15.56,15.93,21.75,28.61
"ABIT00009","0807 -Rivi̬re Nottaway",84.36,"Aucune influence",5.49,7.41,7.6,15.51,22.95,20.93,52.85,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",10.77,9.96,16.1,17,21.05,34.62
"ABIT00011","0807 -Rivi̬re Nottaway",53.77,"Aucune influence",4.21,6.98,7.55,14.31,19.66,18.66,49.05,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",10.75,10.24,14.27,17.35,18.3,39.11
"ABIT00012","0807 -Rivi̬re Nottaway",98.07,"Aucune influence",4.96,7.07,7.05,14.7,20.95,20.4,50.86,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",11.65,10.37,13.28,16.69,18.86,35.66
"ABIT00016","0807 -Rivi̬re Nottaway",21545.05,"Aucune influence",4.46,6.66,8.2,16.15,22.77,21.72,47.95,"Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",9.76,9.47,14.82,15.79,19.17,25.98
"ABIT00018","0807 -Rivi̬re Nottaway",21524.96,"Aucune influence",4.45,6.72,8.21,16.17,22.75,21.68,47.94,"Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",9.75,9.49,14.83,15.8,19.13,26.03
"ABIT00019","0807 -Rivi̬re Nottaway",21274.25,"Aucune influence",4.53,6.76,8.24,16.26,22.79,21.67,48.02,"Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",9.7,9.63,15.05,15.81,19.24,26.22
"ABIT00020","0807 -Rivi̬re Nottaway",59.87,"Aucune influence",3.65,6.68,6.13,9.89,15.52,15.84,35.97,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",8.05,7.78,11.45,12.83,13.9,24.33
