TRONCON,BV_PRIMAIRE,SUPERFICIE,IND_INFLUENCE,REFERENCE,AMP_H30_RCP4,AMP_H30_RCP8,AMP_H50_RCP4,AMP_H50_RCP8,AMP_H80_RCP4,AMP_H80_RCP8,DIR_H30_RCP4,DIR_H30_RCP8,DIR_H50_RCP4,DIR_H50_RCP8,DIR_H80_RCP4,DIR_H80_RCP8,DIS_H30_RCP4,DIS_H30_RCP8,DIS_H50_RCP4,DIS_H50_RCP8,DIS_H80_RCP4,DIS_H80_RCP8
"ABIT00003","0807 -Rivi̬re Nottaway",329.25,"Aucune influence",5.96,7.69,7.28,12.56,24.51,20.34,40.75,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",10.42,10.88,19.69,19.88,24.68,39.03
"ABIT00005","0807 -Rivi̬re Nottaway",309.03,"Aucune influence",6.05,7.66,7.14,12.99,22.81,20.36,38.67,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",10.35,10.92,18.39,19.76,24.2,38.53
"ABIT00007","0807 -Rivi̬re Nottaway",250.15,"Aucune influence",6.38,8.07,8.2,13.92,24.87,21.47,39.99,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",10.65,10.46,16.46,17.58,23.1,35.56
"ABIT00009","0807 -Rivi̬re Nottaway",84.36,"Aucune influence",4.83,6.53,7.25,11.32,20.77,16.23,32.3,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation probable","Augmentation tr̬s probable",10.56,11,17.27,18.12,20.3,36.33
"ABIT00011","0807 -Rivi̬re Nottaway",53.77,"Aucune influence",3.85,5.98,6.12,10.07,17.02,12.11,27.62,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",10.36,10.89,17.18,21.77,21.42,42.42
"ABIT00012","0807 -Rivi̬re Nottaway",98.07,"Aucune influence",4.37,5.69,5.81,9.01,16.24,11.49,21.2,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",11.1,11.34,15.93,19.37,19.05,40.99
"ABIT00016","0807 -Rivi̬re Nottaway",21545.05,"Aucune influence",3.97,9.62,8.43,15.26,23.75,19.96,37.93,"Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",10.33,9.91,16.17,16.96,20.21,36.73
"ABIT00018","0807 -Rivi̬re Nottaway",21524.96,"Aucune influence",3.98,9.65,8.43,15.28,23.74,20.03,37.92,"Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",10.31,9.91,16.17,16.94,20.1,36.75
"ABIT00019","0807 -Rivi̬re Nottaway",21274.25,"Aucune influence",4.03,9.61,8.51,15.36,23.74,20.14,37.6,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",10.28,9.87,15.82,16.92,20.16,36.61
"ABIT00020","0807 -Rivi̬re Nottaway",59.87,"Aucune influence",3.54,6.99,5.79,11.31,17.44,13.87,33.74,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",9.33,9.01,12.24,16.84,18.61,27.8
"ABIT00024","0807 -Rivi̬re Nottaway",21185.42,"Aucune influence",4.04,9.58,8.37,15.38,23.88,20.46,37.74,"Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",10.36,9.97,16.25,16.89,20.34,36.41
"ABIT00025","0807 -Rivi̬re Nottaway",21086.85,"Aucune influence",4.06,9.59,8.37,15.43,23.76,20.47,37.35,"Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",10.28,10.1,15.88,17.1,20.25,36.91
"ABIT00027","0807 -Rivi̬re Nottaway",20976.49,"Aucune influence",4.11,9.59,8.37,15.47,23.86,20.21,37.33,"Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",10.34,10.1,15.9,17.15,20.52,36.7
"ABIT00029","0807 -Rivi̬re Nottaway",20910.08,"Aucune influence",4.11,9.6,8.4,15.5,23.89,20.32,37.3,"Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",10.35,10.12,15.93,17.4,20.63,36.36
"ABIT00030","0807 -Rivi̬re Nottaway",381.63,"Aucune influence",3.01,5.71,4.32,8.3,12.78,9.89,20.74,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",9.03,8.59,11.66,14.75,15.85,31.99
"ABIT00032","0807 -Rivi̬re Nottaway",292.43,"Aucune influence",3.1,6.02,4.48,8.54,13.48,9.66,21.73,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",8.96,9.26,11.95,16.01,15.69,32.5
"ABIT00033","0807 -Rivi̬re Nottaway",255.19,"Aucune influence",3.08,6.16,4.83,8.59,13.72,9.58,22,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",8.8,8.79,11.77,15.55,15.27,32.14
"ABIT00034","0807 -Rivi̬re Nottaway",174.14,"Aucune influence",3.06,5.79,4.63,8.17,12.69,9.28,18.56,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",9.45,9.41,12.4,15.56,15.09,33.91
"ABIT00036","0807 -Rivi̬re Nottaway",65.25,"Aucune influence",2.79,5.5,4.83,8.21,12.11,10.93,19.36,"Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable","Augmentation probable",8.97,7.45,10.09,13.74,14.28,26.81
"ABIT00039","0807 -Rivi̬re Nottaway",20508.94,"Aucune influence",4.24,9.53,8.51,15.5,23.73,20.73,37.66,"Augmentation probable","Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",10.3,10.25,16.1,17.21,20.46,36.49
"ABIT00040","0807 -Rivi̬re Nottaway",19887.87,"Aucune influence",4.46,9.54,8.49,15.64,23.82,20.59,37.75,"Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",10.12,10.28,16.45,18.01,20.32,35.45
"ABIT00042","0807 -Rivi̬re Nottaway",19836.73,"Aucune influence",4.46,9.55,8.48,15.67,23.87,20.64,37.7,"Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",10.2,10.27,16.32,18.03,20.36,35.57
"ABIT00043","0807 -Rivi̬re Nottaway",16213.47,"Aucune influence",5.68,9.64,8.75,16.48,25.06,20.91,38.11,"Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",10.04,10.07,16.82,17.7,20.66,27.31
"ABIT00045","0807 -Rivi̬re Nottaway",16178.76,"Aucune influence",5.7,9.63,8.77,16.47,25.03,21.1,37.61,"Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",10.06,10.09,16.96,17.7,20.64,27.68
"ABIT00047","0807 -Rivi̬re Nottaway",16143.36,"Aucune influence",5.72,9.63,8.76,16.49,25.03,21.11,37.75,"Augmentation probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable","Augmentation tr̬s probable",10.08,10.03,16.75,17.71,20.56,27.24
