ï»¿Type;Sous-type;Region;No_Region;Nom_du_lieu;Adresse
Centre de traitement de sols contamines;;Bas-Saint-Laurent ;01;Centre de traitement bsl;"375, rue de la Gare
Saint-Anaclet (Quebec)  G0K1H0 "
Centre de traitement de sols contamines;;Bas-Saint-Laurent ;01;GFL Services Environnementaux Rimouski;"195, rue des Negociants
Rimouski (Quebec)  G5L7C5 "
Centre de traitement de sols contamines;;Saguenay - Lac-Saint-Jean ;02;GFL Services Environnementaux Laterriere;"3500, chemin des Sables
Laterriere (Quebec)  G7N1L9 "
Centre de traitement de sols contamines;;Saguenay - Lac-Saint-Jean ;02;GFL Services Environnementaux St-Bruno;"530 6e rang Sud
Saint-Bruno (Quebec)  G0W2L0 "
Centre de traitement de sols contamines;;Saguenay - Lac-Saint-Jean ;02;RSI Environnement;"80, rue des Melezes
Saint-Ambroise (Quebec)  G7P2N4 "
Centre de traitement de sols contamines;;Capitale-Nationale ;03;Englobe Lac St-Charles Traitement;"15989, boulevard de la Colline (15989 et 16001)
Quebec (Quebec)  G3G3A7 "
Centre de traitement de sols contamines;;Capitale-Nationale ;03;Solneuf;"1300, chemin du Site
Neuville (Quebec)  G0A2R0 "
Centre de traitement de sols contamines;;Estrie ;05;Englobe Sherbrooke - Traitement;"855, rue Pepin
Sherbrooke (Quebec)  J1L2P8 "
Centre de traitement de sols contamines;;Montreal ;06;CEME CTS;"10000, boulevard Metropolitain Est
Montreal-Est (Quebec)  H1B4W3 "
Centre de traitement de sols contamines;;Montreal ;06;ECN SOL Inc.;"8770 Place Marien
Montreal-Est (Quebec)  H1B5W6 "
Centre de traitement de sols contamines;;Montreal ;06;Englobe Montreal-Est;"8365, avenue Broadway Nord
Montreal-Est (Quebec)  H1B5X7 "
Centre de traitement de sols contamines;;Outaouais ;07;Uteau;"211, Quebec 301
Portage-du-Fort (Quebec)  J0X2T0 "
Centre de traitement de sols contamines;;Abitibi-Temiscamingue ;08;Atlas TSE inc;"510, chemin Jolicoeur-et Sainte-Croix
Malartic (Quebec)  J0Y1Z0 "
Centre de traitement de sols contamines;;Abitibi-Temiscamingue ;08;GFL Services Environnementaux Val d'Or;"1995 3e avenue Est
Val-d'Or (Quebec)  J9P0G2 "
Centre de traitement de sols contamines;;Cote-Nord ;09;Englobe - Centre de traitement de sols de la pointe-noire;"199, chemin de la Pointe Noire
Sept-Ãles (Quebec)  G4R4L4 "
Centre de traitement de sols contamines;;Cote-Nord ;09;Englobe Baie Comeau;"2264, rue du labrador (cp 2610)
Baie-Comeau (Quebec)  G5C2S9 "
Centre de traitement de sols contamines;;Cote-Nord ;09;Pavage Beton T C;"1984, rue Decoste
Sept-Ãles (Quebec)  G4R4K1 "
Centre de traitement de sols contamines;;Nord-du-Quebec ;10;Centre de traitement Nunatech Englobe;"Coordonnees geographiques 58.086447  -68.447498
Kuujjuaq (Quebec),"
Centre de traitement de sols contamines;;Gaspesie - Ãles-de-la-Madeleine ;11;CTSC des Iles;"Lot de cadastre 3394805
Iles-de-la-Madeleine (Quebec)"
Centre de traitement de sols contamines;;Chaudiere-Appalaches ;12;Englobe St-Lambert;"211, boulevard Leon Vachon
Saint-Lambert-de-Lauzon (Quebec)  G0S2W0 "
Centre de traitement de sols contamines;;Chaudiere-Appalaches ;12;Englobe Ste-Croix;"6815, route Marie-Victorin
Sainte-Croix-de-Lotbiniere (Quebec)  G0S2H0 "
Centre de traitement de sols contamines;;Laval ;13;Englobe - Laval;"1500, boulevard Saint-Martin Est
Laval (Quebec)  H7G4S8 "
Centre de traitement de sols contamines;;Lanaudiere ;14;Signaterre Environnement Traitement;"175, chemin de la Cabane-Ronde
Mascouche (Quebec)  J7K0P1 "
Centre de traitement de sols contamines;;Monteregie ;16;Northex Environnement inc;"699, montee de la Pomme-d'Or
Contrecoeur (Quebec)  J0L1C0 "
Centre de traitement de sols contamines;;Monteregie ;16;SOLUM Environnement;"530, rue Bourgeois
Saint-Amable (Quebec)  J3V5J8 "
Centre de traitement de sols contamines;;Centre-du-Quebec ;17;Enfoui-bec Traitement;"18055, rue Gauthier
Becancour (Quebec)  G9H1C1 "
Centre de traitement de sols contamines;;Centre-du-Quebec ;17;Englobe St-Rosaire Traitement;"318, chemin de la Grande-Ligne
Saint-Rosaire (Quebec)  G0Z1K0 "
Lieu d'elimination de sols contamines (LESC);;Saguenay - Lac-Saint-Jean ;02;GFL Environmental Inc. (Larouche);"1555, route Dorval
Larouche (Quebec)  G0W1Z0 "
Lieu d'elimination de sols contamines (LESC);;Lanaudiere ;14;Englobe Regeneration Canada Inc.;"1410, rang Saint Charles
L'epiphanie (Quebec)  J5X4N9 "
Lieu d'elimination de sols contamines (LESC);;Lanaudiere ;14;Signaterre Environnement Enfouissement;"175, chemin de la Cabane-Ronde
Mascouche (Quebec)  J7K0P1 "
Lieu d'elimination de sols contamines (LESC);;Centre-du-Quebec ;17;Enfoui-bec Elimination;"18055, rue Gauthier
Becancour (Quebec)  G9H1C1 "
Lieu d'elimination de sols contamines (LESC);;Centre-du-Quebec ;17;Gestion 3LB elimination (LESC);"2085, boulevard du Parc-Industriel
Becancour (Quebec)  G9H2Z3 "
Lieu d'elimination et de valorisation de sols contamines (REIMR + aire de residus miniers); Aire de residu minier;Abitibi-Temiscamingue ;08;Noranda-3;"150, chemin Bradley (n/a)
Rouyn-Noranda (Quebec)  J9X7G1 "
Lieu d'elimination et de valorisation de sols contamines (REIMR + aire de residus miniers); Lieux d'enfouissement de debris de construction ou demolition;Saguenay - Lac-Saint-Jean ;02;depot sec;"4255, chemin des pics
la baie (Quebec)  G7B3N8 "
Lieu d'elimination et de valorisation de sols contamines (REIMR + aire de residus miniers); Lieux d'enfouissement de debris de construction ou demolition;Monteregie ;16;Tria ecoenergie inc.;"2025 Jean-Marie Langlois
La Prairie (Quebec)  J5R5Z8 "
Lieu d'elimination et de valorisation de sols contamines (REIMR + aire de residus miniers); Lieux d'enfouissement de debris de construction ou demolition;Centre-du-Quebec ;17;Lemay-bec;"9125, chemin des Hetres
Becancour (Quebec)  G9H3L5 "
Lieu d'elimination et de valorisation de sols contamines (REIMR + aire de residus miniers); Lieux dâenfouissement en milieu nordique;Cote-Nord ;09;Ancien lieu d'enfouissement en milieu nordique;"Coordonnees geographiques 54.8179  66.8679
Schefferville"
Lieu d'elimination et de valorisation de sols contamines (REIMR + aire de residus miniers); Lieux dâenfouissement en milieu nordique;Cote-Nord ;09;LIEU D'ENFOUISSEMENT EN MILIEU NORDIQUE DE BLIND CLIFF;"Lot de cadastre 5932313
BLANC-SABLON (Quebec)"
Lieu d'elimination et de valorisation de sols contamines (REIMR + aire de residus miniers); Lieux dâenfouissement en milieu nordique;Cote-Nord ;09;Lieu d'enfouissement en milieu nordique de La Romaine;"90, rue du Large
La Romaine (Quebec)  G0G1M0 "
