id,nom,type_d'usagers,nombre_de_canaux,latitude,longitude,date_d'installation,derniere_donnee,proprietaire
100015452,2864A Halte Vélo,cyclistes,2,45.36119,-71.85647,,2017-02-01,Destination Sherbrooke
100017816,Esplanade,cyclistes + piétons,4,45.39758018,-71.90874932,2014-11-24,2017-02-01,Destination Sherbrooke
100017815,Parc des Quatre-Pins,cyclistes + piétons,4,45.39735982,-71.92735848,2014-11-24,2016-12-18,Destination Sherbrooke
100017814,Parc Lucien-Blanchard,cyclistes + piétons,4,45.393826,-71.9254,2014-11-24,2017-02-01,Destination Sherbrooke
100017493,PYRO-Box #2 (en réparation),piétons,2,,,,2017-02-01,Destination Sherbrooke
100017817,"Route Verte, Rue St-Francis",cyclistes + piétons,4,45.386074,-71.85762,2014-11-24,2016-05-02,Destination Sherbrooke
100017813,Sentier de bois,piétons,2,45.3995709,-71.89994631,2014-11-24,2017-01-29,Destination Sherbrooke
100026860,Blainville (7282A),cyclistes,2,45.65107,-73.80032,,2012-12-16,PARC LINEAIRE PTIT TRAIN DU NORD
100033603,Compteur lac Mercier Tremblant,cyclistes,2,46.19293,-74.63162,,2016-12-20,PARC LINEAIRE PTIT TRAIN DU NORD
100004298,CorridorKM1,cyclistes + piétons,4,45.89925,-74.26121,2012-05-06,2016-12-20,PARC LINEAIRE PTIT TRAIN DU NORD
100005058,Gare de Tremblant,cyclistes + piétons,4,46.193134,-74.63103,2012-06-21,2016-07-06,PARC LINEAIRE PTIT TRAIN DU NORD
100005000,GareNominingue,cyclistes + piétons,4,46.39417,-75.02526,2012-05-07,2016-12-20,PARC LINEAIRE PTIT TRAIN DU NORD
100004999,Mirabel,cyclistes + piétons,4,45.75355,-73.97525,2012-05-06,2016-12-20,PARC LINEAIRE PTIT TRAIN DU NORD
100026859,Mont Rolland (5238A),cyclistes,2,,,,2012-11-09,PARC LINEAIRE PTIT TRAIN DU NORD
100004998,MontLaurierKM199,cyclistes + piétons,4,46.547344,-75.47907,2012-05-07,2016-12-20,PARC LINEAIRE PTIT TRAIN DU NORD
100014499,MT ROLLAND NORD,cyclistes + piétons,4,45.942245,-74.11871,2014-03-03,2016-09-30,PARC LINEAIRE PTIT TRAIN DU NORD
100009196,Prévost,cyclistes,4,45.874203,-74.0769,2013-07-12,2016-06-30,PARC LINEAIRE PTIT TRAIN DU NORD
100032609,Prévost suite,,2,45.87439,-74.07635,2016-07-18,2016-12-04,PARC LINEAIRE PTIT TRAIN DU NORD
100026868,7180A Gatineau - Parc Sanscartier,cyclistes,2,,,,2010-10-09,Vélo Québec
100000819,BDN COUV,,1,45.435574,-75.70885,,2016-09-06,Ville de Gatineau (fete et festival)
100000816,BDN MR,,1,45.432755,-75.70852,,2016-09-06,Ville de Gatineau (fete et festival)
100000818,BDN STE,,1,45.433353,-75.70885,,2016-12-07,Ville de Gatineau (fete et festival)
100000817,BDN VER,,1,45.434586,-75.709,,2016-06-28,Ville de Gatineau (fete et festival)
100021084,fetes56,,1,,,,2016-09-06,Ville de Gatineau (fete et festival)
100021085,fetes57,,1,,,,2016-12-07,Ville de Gatineau (fete et festival)
100021083,fetes87,,1,,,,2016-09-12,Ville de Gatineau (fete et festival)
100035932,XPH17011385,,1,,,,,Ville de Gatineau (fete et festival)
100035933,XPH17011386,,1,,,,,Ville de Gatineau (fete et festival)
100033210,YPI16080391,piétons,1,,,2016-11-01,2016-12-08,Ville de Gatineau (fete et festival)
100031309,Aberdeen 2 - 9410,cyclistes,2,45.45585,-75.701965,2016-05-18,2016-05-30,Ville de Gatineau Urbanisme Développement Durable
100034931,Allumetières - 9410,cyclistes,2,45.43219091,-75.72169903,2016-05-31,2016-06-26,Ville de Gatineau Urbanisme Développement Durable
100034933,Parc de Gatineau - Gamelin 9409,cyclistes,2,45.43918909,-75.76230009,2016-07-27,2016-10-27,Ville de Gatineau Urbanisme Développement Durable
100031574,Pont Noir - 9409,cyclistes,2,45.46259526,-75.72609925,2016-04-29,2016-05-30,Ville de Gatineau Urbanisme Développement Durable
100034932,Portageurs - 9410,cyclistes,2,45.42354339,-75.72386609,2016-06-29,2016-07-16,Ville de Gatineau Urbanisme Développement Durable
