Circonscriptions,Population_totale_1871,Canadiens_francais_1871,Population_totale_1881,Canadiens_francais_1881,Electeurs_inscrits,Votes_exprimes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal,Autres_conservateur,Autres_independants
Argenteuil,12806,3902,16062,6414,,,,,,Élu sans opposition,,,
Bagot,19491,19037,21199,20639,3308,1188,1188,2120,4,1184,,,
Beauce,27253,26202,32020,30803,3776,2657,2657,1119,1885,772,,,
Beauharnois,14757,13251,16005,14420,2341,1618,1618,723,,764,,854,
Bellechasse,17637,17542,18068,17991,2373,1857,1857,516,1219,638,,,
Berthier,19804,19435,21838,21384,3133,772,772,2361,757,15,,,
Bonaventure,15923,9545,18908,12047,2327,1233,1233,1094,232,999,,,2
Brome,13757,3471,15827,4910,2702,1639,1639,1063,602,1037,,,
Chambly,10498,9775,10858,9747,1885,1420,1420,465,631,789,,,
Champlain,22052,21590,26818,25967,3291,2576,2576,715,,1369,,1207,
Charlevoix,15611,15270,17901,17439,3228,2264,2264,964,1485,779,,,
Châteauguay,16166,11288,14393,9908,2130,1576,1576,554,907,669,,,
Chicoutimi-Saguenay,22980,20162,32409,29324,2412,1842,1842,570,887,955,,,
Compton,13665,3785,19581,7706,,,,,,Élu sans opposition,,,
Deux-Montagnes,15615,13972,15856,14285,,,,,Élu sans opposition,,,,
Dorchester,17779,14996,18710,16231,2497,1768,1768,729,724,1044,,,
Drummond-Arthabaska,31892,26598,37360,31977,4978,2543,2543,2435,,1251,,1197,95
Gaspé,18729,12956,25001,17848,,,,,,Élu sans opposition,,,
Hochelaga,25640,20224,40079,31335,4294,3082,3082,1212,1282,1800,,,
Huntingdon,16304,4924,15495,4617,,,,,Élu sans opposition,,,,
Iberville,15413,13971,14459,13201,,,,,Élu sans opposition,,,,
Jacques-Cartier,11179,9766,12345,10705,1880,1320,1320,560,685,635,,,
Joliette,23075,22020,21988,21057,,,,,,Élu sans opposition,,,
Kamouraska,21254,21038,22181,21988,2654,2188,2188,466,1143,1045,,,
Laprairie,11861,10154,11436,9682,1584,1195,1195,389,563,632,,,
L'Assomption,15473,14979,15282,14862,2189,1662,1662,527,757,905,,,
Laval,9472,9325,9462,9269,,,,,,Élu sans opposition,,,
Lévis,24831,22706,27980,25972,4429,3039,3039,1390,1475,1564,,,
L'Islet,13517,13375,14917,14824,1687,1245,1245,442,646,,599,,
Lotbinière,20606,17340,20857,18498,,,,,Élu sans opposition,,,,
Maskinongé,15079,14782,17493,17085,2027,1591,1591,436,910,681,,,
Mégantic,18879,12074,19056,12960,3050,1832,1832,1218,975,,857,,
Missisquoi,16922,7114,17784,8009,3338,2301,2301,1037,944,1357,,,
Montcalm,12742,10794,12966,11337,,,,,,Élu sans opposition,,,
Montmagny,13555,13449,15268,15222,1790,1269,1269,521,675,594,,,
Montmorency,12085,11602,12322,11967,1458,1096,1096,362,327,769,,,
Montréal-Centre,23903,8166,25078,8947,,,,,,Élu sans opposition,,,
Montréal-Est,46291,35569,67506,54002,7750,5271,5271,2479,3264,2007,,,
Montréal-Ouest,37031,13121,48163,15735,5892,3460,3460,2432,1322,2138,,,
Napierville,11688,10815,10511,9859,1977,1203,1203,774,631,,572,,
Nicolet,23262,22621,26611,25868,2865,1543,1543,1322,120,1423,,,
Ottawa,38629,21514,49432,30433,,,,,,Élu sans opposition,,,
Pontiac,15810,3455,19939,5054,3314,2927,2927,387,1323,1604,,,
Portneuf,22569,20296,25175,23103,3342,2307,2307,1035,1179,1128,,,
Québec-Centre,18188,11827,17898,11803,2353,1658,1658,695,964,694,,,
Québec-Comté,19607,14681,20278,16110,2729,1731,1731,998,316,1415,,,
Québec-Est,28305,24202,31900,28794,,,,,,Élu sans opposition,,,
Québec-Ouest,13206,4861,12648,5847,1961,1177,1177,784,435,742,,,
Richelieu,20048,19317,20218,19689,3368,2357,2357,1011,,1249,,1108,
Richmond-Wolfe,20036,11222,26339,15198,3365,2055,2055,1310,483,893,,290,389
Rimouski,27418,25957,33791,32032,3664,2531,2531,1133,1381,1150,,,
Rouville,17634,16954,18547,17885,3235,2010,2010,1225,1033,,977,,
Saint-Hyacinthe,18310,18075,20631,20328,2946,2001,2001,945,1099,902,,,
Saint-Jean,12122,9415,12265,9811,,,,,Élu sans opposition,,,,
Saint-Maurice,11085,10716,12986,12591,,,,,,Élu sans opposition,,,
Shefford,19077,12683,23233,16494,3753,2664,2664,1089,1515,1149,,,
Sherbrooke,8516,3544,12221,5828,,,,,,Élu sans opposition,,,
Soulanges,10808,9724,10220,9344,1842,1279,1279,563,,759,,520,
Stanstead,13138,3212,15556,4749,,,,,,Élu sans opposition,,,
Témiscouata,22491,21809,25484,24687,2754,1144,1144,1610,17,1125,2,,
Terrebonne,19591,18151,21892,20429,,,,,,Élu sans opposition,,,
Trois-Rivières,8414,7687,9296,8537,,,,,,Élu sans opposition,,,
Vaudreuil,11003,9392,11485,10089,2167,1689,1689,478,727,962,,,
Verchères,12717,12617,12449,12376,2097,1157,1157,940,963,194,,,
Yamaska,16317,15800,17091,16568,2352,1690,1690,662,643,1047,,,
