Circonscriptions,Population_totale_1881,Canadiens_francais_1881,Population_totale_1891,Canadiens_francais_1891,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal,Autres_conservateur,Autres_independants
Argenteuil,16062,6414,15158,5951,,,,,,,Élu sans opposition,,,
Bagot,21199,20639,21695,21375,,,,,,,Élu sans opposition,,,
Beauce,32020,30803,37222,36076,4729,3123,81,3042,1606,889,2153,,,
Beauharnois,16005,14420,16662,15370,,,,,,,Élu sans opposition,,,
Bellechasse,18068,17991,18368,18332,2748,2274,44,2230,474,1044,1186,,,
Berthier,21838,21384,19836,19539,3161,2270,12,2258,891,1120,1138,,,
Bonaventure,18908,12047,20835,13287,,,,,,,Élu sans opposition,,,
Brome,15827,4910,14709,4839,3383,2681,42,2639,702,1399,1240,,,
Chambly,10858,9747,11704,10139,2221,1118,13,1105,1103,283,822,,,
Champlain,26818,25967,29267,28284,3589,2454,67,2387,1135,614,1773,,,
Charlevoix,17901,17439,19038,18896,2567,1566,11,1555,1001,601,954,,,
Châteauguay,14393,9908,13864,9660,2472,1700,41,1659,772,860,799,,,
Chicoutimi-Saguenay,32409,29324,38281,35656,3902,2470,40,2430,1432,1773,657,,,
Compton,19581,7706,22779,10335,4231,2449,14,2435,1782,823,1612,,,
Deux-Montagnes,15856,14285,15027,13915,,,,,,,Élu sans opposition,,,
Dorchester,18710,16231,19017,17132,,,,,,,Élu sans opposition,,,
Drummond-Arthabaska,37360,31977,43923,39616,6317,4335,103,4232,1982,1811,2421,,,
Gaspé,25001,17848,26875,19406,,,,,,,Élu sans opposition,,,
Hochelaga,40079,31335,80998,58522,,,,,,,Élu sans opposition,,,
Huntingdon,15495,4617,14385,4489,3598,2667,870,1797,931,1206,591,,,
Iberville,14459,13201,11893,11132,,,,,,Élu sans opposition,,,,
Jacques-Cartier,12345,10705,13832,11856,2389,1725,,1725,664,731,994,,,
Joliette,21988,21057,22921,22330,3292,2237,30,2207,1055,992,1215,,,
Kamouraska,22181,21988,20454,20411,3001,2226,30,2196,775,1089,1107,,,
Laprairie,11436,9682,10900,8974,1606,1270,23,1247,336,572,675,,,
L'Assomption,15282,14862,13674,13327,2377,1871,,1871,506,852,1019,,,
Laval,9462,9269,9436,9173,,,,,,,Élu sans opposition,,,
Lévis,27980,25972,25995,24848,4876,3521,58,3463,1355,1528,1935,,,
L'Islet,14917,14824,13823,13805,2246,1327,58,1269,919,545,480,,,244
Lotbinière,20857,18498,20688,19128,3244,1868,31,1837,1376,1025,,812,,
Maskinongé,17493,17085,17829,17755,2652,1900,51,1849,752,,1084,,765,
Mégantic,19056,12960,22233,16631,3357,2341,52,2289,1016,1085,1204,,,
Missisquoi,17784,8009,18549,9337,4055,2773,74,2699,1282,1273,1426,,,
Montcalm,12966,11337,12131,11023,2606,1640,,1640,966,,828,,812,
Montmagny,15268,15222,14726,14695,2214,1543,33,1510,671,695,815,,,
Montmorency,12322,11967,12309,12085,1817,1548,21,1527,269,717,810,,,
Montréal-Centre,25078,8947,28122,9757,7317,4125,104,4021,3192,1367,2654,,,
Montréal-Est,67506,54002,92063,74580,,,,,,,Élu sans opposition,,,
Montréal-Ouest,48163,15735,62510,15653,8510,4800,133,4667,3710,1960,2707,,,
Napierville,10511,9859,10101,9671,1903,1422,39,1383,481,765,,618,,
Nicolet,26611,25868,28735,28374,,,,,,,Élu sans opposition,,,
Ottawa,49432,30433,63560,42285,,,,,,,Élu sans opposition,,,
Pontiac,19939,5054,22084,6663,3498,2315,44,2271,1183,931,1047,,,293
Portneuf,25175,23103,25813,24102,3775,2994,44,2950,781,1491,1459,,,
Québec-Centre,17898,11803,12936,9577,2550,1851,30,1821,699,855,966,,,
Québec-Comté,20278,16110,19503,16373,3133,2381,74,2307,752,869,1438,,,
Québec-Est,31900,28794,36200,34275,4458,3145,112,3033,1313,1750,1283,,,
Québec-Ouest,12648,5847,13954,7421,1934,1111,55,1056,823,444,612,,,
Richelieu,20218,19689,21354,21098,3383,2163,31,2132,1220,,1205,,927,
Richmond-Wolfe,26339,15198,31347,22068,,,,,,,Élu sans opposition,,,
Rimouski,33791,32032,33430,32825,4872,3253,65,3188,1619,1540,1648,,,
Rouville,18547,17885,16012,15644,3105,2287,43,2244,818,1045,1199,,,
Saint-Hyacinthe,20631,20328,21433,21169,3448,2598,60,2538,850,1336,1202,,,
Saint-Jean,12265,9811,12282,10234,2208,1668,29,1639,540,892,747,,,
Saint-Maurice,12986,12591,12267,12087,2069,1303,15,1288,766,446,842,,,
Shefford,23233,16494,23263,17888,4556,3095,68,3027,1461,1446,,1581,,
Sherbrooke,12221,5828,16088,8672,,,,,,,Élu sans opposition,,,
Soulanges,10220,9344,9608,8909,1869,1463,27,1436,406,,761,,675,
Stanstead,15556,4749,18067,6933,3460,2353,32,2321,1107,1013,1308,,,
Témiscouata,25484,24687,25698,25189,,,,,,,Élu sans opposition,,,
Terrebonne,21892,20429,23128,21770,3516,2429,,2429,1087,836,1593,,,
Trois-Rivières,9296,8537,8834,8373,,,,,,,Élu sans opposition,,,
Vaudreuil,11485,10089,10792,9539,2241,1491,51,1440,750,490,522,418,,10
Verchères,12449,12376,12257,12176,2156,1775,24,1751,381,885,866,,,
Yamaska,17091,16568,16058,15712,2668,2027,,2027,641,978,1049,,,
