Circonscriptions,Population_totale_1891,Canadiens_francais_1891,Population_totale_1901,Canadiens_francais_1901,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal,Autres_independants_01,Autres_independants_02,Autres_ouvrier
Argenteuil,15158,5951,16407,7391,3000,2178,29,2149,822,1239,910,,,,
Bagot,19522,19299,16291,16038,3882,3121,67,3054,761,1605,1449,,,,
Beauce,37222,36076,43129,42192,8405,5694,87,5607,2711,3432,2175,,,,
Beauharnois,16662,15370,21732,19506,4634,3814,59,3755,820,2016,1739,,,,
Bellechasse,18368,18332,18706,18640,3754,2978,46,2932,776,1701,1231,,,,
Berthier,18849,18553,18982,18672,3871,2819,55,2764,1052,1529,1235,,,,
Bonaventure,20835,13287,24495,17056,4039,3033,48,2985,1006,1567,1418,,,,
Brome,14709,4839,13397,4766,3932,3115,61,3054,817,1805,1249,,,,
Chambly-Verchères,23961,22315,24318,22269,6094,4437,123,4314,1657,2373,1941,,,,
Champlain,29267,28284,35159,34293,7439,5548,73,5475,1891,2903,2572,,,,
Charlevoix,19038,18896,19334,18979,3695,2926,67,2859,769,1517,1342,,,,
Châteauguay,15800,9883,15693,9415,3338,2184,11,2173,1154,1301,872,,,,
Chicoutimi-Saguenay,38281,35656,48291,44289,7946,6062,80,5982,1884,2852,3130,,,,
Compton,22779,10335,26460,14460,6782,4688,60,4628,2094,2190,2438,,,,
Deux-Montagnes,15027,13915,14438,13366,3412,2850,72,2778,562,1455,1323,,,,
Dorchester,19017,17132,21007,18106,4271,3156,26,3130,1115,1322,1691,,90,27,
Drummond-Arthabaska,43923,39616,44484,41045,,,,,,Élu sans opposition,,,,,
Gaspé,26875,19406,30683,22785,4866,3033,41,2992,1833,2177,815,,,,
Hochelaga,35766,19306,56919,34429,12321,7775,186,7589,4546,4127,3462,,,,
Huntingdon,14385,4489,13979,5105,3330,2292,22,2270,1038,1147,1123,,,,
Jacques-Cartier,19482,15985,26168,19297,7307,5186,114,5072,2121,2390,2682,,,,
Joliette,22921,22330,22255,21662,4698,3662,103,3559,1036,1822,1737,,,,
Kamouraska,20454,20411,19099,19012,3721,3003,56,2947,718,1564,1383,,,,
Labelle,24871,17245,30931,24653,5986,3556,89,3467,2430,1973,1494,,,,
Laprairie-Napierville,19065,18422,17523,16890,4190,3315,105,3210,875,1653,1557,,,,
L'Assomption,14661,14313,14993,14661,3502,2677,53,2624,825,1486,1138,,,,
Laval,16504,15386,19743,17998,4693,3420,97,3323,1273,1821,1502,,,,
Lévis,25995,24848,26210,25068,5521,4133,48,4085,1388,2455,1630,,,,
L'Islet,13823,13805,14439,14413,2954,2172,50,2122,782,1111,1011,,,,
Lotbinière,20688,19128,20039,18817,4410,3021,45,2976,1389,1376,795,805,,,
Maisonneuve,32514,28874,65178,54554,13236,8116,202,7914,5120,4844,3070,,,,
Maskinongé,17829,17755,15813,15563,3403,2381,55,2326,1022,1400,901,,25,,
Mégantic,22233,16631,23621,18721,5513,4046,47,3999,1467,2204,1795,,,,
Missisquoi,18549,9337,18482,9908,5121,3796,94,3702,1325,1864,1838,,,,
Montcalm,12131,11023,13001,12020,2929,2273,37,2236,656,1212,1024,,,,
Montmagny,14726,14695,14757,14663,3049,2196,37,2159,853,1186,973,,,,
Montmorency,12309,12085,12311,12124,2590,2213,48,2165,377,1056,1109,,,,
Nicolet,28735,28374,26590,26121,5966,4590,177,4413,1376,2136,2277,,,,
Pontiac,22084,6663,25722,9397,5372,3466,51,3415,1906,1798,1617,,,,
Portneuf,25813,24102,27159,25669,5553,4529,76,4453,1024,2444,2009,,,,
Québec-Centre,12936,9577,20366,15297,3595,2894,69,2825,701,1670,1155,,,,
Québec-Comté,19503,16373,22101,18710,4161,3150,38,3112,1011,2201,911,,,,
Québec-Est,36200,34275,39325,36808,6886,4470,46,4424,2416,3598,826,,,,
Québec-Ouest,13954,7421,9149,4911,2209,1700,33,1667,509,1018,649,,,,
Richelieu,21354,21098,18576,18189,4288,3420,84,3336,868,1803,1533,,,,
Richmond-Wolfe,31347,22068,34137,25697,8226,6105,88,6017,2121,3500,2517,,,,
Rimouski,33430,32825,40157,38465,7037,5385,66,5319,1652,2794,2525,,,,
Rouville,18483,18016,15990,15458,4150,2484,35,2449,1666,1767,682,,,,
Saint-Antoine,44626,11267,47653,14597,9179,5818,147,5671,3361,2792,2879,,,,
Saint-Hyacinthe,21135,20872,21543,21302,5009,3436,53,3383,1573,2247,1136,,,,
Saint-Jacques,35830,31879,42618,37081,8394,5074,129,4945,3320,3256,1615,,74,,
Saint-Jean-Iberville,24175,21366,19536,18141,5058,3098,55,3043,1960,2024,1019,,,,
Saint-Laurent,42808,21470,48808,22278,9890,6050,154,5896,3840,3439,2457,,,,
Sainte-Anne,24685,6712,23368,7439,8216,5190,151,5039,3026,2670,2369,,,,
Sainte-Marie,34746,28662,40631,32850,8204,5466,184,5282,2738,3178,1922,,,,182
Shefford,23263,17888,23628,18086,6027,4265,67,4198,1762,2314,1884,,,,
Sherbrooke,16088,8672,18426,10645,4458,3412,57,3355,1046,1662,1693,,,,
Soulanges,9608,8909,9928,9269,2445,1995,29,1966,450,1105,861,,,,
Stanstead,18067,6933,18998,8744,5068,3429,28,3401,1639,1783,1618,,,,
Témiscouata,25698,25189,29185,28320,5064,3971,59,3912,1093,2212,1700,,,,
Terrebonne,23128,21770,26816,25424,5502,4383,96,4287,1119,2277,2010,,,,
Trois-Rivières-Saint-Maurice,21101,20460,26167,25181,4541,3509,47,3462,1032,1832,1527,,103,,
Vaudreuil,10792,9539,10445,9352,2844,1825,20,1805,1019,1140,665,,,,
Wright,38689,25040,44800,29946,8443,5089,62,5027,3354,2953,2074,,,,
