Circonscriptions,Population_totale_1901,Canadien_francais_1901,Population_totale_1911,Canadiens_francais_1911,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_independants
Argenteuil,16407,7391,16766,8559,3625,2889,33,2856,736,1340,1516,
Bagot,16291,16038,18206,18078,4314,3361,40,3321,953,1832,1489,
Beauce,43129,42192,51399,50580,9121,4948,36,4912,4173,3601,1311,
Beauharnois,21732,19506,20802,18049,4634,3903,,3903,731,1828,2075,
Bellechasse,18706,18640,21141,21114,3749,2824,48,2776,925,1819,957,
Berthier,18982,18672,19872,19620,4333,3243,38,3205,1090,1707,1498,
Bonaventure,24495,17056,28110,20035,4570,3746,78,3668,824,2280,1388,
Brome,13397,4766,13216,4977,3851,2791,29,2762,1060,1821,941,
Chambly-Verchères,24318,22269,28715,24115,5995,4534,80,4454,1461,2493,1961,
Champlain,35159,34293,42758,38944,7603,5611,54,5557,1992,2934,2623,
Charlevoix,19334,18979,20637,20302,3959,3308,23,3285,651,1601,1684,
Châteauguay,15693,9415,13322,9607,3252,2312,36,2276,940,1370,906,
Chicoutimi-Saguenay,48291,44289,63341,60127,9513,7369,64,7305,2144,2857,4448,
Compton,26460,14460,29630,18714,6900,5246,71,5175,1654,2735,2440,
Deux-Montagnes,14438,13366,13868,12902,3478,2833,40,2793,645,1460,1333,
Dorchester,21007,18106,25096,23627,4506,3232,30,3202,1274,1429,1773,
Drummond-Arthabaska,44484,41045,41590,39165,8932,5062,32,5030,3870,3753,1277,
Gaspé,30683,22785,35001,27127,,,,,,Élu sans opposition,,
Hochelaga,56919,34429,75049,43032,13814,9538,183,9355,4276,4974,4381,
Huntingdon,13979,5105,13240,5372,3300,2436,31,2405,864,1131,1274,
Jacques-Cartier,26168,19297,65023,40920,8523,5915,65,5850,2608,2755,3095,
Joliette,22255,21662,23911,23227,4816,3803,79,3724,1013,1972,1752,
Kamouraska,19099,19012,20888,20806,3994,3105,51,3054,889,1635,1419,
Labelle,30931,24653,40351,34016,7067,4238,52,4186,2829,2640,1147,399
Laprairie-Napierville,17523,16890,19335,16503,4258,3395,37,3358,863,1797,1561,
L'Assomption,14993,14661,15164,14691,,,,,,Élu sans opposition,,
Laval,19743,17998,29977,26819,4708,3726,86,3640,982,1798,1842,
Lévis,26210,25068,28913,27947,5862,4387,68,4319,1475,2642,1677,
L'Islet,14439,14413,16435,16209,3040,2287,54,2233,753,1038,1195,
Lotbinière,20039,18817,22158,21319,4272,2493,24,2469,1779,1670,799,
Maisonneuve,65178,54554,170978,124798,16187,9961,199,9762,6226,5967,3795,
Maskinongé,15813,15563,16509,16377,3573,2736,46,2690,837,1480,1188,22
Mégantic,23621,18721,31314,26761,5868,4442,39,4403,1426,2453,1950,
Missisquoi,18482,9908,17466,10479,4873,3602,40,3562,1271,1848,1714,
Montcalm,13001,12020,13862,12904,2952,2341,35,2306,611,1227,1079,
Montmagny,14757,14663,17356,17226,3157,2438,52,2386,719,1222,1164,
Montmorency,12311,12124,13215,12953,2676,2347,20,2327,329,1292,1035,
Nicolet,26590,26121,30055,29741,6319,5123,69,5054,1196,2698,2356,
Pontiac,25722,9397,29416,14270,5734,3955,48,3907,1779,1906,2001,
Portneuf,27159,25669,30529,29292,5950,4789,32,4757,1161,2630,2026,101
Québec-Centre,20366,15297,21143,16945,3773,2871,50,2821,902,1809,1012,
Québec-Comté,22101,18710,25844,22428,4561,2752,36,2716,1809,2445,271,
Québec-Est,39325,36808,47429,45670,7789,5023,84,4939,2766,3524,1415,
Québec-Ouest,9149,4911,9618,5465,2315,1744,31,1713,571,1053,660,
Richelieu,18576,18189,20686,20384,4785,3945,95,3850,840,2081,1769,
Richmond-Wolfe,34137,25697,39491,31937,8447,6299,94,6205,2148,3689,2516,
Rimouski,40157,38465,51490,50074,7688,6391,113,6278,1297,3272,3006,
Rouville,15990,15458,13131,12737,3490,2697,27,2670,793,1671,999,
Saint-Antoine,47653,14597,48638,14230,8474,6223,189,6034,2251,2692,3342,
Saint-Hyacinthe,21543,21302,22342,22094,5005,3936,52,3884,1069,2204,1680,
Saint-Jacques,42618,37081,44057,38384,9397,6066,127,5939,3331,3648,2291,
Saint-Jean-Iberville,19536,18141,21882,19632,5255,2993,16,2977,2262,2363,614,
Saint-Laurent,48808,22278,55860,18307,9637,5940,26,5914,3697,3282,2632,
Sainte-Anne,23368,7439,21676,6539,7895,5137,77,5060,2758,2895,2165,
Sainte-Marie,40631,32850,54910,45941,8721,5495,195,5300,3226,3131,2169,
Shefford,23628,18086,23976,19214,5872,4119,42,4077,1753,2347,1730,
Sherbrooke,18426,10645,23211,13947,4901,3687,63,3624,1214,1749,1875,
Soulanges,9928,9269,9400,8949,2409,1938,36,1902,471,1063,839,
Stanstead,18998,8744,20765,10655,5076,3690,31,3659,1386,1966,1693,
Témiscouata,29185,28320,36430,35628,5918,4592,40,4552,1326,2752,1800,
Terrebonne,26816,25424,29018,26715,5502,4829,51,4778,673,2481,2297,
Trois-Rivières-Saint-Maurice,26167,25181,36153,34777,6341,4998,61,4937,1343,2667,2270,
Vaudreuil,10445,9352,11039,9861,2894,2150,28,2122,744,1297,825,
Wright,44800,29946,48332,34373,8764,5343,49,5294,3421,3250,2044,
Yamaska,16204,15767,19511,19059,4607,3635,43,3592,972,2026,1566,
