Circonscriptions,Population_totale_1911,Canadiens_francais_1911,Population_totale_1921,Canadiens_francais_1921,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal_01,Autres_liberal_02,Autres_conservateur,Autres_independants,Autres_ouvrier,Autres_nationaliste
Argenteuil,16766,8559,17165,9321,4898,3809,12,3797,1089,2113,1684,,,,,,
Bagot,18206,18078,18035,17876,4231,3433,23,3410,798,3318,92,,,,,,
Beauce,51399,50580,53841,53078,,,,,,Élu sans opposition,,,,,,,
Beauharnois,20802,18049,19888,18283,,,,,,Élu sans opposition,,,,,,,
Bellechasse,21141,21114,21190,21158,5044,3868,26,3842,1176,3752,60,,,,30,,
Berthier,19872,19620,19817,19523,4577,3898,36,3862,679,2422,,1440,,,,,
Bonaventure,28110,20035,29092,21256,7264,5417,50,5367,1847,4131,1236,,,,,,
Brome,13216,4977,13471,6168,4089,3447,33,3414,642,1926,1488,,,,,,
Cartier,51937,27438,54800,23925,11097,7373,123,7250,3724,6130,,,,608,,512,
Chambly-Verchères,28715,24115,34643,26751,9307,7547,132,7415,1760,4740,2675,,,,,,
Champlain,39824,36429,48009,46084,10168,7628,61,7567,2540,7095,472,,,,,,
Charlevoix-Montmorency,27972,27554,28874,28333,6749,5364,38,5326,1385,5197,129,,,,,,
Châteauguay-Huntingdon,26562,14979,26731,16052,7304,5913,48,5865,1391,3835,1990,,,,40,,
Chicoutimi-Saguenay,63341,60127,90609,83657,16566,11996,23,11973,4570,11002,971,,,,,,
Compton,29630,18714,32285,23084,8587,6987,54,6933,1600,4418,2515,,,,,,
Dorchester,25096,23627,28954,27645,6137,4757,32,4725,1380,4228,497,,,,,,
Drummond-Arthabaska,41590,39165,44823,42983,,,,,,Élu sans opposition,,,,,,,
Gaspé,35001,27127,40375,31146,8962,6630,32,6598,2332,5438,1160,,,,,,
Hochelaga,44884,36640,73526,57620,15516,10454,161,10293,5062,9697,,,,287,,309,
Hull,37917,29071,43541,35056,,,,,,Élu sans opposition,,,,,,,
Jacques-Cartier,65091,40368,89297,50384,20244,16417,272,16145,3827,9228,6917,,,,,,
Joliette,23911,23227,25913,25169,5715,4611,30,4581,1104,2459,2122,,,,,,
Kamouraska,20888,20806,22014,21879,5259,3673,29,3644,1586,3453,191,,,,,,
Labelle,30115,26757,35927,32926,,,,,,Élu sans opposition,,,,,,,
Laprairie-Napierville,19335,16503,20065,17053,4167,3562,24,3538,605,3395,143,,,,,,
L'Assomption-Montcalm,28506,27082,28318,26780,6724,5385,32,5353,1339,5181,172,,,,,,
Laurier-Outremont,44264,24854,72047,35184,17912,14154,515,13639,3758,7443,6196,,,,,,
Laval-Deux-Montagnes,25275,23765,28314,26450,,,,,,Élu sans opposition,,,,,,,
Lévis,28913,27947,33323,32418,7727,6241,83,6158,1486,5174,984,,,,,,
L'Islet,16435,16209,17859,17691,,,,,,Élu sans opposition,,,,,,,
Lotbinière,22158,21319,21837,21054,5149,4078,18,4060,1071,3896,164,,,,,,
Maisonneuve,33796,28171,64933,47826,12980,10434,121,10313,2546,7173,3140,,,,,,
Maskinongé,16509,16377,16945,16857,3909,3125,20,3105,784,2721,,219,165,,,,
Matane,27539,26614,36303,35632,6952,5501,44,5457,1451,5010,,,,447,,,
Mégantic,31314,26761,33633,30044,,,,,,Élu sans opposition,,,,,,,
Missisquoi,17466,10479,17709,11508,5238,4055,29,4026,1183,2582,1444,,,,,,
Montmagny,17356,17226,21997,21792,4605,3811,38,3773,794,2394,36,,,,,,1343
Nicolet,30055,29741,29695,29367,,,,,,Élu sans opposition,,,,,,,
Pontiac,29416,14270,46201,30037,10049,7177,18,7159,2872,5548,,,,1611,,,
Portneuf,30260,28695,34452,32863,,,,,,Élu sans opposition,,,,,,,
Québec-Comté,28046,25389,31130,29098,6433,5379,34,5345,1054,4799,546,,,,,,
Québec-Est,30922,29047,38330,36439,10353,7570,51,7519,2783,6957,562,,,,,,
Québec-Ouest,30506,29582,37993,36943,9237,6935,83,6852,2302,6392,460,,,,,,
Québec-Sud,23643,15303,27706,19675,8161,6382,65,6317,1779,3816,2501,,,,,,
Richelieu,19810,19509,18764,18330,5139,4233,44,4189,906,3355,834,,,,,,
Richmond-Wolfe,39491,31937,42248,35598,9930,8125,43,8082,1805,6448,1634,,,,,,
Rimouski,23951,23460,27520,27325,,,,,,Élu sans opposition,,,,,,,
Saint-Antoine,34794,12542,32394,10395,9706,8340,128,8212,1366,2549,5663,,,,,,
Saint-Denis,45141,35090,78920,60219,14712,10796,115,10681,3916,,,878,,,95,9708,
Saint-Hyacinthe-Rouville,35473,34831,36754,35995,,,,,,Élu sans opposition,,,,,,,
Saint-Jacques,44057,38384,42443,37491,,,,,,Élu sans opposition,,,,,,,
Saint-Jean-Iberville,21882,19632,23518,21475,6101,4649,15,4634,1452,4271,363,,,,,,
Saint-Laurent-Saint-George,38883,6473,36912,7321,10421,8735,526,8209,1686,2403,5806,,,,,,
Sainte-Anne,33305,12073,52049,16211,16406,13316,235,13081,3090,4416,8346,,,,319,,
Sainte-Marie,62521,51732,63975,55720,,,,,,Élu sans opposition,,,,,,,
Shefford,23976,19214,25644,21880,,,,,,Élu sans opposition,,,,,,,
Sherbrooke,23211,13947,30786,20710,9395,7634,74,7560,1761,4151,3409,,,,,,
Stanstead,20765,10655,23380,14230,7275,5430,37,5393,1845,3047,2346,,,,,,
Témiscouata,36430,35628,44310,43470,9258,7220,36,7184,2038,6489,695,,,,,,
Terrebonne,29018,26715,33908,31136,,,,,,Élu sans opposition,,,,,,,
Trois-Rivières-Saint-Maurice,36153,34777,50845,48111,,,,,,Élu sans opposition,,,,,,,
Vaudreuil-Soulanges,20439,18810,21620,19212,5640,4512,29,4483,1128,4075,408,,,,,,
Westmount-Saint-Henri,56088,34342,62909,37544,18635,15112,150,14962,3523,7987,6975,,,,,,
Wright,21171,13074,21850,14265,5672,4208,30,4178,1464,2860,1318,,,,,,
Yamaska,20387,19934,18840,18571,4628,3651,39,3612,977,3148,464,,,,,,
