6 décembre 1921,Recensement de 1911,,Recensement de 1921,,,,,,,,,Autres,,,,,,
Circonscriptions,Population_totale_1911,Canadiens_francais_1911,Population_totale_1921,Canadiens_francais_1921,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal,Autres_independants_01,Autres_independants_02,Autres_independants_03,Autres_progressiste,Autres_fermier_ouvrier,Autres_ouvrier
Argenteuil,16766,8559,17165,9321,8927,7295,47,7248,1632,3674,2819,,,,,755,,
Bagot,18206,18078,18035,17876,9333,7214,128,7086,2119,4004,48,,,,,3034,,
Beauce,51399,50580,53841,53078,20968,13442,77,13365,7526,12030,1335,,,,,,,
Beauharnois,20802,18049,19888,18283,10076,8541,122,8419,1535,5147,3272,,,,,,,
Bellechasse,21141,21114,21190,21158,9157,6335,31,6304,2822,5195,,,,,,1109,,
Berthier,19872,19620,19817,19523,9462,7540,15,7525,1922,4910,2615,,,,,,,
Bonaventure,28110,20035,29092,21256,13090,7781,46,7735,5309,6136,1599,,,,,,,
Brome,13216,4977,13471,6168,7441,5978,47,5931,1463,3768,2163,,,,,,,
Cartier,51937,27438,54800,23925,19523,13946,152,13794,5577,7790,854,,3519,1522,109,,,
Chambly-Verchères,28715,24115,34643,26751,14800,13844,152,13692,956,8847,4845,,,,,,,
Champlain,39824,36429,48009,46084,21377,16982,13,16969,4395,11709,3170,,,,,2090,,
Charlevoix-Montmorency,27972,27554,28874,28333,12589,10646,17,10629,1943,7727,2902,,,,,,,
Châteauguay-Huntingdon,26562,14979,26731,16052,13427,10582,58,10524,2845,5915,,,,,,548,4061,
Chicoutimi-Saguenay,63341,60127,90609,83657,34432,27152,22,27130,7280,19427,4728,,,2975,,,,
Compton,29630,18714,32285,23084,15561,12144,317,11827,3417,7866,3961,,,,,,,
Dorchester,25096,23627,28954,27645,11898,8474,27,8447,3424,5744,2703,,,,,,,
Drummond-Arthabaska,41590,39165,44823,42983,19925,15882,43,15839,4043,10280,1902,,,1503,,2154,,
Gaspé,35001,27127,40375,31146,17063,12092,97,11995,4971,9728,2267,,,,,,,
Hochelaga,44884,36640,73526,57620,30322,22573,74,22499,7749,20164,2335,,,,,,,
Hull,37917,29071,43541,35056,20873,14543,35,14508,6330,11998,,,,,,2510,,
Jacques-Cartier,65091,40368,89297,50384,42636,30131,198,29933,12505,18881,9227,1825,,,,,,
Joliette,23911,23227,25913,25169,12370,10275,44,10231,2095,6203,3763,,,265,,,,
Kamouraska,20888,20806,22014,21879,10139,7367,62,7305,2772,4822,,,,2483,,,,
Labelle,30115,26757,35927,32926,14654,10447,39,10408,4207,7391,,,,124,,2893,,
Laprairie-Napierville,19335,16503,20065,17053,9691,5675,4,5671,4016,4458,1213,,,,,,,
L'Assomption-Montcalm,28506,27082,28318,26780,14183,9788,40,9748,4395,7408,1626,,,600,,114,,
Laurier-Outremont,44264,24854,72047,35184,31492,21725,72,21653,9767,15341,5023,,,,,,,1289
Laval-Deux-Montagnes,25275,23765,28314,26450,13575,10095,37,10058,3480,6040,,,,3479,539,,,
Lévis,28913,27947,33323,32418,15465,12864,73,12791,2601,8787,4004,,,,,,,
L'Islet,16435,16209,17859,17691,7743,5878,26,5852,1865,3720,2132,,,,,,,
Lotbinière,22158,21319,21837,21054,10064,7566,17,7549,2498,5179,,,,,,2370,,
Maisonneuve,33796,28171,64933,47826,24838,18487,37,18450,6351,14222,1944,,,2133,151,,,
Maskinongé,16509,16377,16945,16857,7959,6133,14,6119,1826,4128,1991,,,,,,,
Matane,27539,26614,36303,35632,15189,10411,54,10357,4778,8105,2252,,,,,,,
Mégantic,31314,26761,33633,30044,14188,10516,52,10464,3672,8715,1749,,,,,,,
Missisquoi,17466,10479,17709,11508,9558,8097,89,8008,1461,5268,2740,,,,,,,
Montmagny,17356,17226,21997,21792,10245,6507,72,6435,3738,5103,,,,,,1332,,
Nicolet,30055,29741,29695,29367,13536,10632,63,10569,2904,8298,,,,,,2271,,
Pontiac,29416,14270,46201,30037,24326,16701,64,16637,7625,11077,3800,,,,,1760,,
Portneuf,30260,28695,34452,32863,15772,11259,98,11161,4513,9021,1475,,,,,665,,
Québec-Comté,28046,25389,31130,29098,13249,11409,19,11390,1840,6843,,,,4547,,,,
Québec-Est,30922,29047,38330,36439,14736,10490,61,10429,4246,9005,1424,,,,,,,
Québec-Ouest,30506,29582,37993,36943,16104,13486,30,13456,2618,8741,4715,,,,,,,
Québec-Sud,23643,15303,27706,19675,12971,10667,72,10595,2304,6645,3281,,,669,,,,
Richelieu,19810,19509,18764,18330,9095,6758,8,6750,2337,4706,2044,,,,,,,
Richmond-Wolfe,39491,31937,42248,35598,18420,13372,46,13326,5048,10340,,,,2986,,,,
Rimouski,23951,23460,27520,27325,11221,7642,32,7610,3579,6363,,,,,,1247,,
Saint-Antoine,34794,12542,32394,10395,17155,14464,134,14330,2691,9056,5274,,,,,,,
Saint-Denis,45141,35090,78920,60219,33418,23948,141,23807,9470,18703,,,,3738,1366,,,
Saint-Hyacinthe-Rouville,35473,34831,36754,35995,17636,14076,24,14052,3560,9425,,,,4627,,,,
Saint-Jacques,44057,38384,42443,37491,17593,12906,97,12809,4687,11216,968,,,625,,,,
Saint-Jean-Iberville,21882,19632,23518,21475,11148,7102,24,7078,4046,6618,460,,,,,,,
Saint-Laurent-Saint-George,38883,6473,36912,7321,16754,13774,153,13621,2980,7836,5275,,,,,,,510
Sainte-Anne,33305,12073,52049,16211,22024,17453,136,17317,4571,10742,5494,,,1081,,,,
Sainte-Marie,62521,51732,63975,55720,27330,20635,69,20566,6695,15262,799,,,4505,,,,
Shefford,23976,19214,25644,21880,12003,9044,90,8954,2959,6318,,,,2636,,,,
Sherbrooke,23211,13947,30786,20710,17290,13661,83,13578,3629,9043,4535,,,,,,,
Stanstead,20765,10655,23380,14230,12619,10041,60,9981,2578,6877,3104,,,,,,,
Témiscouata,36430,35628,44310,43470,18141,13837,43,13794,4304,5625,3336,,,4833,,,,
Terrebonne,29018,26715,33908,31136,15270,12593,75,12518,2677,8882,3636,,,,,,,
Trois-Rivières-Saint-Maurice,36153,34777,50845,48111,24570,20803,120,20683,3767,13995,6688,,,,,,,
Vaudreuil-Soulanges,20439,18810,21620,19212,10397,8473,27,8446,1924,5366,,,,2787,,293,,
Westmount-Saint-Henri,56088,34342,62909,37544,30906,25042,264,24778,5864,17583,7195,,,,,,,
Wright,21171,13074,21850,14265,10169,7737,86,7651,2432,4510,1551,,,,,1590,,
Yamaska,20387,19934,18840,18571,8715,6638,46,6592,2077,4130,,,,,,2462,,
