Circonscriptions,Anglophones_1991,Francophones_1991,Allophones_1991,Anglophones_1996,Francophones_1996,Allophones_1996,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_progressiste-conservateur,Bloc_quebecois,Nouveau_parti_democratique,Autres_independants_01,Autres_independants_02,Autres_parti_de_la_loi_naturelle,Autres_abolitionniste,Autres_republicain-commonwealth,Autres_parti_nationaliste,Autres_parti_vert,Autres_parti_libertarien,Autres_parti_marxiste-leniniste,Autres_christian_heritage_party
Abitibi,2499,75291,13605,2397,74528,16400,67000,42524,1250,41274,24476,6696,14551,19076,951,,,,,,,,,,
Ahuntsic,3933,59737,24375,3401,53909,27250,63385,51904,1559,50345,11481,21028,4442,22686,676,551,,476,151,335,,,,,
Anjou-Rivière-des-Prairies,6312,74988,29825,6186,68259,30935,79535,62757,2053,60704,16778,25631,7066,26163,958,,,747,,139,,,,,
Argenteuil-Papineau,9178,73667,1235,9667,83528,1390,66082,51140,1699,49441,14942,14234,10959,23360,888,,,,,,,,,,
Beauce,632,98088,145,662,99003,140,70866,51774,1484,50290,19092,7273,4108,18201,365,20343,,,,,,,,,
Beauharnois-Salaberry,10653,76172,1255,9927,75953,1205,66562,52356,2019,50337,14206,15875,7602,25873,987,,,,,,,,,,
Bellechasse,517,79548,95,452,78133,75,60112,42907,1133,41774,17205,8361,15831,16981,601,,,,,,,,,,
Berthier-Montcalm,2528,99042,2215,2621,107334,2450,82061,61593,2539,59054,20468,16163,5271,35952,593,,,803,,,272,,,,
Blainville-Deux-Montagnes,10754,129001,5575,10979,144756,6655,106788,84430,3276,81154,22358,18730,11840,48214,858,,,1010,,105,,,397,,
Bonaventure-Îles-de-la-Madeleine,6073,44192,855,5924,43676,905,36853,28198,655,27543,8655,12007,5929,9237,370,,,,,,,,,,
Bourassa,3699,62911,18945,3411,54019,22780,58156,45046,1615,43431,13110,18185,5194,18238,1026,,,480,205,103,,,,,
Brome-Missisquoi,15961,62574,1795,15694,65076,1740,59132,45316,1562,43754,13816,16040,7504,17836,553,380,,563,722,,156,,,,
Chambly,8636,92509,2475,7302,102338,2710,76921,63726,2605,61121,13195,17803,4760,36485,1796,,,,,277,,,,,
Champlain,795,81505,2335,1088,80027,2830,63744,49989,1553,48436,13755,11254,13083,23650,449,,,,,,,,,,
Charlesbourg,1942,108458,1010,2062,112018,1305,85930,67889,2931,64958,18041,15180,8150,38565,1258,,,1487,318,,,,,,
Charlevoix,502,76553,2090,516,71769,2220,57132,39425,1315,38110,17707,7160,6800,23617,533,,,,,,,,,,
Châteauguay,13979,84106,4215,15235,93695,4310,81024,61998,2268,59730,19026,18121,5782,34652,858,,,,,317,,,,,
Chicoutimi,861,86614,425,682,85923,495,65021,47360,1175,46185,17661,5000,11126,29511,548,,,,,,,,,,
Drummond,1240,82215,550,1442,84853,480,62065,47439,2016,45423,14626,10924,8971,24923,605,,,,,,,,,,
Frontenac,795,59815,190,679,56961,275,44314,34586,1328,33258,9728,7465,5431,19428,345,,,,210,,,379,,,
Gaspé,4044,50711,90,3764,49756,105,42347,29758,481,29277,12589,10128,5425,13224,209,,,,,,,291,,,
Gatineau-La-Lièvre,10106,115485,3325,11068,128267,4335,97695,72062,1264,70798,25633,39283,4478,25012,1099,,,737,,,,,,189,
Hochelaga-Maisonneuve,3259,76061,9580,2773,70042,10950,59945,44502,1857,42645,15443,10675,3723,26170,1050,,,588,,180,,,,259,
Hull-Aylmer,14663,71772,6510,16491,71839,7900,69419,53421,873,52548,15998,27988,3244,14293,1346,4583,,401,63,,,468,,162,
Joliette,1308,109367,1175,1392,120548,1295,85365,65191,3208,61983,20174,10108,8784,41061,745,,,1285,,,,,,,
Jonquière,659,66861,255,607,65463,235,49655,38058,899,37159,11597,4528,6645,25129,413,,,444,,,,,,,
Kamouraska-Rivière-du-Loup,255,70275,105,241,69224,85,52864,36356,1342,35014,16508,7476,8051,18510,440,537,,,,,,,,,
Lachine-Lac-Saint-Louis,47873,39432,12500,44606,39344,15120,71306,59866,963,58903,11440,39732,4717,12014,822,618,,559,81,169,,,191,,
Lac-Saint-Jean,301,68864,135,225,68800,135,48861,37260,1186,36074,11601,5172,3201,27258,443,,,,,,,,,,
Langelier,1950,85185,2860,2014,79441,3080,70489,53834,2214,51620,16655,13955,7052,27788,1027,,,853,159,,,786,,,
