Circonscriptions,Population_totale_1861,Canadiens_francais_1861,Population_totale_1871,Canadiens_francais_1871,Electeurs_inscrits,Votes_exprimes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_conservateur_01,Autres_conservateur_02,Autres_conservateur_03,Autres_independants
Argenteuil,12897,2781,12806,3902,1803,1252,1252,551,533,719,,,,
Bagot,18841,18135,19491,19037,3061,2016,2016,1045,864,1152,,,,
Beauce,20416,19564,27253,26202,3893,,,,Élu sans opposition,,,,,
Beauharnois,15742,14153,14757,13251,2062,1074,1074,988,,750,324,,,
Bellechasse,16062,16007,17637,17542,2064,756,756,1308,718,38,,,,
Berthier,19608,19331,19804,19435,3408,1950,1950,1458,1013,937,,,,
Bonaventure,13092,7239,15923,9545,2313,1478,1478,835,659,819,,,,
Brome,12732,1644,13757,3471,1945,,,,,Élu sans opposition,,,,
Chambly,13132,12317,10498,9775,1719,1174,1174,545,686,488,,,,
Champlain,20008,19665,22052,21590,2905,2331,2331,574,836,902,593,,,
Charlevoix,15223,15089,15611,15270,2567,1750,1750,817,975,775,,,,
Châteauguay,17837,12289,16166,11288,1971,1394,1394,577,878,516,,,,
Chicoutimi-Saguenay,16579,15170,22980,20162,3283,,,,Élu sans opposition,,,,,
Compton,10210,1885,13665,3785,2712,1772,1772,940,,1024,748,,,
Deux-Montagnes,18408,16866,15615,13972,1939,1119,1119,820,354,765,,,,
Dorchester,16195,13107,17779,14996,2397,,,,,Élu sans opposition,,,,
Drummond-Arthabaska,25829,19212,31892,26598,4652,2784,2784,1868,1767,1017,,,,
Gaspé,14077,8769,18729,12956,2675,,,,,Élu sans opposition,,,,
Hochelaga,16474,13010,25640,20224,3714,2398,2398,1316,1007,1391,,,,
Huntingdon,17491,4060,16304,4924,2481,1829,1829,652,411,768,,,,650
Iberville,16891,14968,15413,13971,2230,1349,1349,881,973,376,,,,
Jacques-Cartier,11218,10309,11179,9766,1654,1205,1205,449,549,656,,,,
Joliette,21198,20073,23075,22020,2231,1524,1524,707,456,1068,,,,
Kamouraska,21058,20977,21254,21038,3278,,,,,Élu sans opposition,,,,
Laprairie,14475,13765,11861,10154,1551,,,,,Élu sans opposition,,,,
L'Assomption,17355,16721,15473,14979,2698,,,,,Élu sans opposition,,,,
Laval,10507,10445,9472,9325,1582,,,,,Élu sans opposition,,,,
Lévis,22091,20119,24831,22706,3974,2919,2919,1055,1292,1627,,,,
L'Islet,12300,12176,13517,13375,1652,1137,1137,515,526,611,,,,
Lotbinière,20018,15798,20606,17340,1969,1020,1020,949,806,214,,,,
Maskinongé,14790,14503,15079,14782,2024,1447,1447,577,809,638,,,,
Mégantic,17889,11161,18879,12074,2210,,,,,Élu sans opposition,,,,
Missisquoi,18608,5360,16922,7114,3489,1684,1684,1805,521,920,243,,,
Montcalm,14724,12259,12742,10794,1940,,,,,Élu sans opposition,,,,
Montmagny,13386,13275,13555,13449,1644,1124,1124,520,706,418,,,,
Montmorency,11136,10708,12085,11602,1700,,,,,Élu sans opposition,,,,
Montréal-Centre,6750,3485,5264,3224,2286,1585,1585,701,798,787,,,,
Montréal-Est,35967,24882,46291,35569,7345,1327,1327,6018,290,1037,,,,
Montréal-Ouest,44288,13298,55670,18063,4136,,,,,Élu sans opposition,,,,
Napierville,14513,13158,11688,10815,1998,,,,Élu sans opposition,,,,,
Nicolet,21563,21383,23262,22621,2207,,,,,Élu sans opposition,,,,
Ottawa,27757,14357,38629,21514,7965,3253,3253,4712,1238,2015,,,,
Pontiac,14125,2422,15810,3455,1790,1710,1710,80,594,1116,,,,
Portneuf,21291,18686,22569,20296,2236,,,,,Élu sans opposition,,,,
Québec-Centre,16153,7939,18188,11827,3600,,,,,Élu sans opposition,,,,
Québec-Comté,27893,19657,19607,14681,3021,1823,1823,1198,376,1447,,,,
Québec-Est,18770,15478,28305,24202,3945,,,,,Élu sans opposition,,,,
Québec-Ouest,16186,5272,13206,4861,1952,,,,,Élu sans opposition,,,,
Richelieu,19070,18302,20048,19317,3863,1751,1751,2112,636,942,,,,173
Richmond-Wolfe,15432,6669,20036,11222,3016,,,,,Élu sans opposition,,,,
Rimouski,20854,20043,27418,25957,3522,1632,1632,1890,,939,283,217,193,
Rouville,18227,17520,17634,16954,2902,688,688,2214,665,23,,,,
Saint-Hyacinthe,18877,18438,18310,18075,3019,,,,Élu sans opposition,,,,,
Saint-Jean,14853,11706,12122,9415,1867,,,,Élu sans opposition,,,,,
Saint-Maurice,11100,10919,11085,10716,1626,1207,1207,419,532,675,,,,
Shefford,17779,12034,19077,12683,3090,2351,2351,739,1292,1059,,,,
Sherbrooke,5899,1419,8516,3544,1251,,,,,Élu sans opposition,,,,
Soulanges,12221,10971,10808,9724,1868,1148,1148,720,,720,428,,,
Stanstead,12258,935,13138,3212,2412,,,,,Élu sans opposition,,,,
Témiscouata,18561,18156,22491,21809,2459,,,,,Élu sans opposition,,,,
Terrebonne,19460,18909,19591,18151,2850,,,,,Élu sans opposition,,,,
Trois-Rivières,6058,5367,8414,7687,788,575,575,213,,333,242,,,
Vaudreuil,12282,10454,11003,9392,1824,1316,1316,508,,675,641,,,
Verchères,15485,15367,12717,12617,1889,,,,Élu sans opposition,,,,,
Yamaska,16045,15601,16317,15800,2252,1444,1444,808,,811,633,,,
