Circonscriptions,Population_totale_1931,Canadiens_francais_1931,Population_totale_1941,Canadiens_francais_1941,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Action_liberale_nationale,Autres_liberal_01,Autres_liberal_02,Autres_conservateur,Autre_liberal_opposition,Autres_liberal_ouvrier,Autres_independant_ministeriel,Autres_independant_opposition,Autres_ouvrier
Abitibi,23692,21004,67689,58579,14522,11741,826,10915,2781,6088,4827,,,,,,,,,
Argenteuil,18976,11026,22670,14152,6082,4720,19,4701,1362,2412,,2289,,,,,,,,
Arthabaska,27159,26693,30039,29522,7135,6002,29,5973,1133,4143,1830,,,,,,,,,
Bagot,16914,16782,17642,17563,4653,4144,29,4115,509,2386,,1729,,,,,,,,
Beauce,44793,44330,48073,47750,10278,8577,43,8534,1701,1672,,6862,,,,,,,,
Beauharnois,25163,20906,30269,27197,6190,5086,17,5069,1104,2363,2706,,,,,,,,,
Bellechasse,22006,21927,23676,23539,5589,4651,60,4591,938,2483,,2108,,,,,,,,
Berthier,19506,19276,21233,20999,5453,4994,65,4929,459,2897,,2032,,,,,,,,
Bonaventure,32432,24229,39196,30711,8825,7224,20,7204,1601,4507,,2697,,,,,,,,
Brome,12433,5628,12485,5942,4272,3511,21,3490,761,1999,1491,,,,,,,,,
Chambly,26801,16576,32454,20729,7729,5555,54,5501,2174,3023,2478,,,,,,,,,
Champlain,28888,28432,32690,32189,7638,5812,17,5795,1826,2538,,3257,,,,,,,,
Charlevoix-Saguenay,44694,37812,55081,47167,10413,7993,32,7961,2420,5220,,2741,,,,,,,,
Châteauguay,13125,9837,14443,11088,3946,3404,15,3389,542,1967,,1422,,,,,,,,
Chicoutimi,55724,52925,78881,75432,13707,10452,143,10309,3255,2825,,7484,,,,,,,,
Compton,21917,14683,22957,16458,6530,5432,69,5363,1098,2560,2803,,,,,,,,,
