Circonscriptions,Anglophones_1951,Francophones_1951,Allophones_1951,Anglophones_1961,Francophones_1961,Allophones_1961,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Union_nationale,Autres_liberal,Autres_union_nationale,Autres_independants_01,Autres_independants_02,Autres_conservateur,Autres_action_provinciale,Autres_communiste
Abitibi-Est,4172,77360,4824,4043,74008,5861,33993,28976,301,28675,5017,14892,13783,,,,,,,
Abitibi-Ouest,4172,77360,4824,219,24027,155,13463,11918,102,11816,1545,6732,5084,,,,,,,
Argenteuil,8476,17151,245,9690,21578,562,17021,14676,158,14518,2345,5312,7922,1284,,,,,,
Arthabaska,223,36680,54,307,44824,170,22557,20685,162,20523,1872,10988,9535,,,,,,,
Bagot,112,19091,21,110,21203,77,10586,9777,94,9683,809,4347,5336,,,,,,,
Beauce,253,54676,44,300,61847,117,28189,24594,375,24219,3595,11636,12583,,,,,,,
Beauharnois,2740,35810,198,2713,46591,363,25815,23283,306,22977,2532,11884,11093,,,,,,,
Bellechasse,91,25233,8,94,25914,46,12574,10161,82,10079,2413,4903,5176,,,,,,,
Berthier,147,24500,70,179,26988,158,14228,12175,311,11864,2053,5938,5828,,,,,,98,
Bonaventure,6503,33332,906,6093,35857,1012,19696,16793,164,16629,2903,9525,7104,,,,,,,
Bourget,—,—,—,23095,164896,17786,101353,74197,1153,73044,27156,42906,25178,,,3286,1521,,153,
Brome,6984,6073,336,7175,5990,526,7588,6179,58,6121,1409,3417,2704,,,,,,,
Chambly,18119,58489,1323,35164,106919,4662,75185,57807,955,56852,17378,36290,19196,353,235,778,,,,
Champlain,2260,83040,445,663,49097,147,25960,23616,206,23410,2344,11064,12346,,,,,,,
Charlevoix,248,27989,22,197,30759,56,15347,13384,94,13290,1963,6942,6348,,,,,,,
Châteauguay,4021,13716,120,10161,22815,1066,19161,16103,187,15916,3058,8727,7189,,,,,,,
Chicoutimi,2481,112855,568,2205,89668,369,38534,33929,301,33628,4605,16718,16910,,,,,,,
Compton,5391,18276,189,4912,19265,233,11775,10279,53,10226,1496,4554,5568,,,,,,104,
Deux-Montagnes,2249,18282,517,5886,25908,1043,17311,15051,189,14862,2260,8518,6344,,,,,,,
Dorchester,667,32634,12,473,34173,65,17568,14719,143,14576,2849,6758,7818,,,,,,,
Drummond,2336,50958,132,2423,55577,220,28358,25798,224,25574,2560,14621,10953,,,,,,,
Duplessis,3333,19693,5342,3333,19693,5342,15692,12426,152,12274,3266,7345,4929,,,,,,,
Frontenac,437,30244,52,331,30226,43,13606,11963,111,11852,1643,5635,6217,,,,,,,
Gaspé-Nord,53,15027,9,1125,19182,222,11518,10144,129,10015,1374,4739,5183,,,93,,,,
Gaspé-Sud,7042,30368,32,6424,34754,155,16438,14645,364,14281,1793,7197,7084,,,,,,,
Gatineau,10033,24504,727,13428,29810,1070,24497,19065,212,18853,5432,10289,8564,,,,,,,
Hull,5906,51073,339,4912,59906,965,30406,23731,289,23442,6675,14854,8588,,,,,,,
Huntingdon,5451,7083,923,5901,7580,1271,7543,6423,53,6370,1120,2921,3449,,,,,,,
Iberville,431,13021,55,477,17323,280,8823,8035,67,7968,788,4452,3516,,,,,,,
Îles-de-la-Madeleine,737,9260,2,801,11656,22,5643,5197,41,5156,446,2674,2482,,,,,,,
Jacques-Cartier,40549,51501,3914,120775,105250,18197,124991,90571,1561,89010,34420,69199,19811,,,,,,,
Jeanne-Mance,19915,105832,10542,16989,138199,30619,102181,69667,1090,68577,32514,40899,27159,,,519,,,,
Joliette,463,36611,177,606,43925,438,22692,19492,166,19326,3200,5199,10236,3891,,,,,,
Jonquière-Kénogami,2488,61888,578,2488,61888,578,31241,27016,352,26664,4225,16100,10564,,,,,,,
Kamouraska,68,26578,26,84,27024,30,13475,11052,187,10865,2423,5453,5412,,,,,,,
Labelle,226,26794,177,211,28697,176,12542,10599,85,10514,1943,4310,6005,,,199,,,,
Lac-Saint-Jean,605,30454,69,622,43145,153,19716,17596,169,17427,2120,9171,8256,,,,,,,
