Circonscriptions,Anglophones_1961,Francophones_1961,Allophones_1961,Anglophones_1971,Francophones_1971,Allophones_1971,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_quebecois,Union_nationale,Ralliement_creditiste,Autres_parti_quebecois_independant,Autres_independants_01,Autres_independants_02,Autres_nouveau_parti_democratique,Autres_parti_communiste_du_quebec,Autres_ligue_socialiste_ouvriere,Autres_creditiste
Abitibi-Est,4043,74008,5861,4550,78465,5760,43405,35569,426,35143,7836,10831,4937,4224,15151,,,,,,,
Abitibi-Ouest,219,24027,155,295,23060,115,15587,13664,153,13511,1923,4683,917,1626,6285,,,,,,,
Ahuntsic,3895,53471,8568,3900,56085,11035,43827,38428,636,37792,5399,17208,16236,3760,588,,,,,,,
Argenteuil,9690,21578,562,8870,22025,425,19349,16821,230,16591,2528,9620,1563,3964,1345,,99,,,,,
Arthabaska,307,44824,170,305,51120,95,30516,27429,308,27121,3087,8715,3852,5983,8452,,119,,,,,
Bagot,110,21203,77,135,23400,55,13796,12318,152,12166,1478,3341,917,4591,3280,,37,,,,,
Beauce,300,61847,117,385,63490,85,36829,31071,375,30696,5758,8139,1393,9360,11804,,,,,,,
Beauharnois,2713,46591,363,2540,49255,345,32458,29170,371,28799,3288,12384,9447,5515,1453,,,,,,,
Bellechasse,94,25914,46,110,23385,25,14247,12214,128,12086,2033,3068,311,6111,2596,,,,,,,
Berthier,179,26988,158,215,26970,105,16750,14453,170,14283,2297,5223,2866,5387,807,,,,,,,
Bonaventure,6093,35857,1012,6135,34505,1060,23637,19839,294,19545,3798,11803,2155,5074,513,,,,,,,
Bourassa,7224,57189,6038,7530,89035,15640,61981,49880,1191,48689,12101,22197,20826,4265,1401,,,,,,,
Bourget,5261,33544,2682,5805,64610,3990,46334,39687,1014,38673,6647,15065,15565,6689,1246,,,,108,,,
Brome,7175,5990,526,7690,7095,525,8730,7468,86,7382,1262,4666,299,1630,787,,,,,,,
Chambly,19881,41858,1970,21440,163110,2900,52892,46231,1043,45188,6661,25641,14368,3948,1231,,,,,,,
Champlain,663,49097,147,775,53055,110,32854,28569,336,28233,4285,9334,5403,6800,6696,,,,,,,
Charlevoix,197,30759,56,115,30275,40,18523,15818,315,15503,2705,6602,1680,4163,3058,,,,,,,
Châteauguay,10161,22815,1066,17875,33970,1895,28594,24965,546,24419,3629,14536,4493,4523,867,,,,,,,
Chauveau,1847,63726,317,2970,101700,685,59688,51293,842,50451,8395,18469,9399,9235,13348,,,,,,,
Chicoutimi,476,43055,158,735,44105,190,27097,23792,348,23444,3305,7331,7090,8614,409,,,,,,,
Compton,4912,19265,233,4215,17060,90,13114,11401,141,11260,1713,3613,1030,3274,3343,,,,,,,
D'Arcy-McGee,33528,10957,19530,40585,14570,21825,48289,41075,655,40420,7214,36543,3230,647,,,,,,,,
Deux-Montagnes,5886,25908,1043,7640,43630,1100,25799,22666,334,22332,3133,12106,4199,5157,870,,,,,,,
Dorchester,473,34173,65,355,32075,45,22004,17349,164,17185,4655,4383,2490,4245,6067,,,,,,,
Dorion,4739,46879,21726,4950,49585,26765,37508,29508,812,28696,8000,13183,9658,4851,859,,,,,,145,
Drummond,2423,55577,220,1975,61930,240,38539,33866,828,33038,4673,13269,6888,5032,7849,,,,,,,
Dubuc,1729,46613,211,1710,53370,105,27955,24655,357,24298,3300,8353,6505,8793,647,,,,,,,
Duplessis,3333,19693,5342,7580,32120,7105,21594,17427,335,17092,4167,7839,5612,3310,331,,,,,,,
Fabre,3961,68452,3181,4150,104055,3915,57073,49753,1428,48325,7320,20158,20067,6213,1613,,92,,182,,,
Frontenac,331,30226,43,280,26965,50,16240,13663,229,13434,2577,2604,840,4721,5204,,65,,,,,
Gaspé-Nord,1125,19182,222,795,17915,45,13228,11710,206,11504,1518,4592,1990,4786,136,,,,,,,
Gaspé-Sud,6424,34754,155,6150,35470,110,20352,17107,183,16924,3245,8455,3062,5085,322,,,,,,,
Gatineau,13428,29810,1070,15795,38620,1315,37540,31002,525,30477,6538,19007,3360,5121,2989,,,,,,,
Gouin,4070,69502,7720,3150,60495,4670,44761,35305,882,34423,9456,14058,14070,5053,1242,,,,,,,
Hull,4912,59906,965,6265,71150,1805,34249,25903,491,25412,8346,14478,3814,3647,3252,,122,99,,,,
Huntingdon,5901,7580,1271,6050,8155,1155,9547,7675,154,7521,1872,4170,611,2428,312,,,,,,,
Iberville,477,17323,280,510,19570,320,11501,10359,128,10231,1142,3342,2036,4110,743,,,,,,,
Îles-de-la-Madeleine,801,11656,22,845,12450,10,7096,6356,75,6281,740,3560,366,2285,70,,,,,,,
Jacques-Cartier,29854,33150,4893,31680,35245,5905,46061,39023,693,38330,7038,25743,6316,3027,922,,1850,472,,,,
Jeanne-Mance,10794,63463,10072,7980,65155,9155,53945,45209,834,44375,8736,21515,16866,4797,1197,,,,,,,
Jean-Talon,579,44990,410,1980,39815,650,37724,30959,777,30182,6765,12565,6497,6381,4625,,114,,,,,
Joliette,606,43925,438,700,51095,295,30993,27477,371,27106,3516,10929,7376,7694,1107,,,,,,,
Jonquière,2488,61888,578,2350,60410,375,34540,30617,289,30328,3923,15010,11354,3108,856,,,,,,,
Kamouraska,84,27024,30,105,26135,25,16272,13162,203,12959,3110,4889,762,3555,3753,,,,,,,
Labelle,211,28697,176,825,29550,205,16066,13628,134,13494,2438,2922,2724,6263,1585,,,,,,,
Lac-Saint-Jean,622,43145,153,600,44505,115,26594,23731,243,23488,2863,9339,7873,5515,761,,,,,,,
Lafontaine,11156,75893,4185,8855,92400,4615,55486,46585,2074,44511,8901,15502,18113,8948,1731,,65,24,128,,,
L'Assomption,1931,37127,382,2310,59305,585,32915,28689,608,28081,4226,10754,9372,7955,,,,,,,,
Laurier,9333,44524,14438,7145,43150,24760,43963,36600,877,35723,7363,17934,13603,3073,1113,,,,,,,
Laval,13325,32660,3162,26035,80065,9785,58061,48935,1637,47298,9126,27262,13176,5353,1507,,,,,,,
Laviolette,2080,46507,776,1095,45920,725,29209,24885,479,24406,4324,6974,5365,5390,6677,,,,,,,
Lévis,444,51266,132,765,61825,190,38577,33772,796,32976,4805,10059,4470,8179,10268,,,,,,,
Limoilou,1183,68426,433,1350,67380,360,46412,39019,631,38388,7393,12582,7381,9775,8650,,,,,,,
L'Islet,68,24676,54,95,23080,10,13762,11312,199,11113,2450,4000,506,3708,2899,,,,,,,
Lotbinière,868,29284,82,295,27055,20,15590,13593,134,13459,1997,4454,504,3678,4823,,,,,,,
Louis-Hébert,6355,52575,922,7795,90400,1635,54048,47285,1017,46268,6763,25026,11555,6949,2738,,,,,,,
Maisonneuve,4627,65497,2190,3535,61905,1565,46950,36234,779,35455,10716,11407,16012,6007,1777,,,,252,,,
Marguerite-Bourgeoys,22410,24188,7025,37675,44740,11875,50512,42637,962,41675,7875,28694,7907,3584,850,,262,,378,,,
Maskinongé,110,20684,480,120,20385,750,13360,12085,211,11874,1275,3814,757,5113,2190,,,,,,,
Matane,318,34689,71,240,29990,30,25171,21377,258,21119,3794,8800,5878,5338,1103,,,,,,,
Matapédia,131,35396,59,100,26720,40,15741,13355,141,13214,2386,4319,3805,2564,871,,1655,,,,,
Mégantic,1652,55518,230,1395,56465,160,33674,29662,1181,28481,4012,6954,5626,7700,8201,,,,,,,
