Circonscriptions,Anglophones_1986,Francophones_1986,Allophones_1986,Anglophones_1991,Francophones_1991,Allophones_1991,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_quebecois,Equality_party,Unity_party,Autres_parti_quebecois,Autres_independants_01,Autres_independants_02,Autres_independants_03,Autres_parti_vert,Autres_nouveau_parti_democratique,Autres_parti_citron,Autres_parti_des_travailleurs_du_quebec,Autres_parti_conservateur,Autres_parti_independantiste,Autres_parti_marxiste-leniniste,Autres_parti_51,Autres_credit_social_uni,Autres_mouvement_socialiste,Autres_republicain-commonwealth,Autres_parti_communiste_du_quebec,Autres_parti_libertarien
Abitibi-Est,1353,40611,1475,1435,43295,1415,30593,22477,744,21733,8116,12099,9634,,,,,,,,,,,,,,,,,,,
Abitibi-Ouest,251,46625,550,441,46544,425,32392,23637,508,23129,8755,7541,15588,,,,,,,,,,,,,,,,,,,
Acadie,8116,36862,21885,7206,33269,30220,40350,30119,1045,29074,10231,19077,7426,,,,,,,,1083,848,,,,,,,,640,,
Anjou,2584,39028,4820,2344,38081,6400,32240,24910,717,24193,7330,12554,10445,,,,,,,,688,,225,,,,281,,,,,
Argenteuil,7975,40298,790,8284,46681,955,38257,28094,766,27328,10163,14187,9089,4052,,,,,,,,,,,,,,,,,,
Arthabaska,261,55685,275,305,57430,235,40316,32908,721,32187,7408,13877,16569,,,,1741,,,,,,,,,,,,,,,
Beauce-Nord,236,41547,55,266,42644,55,30000,22781,434,22347,7219,13660,7566,,,,,,,,672,,,,449,,,,,,,
Beauce-Sud,251,52842,105,366,55019,90,37376,27377,687,26690,9999,18623,5322,,,,,,,2745,,,,,,,,,,,,
Beauharnois-Huntingdon,8774,37419,1005,9107,38613,1220,34428,26245,644,25601,8183,12348,9284,,3969,,,,,,,,,,,,,,,,,
Bellechasse,278,41127,80,297,40093,65,29621,22639,602,22037,6982,11114,10923,,,,,,,,,,,,,,,,,,,
Berthier,437,49028,215,617,54198,345,39003,29768,1160,28608,9235,17630,10978,,,,,,,,,,,,,,,,,,,
Bertrand,1350,59236,1065,1571,72089,1325,48274,39383,1826,37557,8891,17369,20188,,,,,,,,,,,,,,,,,,,
