Circonscriptions,Anglophones_1991,Francophones_1991,Allophones_1991,Anglophones_1996,Francophones_1996,Allophones_1996,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_quebecois,Action_democratique_du_quebec,Autres_independants_01,Autres_independants_02,Autres_independants_03,Autres_independants_04,Autres_independants_05,Autres_independants_06,Autres_independants_07,Autres_nouveau_parti_democratique,Autres_parti_de_la_loi_naturelle,Autres_equality_party,Autres_parti_de_la_souverainete_du_quebec,Autres_parti_vert,Autres_parti_citron,Autres_canada,Autres_parti_pour_la_republique_du_canada,Autres_developpement_quebec,Autres_parti_economique,Autres_parti_innovateur,Autres_parti_marxiste-leniniste,Autres_parti_communiste
Abitibi-Est,1436,43294,1415,1375,43885,1555,30462,23061,465,22596,7401,8397,12314,1885,,,,,,,,,,,,,,,,,,,,
Abitibi-Ouest,442,46543,425,320,45725,400,32416,23932,548,23384,8484,5993,17391,,,,,,,,,,,,,,,,,,,,,
Acadie,7207,33268,30220,6163,28662,35955,40487,34141,499,33642,6346,24796,6736,1591,,,,,,,,,268,,,,,,118,,,51,,82
Anjou,2339,38101,6415,2121,36644,7600,31878,27265,539,26726,4613,11697,12453,1753,,,,,,,,537,188,,,,,,,,,98,,
Argenteuil,8285,46680,955,8579,54546,1060,44509,36388,530,35858,8121,15272,13470,6622,,,,,,,,,224,,,,270,,,,,,,
Arthabaska,306,57429,235,481,57879,410,42142,34232,800,33432,7910,11451,20577,,905,,,,,,,,369,,,,,,,,,,,130
Beauce-Nord,267,42643,55,312,42613,85,30668,23970,501,23469,6698,10752,10691,,,,,,,,,1434,592,,,,,,,,,,,
Beauce-Sud,367,55018,90,350,56070,55,39129,29681,635,29046,9448,13122,12958,,1543,,,,,,,856,,,,,567,,,,,,,
Beauharnois-Huntingdon,9403,43877,1310,8955,44660,1100,39163,32283,685,31598,6880,16355,13313,,957,128,,,,,,,242,,277,326,,,,,,,,
Bellechasse,298,40092,65,217,39308,10,29607,23122,429,22693,6485,8258,10570,3865,,,,,,,,,,,,,,,,,,,,
