Circonscriptions,Anglophones_2011,Francophones_2011,Allophones_2011,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_quebecois,Coalition_avenir_quebec,Quebec_solidaire,Parti_vert,Autres_option_nationale,Autres_independants_01,Autres_independants_02,Autres_parti_conservateur,Autres_coalition_pour_la_constituante,Autres_parti_nul,Autres_equipe_autonomiste,Autres_union_citoyenne,Autres_parti_de_la_classe_moyenne,Autres_parti_marxiste-leniniste,Autres_parti_independantiste,Autres_parti_unite_nationale,Autres_bloc_pot,Autres_quebec_revolution_democratique,Autres_parti_equitable
Abitibi-Est,1218,39642,1595,33261,22411,454,21957,10850,7653,8430,4059,1047,316,452,,,,,,,,,,,,,,
Abitibi-Ouest,341,43949,510,35106,23798,317,23481,11308,4399,12066,4759,1260,,997,,,,,,,,,,,,,,
Acadie,5607,26083,43510,48339,31305,416,30889,17034,17191,5319,5393,2474,,512,,,,,,,,,,,,,,
Anjou-Louis-Riel,2570,39040,19705,43456,32734,446,32288,10722,12953,9998,6371,2347,,407,,,,113,,,,,99,,,,,
Argenteuil,7350,46670,1295,43902,32631,314,32317,11271,9387,12449,8564,855,653,409,,,,,,,,,,,,,,
Arthabaska,511,71504,1040,58158,45402,570,44832,12756,13623,8991,19016,1775,501,519,316,,,,,,91,,,,,,,
Beauce-Nord,381,53129,245,41749,31973,360,31613,9776,7970,3207,18126,697,345,286,266,,494,222,,,,,,,,,,
Beauce-Sud,461,60074,255,47758,35349,453,34896,12409,14791,3987,14141,861,,558,302,,,,,,,,,,,,256,
Beauharnois,1708,52842,625,45260,33975,502,33473,11285,6861,15117,8599,1328,512,515,269,84,188,,,,,,,,,,,
Bellechasse,401,51789,235,42892,32648,393,32255,10244,13119,4896,12421,989,,,,,215,,,156,,344,,,115,,,
Berthier,885,65695,2750,55944,42345,624,41721,13599,5477,19584,13454,2015,518,452,,,,221,,,,,,,,,,
Bertrand,3629,63696,1860,57000,44305,394,43911,12695,7602,18305,14005,2351,682,744,,,,222,,,,,,,,,,
Blainville,2708,73022,4525,57627,47174,498,46676,10453,7401,16579,19288,1817,701,749,,,,,,,,,,141,,,,
Bonaventure,4166,35999,145,36121,25037,204,24833,11084,8665,11809,2766,1278,,315,,,,,,,,,,,,,,
Borduas,2030,67705,1380,55917,47226,529,46697,8691,7996,18363,15852,2715,723,938,,,,,,,,,,110,,,,
Bourassa-Sauvé,2960,38655,35010,47036,30184,575,29609,16852,12518,8092,5165,3045,465,324,,,,,,,,,,,,,,
Bourget,1957,49763,11615,48998,36351,495,35856,12647,6960,16379,7503,3381,537,702,,,,70,,,,,68,199,57,,,
Brome-Missisquoi,11612,55953,1525,55304,42337,425,41912,12967,13841,10670,13538,1944,724,490,141,127,253,184,,,,,,,,,,
Chambly,2377,55973,1575,45554,38039,400,37639,7515,6203,15104,12857,1878,633,765,,,199,,,,,,,,,,,
