Circonscriptions,Anglophones_1991,Francophones_1991,Allophones_1991,Anglophones_1996,Francophones_1996,Allophones_1996,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Oui,Non
Abitibi-Est,1436,43294,1415,1375,43885,1555,31906,28946,519,28427,2960,16447,11980
Abitibi-Ouest,442,46543,425,320,45725,400,32698,29466,405,29061,3232,17968,11093
Acadie,7207,33268,30220,6163,28662,35955,44886,42446,748,41698,2440,8849,32849
Anjou,2339,38101,6415,2121,36644,7600,33374,31659,522,31137,1715,15415,15722
Argenteuil,8285,46680,955,8579,54546,1060,46327,43361,486,42875,2966,21304,21571
Arthabaska,306,57429,235,481,57879,410,43237,40170,710,39460,3067,22235,17225
Beauce-Nord,267,42643,55,312,42613,85,31514,28980,453,28527,2534,12733,15794
Beauce-Sud,367,55018,90,350,56070,55,40413,36817,629,36188,3596,15365,20823
Beauharnois-Huntingdon,9403,43877,1310,8955,44660,1100,39452,36932,584,36348,2520,16821,19527
Bellechasse,298,40092,65,217,39308,10,29451,26736,384,26352,2715,12425,13927
Berthier,621,54209,1555,649,59911,1720,45336,41953,718,41235,3383,25986,15249
Bertrand,2927,40263,840,3364,48691,1045,40267,37408,461,36947,2859,19867,17080
Blainville,1800,45020,1400,1863,53987,1790,39126,37298,581,36717,1828,23134,13583
Bonaventure,5317,34423,830,5255,33965,870,29496,27077,404,26673,2419,12914,13759
Borduas,2813,41772,825,2369,44966,830,34433,32913,579,32334,1520,18864,13470
Bourassa,2146,37589,12330,1903,32932,14615,32755,30786,639,30147,1969,13063,17084
Bourget,2102,48163,5485,1828,43037,6275,34872,32874,759,32115,1998,17258,14857
Brome-Missisquoi,13230,35645,1370,13030,37405,1305,37691,35394,488,34906,2297,13376,21530
Chambly,5940,55400,1690,5039,62236,1945,48794,46918,762,46156,1876,25363,20793
Champlain,538,57852,255,647,57478,360,43788,41013,512,40501,2775,24534,15967
Chapleau,4790,68800,2130,5418,74057,3030,56629,53032,890,52142,3597,14354,37788
Charlesbourg,641,59164,630,879,58321,870,47083,44628,750,43878,2455,23343,20535
Charlevoix,166,41309,45,281,40444,65,31047,28107,386,27721,2940,15702,12019
Châteauguay,12257,40233,2700,13241,41569,2685,41172,39347,423,38924,1825,18481,20443
Chauveau,2239,69821,565,2272,77208,720,57187,53520,1091,52429,3667,28574,23855
Chicoutimi,432,61878,365,381,61364,415,46325,42914,364,42550,3411,29305,13245
Chomedey,10412,34548,23270,8844,32776,26370,49292,46735,5426,41309,2557,11311,29998
Chutes-de-la-Chaudière,745,66325,395,1007,73673,435,52427,49574,531,49043,2853,29456,19587
Crémazie,2695,50850,15985,2636,45964,17895,38149,36076,815,35261,2073,17120,18141
D'Arcy-McGee,35752,9793,20160,31558,9602,21810,41690,39397,743,38654,2293,1401,37253
Deux-Montagnes,6166,63644,1400,6233,70602,1620,54513,51681,1070,50611,2832,29831,20780
Drummond,710,60195,285,870,62445,305,47292,43881,748,43133,3411,24866,18267
Dubuc,529,49406,110,387,49588,100,35463,32843,340,32503,2620,22850,9653
Duplessis,5195,43490,4920,5069,42651,5350,37107,33471,368,33103,3636,20781,12322
Fabre,4518,52852,5055,4928,57517,6865,48813,46897,905,45992,1916,23651,22341
Frontenac,619,46971,155,447,44518,220,34719,32466,323,32143,2253,17041,15102
Gaspé,3924,35801,60,3669,35216,80,29414,26368,411,25957,3046,15186,10771
Gatineau,8317,40713,1975,8788,43952,1815,38948,36378,350,36028,2570,10774,25254
Gouin,2162,47788,11825,1922,43988,13815,41901,38636,805,37831,3265,21854,15977
Groulx,3617,49683,3200,3805,52780,3715,41806,39798,786,39012,2008,22133,16879
Hochelaga-Maisonneuve,1644,44426,3635,1380,40515,4080,31881,28944,663,28281,2937,18522,9759
Hull,4306,51759,4640,5143,50597,5815,44984,41707,760,40947,3277,12394,28553
Iberville,2093,58892,835,2057,60693,805,45229,42470,892,41578,2759,23400,18178
Îles-de-la-Madeleine,819,13146,25,719,12976,35,10415,9557,133,9424,858,5478,3946
Jacques-Cartier,38757,16828,8915,36084,17621,11200,47072,45114,409,44705,1958,4016,40689
Jeanne-Mance,3674,29026,26365,4083,23357,29745,37801,35767,718,35049,2034,8654,26395
Jean-Talon,2263,45052,1625,2121,42699,1795,33233,31576,496,31080,1657,14921,16159
Johnson,1663,46177,300,1895,47580,285,35096,32717,538,32179,2379,17507,14672
Joliette,422,55433,420,387,56123,515,42797,40060,771,39289,2737,25099,14190
Jonquière,584,58476,240,552,56798,235,43444,40674,705,39969,2770,28385,11584
Kamouraska-Témiscouata,191,46859,55,95,45800,25,34066,30138,451,29687,3928,15632,14055
La Peltrie,1109,67071,730,1431,71869,775,51387,49121,851,48270,2266,26426,21844
Labelle,988,45082,310,1313,47907,330,36470,33376,511,32865,3094,21178,11687
Lac-Saint-Jean,281,53404,100,196,53004,115,38420,35743,352,35391,2677,25857,9534
Lafontaine,3573,45462,20535,4203,45592,23570,47606,44919,766,44153,2687,17780,26373
Lapinière,9970,40195,14635,9751,37289,18615,44702,42637,380,42257,2065,13996,28261
Laporte,14116,43689,5090,12260,43105,5365,45729,43382,795,42587,2347,17447,25140
Laprairie,4125,58790,2695,4166,69094,3305,52873,50575,709,49866,2298,29947,19919
L'Assomption,818,61297,920,984,65851,1090,48336,46207,498,45709,2129,29095,16614
Laurier-Dorion,6033,35177,36005,5356,31699,39270,45569,42836,1540,41296,2733,15372,25924
Laval-des-Rapides,2350,55995,8005,2050,48000,8020,39120,36954,755,36199,2166,19057,17142
Laviolette,534,43631,2160,642,42258,2555,33439,30807,537,30270,2632,17177,13093
Lévis,423,49237,185,386,50004,185,38175,35869,641,35228,2306,19917,15311
Limoilou,696,67709,1165,662,62788,1450,45311,41553,878,40675,3758,21109,19566
Lotbinière,418,40002,220,374,39501,225,28974,26913,441,26472,2061,13263,13209
Louis-Hébert,1673,50517,1930,1499,48921,3375,41061,38713,431,38282,2348,20292,17990
Marguerite-Bourgeoys,18643,27597,13445,17115,25655,14835,41691,39868,2194,37674,1823,10339,27335
Marguerite-d'Youville,1284,51991,1155,1355,55815,1350,42469,40991,693,40298,1478,23778,16520
Marie-Victorin,2014,52426,4535,1709,49081,4985,41530,38682,1137,37545,2848,22731,14814
Marquette,13560,34825,6010,13068,32852,6750,37872,35840,483,35357,2032,13628,21729
Maskinongé,483,54712,315,677,56953,565,43220,40095,668,39427,3125,22502,16925
Masson,1424,53381,980,1607,62173,1080,43331,41132,813,40319,2199,28636,11683
Matane,268,38407,80,210,37095,55,28314,25325,333,24992,2989,15611,9381
Matapédia,210,41990,65,162,41188,85,30312,27260,368,26892,3052,17292,9600
Mégantic-Compton,3226,38884,160,3359,39306,205,30369,27968,391,27577,2401,13042,14535
Mercier,4856,43889,11695,4715,43425,10905,42596,40067,735,39332,2529,24688,14644
Mille-Îles,2017,56768,6280,2156,56169,7400,46800,44715,835,43880,2085,22660,21220
Montmagny-L'Islet,231,41414,30,235,40695,65,31816,28096,563,27533,3720,12360,15173
Montmorency,548,69767,385,531,73249,420,53331,50002,728,49274,3329,28360,20914
Mont-Royal,19223,20867,28730,16571,18989,36430,40794,38254,891,37363,2540,5030,32333
Nelligan,33093,34267,14330,34271,35259,17865,55030,52712,775,51937,2318,9443,42494
Nicolet-Yamaska,279,44381,480,286,43644,410,32705,30602,477,30125,2103,17022,13103
Notre-Dame-de-Grâce,31427,15008,14215,28787,14543,16185,38962,37041,880,36161,1921,4855,31306
Orford,7295,53970,460,7622,58103,700,47430,44577,672,43905,2853,20773,23132
Outremont,12945,36060,20905,10578,34387,24345,42408,39717,670,39047,2691,13428,25619
Papineau,5505,49495,420,4409,46151,455,36555,34170,282,33888,2385,12371,21517
Pointe-aux-Trembles,2092,57398,3920,1756,54474,4080,37929,35742,549,35193,2187,21425,13768
Pontiac,21327,28158,2170,22368,29927,2300,37247,35561,444,35117,1686,4485,30632
Portneuf,569,49751,140,586,51044,140,39129,36255,717,35538,2874,19303,16235
Prévost,981,56404,625,983,61102,695,45809,42482,870,41612,3327,26180,15432
Richelieu,463,52557,395,361,50354,425,39395,36740,653,36087,2655,22490,13597
Richmond,2368,41702,330,2040,41455,390,31984,29927,352,29575,2057,15719,13856
