Communautes,CGT,Polation_totale_1971,Anglophones_1971,Francophones_1971,Allophones_1971,Polation_totale_1981,Anglophones_1981,Francophones_1981,Allophones_1981,Polation_totale_1986,Anglophones_1986,Francophones_1986,Allophones_1986,Polation_totale_1991,Anglophones_1991,Francophones_1991,Allophones_1991,Polation_totale_1996,Anglophones_1996,Francophones_1996,Allophones_1996,Polation_totale_2001,Anglophones_2001,Francophones_2001,Allophones_2001,Polation_totale_2006,Anglophones_2006,Francophones_2006,Allophones_2006,Population_totale_2011,Anglophones_2011,Francophones_2011,Allophones_2011,Electeurs_inscrits_1953,Votes_exprimes_1953,Bulletins_rejetés_1953,Parti_liberal_1953,Parti_progressiste-conservateur_1953,Commonwealth_cooperative_federation_1953,Autres_1953,Electeurs_inscrits_1957,Votes_exprimes_1957,Bulletins_rejetes_1957,Parti_liberal_1957,Parti_progressiste-conservateur_1957,Commonwealth_cooperative_federation_1957,Autres_1957,Electeurs_inscrits_1958,Votes_exprimes_1958,Bulletins_rejetes_1958,Parti_liberal_1958,Parti_progressiste-conservateur_1958,Commonwealth_cooperative_federation_1958,Autres_1958,Electeurs_inscrits_1962,Votes_exprimes_1962,Bulletins_rejetes_1962,Parti_liberal_1962,Parti_progressiste-conservateur_1962,Nouveau_parti_democratique_1962,Credit_social_1962,Autres_1962,Electeurs_inscrits_1963,Votes_exprimes_1963,Bulletins_rejetes_1963,Parti_liberal_1963,Parti_progressiste-conservateur_1963,Nouveau_parti_democratique_1963,Credit_social_1963,Autres_1963,Electeurs_inscrits_1965,Votes_exprimes_1965,Bulletins_rejetes_1965,Parti_liberal_1965,Parti_progressiste-conservateur_1965,Nouveau_parti_democratique_1965,Ralliement_creditiste_1965,Autres_1965,Electeurs_inscrits_1968,Votes_exprimes_1968,Bulletins_rejetes_1968,Parti_liberal_1968,Parti_progressiste-conservateur_1968,Nouveau_parti_democratique_1968,Ralliement_creditiste_1968,Autres_1968,Electeurs_inscrits_1972,Votes_exprimes_1972,Bulletins_rejetes_1972,Parti_liberal_1972,Parti_progressiste-conservateur_1972,Nouveau_parti_democratique_1972,Credit_social_1972,Autres_1972,Electeurs_inscrits_1974,Votes_exprimes_1974,Bulletins_rejetes_1974,Parti_liberal_1974,Parti_progressiste-conservateur_1974,Nouveau_parti_democratique_1974,Credit_social_1974,Autres_1974,Electeurs_inscrits_1979,Votes_exprimes_1979,Bulletins_rejetes_1979,Parti_liberal_1979,Parti_progressiste-conservateur_1979,Nouveau_parti_democratique_1979,Credit_social_1979,Autres_1979,Electeurs_inscrits_1980,Votes_exprimes_1980,Bulletins_rejetes_1980,Parti_liberal_1980,Parti_progressiste-conservateur_1980,Nouveau_parti_democratique_1980,Credit_social_1980,Autres_1980,Electeurs_inscrits_1984,Votes_exprimes_1984,Bulletins_rejetes_1984,Parti_liberal_1984,Parti_progressiste-conservateur_1984,Nouveau_parti_democratique_1984,Autres_1984,Electeurs_inscrits_1988,Votes_exprimes_1988,Bulletins_rejetes_1988,Parti_liberal_1988,Parti_progressiste-conservateur_1988,Nouveau_parti_democratique_1988,Autres_1988,Electeurs_inscrits_1993,Votes_exprimes_1993,Bulletins_rejetes_1993,Parti_liberal_1993,Parti_progressiste-conservateur_1993,Bloc_quebecois_1993,Nouveau_parti_democratique_1993,Autres_1993,Electeurs_inscrits_1997,Votes_exprimes_1997,Bulletins_rejetes_1997,Parti_liberal_1997,Parti_progressiste-conservateur_1997,Bloc_quebecois_1997,Nouveau_parti_democratique_1997,Reform_party_1997,Autres_1997,Electeurs_inscrits_2000,Votes_exprimes_2000,Bulletins_rejetes_2000,Parti_liberal_2000,Parti_progressiste-conservateur_2000,Bloc_quebecois_2000,Nouveau_parti_democratique_2000,Alliance_canadienne_2000,Autres_2000,Electeurs_inscrits_2004,Votes_exprimes_2004,Bulletins_rejetes_2004,Parti_liberal_2004,Parti_progressiste-conservateur_2004,Bloc_quebecois_2004,Nouveau_parti_democratique_2004,Parti_vert_2004,Autres_2004,Electeurs_inscrits_2006,Votes_exprimes_2006,Bulletins_rejetes_2006,Parti_liberal_2006,Parti_conservateur_2006,Bloc_quebecois_2006,Nouveau_parti_democratique_2006,Parti_vert_2006,Autres_2006,Electeurs_inscrits_2008,Votes_exprimes_2008,Bulletins_rejetes_2008,Parti_liberal_2008,Parti_conservateur_2008,Bloc_quebecois_2008,Nouveau_parti_democratique_2008,Parti_vert_2008,Autres_2008,Electeurs_inscrits_2011,Votes_exprimes_2011,Bulletins_rejetes_2011,Parti_liberal_2011,Parti_conservateur_2011,Bloc_quebecois_2011,Nouveau_parti_democratique_2011,Parti_vert_2011,Autres_2011
Québec ,99999,6027760,789185,4867250,371325,6438403,706115,5307010,425280,6532461,594850,5452830,484775,6895963,610290,5680635,605040,7138795,591149,5746016,707910,7237479,561453,5807412,756710,7546131,579420,5917130,939350,7903001,605109,6161441,1049725,2280935,1565400,e,944071,454052,23833,124817,2509695,1813541,23481,1030354,547950,31780,179976,2576682,2045199,20950,915801,1003276,45594,59578,2728191,2117644,27721,818760,617762,91795,542433,19173,2807634,2143246,25201,966172,413562,151061,578347,8903,2933031,2073314,36002,928530,432901,244339,357153,74389,3083260,2229345,45053,1170417,466492,164466,358327,24590,3693918,2790172,165136,1289139,457418,168910,639207,70362,3848426,2592801,134126,1330337,520632,162080,418446,27180,4281669,3253017,48988,1975526,432199,163492,512995,119817,4395389,2994202,37160,2017156,373317,268409,174583,123577,4575493,3485815,45455,1219124,1728196,301928,191112,4740091,3562777,61674,1058952,1844279,488633,109239,5025263,3873050,128849,1235868,506683,1846024,57339,98287,5177152,3792970,132975,1342667,71558,1385821,811410,10767,37772,5542169,3552551,95653,1529642,192153,1377727,63611,212874,80891,5800109,3507100,68845,1165645,301539,1680109,158427,108660,23875,5852528,3737849,46691,766228,907972,1553201,276401,146576,40780,5954763,3671728,50453,860449,784996,1379991,441098,125805,28936,6130307,3853120,51430,538447,627961,891425,1630865,80402,32590
Abénakis – RI Odanak,50802,215,20,195,0,232,35,185,15,262,25,230,10,333,33,287,20,392,46,329,0,425,45,365,10,469,55,410,0,457,51,404,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,237,2,65,12,158,0,0,259,191,7,38,1,111,34,0,0,259,198,9,46,5,117,1,15,5,91,0,0,0,0,0,0,0,0,96,56,1,5,13,33,1,3,0,282,173,1,12,28,112,16,4,0,290,158,1,10,17,81,46,3,0
Abénakis – RI Wôlinak,38802,25,0,10,15,44,0,40,5,57,0,55,0,104,5,105,0,147,0,0,0,146,0,140,0,168,0,165,0,180,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algonquins – RI Kitcisakik,89802,0,0,0,0,125,0,115,10,204,0,0,205,72,0,5,70,214,0,10,200,219,0,40,185,294,0,50,245,339,0,205,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,40,0,37,1,0,1,1,0,71,39,0,29,0,10,0,0,0,50,18,0,17,0,0,0,1,0,49,36,1,10,1,1,23,0,0
Algonquins – RI Kébaowek,85802,0,0,0,0,135,110,10,15,125,100,5,15,130,125,5,5,205,175,15,10,242,210,15,10,270,240,10,15,284,250,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,94,0,32,5,1,56,0,143,102,0,61,4,8,25,4,109,86,0,37,42,5,2,131,82,0,16,32,34,0,156,111,1,42,16,50,0,2,163,95,3,31,4,26,31,0,0,164,87,1,47,2,29,0,8,0,206,103,0,46,13,30,11,3,0,310,163,0,62,40,34,21,6,0,366,161,0,74,19,34,24,7,3,351,156,0,12,34,9,96,5,0
Algonquins – RI Lac-Rapide,83804,270,5,0,265,260,5,0,255,0,0,0,0,115,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,78,1,29,15,0,33,0,180,56,1,33,9,2,11,0,0,0,0,0,0,0,0,0,182,64,0,36,15,2,11,0,81,47,1,20,2,4,20,0,173,77,9,48,5,1,14,0,161,65,0,38,4,6,14,3,169,54,0,40,3,5,0,6,92,59,1,5,47,4,2,90,35,0,10,19,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0
Algonquins – RI Lac-Simon,89804,289,0,0,0,448,5,10,435,554,0,10,540,686,5,50,625,914,10,80,825,993,20,215,755,1165,10,175,980,1403,70,675,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,75,0,4,4,5,61,1,40,42,2,36,0,1,3,0,136,90,9,50,5,1,25,0,149,50,2,31,11,1,5,0,184,80,3,54,2,1,1,19,179,51,0,39,1,3,4,4,374,12,0,8,3,0,1,347,44,4,14,21,5,0,402,57,0,33,17,5,2,0,564,209,1,183,1,8,16,0,0,580,139,3,123,1,10,1,1,0,602,128,3,104,2,3,13,3,0,645,148,3,128,5,9,1,2,0,711,90,0,53,12,21,1,3,0,811,85,0,17,5,0,63,0,0
Algonquins – RI Kitigan Zibi,83802,768,265,120,380,714,375,45,290,794,340,124,335,563,79,21,470,0,0,0,0,1081,674,131,265,1165,770,145,250,1401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,77,2,20,25,2,28,0,416,51,5,11,17,1,17,0,344,36,2,7,11,1,14,1,364,49,1,22,11,4,11,0,521,39,2,23,2,0,12,0,543,35,0,28,1,2,4,0,59,42,0,35,1,0,6,0,59,33,0,27,3,2,0,1,287,33,0,5,28,0,0,407,31,0,15,11,5,0,671,13,0,11,1,1,0,0,1387,11,0,9,0,2,0,0,0,1223,53,2,27,1,18,1,3,1,1276,48,0,21,3,11,8,5,0,1253,62,0,32,11,9,10,0,0,877,54,0,21,5,7,17,4,0,768,96,1,19,10,1,65,0,0
Algonquins – RI Pikogan,88802,242,0,0,0,334,25,15,295,358,31,53,275,394,85,110,200,442,64,86,295,443,53,152,235,487,60,180,245,538,65,210,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,43,0,10,16,2,6,9,158,28,1,22,2,0,1,2,191,53,5,32,8,3,5,161,41,1,11,22,7,0,245,74,2,29,32,8,3,0,264,113,3,94,5,4,7,0,0,255,139,1,120,3,12,2,1,0,294,112,1,82,0,21,3,5,0,266,101,0,65,7,18,6,5,0,310,68,0,16,11,20,17,3,1,321,102,2,8,9,15,66,2,0
Algonquins – RI Timiskaming,85806,363,0,0,0,287,255,10,25,306,270,10,20,361,330,15,20,478,444,26,10,549,469,41,20,505,385,50,45,540,464,46,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,143,1,36,24,1,81,0,154,136,3,41,26,0,66,0,156,134,1,44,26,2,60,1,115,50,1,20,10,12,7,0,136,76,4,44,14,3,9,2,150,88,2,55,15,3,13,0,151,71,0,55,6,1,8,1,151,88,0,77,5,1,3,2,244,95,0,67,20,2,6,180,73,0,50,9,14,0,282,106,0,97,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,134,1,81,6,7,32,7,0,347,146,1,73,19,15,34,4,0,263,124,1,37,35,38,8,3,2,399,149,0,11,14,8,114,2,0
